		frames = 150 markers = 13 Hz = 30
21.581	0.32768	-33.438
23.036	10.86	18.685
30.162	-9.0742	21.185
28.758	8.1463	20.8
11.881	12.405	23.629
30.892	-5.8185	-0.30715
20.091	-0.65903	-18.375
25.217	-3.3087	-0.24445
2.3636	9.7003	7.8304
27.806	13.621	24.083
17.938	17.156	17.403
32.85	3.534	-17.842
11.458	-3.1104	-3.4112
12.974	26.19	10.235
31.964	2.0225	-0.26835
29.66	5.8501	-32.063
15.482	14.158	-18.733
16.679	19.919	20.071
17.944	0.14674	-18.661
29.882	7.0461	20.399
32.89	3.3882	-17.709
13.278	1.9033	18.526
21.994	9.8256	-1.857
33.23	4.8598	20.012
1.1212	11.63	10.565
22.046	-9.9932	6.3056
15.115	2.2346	-18.625
26.268	7.5514	-33.047
13.957	1.0514	19.062
33.56	2.4068	-33.288
26.119	-3.233	21.457
22.458	-0.40131	-33.329
27.588	-5.3004	22.183
30.248	-9.1697	20.177
31.303	2.1298	-0.23175
2.5007	7.0705	11.041
10.325	26.011	16.003
9.7847	25.08	15.775
19.034	-17.896	19.908
20.989	9.9699	-18.54
30.415	-9.0673	20.732
0.92521	16.698	13.014
33.638	2.4666	-33.245
33.522	1.8653	-0.30375
15.801	13.785	-18.687
6.0577	0.59945	15.765
33.174	8.712	-1.6899
25.942	-3.1021	21.317
31.092	-6.1915	-0.26225
30.035	-1.0518	27.718
21.853	-0.80961	-18.165
20.463	-18.359	23.121
18.969	16.851	17.57
2.8784	8.6739	7.4164
23.828	21.343	21.025
22.198	-0.12941	-33.292
13.029	25.824	6.7041
11.392	12.616	24.132
32.415	4.5531	-0.063651
32.463	9.888	-2.2043
18.542	-17.758	7.4205
12.209	3.5591	18.983
17.225	-13.126	17.16
15.844	-7.1512	6.8656
32.919	3.235	-17.672
32.723	2.5628	-17.972
22.59	11.766	18.371
33.374	4.797	19.95
12.355	2.5434	-19.465
32.623	-6.4504	-0.23205
12.44	3.0878	18.542
15.552	-1.5201	19.002
24.685	5.0137	26.929
33.74	2.4734	-18.001
29.43	-0.2142	27.784
12.278	12.378	23.485
16.822	12.464	-34.236
