level_0	level_1	frames = 83 markers = 13 Hz = 30
29.96694272474521	-0.29189	32.268
30.20794272474521	-7.8623	24.584
28.51194272474521	7.0596	24.177
31.39994272474521	-9.696	10.669
28.068942724745213	9.4693	10.317
32.15394272474521	-10.818	1.8693
29.69194272474521	9.4355	1.5739
28.717942724745207	-4.7192	3.8391
29.811942724745208	3.5653	3.8442
28.004942724745213	-4.3841	-13.921
28.68294272474521	3.5559	-13.899
27.36594272474521	-4.0768	-29.493
27.70694272474521	3.521	-29.464
29.979942724745207	-0.29259	32.267
30.22994272474521	-7.8517	24.594
28.51594272474521	7.0668	24.174
31.38294272474521	-9.7313	10.682
28.09794272474521	9.5049	10.318
32.113942724745215	-10.883	1.8836
29.72194272474521	9.4478	1.5746
28.720942724745207	-4.6979	3.8385
29.809942724745213	3.587	3.8461
28.16194272474521	-4.4278	-13.928
28.842942724745207	3.5972	-13.906
27.37194272474521	-4.0706	-29.493
27.70794272474521	3.5238	-29.46
30.02794272474521	-0.28069	32.27
30.24094272474521	-7.8507	24.598
28.50994272474521	7.063	24.168
31.36494272474521	-9.7541	10.687
28.095942724745207	9.5161	10.314
32.07894272474521	-10.919	1.8886
29.72894272474521	9.4565	1.5729
28.717942724745207	-4.674	3.8402
29.811942724745208	3.6103	3.8499
28.183942724745208	-4.3633	-13.926
28.84494272474521	3.6118	-13.902
27.413942724745212	-3.9715	-29.49
27.70494272474521	3.5295	-29.456
30.01494272474521	-0.16859	32.267
30.25994272474521	-7.8225	24.584
28.519942724745206	7.0727	24.136
31.37394272474521	-9.7864	10.68
28.095942724745207	9.54	10.285
32.08494272474521	-10.985	1.8867
29.735942724745207	9.4641	1.545
28.69894272474521	-4.6463	3.8407
29.809942724745213	3.6356	3.8509
28.19494272474521	-4.2989	-13.926
28.87194272474521	3.4981	-13.903
27.446942724745213	-3.8758	-29.49
27.76194272474521	3.2949	-29.458
30.077942724745206	-0.10039	32.251
30.26494272474521	-7.7913	24.599
28.605942724745212	7.1181	24.132
31.32894272474521	-9.7802	10.695
28.168942724745207	9.5933	10.283
32.019942724745206	-10.974	1.899
29.81994272474521	9.4756	1.546
28.63094272474521	-4.634	3.8478
29.78394272474521	3.642	3.8205
28.17994272474521	-4.2432	-13.919
28.82594272474521	3.6328	-13.932
27.48194272474521	-3.7857	-29.484
27.69494272474521	3.5394	-29.486
30.14394272474521	0.02391	32.291
30.29594272474521	-7.6893	24.661
28.81394272474521	7.2367	24.172
31.27894272474521	-9.7877	10.768
28.290942724745207	9.6789	10.32
31.95294272474521	-10.993	1.9721
29.918942724745207	9.47	1.58
28.54894272474521	-4.6122	3.8961
29.76794272474521	3.654	3.8497
28.28294272474521	-4.1555	-13.873
28.84694272474521	3.4905	-13.904
27.741942724745208	-3.6404	-29.441
27.747942724745208	3.2621	-29.46
30.36694272474521	0.44911	32.268
30.150942724745207	-7.3867	24.65
29.00594272474521	7.4796	24.068
31.11694272474521	-9.7577	10.799
28.431942724745213	9.8385	10.204
31.86794272474521	-11.007	2.0156
30.06094272474521	9.4744	1.469
28.425942724745212	-4.5672	3.925
29.732942724745207	3.6856	3.8775
28.227942724745212	-4.1382	-13.846
28.830942724745206	3.5048	-13.877
27.748942724745213	-3.6496	-29.417
27.74994272474521	3.2604	-29.434
30.46594272474521	0.64591	32.274
30.02794272474521	-7.3073	24.79
29.38994272474521	7.6153	24.094
30.87694272474521	-9.8828	10.968
28.671942724745207	9.9678	10.235
31.74394272474521	-11.025	2.1808
30.22794272474521	9.4622	1.4944
28.26794272474521	-4.5075	3.9547
29.708942724745206	3.723	3.9187
28.15494272474521	-4.1189	-13.818
28.82394272474521	3.5105	-13.837
27.750942724745208	-3.6661	-29.392
27.75894272474521	3.2386	-29.394
30.61594272474521	0.70181	32.261
29.769942724745206	-7.2586	24.819
29.879942724745213	7.6881	24.111
30.46694272474521	-10.093	11.039
28.99694272474521	10.102	10.273
31.58894272474521	-11.054	2.2593
30.43194272474521	9.4264	1.5225
28.083942724745206	-4.4275	3.9696
29.77194272474521	3.7556	3.9303
28.06694272474521	-4.1032	-13.805
28.85394272474521	3.5174	-13.823
27.747942724745208	-3.7029	-29.382
27.76194272474521	3.2272	-29.378
30.83394272474521	0.69771	32.223
29.488942724745208	-7.2205	24.805
30.50694272474521	7.7048	24.109
29.872942724745208	-10.417	11.092
29.42394272474521	10.214	10.302
31.34794272474521	-11.145	2.3417
30.68294272474521	9.439	1.5327
27.851942724745207	-4.3505	3.9904
29.647942724745207	3.8095	3.9359
27.958942724745206	-4.1026	-13.785
28.79294272474521	3.5435	-13.82
27.748942724745213	-3.7717	-29.366
27.75694272474521	3.2264	-29.379
30.99894272474521	0.70651	32.144
29.15494272474521	-7.1653	24.739
31.29594272474521	7.6646	24.043
29.122942724745208	-10.711	11.107
29.89294272474521	10.415	10.311
31.01494272474521	-11.206	2.4204
31.01394272474521	9.4515	1.5418
27.611942724745212	-4.2003	3.9965
29.46694272474521	3.9461	3.916
27.849942724745212	-4.0417	-13.779
28.75694272474521	3.5728	-13.845
27.750942724745208	-3.7935	-29.363
27.84194272474521	3.1552	-29.409
31.20994272474521	0.49031	32.042
28.632942724745213	-7.1518	24.622
32.02794272474521	7.4451	23.995
28.022942724745207	-11.144	11.128
30.48894272474521	10.495	10.342
30.61294272474521	-11.368	2.612
31.40894272474521	9.4375	1.5599
27.32594272474521	-4.1624	3.9965
29.400942724745207	3.9301	3.8776
27.729942724745207	-4.0281	-13.776
28.723942724745207	3.5488	-13.884
27.77494272474521	-3.8031	-29.36
27.84494272474521	3.1239	-29.451
31.26294272474521	0.43441	32.008
27.939942724745208	-6.9064	24.592
