level_0	level_1	frames = 83 markers = 13 Hz = 30
32.655	-1.9578	31.49
33.35	5.5853	24.084
34.283	-9.3938	24.284
33.776	7.561	9.8092
33.075	-11.903	10.149
34.024	8.7631	0.89968
32.327	-13.43	1.3283
32.881	0.73911	3.083
33.255	-6.1969	3.0879
32.433	0.99621	-15.166
34.449	-6.2113	-15.132
34.714	0.66441	-29.928
35.409	-6.2006	-30.048
32.657	-1.9627	31.49
33.353	5.5839	24.087
34.284	-9.3951	24.284
33.878	7.5258	9.8104
33.069	-11.902	10.149
34.189	8.7047	0.89978
32.316	-13.427	1.3284
32.875	0.74131	3.083
33.254	-6.1945	3.0884
32.432	0.99451	-15.167
34.304	-6.2759	-15.14
34.713	0.66051	-29.928
35.409	-6.2007	-30.046
32.661	-1.9671	31.49
33.354	5.5837	24.09
34.285	-9.3956	24.284
33.969	7.5	9.8132
33.084	-11.904	10.148
34.339	8.6642	0.90288
32.341	-13.431	1.3271
32.873	0.74181	3.083
33.253	-6.1939	3.0888
32.43	0.99471	-15.167
34.301	-6.277	-15.14
34.71	0.66061	-29.928
35.408	-6.2007	-30.045
32.667	-1.9711	31.487
33.355	5.5837	24.088
34.284	-9.3961	24.283
34.063	7.4873	9.8143
33.153	-11.917	10.143
34.489	8.6418	0.90528
32.453	-13.45	1.3199
32.862	0.73881	3.0797
33.252	-6.1964	3.0885
32.424	0.99071	-15.17
34.301	-6.2783	-15.14
34.709	0.65961	-29.931
35.408	-6.2008	-30.045
32.675	-1.9834	31.485
33.354	5.5844	24.082
34.279	-9.3947	24.288
34.156	7.4942	9.8138
33.274	-11.944	10.144
34.636	8.6466	0.90708
32.654	-13.496	1.3178
32.864	0.73801	3.0796
33.254	-6.1972	3.0873
32.427	0.99171	-15.17
34.302	-6.2801	-15.142
34.711	0.66331	-29.931
35.409	-6.2032	-30.047
32.685	-1.9797	31.479
33.351	5.5882	24.058
34.268	-9.3894	24.303
34.27	7.5355	9.8019
33.38	-11.976	10.158
34.813	8.699	0.90008
32.832	-13.551	1.3312
32.871	0.73491	3.0763
33.259	-6.2003	3.0853
32.402	0.86701	-15.174
34.302	-6.2811	-15.144
34.66	0.44151	-29.935
35.406	-6.2025	-30.049
32.657	-2.0505	31.468
33.328	5.56	24.017
34.273	-9.3997	24.304
34.338	7.5788	9.7777
33.499	-11.996	10.155
34.914	8.7621	0.88058
33.021	-13.575	1.3248
32.886	0.73861	3.0757
33.302	-6.1949	3.0769
32.408	0.85081	-15.174
34.328	-6.2795	-15.153
34.658	0.42301	-29.937
35.413	-6.2043	-30.06
32.671	-1.9952	31.465
33.329	5.5794	24.001
34.25	-9.3832	24.319
34.379	7.6452	9.7712
33.582	-12.012	10.17
34.942	8.8193	0.87198
33.172	-13.613	1.3406
32.89	0.71711	3.0743
33.257	-6.2192	3.0818
32.417	0.85781	-15.176
34.306	-6.2903	-15.147
34.662	0.43881	-29.939
35.411	-6.2057	-30.052
32.728	-1.9696	31.462
33.341	5.6093	24.016
34.212	-9.3706	24.362
34.409	7.7238	9.7942
33.648	-12.018	10.212
34.929	8.8749	0.88938
33.304	-13.631	1.3822
32.899	0.70601	3.0708
33.258	-6.2307	3.0799
32.422	0.85291	-15.179
34.303	-6.2945	-15.149
34.661	0.44081	-29.944
35.406	-6.204	-30.055
32.712	-1.9495	31.458
33.34	5.6308	24.004
34.177	-9.3491	24.382
34.436	7.8492	9.7999
33.74	-11.991	10.226
34.899	8.9961	0.89138
33.473	-13.599	1.3923
32.913	0.69541	3.0726
33.264	-6.2417	3.0817
32.428	0.83461	-15.177
34.308	-6.2983	-15.147
34.656	0.41791	-29.943
35.407	-6.2032	-30.053
32.691	-1.9529	31.459
33.33	5.6285	23.998
34.156	-9.3517	24.39
34.437	7.9328	9.8091
33.777	-11.997	10.233
34.805	9.0443	0.89178
33.548	-13.608	1.3994
32.932	0.68181	3.0743
33.273	-6.2558	3.0818
32.443	0.84011	-15.175
34.315	-6.3068	-15.147
34.664	0.43931	-29.943
35.415	-6.2055	-30.053
32.674	-1.9539	31.459
33.313	5.6222	23.996
