		frames = 115 markers = 13 Hz = 30
20.776	1.3042	8.5019
13.483	-9.835	23.044
17.116	-1.1372	23.136
20.984	-10.56	-31.786
20.783	-15.534	21.922
20.58	-8.6715	29.623
21.106	-10.463	-32.137
20.757	-7.8184	29.722
16.465	-17.481	-0.56362
18.831	-14.661	21.739
17.314	-18.775	7.8655
20.078	-12.947	1.5875
20.436	-2.6363	1.5968
20.647	-3.654	-16.078
18.534	-10.195	-16.152
21.004	-2.6446	1.6117
20.699	-0.28964	21.841
24.082	-1.309	22.206
15.118	-16.959	-0.75232
20.694	-2.4487	22.331
15.117	-19.666	-0.96412
20.529	-3.8916	-16.062
21.438	-3.9334	-32.128
17.308	-18.148	8.196
21.221	-10.591	-32.17
20.506	-3.98	-15.981
17.16	-15.74	7.8787
21.022	-3.4957	1.6835
19.679	-10.511	29.647
19.943	-4.1495	1.678
37.788	4.8143	20.017
21.06	-10.522	-31.895
21.811	-3.5368	-32.17
21.124	-10.477	-32.163
8.9652	-13.231	10.287
9.4187	-13.953	10.291
20.07	-7.6402	29.818
21.146	-2.6534	1.6163
12.52	-18.268	-0.099824
21.246	-3.3504	-16.11
20.991	-10.53	-31.805
19.049	-14.88	21.828
21.005	-10.513	-31.986
20.169	3.405	-0.67152
31.447	7.6027	18.908
18.655	-9.2988	29.744
20.996	-10.562	-31.961
20.905	-3.727	1.7124
24.969	-0.88504	21.793
21.341	-3.7272	-31.992
14.543	-17.854	-0.47462
19.276	-15.122	21.809
9.5238	-13.202	10.057
20.111	-0.42271	22.132
21.472	-3.6816	-31.852
7.7212	-11.964	1.4747
20.679	-12.06	-16.228
21.161	-3.7909	-16.138
20.447	-13.694	1.4588
21.294	-3.5131	-16.164
19.902	-4.5255	29.641
19.545	-4.7129	29.678
13.215	-10.04	23.272
19.062	-17.351	21.491
20.272	-11.741	1.6502
21.09	-4.4484	1.5859
21.518	-3.644	-31.835
20.644	-10.801	-16.106
19.094	-9.2277	29.501
21.047	-10.559	-31.988
16.47	-19.502	-1.0101
34.453	13.326	10.535
20.459	-11.973	1.6404
22.261	0.47224	21.24
21.07	-3.6836	-16.067
21.22	-10.588	-32.172
21.214	-0.20111	21.321
18.706	2.6273	0.085376
20.224	-11.657	1.6526
21.435	-3.7243	-32.078
20.675	-2.7979	21.818
20.556	-3.8908	-16.082
19.784	-11.469	-16.044
21.232	-10.159	-32.025
24.066	0.53498	21.689
20.283	-4.0918	1.8351
21.181	-10.559	-32.177
20.424	-13.623	1.4751
20.674	-12.054	-16.223
12.896	-11.239	23.198
21.242	-3.4011	1.7407
14.379	-16.044	8.8407
17.07	-15.809	7.9301
16.435	-20.008	-1.0357
18.707	-10.154	-16.041
21.737	-3.4932	-32.158
21.496	-3.7294	-32.158
16.513	-16.196	8.0675
21.056	-10.511	-31.924
21.715	-3.5102	-32.153
4.8333	4.6067	21.004
21.42	-3.929	-32.091
24.426	0.25295	21.876
21.079	-2.6448	1.614
24.949	-1.0147	21.854
21.043	-10.534	-32.015
20.926	-5.455	1.6693
19.021	-10.229	-16.039
18.166	-10.39	1.78
19.68	4.1314	-0.029524
21.009	-10.559	-31.864
16.293	-9.6714	1.5898
18.863	-10.19	-16.048
20.867	-2.752	21.729
16.497	8.1273	19.638
2.0495	-0.85378	22.012
19.658	-10.568	29.61
20.263	-13.31	1.5043
18.856	-14.581	21.708
21.219	-10.64	-32.005
21.025	-10.498	-31.899
21.483	-3.8027	-32.075
21.391	-3.9857	-32.088
20.793	-1.6602	21.545
21.82	-3.5268	-32.167
19.67	-10.584	29.631
18.017	-10.28	1.7588
21.419	-3.6997	-31.855
24.906	-0.14819	21.886
16.651	-17.865	-0.55602
20.721	2.3584	8.1557
12.005	-14.037	9.2855
21.403	-3.6063	-16.111
21.771	-3.4752	-32.158
21.384	-3.942	-32.095
20.475	-11.695	-16.152
36.544	14.099	16.765
21.348	-3.0088	-16.151
14.963	-17.088	-0.61962
16.139	-17.851	8.2812
32.948	14.495	23.594
17.134	-19.261	7.7944
37.039	4.7012	21.619
20.58	-3.9817	-15.857
19.076	-17.409	21.509
21.48	-3.8282	-32.046
21.838	-3.4337	-32.16
9.6213	-12.058	0.76198
18.4	-10.675	-15.895
24.31	0.29387	21.817
21.642	0.015075	21.242
9.1214	-13.266	10.253
15.423	-19.148	-0.57992
18.735	1.9887	-0.17222
21.441	-3.8567	-32.073
19.671	-10.569	29.626
20.316	-4.3903	29.536
13.185	-13.435	22.734
17.109	-18.693	-0.50752
21.142	-4.8584	1.6613
21.109	-0.41649	21.366
10.129	-14.512	9.9138
18.46	-10.718	1.8281
38.098	4.2237	20.743
19.109	-8.4808	29.444
9.8318	-14.201	10.147
20.775	-3.9149	-15.856
16.339	-13.115	22.26
18.648	-10.146	-16.032
38.096	12.615	23.913
20.039	-11.048	-16.006
20.459	-3.9192	-15.997
20.583	-10.959	-16.1
7.9901	-11.916	1.3736
20.224	-15.176	21.873
16.724	-1.7243	23.233
16.088	-18.257	8.3325
20.875	-8.383	29.527
16.174	7.1074	11.188
19.199	-11.621	1.7592
17.123	-15.818	7.8965
20.977	-0.063125	21.889
14.937	-17.29	-0.61442
-1.7271	-3.275	24.901
18.424	-10.757	-15.902
21.487	-3.795	-32.086
14.079	-16.476	-0.29062
21.198	-2.9921	-16.163
16.112	-17.597	8.3675
21.851	-3.452	-32.196
13.829	-16.079	-0.21422
20.747	-3.8713	-15.927
18.304	-16.822	22.061
20.915	-2.6328	1.5729
20.237	-11.444	1.6547
22.626	0.70907	21.228
23.867	0.64546	21.626
21.073	-4.6204	-16.101
19.425	-16.578	21.903
21.068	-10.422	-31.933
16.131	-11.361	1.6711
18.421	-10.172	-16.006
19.799	-4.2349	1.7589
21.012	-10.424	-31.884
21.811	-3.5337	-32.171
20.293	-11.456	1.6421
21.119	-4.1251	1.5939
21.125	-4.6149	-16.09
16.962	-9.8104	1.6074
12.824	-14.51	9.2189
21.518	-3.7496	-31.972
22.284	3.127	8.4641
18.374	-10.471	-15.949
18.788	-10.161	-16.042
11.93	-13.659	0.35428
16.171	-17.157	-0.71412
20.438	-16.181	21.961
20.974	-5.4899	1.6605
17.348	-19.118	7.8035
15.472	-11.792	22.561
21.369	-4.0126	-32.079
19.55	-10.512	-15.907
11.413	-15.67	9.2881
20.969	-5.4198	1.6912
21.157	-10.522	-32.162
16.846	-18.143	-0.52882
20.348	-11.678	-16.102
20.936	-10.632	-31.72
16.554	-18.26	8.2881
15.851	-9.8655	1.5999
22.972	-2.5509	22.292
20.348	-11.46	-16.09
20.591	-16.07	21.946
20.543	-12.067	1.6591
18.163	-16.895	8.2459
11.984	7.0299	13.601
20.975	-10.526	-31.814
20.448	-13.682	1.4608
21.007	-10.55	-31.926
19.54	-0.44073	22.177
20.045	4.3627	-0.25492
23.676	3.0688	-1.0648
18.448	-16.98	21.646
18.554	-17.4	8.2341
20.722	-2.8407	21.759
21.839	-3.505	-32.167
15.096	-18.096	8.3257
21.099	-10.4	-32.02
29.89	8.2739	18.428
21.105	-4.303	1.5666
19.098	-11.259	-16.089
21.037	-10.561	-31.967
21.531	4.1805	-0.87392
9.1391	-13.73	10.419
18.486	-10.201	-16.146
20.714	-11.348	-16.102
25.109	-0.96145	21.792
20.261	-4.1404	1.8356
19.938	-7.4748	29.785
21.234	-10.131	-32.088
13.797	-15.917	9.115
11.899	-16.101	9.0928
20.783	-12.401	1.7935
8.9882	-15.625	1.0729
20.951	-10.583	-31.757
20.884	-4.7376	29.398
19.159	-5.2404	29.647
20.992	2.423	8.2108
16.664	-9.7294	1.5947
24.94	-0.41198	21.878
15.632	-11.978	22.479
20.88	-2.3291	21.634
7.1164	-12.226	1.666
19.375	-10.384	-15.979
15.013	-16.675	8.7123
21.057	-10.514	-31.922
20.824	-3.1194	-16.167
21.025	-15.677	21.864
16.748	-18.012	-0.55532
15.773	-19.775	-1.0154
21.021	-0.093035	21.861
20.944	-10.614	-31.727
21.012	-10.325	-31.951
20.91	-4.6825	29.474
18.65	1.9049	-0.22172
20.556	-7.9867	29.758
20.217	-13.222	1.5221
21.289	-2.9968	1.6303
19.251	3.3314	-0.42482
21.489	-3.8301	-32.048
24.163	3.0788	7.7865
21.815	-3.5355	-32.168
21.498	-3.8362	-32.099
21.109	-3.5886	-16.082
17.967	-18.047	8.2059
21.488	-3.8201	-32.104
14.984	-11.227	22.619
23.589	-1.7047	22.218
19.417	-11.896	1.7113
18.806	-11.155	-16.012
21.256	-10.624	-32.117
19.92	-10.911	-15.966
19.254	-10.331	-15.982
21.365	3.4674	8.367
22.168	2.9672	8.4593
18.699	2.4596	0.036776
20.444	-13.662	1.4645
20.059	-4.3785	1.9141
21.077	2.6345	8.1828
18.024	-16.424	21.685
21.863	-3.445	-32.159
19.572	-7.3116	29.779
21.343	-3.2641	1.6566
18.325	6.9484	10.367
21.46	-3.7545	-32.195
21.375	-3.7649	-32.061
20.783	-8.5137	29.531
21.06	-4.6207	-16.092
19.443	-15.252	21.799
19.794	-4.1795	1.7535
15.203	10.424	18.238
21.491	-3.832	-32.183
23.728	0.75063	21.571
17.098	-1.8894	22.952
17.611	-10.063	1.7098
20.025	-12.841	1.6099
13.01	-15.026	0.020576
18.273	-17.019	8.2419
20.782	-12.347	1.7512
20.997	-10.401	-31.858
18.388	-17.144	8.2647
20.888	-4.7245	29.438
20.442	-13.692	1.4522
20.834	-1.8203	21.575
20.68	-12.074	-16.233
20.713	-3.3868	-16.095
32.39	4.9022	11.43
3.2758	-0.085555	20.51
21.183	-10.544	-32.162
7.571	-14.184	1.5849
21.205	-10.731	-31.942
20.617	-10.8	-16.108
2.0877	-1.2088	22.613
16.715	-18.971	-0.50422
21.516	-3.7477	-31.933
18.599	-10.143	-16.024
32.41	7.2848	19.361
16.575	-16.269	8.1608
21.123	-10.443	-32.105
20.837	-11.567	-15.957
19.424	-10.461	29.565
21.113	-4.1805	-16.094
21.074	-3.269	1.6432
21.401	-3.1136	-16.159
32.303	11.592	6.3919
20.549	-3.9643	-15.925
21.439	-3.94	-32.131
20.327	-6.105	29.499
8.2573	-11.919	1.2564
21.195	-10.719	-31.968
3.698	3.7671	22.429
18.821	1.7508	-0.32002
5.5218	0.95153	21.446
21.879	2.1534	8.4649
21.018	-10.512	-31.886
21.483	-3.7231	-31.916
18.443	-12.5	1.6618
34.995	6.2019	20.858
17.715	-18.09	8.2361
20.884	1.0988	8.4194
21.814	-3.5267	-32.171
10.579	-17.114	0.46078
21.186	-10.247	-32.096
21.144	-2.9879	-16.159
21.22	-3.5123	-16.096
8.5076	-13.348	10.553
20.312	-11.812	1.645
19.787	-7.3579	29.791
18.545	1.9922	-0.16132
16.167	-19.435	-0.90142
16.582	-16.419	8.1745
21.746	-3.4889	-32.162
21.16	-3.5505	-16.149
21.035	-0.5766	21.382
21.268	-3.2796	1.6596
20.778	-3.2268	-16.142
21.145	-3.6081	-16.177
20.388	5.9942	9.3971
21.18	-3.6973	-16.115
20.668	-3.578	-16.093
21.109	-10.427	-32.086
21.499	-3.8019	-31.988
20.952	-7.8984	29.617
15.55	-19.571	-1.0356
21.722	-3.6094	-32.156
21.424	-3.1962	-16.158
21.226	-3.5523	-16.111
12.25	9.6465	18.738
21.497	-3.6641	-31.84
16.399	-18.032	8.1104
20.451	-3.9008	-16.003
19.61	-10.586	29.596
20.829	-4.6551	29.401
20.301	-11.407	-16.094
21.039	-10.464	-31.979
21.236	-10.144	-32.056
20.603	-10.77	-16.107
16.948	-18.268	-0.55252
19.625	-4.6119	29.663
20.985	-7.725	29.673
21.76	-3.5786	-32.153
31.291	4.5808	10.494
17.323	-11.988	1.5769
15.077	-19.146	-0.54992
19.637	-11.485	-16.039
21.506	-3.7511	-31.943
21.002	-4.6476	29.349
20.002	3.3865	-0.69442
17.029	-11.882	1.5969
38.19	11.89	25.149
21.122	-4.6242	-16.079
20.751	-3.9297	-15.843
16.502	-1.6474	23.112
20.812	-11.42	-16.031
20.685	-3.4976	-16.084
12.964	-16.865	8.7623
8.4733	-13.44	10.592
16.603	-20.003	-1.0204
6.8764	-12.733	1.7796
21.437	-3.8365	-32.144
21.16	-4.5891	-16.083
20.31	-13.382	1.4853
19.516	-10.436	29.587
20.799	-4.7079	29.409
20.907	-8.2763	29.553
20.884	-3.0564	-16.169
20.966	-0.87558	21.437
13.549	-17.287	8.6293
20.714	-11.306	-16.115
21.955	2.4521	8.4797
19.113	-9.7033	29.762
16.754	-16.408	8.1402
20.253	-11.684	1.6867
22.476	3.4925	8.2773
21.371	-4.016	-32.07
19.16	-5.6502	29.644
18.337	-16.863	21.654
19.283	-10.047	29.481
-1.6713	-3.2963	24.755
21.197	-0.11539	21.924
21.241	-3.2857	1.6738
15.903	-16.921	-0.80612
16.656	-16.047	8.0211
19.031	-0.47906	22.315
20.183	-2.7693	1.5865
18.362	-10.309	-15.976
21.462	-3.9016	-32.114
19.492	-10.439	-15.94
21.171	-4.4904	-16.065
20.856	-11.437	-16.011
22.09	2.7911	8.4718
20.769	-12.213	1.7412
14.328	-16.877	-0.44342
21.257	-3.0054	-16.191
17.366	-19.353	7.8009
12.933	-11.713	23.134
19.803	-12.424	1.6394
20.605	-11.018	-16.105
22.94	0.82658	21.264
16.976	-14.198	21.959
13.416	-9.8736	23.142
20.587	-10.826	-16.101
38.225	3.7542	21.372
18.848	1.7683	-0.31302
14.677	-16.364	8.7866
21.19	-10.187	-32.085
20.898	-2.6717	21.728
22.419	0.61098	21.216
16.711	-19.699	-0.99242
21.002	-10.508	-31.871
21.709	-3.5099	-32.134
12.488	-14.698	0.31108
17.863	-16.152	21.741
21.117	-10.774	-32.003
21.406	-3.0779	-16.159
21.305	-3.2665	1.6578
38.009	4.3952	20.428
16.631	-1.6294	23.296
21.159	-3.2707	1.6866
21.066	-4.5732	1.6389
19.626	-10.595	-15.903
20.594	-10.858	-16.038
21.234	-10.635	-32.024
8.5072	-13.521	10.608
