level_0	level_1	frames = 115 markers = 13 Hz = 30
38.062	-0.17959	29.11
38.57	7.037	21.32
38.61	-7.8897	22.115
39.345	9.3002	7.3736
36.528	-9.5828	8.2325
39.833	10.764	-1.835
35.162	-10.661	-0.93082
38.882	2.3464	0.81878
38.975	-4.8447	0.82308
38.582	1.265	-17.34
38.824	-5.0654	-17.367
40.633	0.19678	-32.142
42.27	-4.1564	-31.926
38.123	-0.12504	29.115
38.572	7.0883	21.329
38.685	-7.8394	22.118
39.235	9.4345	7.3906
36.667	-9.6139	8.237
39.648	10.952	-1.8129
35.343	-10.746	-0.92602
38.81	2.4002	0.82218
38.916	-4.7906	0.82678
38.844	1.2691	-17.336
39.525	-4.7945	-17.357
40.656	0.19217	-32.169
42.223	-4.1098	-32.085
38.187	-0.052405	29.109
38.587	7.1542	21.352
38.754	-7.7806	22.128
39.153	9.5415	7.4163
36.816	-9.665	8.2495
39.503	11.087	-1.7851
35.545	-10.869	-0.91162
38.738	2.4139	0.81818
38.87	-4.7766	0.80568
38.878	1.2683	-17.338
39.703	-4.9699	-17.368
40.662	0.19271	-32.175
42.193	-4.5445	-32.142
38.252	-0.082345	29.121
38.654	7.1208	21.359
38.815	-7.8109	22.117
39.091	9.5783	7.4306
36.989	-9.7643	8.233
39.356	11.17	-1.7658
35.794	-11.014	-0.93222
38.668	2.4975	0.82608
38.839	-4.692	0.80668
38.949	1.2933	-17.325
39.751	-4.7508	-17.365
40.657	0.18724	-32.168
41.786	-4.3636	-32.211
38.372	-0.052555	29.062
38.774	7.14	21.283
38.905	-7.7862	22.026
39.064	9.6215	7.3555
37.155	-9.8459	8.1472
39.231	11.228	-1.8405
36.01	-11.166	-1.0145
38.531	2.5057	0.82638
38.574	-4.685	0.72928
39.03	1.3065	-17.321
39.598	-4.4393	-17.435
40.658	0.19605	-32.173
41.221	-3.9779	-32.331
38.466	-0.11741	29.079
38.822	7.0957	21.261
39.087	-7.8028	21.982
38.995	9.6025	7.3365
37.366	-9.9634	8.1152
39.088	11.226	-1.8577
36.24	-11.35	-1.039
38.409	2.4622	0.83698
38.657	-4.7242	0.73528
39.115	1.2582	-17.303
39.843	-4.3182	-17.417
40.647	0.19042	-32.168
41.204	-3.832	-32.339
38.575	-0.21915	29.101
38.913	6.9951	21.241
39.174	-7.892	21.98
38.886	9.5528	7.3244
37.544	-10.109	8.1108
38.847	11.21	-1.8644
36.479	-11.533	-1.0448
38.278	2.4288	0.85448
38.629	-4.7536	0.77018
39.166	1.2335	-17.278
39.892	-4.3271	-17.376
40.632	0.19349	-32.152
41.194	-3.8616	-32.304
38.66	-0.35083	29.134
38.958	6.8957	21.275
39.276	-7.9888	22.002
38.802	9.4307	7.3546
37.71	-10.256	8.134
38.678	11.071	-1.8366
36.688	-11.713	-1.0211
38.208	2.4261	0.86588
38.674	-4.7503	0.82138
39.186	1.2315	-17.262
39.957	-4.4172	-17.325
40.63	0.20323	-32.139
41.278	-4.0242	-32.253
38.74	-0.43529	29.13
38.986	6.8574	21.279
39.398	-8.0254	21.974
38.706	9.3186	7.3477
37.869	-10.367	8.1136
38.502	10.911	-1.8505
36.872	-11.873	-1.0363
38.159	2.3668	0.85148
38.644	-4.8085	0.83558
39.144	1.2075	-17.278
39.94	-4.4278	-17.31
40.631	0.20248	-32.153
41.267	-3.9986	-32.236
38.783	-0.53491	29.102
38.935	6.812	21.264
39.487	-8.0635	21.926
38.567	9.1939	7.3214
38.01	-10.466	8.0704
38.304	10.732	-1.8846
37.048	-12.013	-1.0764
38.13	2.2898	0.82448
38.625	-4.8848	0.80998
39.052	1.1739	-17.311
39.941	-4.4572	-17.333
40.638	0.19053	-32.177
41.284	-3.9907	-32.256
38.807	-0.60133	29.091
38.853	6.7656	21.247
39.592	-8.0921	21.879
38.414	9.0414	7.2887
38.171	-10.551	8.0276
38.106	10.511	-1.9273
37.247	-12.135	-1.1169
38.124	2.2141	0.81648
38.624	-4.9603	0.79078
38.955	1.1982	-17.33
39.947	-4.499	-17.35
40.666	0.27758	-32.186
41.298	-4.0052	-32.273
38.842	-0.64984	29.092
38.783	6.7282	21.236
39.67	-8.1127	21.856
38.29	8.874	7.2584
38.331	-10.639	8.0085
37.947	10.257	-1.9696
37.462	-12.267	-1.1336
38.141	2.1488	0.81648
38.644	-5.0254	0.79428
38.858	1.1746	-17.337
39.963	-4.5367	-17.347
40.667	0.26847	-32.182
41.307	-4.0221	-32.269
38.889	-0.69706	29.1
38.695	6.671	21.274
39.697	-8.1762	21.885
38.2	8.6503	7.2719
38.459	-10.714	8.0305
37.856	9.9232	-1.9718
37.656	-12.35	-1.1163
38.151	2.0954	0.82058
38.669	-5.0778	0.80458
38.773	1.1434	-17.337
39.97	-4.5612	-17.337
40.657	0.24063	-32.174
41.306	-4.0223	-32.259
38.895	-0.77188	29.098
38.62	6.5908	21.263
39.694	-8.2455	21.883
38.13	8.4373	7.243
38.516	-10.734	8.0148
37.79	9.6223	-2.0124
37.752	-12.338	-1.1411
38.171	2.0408	0.82388
38.708	-5.131	0.80488
38.717	1.1281	-17.338
39.989	-4.5795	-17.337
40.651	0.24711	-32.169
41.304	-4.0135	-32.26
38.94	-0.82967	29.09
38.546	6.5443	21.253
39.67	-8.2908	21.912
38.083	8.2289	7.2118
38.52	-10.696	8.0262
37.76	9.3068	-2.0573
37.774	-12.245	-1.1406
38.195	1.9689	0.82218
38.746	-5.2019	0.80658
38.681	1.1082	-17.344
40.006	-4.6212	-17.336
40.656	0.2615	-32.172
41.304	-4.0314	-32.259
38.964	-0.85621	29.075
38.495	6.5032	21.249
39.661	-8.3299	21.908
38.054	8.0248	7.1879
38.494	-10.643	8.0082
37.747	8.9948	-2.0937
37.736	-12.129	-1.1681
38.206	1.9085	0.81298
38.791	-5.2596	0.79588
38.649	1.0847	-17.356
40.03	-4.6507	-17.347
40.659	0.2668	-32.181
41.311	-4.0374	-32.271
38.979	-0.9002	29.069
38.472	6.4656	21.241
39.66	-8.3634	21.895
38.031	7.8463	7.1653
38.449	-10.567	7.9812
37.724	8.723	-2.1256
37.663	-11.982	-1.2039
38.22	1.8475	0.80618
38.819	-5.3196	0.79908
38.629	1.045	-17.365
40.038	-4.6809	-17.344
40.657	0.24108	-32.188
41.307	-4.0424	-32.268
38.99	-0.94945	29.066
38.468	6.4166	21.223
39.668	-8.4084	21.883
38.028	7.674	7.1359
38.401	-10.494	7.9564
37.723	8.4691	-2.1623
37.578	-11.831	-1.2371
38.223	1.7934	0.80098
38.837	-5.3724	0.80068
38.621	1.0154	-17.371
40.047	-4.7072	-17.342
40.661	0.23159	-32.194
41.307	-4.0469	-32.266
38.988	-0.99788	29.058
38.474	6.3689	21.208
39.697	-8.4528	21.879
38.03	7.5376	7.1131
38.35	-10.426	7.9433
37.723	8.2739	-2.1899
37.474	-11.689	-1.2558
38.224	1.7382	0.79058
38.848	-5.4267	0.80028
38.617	0.94122	-17.381
40.056	-4.736	-17.342
40.65	0.14344	-32.203
41.316	-4.0546	-32.265
38.979	-1.0314	29.062
38.469	6.343	21.214
39.707	-8.4793	21.879
38.042	7.506	7.1184
38.295	-10.388	7.9406
37.746	8.2385	-2.1854
37.377	-11.609	-1.26
38.238	1.6995	0.80068
38.861	-5.4655	0.79918
38.64	0.9693	-17.373
40.067	-4.7537	-17.342
40.665	0.22717	-32.2
41.321	-4.0566	-32.265
38.973	-1.0642	29.057
38.474	6.321	21.226
39.716	-8.5073	21.881
38.06	7.5317	7.1339
38.259	-10.385	7.9426
37.772	8.2957	-2.1677
37.311	-11.586	-1.2575
38.242	1.6646	0.80018
38.872	-5.4997	0.79068
38.645	0.90783	-17.373
40.073	-4.7704	-17.35
40.652	0.14811	-32.201
41.324	-4.0583	-32.272
38.964	-1.1116	29.06
38.476	6.272	21.231
39.719	-8.5561	21.875
38.054	7.5658	7.1467
38.205	-10.419	7.9407
37.761	8.3847	-2.1501
37.219	-11.609	-1.2568
38.247	1.6411	0.80038
38.866	-5.5243	0.79228
38.666	0.9444	-17.375
40.072	-4.7844	-17.348
40.67	0.23446	-32.206
41.327	-4.0641	-32.269
38.932	-1.167	29.057
38.483	6.2271	21.222
39.719	-8.599	21.864
38.038	7.6037	7.1466
38.137	-10.442	7.9348
37.731	8.4771	-2.1447
37.108	-11.62	-1.2595
38.241	1.6257	0.79318
38.845	-5.5408	0.78328
38.658	0.89066	-17.38
40.059	-4.7882	-17.356
40.657	0.14883	-32.21
41.322	-4.0569	-32.276
38.925	-1.1899	29.055
38.486	6.2034	21.232
39.723	-8.625	21.845
38.04	7.6725	7.1656
38.072	-10.47	7.9245
37.732	8.607	-2.1197
36.996	-11.649	-1.2645
38.233	1.62	0.79478
38.815	-5.5484	0.77988
38.646	0.88427	-17.379
40.045	-4.7877	-17.358
40.65	0.13853	-32.208
41.318	-4.0512	-32.277
38.905	-1.2208	29.055
38.491	6.1825	21.233
39.728	-8.6452	21.84
38.062	7.7374	7.1751
38.012	-10.496	7.9283
37.763	8.7272	-2.1048
36.893	-11.679	-1.255
38.22	1.626	0.80288
38.769	-5.545	0.77178
38.633	0.93517	-17.373
40.022	-4.7841	-17.364
40.659	0.21894	-32.2
41.316	-4.0475	-32.282
38.881	-1.2475	29.052
38.501	6.1611	21.24
39.714	-8.6738	21.838
38.106	7.8004	7.1912
37.961	-10.522	7.9298
37.832	8.8474	-2.0831
36.818	-11.703	-1.2508
38.211	1.6105	0.79898
38.735	-5.5622	0.76298
38.614	0.94164	-17.377
40.009	-4.7944	-17.371
40.664	0.23719	-32.203
41.322	-4.0515	-32.287
38.86	-1.2704	29.05
38.518	6.1476	21.231
39.705	-8.6861	21.822
38.126	7.8461	7.1887
37.92	-10.539	7.9188
37.853	8.9321	-2.0812
36.757	-11.723	-1.2588
38.179	1.5941	0.80068
38.686	-5.5798	0.76138
38.577	0.93359	-17.376
39.983	-4.802	-17.371
40.664	0.23157	-32.196
41.313	-4.0513	-32.284
38.834	-1.2849	29.045
38.524	6.131	21.22
39.684	-8.7047	21.815
38.166	7.8941	7.1845
37.884	-10.565	7.9145
37.916	9.0228	-2.081
36.711	-11.754	-1.2612
38.146	1.5678	0.79358
38.642	-5.6069	0.75578
38.539	0.92061	-17.384
39.961	-4.8089	-17.374
40.661	0.22702	-32.199
41.306	-4.0418	-32.285
38.805	-1.3129	29.037
38.537	6.1078	21.204
39.658	-8.7302	21.814
38.195	7.9246	7.1752
37.844	-10.572	7.9133
37.956	9.0888	-2.0862
36.662	-11.75	-1.2627
38.106	1.5408	0.79158
38.587	-5.6349	0.75238
38.503	0.92268	-17.387
39.934	-4.8211	-17.375
40.664	0.25029	-32.198
41.304	-4.0401	-32.283
38.769	-1.3408	29.023
38.545	6.0881	21.18
39.619	-8.7529	21.811
38.224	7.9395	7.1557
37.799	-10.582	7.9088
37.998	9.1267	-2.1032
36.613	-11.75	-1.2679
38.075	1.5043	0.78088
38.532	-5.673	0.74328
38.472	0.90219	-17.398
39.905	-4.8439	-17.381
40.658	0.23956	-32.206
41.301	-4.0494	-32.286
38.729	-1.357	29.016
38.539	6.0677	21.167
39.573	-8.7768	21.82
38.248	7.9425	7.1452
37.755	-10.591	7.9163
38.041	9.1454	-2.1122
36.57	-11.75	-1.2617
38.034	1.4657	0.77218
38.46	-5.7135	0.73928
38.446	0.87976	-17.407
39.868	-4.8583	-17.381
40.658	0.22676	-32.211
41.293	-4.0426	-32.282
38.681	-1.3726	29.018
38.526	6.0354	21.155
39.521	-8.8094	21.824
38.254	7.9179	7.134
37.705	-10.614	7.9184
38.06	9.1259	-2.1229
36.521	-11.768	-1.2605
37.997	1.4382	0.77388
38.398	-5.7425	0.73938
38.43	0.86703	-17.405
39.842	-4.8751	-17.378
40.657	0.22534	-32.208
41.294	-4.0502	-32.276
38.632	-1.4075	29.01
38.517	5.9996	21.147
39.466	-8.8465	21.818
38.254	7.8848	7.1261
37.644	-10.655	7.9138
38.066	9.0946	-2.1308
36.455	-11.808	-1.2643
37.959	1.3985	0.77348
38.335	-5.7835	0.73258
38.417	0.84558	-17.406
39.814	-4.8923	-17.381
40.652	0.21854	-32.208
41.292	-4.0491	-32.275
38.591	-1.4336	29.013
38.481	5.9705	21.136
39.386	-8.8792	21.83
38.23	7.8449	7.1131
37.562	-10.678	7.9249
38.049	9.0476	-2.1448
36.373	-11.828	-1.2538
37.929	1.364	0.77658
38.286	-5.8189	0.72948
38.414	0.83728	-17.403
39.789	-4.906	-17.381
40.657	0.23307	-32.204
41.287	-4.0446	-32.272
38.523	-1.4524	29.009
38.438	5.9359	21.117
39.3	-8.916	21.841
38.197	7.7917	7.0911
37.474	-10.715	7.936
38.024	8.9822	-2.1685
36.284	-11.865	-1.2426
37.895	1.3251	0.77128
38.24	-5.8584	0.72578
38.403	0.81763	-17.408
39.767	-4.9259	-17.381
40.653	0.23189	-32.209
41.289	-4.0471	-32.269
38.435	-1.4998	29.003
38.388	5.892	21.109
39.218	-8.9619	21.852
38.154	7.711	7.0782
37.383	-10.765	7.9492
37.985	8.8773	-2.1845
36.187	-11.918	-1.2283
37.857	1.2828	0.76908
38.199	-5.9007	0.71718
38.392	0.79829	-17.41
39.751	-4.9428	-17.386
40.654	0.23634	-32.21
41.289	-4.044	-32.271
38.351	-1.5474	29.003
38.326	5.8299	21.097
39.113	-9.0261	21.865
38.1	7.6305	7.0638
37.286	-10.819	7.9598
37.936	8.7847	-2.2006
36.094	-11.963	-1.2193
37.815	1.2392	0.76708
38.153	-5.9445	0.71368
38.377	0.77691	-17.412
39.731	-4.9674	-17.387
40.654	0.23842	-32.211
41.293	-4.0514	-32.268
38.241	-1.5946	29.004
38.264	5.7684	21.09
39.014	-9.086	21.852
38.035	7.5506	7.0543
37.185	-10.877	7.9466
37.869	8.6927	-2.2116
35.993	-12.021	-1.2324
37.782	1.1887	0.76858
38.08	-5.9967	0.70868
38.367	0.75927	-17.41
39.698	-4.9933	-17.387
40.655	0.24395	-32.208
41.29	-4.0576	-32.264
38.135	-1.6423	28.998
38.186	5.7065	21.084
38.906	-9.1498	21.841
37.967	7.4632	7.0456
37.086	-10.941	7.9343
37.807	8.5885	-2.2223
35.901	-12.085	-1.2455
37.745	1.1323	0.76598
38.002	-6.0545	0.69508
38.353	0.73407	-17.413
39.658	-5.0205	-17.395
40.654	0.24073	-32.21
41.289	-4.0584	-32.266
38.025	-1.691	28.988
38.104	5.647	21.067
38.776	-9.2132	21.842
37.891	7.3774	7.0246
36.974	-11.005	7.9326
37.735	8.4856	-2.2454
35.801	-12.15	-1.2488
37.693	1.0668	0.76018
37.936	-6.1204	0.68288
38.335	0.70462	-17.418
39.632	-5.0545	-17.402
40.656	0.24471	-32.213
41.292	-4.0673	-32.268
37.915	-1.8304	29.03
38.038	5.4982	21.108
38.656	-9.3639	21.885
37.825	7.2557	7.0691
36.874	-11.099	7.9659
37.668	8.3817	-2.1987
35.714	-12.206	-1.2216
37.666	1.0141	0.75698
37.899	-6.1739	0.77518
38.332	0.67084	-17.421
39.611	-5.0814	-17.306
40.655	0.23251	-32.216
41.281	-4.073	-32.17
37.778	-1.8863	29.008
37.95	5.4357	21.083
38.504	-9.4287	21.87
37.759	7.1772	7.0422
36.75	-11.169	7.9481
37.615	8.2918	-2.2272
35.608	-12.28	-1.2413
37.59	0.9294	0.74368
37.787	-6.2597	0.75078
38.318	0.63381	-17.433
39.557	-5.1217	-17.322
40.658	0.23672	-32.227
41.279	-4.0759	-32.178
37.643	-1.9599	28.984
37.865	5.3617	21.049
38.342	-9.5036	21.846
37.686	7.0874	7.0062
36.617	-11.247	7.9209
37.551	8.193	-2.2644
35.494	-12.359	-1.2707
37.526	0.86015	0.74188
37.691	-6.3296	0.71368
38.316	0.60362	-17.432
39.523	-5.1666	-17.352
40.657	0.24383	-32.227
41.293	-4.1014	-32.2
37.474	-2.0351	28.966
37.775	5.2751	21.031
38.178	-9.5952	21.843
37.629	7.011	6.9884
36.475	-11.332	7.9141
37.514	8.1235	-2.2817
35.367	-12.44	-1.2798
37.443	0.78179	0.74068
37.577	-6.4085	0.68848
38.301	0.56263	-17.431
39.471	-5.2047	-17.368
40.65	0.23955	-32.225
41.298	-4.1055	-32.207
37.324	-2.0661	28.955
37.678	5.2197	21.004
37.999	-9.6501	21.835
37.578	6.9418	6.9594
36.322	-11.399	7.9053
37.493	8.0459	-2.312
35.233	-12.516	-1.2897
37.351	0.66726	0.75358
37.379	-6.5239	0.67218
38.258	0.52038	-17.416
39.391	-5.261	-17.367
40.639	0.2413	-32.207
41.311	-4.118	-32.191
37.258	-1.9676	28.941
37.471	5.2789	21.002
37.784	-9.6186	21.891
37.487	6.9265	6.948
36.143	-11.425	7.9641
37.478	7.9817	-2.3294
35.078	-12.581	-1.229
37.253	0.601	0.75788
37.256	-6.5899	0.65238
38.168	0.49797	-17.412
39.338	-5.2983	-17.377
40.637	0.24712	-32.188
41.316	-4.1325	-32.191
36.876	-2.233	28.925
37.435	5.0138	21.006
37.566	-9.8602	21.851
37.472	6.7864	6.9681
35.947	-11.577	7.9097
37.475	7.9245	-2.2995
34.896	-12.673	-1.2923
37.162	0.53598	0.75168
37.142	-6.6545	0.62698
38.017	0.49845	-17.421
39.284	-5.3255	-17.393
40.644	0.2794	-32.171
41.316	-4.1285	-32.197
36.822	-2.5543	28.967
37.224	4.7186	21.024
37.182	-10.168	21.828
37.424	6.6446	7.0071
35.67	-11.762	7.861
37.533	7.8832	-2.247
34.689	-12.777	-1.3581
