		frames = 313 markers = 13 Hz = 30
-36.721	2.2786	-16.928
-25.49	14.812	19.431
-17.244	-16.065	5.1492
-36.061	-9.7472	8.6872
-37.477	-5.718	-16.943
-36.408	1.8062	1.2072
-36.06	8.3702	7.4983
-36.044	-9.7476	8.7184
-36.703	-4.7557	1.232
-38.014	2.3109	-31.821
-36.349	-0.33984	29.435
-37.438	6.6309	21.656
-36.508	8.3316	7.4634
-36.114	-4.3474	-10.298
-35.876	-9.9564	8.7154
-35.725	9.4606	-1.7845
-33.547	-5.2626	-28.053
-16.766	-12.628	20.108
-38.017	2.3685	-31.8
-38.326	-6.337	-31.958
-35.759	2.2708	-31.662
-36.745	-4.7557	1.2338
-36.215	-10.116	8.7295
-37.532	-7.9539	22.571
-34.582	-3.1245	-16.715
-15.551	8.9745	21.645
-36.085	-10.019	8.6928
-10.558	9.0315	14.49
-35.964	-9.9523	8.6902
-36.672	-4.9595	1.2357
-35.913	9.2855	-1.8068
-33.001	-3.6367	1.4506
-37.546	-7.9534	22.573
-33.351	-12.04	-0.64541
-35.991	-3.9751	-30.888
-36.433	8.2794	7.4676
-38.324	-6.2148	-31.875
-37.524	-5.7198	-16.936
-38.009	2.3639	-31.796
-36.298	-0.39935	29.448
-35.807	-9.8121	8.573
-36.742	2.0794	1.2715
-37.155	7.0017	21.478
-37.477	-5.688	-16.943
-35.692	2.2253	-31.508
-10.393	-10.094	11.929
-38.322	-6.2124	-31.866
-38.314	-6.2025	-31.878
-36.998	6.9221	21.544
-29.981	-8.3746	14.74
-33.262	4.2929	1.1711
-34.916	-11.023	-0.44951
-37.415	-7.8797	22.564
-37.789	-7.7816	22.546
-19.219	-9.2041	-26.389
-36.346	2.421	-16.949
-38.317	-6.2105	-31.867
-13.899	-11.23	19.707
-36.29	-1.8222	29.487
-37.687	-7.7755	22.625
-35.692	0.54	29.475
-36.855	-4.7577	1.2458
-35.99	-0.33972	29.433
-38.329	-6.3316	-31.967
-16.122	-11.887	19.204
-24.132	-14.653	20.162
-34.118	2.652	-16.694
-36.77	8.2812	7.5335
-37.257	14.421	0.012195
-38.021	2.3418	-31.815
-36.83	6.8668	21.534
-34.793	-11.069	-0.41271
-36.772	2.3119	1.2157
-35.681	-3.1243	-31.528
-35.847	-6.9262	23.512
-34.378	11.702	7.7674
-33.202	13.213	-1.3833
-36.772	-4.9364	1.2371
-38.021	2.3427	-31.82
-36.518	8.4186	7.5272
-36.307	8.4389	7.4401
-35.902	2.6272	-31.279
-33.373	-0.2962	29.36
-34.884	-11.225	-0.48881
-37.411	-7.9316	22.481
-41.608	11.768	0.47179
-35.65	1.9228	-31.706
-35.897	9.2606	-1.7719
-37.601	-5.7924	-16.922
-38.329	-6.2187	-31.858
-12.945	-10.105	22.282
-35.115	-11.433	-0.44451
-28.424	-6.9191	-18.741
-27.757	-0.4524	15.053
-36.061	2.4397	-16.983
-36.872	2.1891	1.2511
-35.939	9.2984	-1.8343
-37.44	-5.7029	-16.93
-34.916	-11.017	-0.45911
-34.241	-7.8088	23.972
-21.329	14.63	19.088
-35.723	-9.835	8.615
-36.596	-4.8424	1.2326
-37.288	6.796	21.483
-35.751	2.1715	-31.813
-35.698	2.1133	-31.585
-33.76	2.9	-28.933
-35.665	1.9747	-31.602
-35.372	9.2298	-1.788
-35.961	2.5126	-16.994
-38.338	-6.2236	-31.868
-37.299	6.9299	21.459
-37.39	-7.8621	22.557
-35.082	9.1483	-1.6058
-35.08	-0.075963	29.762
-36.331	2.4357	-16.947
-30.369	-8.4183	16.926
-36.533	-7.743	23.479
-35.977	2.3454	-16.987
-35.702	1.8555	-31.805
-37.294	-6.6021	-17.092
-26.602	10.517	2.5292
-22.367	14.983	20.031
-37.486	-5.6067	-16.937
-36.578	-0.32949	29.442
-36.519	8.4696	7.4344
-28.438	-17.011	13.593
-34.151	-3.8229	1.4289
-37.718	-7.7908	22.543
-35.7	2.1256	-31.539
-9.6775	-10.622	5.3707
