level_0	level_1	frames = 151 markers = 13 Hz = 30
-32.53863219561898	1.3158	31.035
-30.738632195618983	8.1746	24.761
-32.213632195618985	-5.013	23.537
-30.378632195618984	11.586	11.941
-32.633632195618986	-8.3719	10.645
-33.24863219561898	13.433	2.364
-32.079632195618984	-10.896	0.81889
-30.682632195618986	4.9877	1.4271
-30.402632195618985	-3.5458	1.4321
-30.293632195618983	5.9043	-14.616
-29.52963219561898	-3.7384	-14.619
-29.924632195618983	6.7302	-29.221
-28.74863219561898	-3.8888	-29.236
-32.53463219561898	1.3046	31.033
-30.744632195618983	8.1582	24.759
-32.21463219561898	-5.0294	23.531
-30.368632195618986	11.568	11.941
-32.62663219561898	-8.3883	10.639
-33.24763219561898	13.431	2.3693
-32.066632195618986	-10.912	0.81349
-30.68463219561898	4.9726	1.4216
-30.397632195618982	-3.5606	1.432
-30.444632195618986	5.8989	-14.624
-29.676632195618986	-3.7742	-14.626
-29.92563219561898	6.7301	-29.224
-28.749632195618986	-3.8902	-29.235
-32.530632195618985	1.2932	31.03
-30.750632195618984	8.1415	24.757
-32.21563219561898	-5.046	23.524
-30.360632195618983	11.56	11.943
-32.618632195618986	-8.405	10.633
-33.246632195618986	13.426	2.3742
-32.051632195618986	-10.929	0.80799
-30.68763219561898	4.9573	1.4161
-30.39263219561898	-3.5757	1.4318
-30.44763219561898	5.8916	-14.629
-29.670632195618985	-3.7815	-14.626
-29.92563219561898	6.7302	-29.228
-28.747632195618984	-3.8914	-29.235
-32.52663219561898	1.2798	31.026
-30.75763219561898	8.122	24.754
-32.21763219561898	-5.0654	23.517
-30.350632195618985	11.549	11.945
-32.609632195618985	-8.4246	10.627
-33.24463219561898	13.422	2.38
-32.03563219561898	-10.949	0.80159
-30.69063219561898	4.9394	1.4096
-30.38663219561898	-3.5932	1.4317
-30.44763219561898	5.883	-14.635
-29.667632195618985	-3.7906	-14.626
-29.92563219561898	6.7302	-29.234
-28.746632195618986	-3.8927	-29.236
-32.521632195618984	1.2651	31.023
-30.765632195618984	8.1006	24.751
-32.219632195618985	-5.0867	23.509
-30.339632195618982	11.536	11.947
-32.600632195618985	-8.446	10.619
-33.243632195618986	13.417	2.3863
-32.01763219561898	-10.97	0.79449
-30.69363219561898	4.9198	1.4024
-30.37963219561898	-3.6125	1.4315
-30.448632195618984	5.8737	-14.641
-29.664632195618985	-3.8008	-14.627
-29.92563219561898	6.7303	-29.24
-28.74563219561898	-3.8944	-29.236
-32.515632195618984	1.2498	31.019
-30.77363219561898	8.0782	24.749
-32.22063219561898	-5.109	23.5
-30.327632195618982	11.522	11.949
-32.59063219561898	-8.4684	10.611
-33.24163219561898	13.411	2.393
-31.997632195618984	-10.993	0.78729
-30.69663219561898	4.8993	1.395
-30.372632195618984	-3.6326	1.4313
-30.45063219561898	5.8639	-14.648
-29.658632195618985	-3.8108	-14.627
-29.92563219561898	6.7304	-29.246
-28.744632195618983	-3.896	-29.237
-32.51163219561898	1.2368	31.015
-30.77963219561898	8.0594	24.746
-32.222632195618985	-5.1276	23.493
-30.31863219561898	11.509	11.95
-32.58163219561898	-8.4872	10.604
-33.240632195618986	13.407	2.3986
-31.981632195618985	-11.012	0.78119
-30.69963219561898	4.8821	1.3888
-30.366632195618983	-3.6494	1.4312
-30.45363219561898	5.8558	-14.654
-29.656632195618982	-3.8198	-14.628
-29.926632195618986	6.7305	-29.251
-28.743632195618986	-3.8974	-29.238
-32.506632195618984	1.2242	31.012
-30.786632195618985	8.0411	24.744
-32.22363219561898	-5.1458	23.486
-30.308632195618983	11.497	11.951
-32.573632195618984	-8.5055	10.598
-33.23963219561898	13.403	2.4041
-31.96563219561898	-11.03	0.77519
-30.702632195618982	4.8653	1.3827
-30.36163219561898	-3.6659	1.431
-30.455632195618982	5.8478	-14.659
-29.653632195618982	-3.8283	-14.628
-29.926632195618986	6.7305	-29.256
-28.74263219561898	-3.8987	-29.238
-32.502632195618986	1.2122	31.009
-30.792632195618985	8.0238	24.742
-32.225632195618985	-5.163	23.479
-30.299632195618983	11.486	11.953
-32.56563219561898	-8.5228	10.592
-33.23863219561898	13.399	2.4093
-31.95063219561898	-11.048	0.76959
-30.704632195618984	4.8494	1.3769
-30.35563219561898	-3.6815	1.4308
-30.455632195618982	5.8403	-14.665
-29.65163219561898	-3.8366	-14.628
-29.926632195618986	6.7306	-29.261
-28.741632195618983	-3.9001	-29.239
-32.49863219561898	1.2012	31.006
-30.798632195618985	8.008	24.74
-32.22663219561898	-5.1788	23.473
-30.29163219561898	11.475	11.954
-32.55863219561898	-8.5387	10.586
-33.237632195618986	13.395	2.414
-31.93763219561898	-11.064	0.76449
-30.70663219561898	4.8348	1.3717
-30.350632195618985	-3.6957	1.4307
-30.455632195618982	5.8334	-14.669
-29.64863219561898	-3.844	-14.629
-29.926632195618986	6.7307	-29.265
-28.741632195618983	-3.9012	-29.239
-32.49563219561898	1.1934	31.004
-30.802632195618983	7.9967	24.738
-32.22763219561898	-5.19	23.468
-30.286632195618985	11.467	11.955
-32.55363219561898	-8.55	10.582
-33.23663219561898	13.393	2.4174
-31.927632195618983	-11.075	0.76079
-30.708632195618982	4.8245	1.3679
-30.347632195618985	-3.7058	1.4306
-30.457632195618984	5.8285	-14.673
-29.64563219561898	-3.849	-14.629
-29.926632195618986	6.7307	-29.268
-28.740632195618986	-3.902	-29.239
-32.49263219561898	1.1851	31.002
-30.80663219561898	7.9848	24.737
-32.228632195618985	-5.2017	23.464
-30.280632195618985	11.459	11.956
-32.54763219561898	-8.5619	10.578
-33.23563219561898	13.39	2.421
-31.917632195618985	-11.087	0.75699
-30.710632195618984	4.8136	1.364
-30.34363219561898	-3.7165	1.4305
-30.45663219561898	5.8233	-14.676
-29.64563219561898	-3.8549	-14.629
-29.926632195618986	6.7308	-29.271
-28.73963219561898	-3.9029	-29.24
-32.490632195618986	1.1789	31.0
-30.80963219561898	7.9759	24.736
