level_0	level_1	frames = 114 markers = 13 Hz = 30
-24.01849932523624	4.8956	29.965
-23.333499325236247	12.417	22.311
-22.496499325236243	-2.4386	22.825
-23.621499325236243	14.201	8.0854
-23.810499325236243	-4.8289	8.7568
-23.833499325236247	15.382	-1.6035
-24.694499325236244	-6.4159	-0.82428
-23.418499325236247	7.5949	1.5758
-23.12249932523624	0.65881	1.5805
-24.276499325236244	7.7738	-16.716
-22.379499325236246	0.55485	-16.72
-21.802499325236248	7.2841	-31.446
-21.790499325236247	0.49242	-31.659
-24.168499325236247	4.9238	29.953
-23.376499325236246	12.469	22.304
-22.505499325236244	-2.383	22.832
-23.652499325236242	14.234	8.0752
-23.825499325236244	-4.789	8.7677
-23.861499325236245	15.398	-1.6158
-24.714499325236247	-6.3867	-0.81128
-23.43949932523624	7.6443	1.5724
-23.113499325236248	0.7094	1.5786
-24.332499325236242	7.813	-16.718
-22.532499325236245	0.52099	-16.727
-21.805499325236248	7.2905	-31.438
-21.797499325236245	0.49476	-31.66
-24.353499325236243	4.9764	29.939
-23.43649932523624	12.521	22.288
-22.508499325236244	-2.3215	22.828
-23.688499325236243	14.283	8.0585
-23.830499325236246	-4.7389	8.7658
-23.892499325236244	15.435	-1.634
-24.721499325236245	-6.3442	-0.81158
-23.466499325236242	7.6969	1.5625
-23.114499325236245	0.76326	1.5795
-24.353499325236243	7.8374	-16.729
-22.533499325236242	0.54716	-16.726
-21.800499325236245	7.2964	-31.443
-21.797499325236245	0.49889	-31.658
-24.562499325236246	5.0063	29.914
-23.510499325236246	12.583	22.277
-22.523499325236244	-2.2539	22.82
-23.706499325236244	14.375	8.0504
-23.841499325236242	-4.6817	8.7591
-23.898499325236244	15.522	-1.643
-24.729499325236247	-6.2941	-0.81748
-23.505499325236244	7.7576	1.5539
-23.121499325236243	0.8257	1.5755
-24.385499325236246	7.8646	-16.738
-22.537499325236247	0.57565	-16.729
-21.795499325236243	7.3004	-31.445
-21.800499325236245	0.5005	-31.662
-24.801499325236243	5.0316	29.878
-23.57349932523624	12.659	22.245
-22.536499325236242	-2.1649	22.818
-23.679499325236243	14.535	8.0279
-23.845499325236247	-4.6051	8.7586
-23.858499325236245	15.693	-1.6645
-24.727499325236245	-6.226	-0.81718
-23.546499325236248	7.8151	1.5425
-23.14349932523624	0.88435	1.5797
-24.420499325236243	7.8928	-16.75
-22.543499325236247	0.60754	-16.724
-21.793499325236247	7.2992	-31.449
-21.799499325236248	0.50829	-31.656
-24.974499325236245	5.1228	29.852
-23.684499325236246	12.774	22.193
-22.57949932523624	-2.0367	22.803
-23.733499325236245	14.66	7.9774
-23.858499325236245	-4.5148	8.7473
-23.94549932523624	15.758	-1.7213
-24.720499325236247	-6.1607	-0.82598
-23.591499325236242	7.8801	1.5343
-23.165499325236247	0.95076	1.5808
-24.457499325236242	7.9238	-16.758
-22.558499325236248	0.64107	-16.722
-21.789499325236243	7.2982	-31.449
-21.803499325236245	0.51747	-31.653
-25.176499325236243	5.1494	29.811
-23.804499325236243	12.855	22.178
-22.620499325236246	-1.948	22.79
-23.76549932523624	14.788	7.9685
-23.821499325236246	-4.4422	8.7303
-23.993499325236243	15.845	-1.7342
-24.629499325236246	-6.0998	-0.84578
-23.644499325236247	7.9476	1.5203
-23.188499325236243	1.0202	1.5731
-24.49749932523624	7.9551	-16.773
-22.566499325236244	0.67323	-16.729
-21.784499325236247	7.2985	-31.454
-21.802499325236248	0.51843	-31.659
-25.409499325236247	5.1907	29.778
-23.941499325236244	12.931	22.124
-22.69249932523624	-1.8413	22.74
-23.834499325236244	14.934	7.9245
-23.843499325236245	-4.3639	8.6813
-24.065499325236246	15.993	-1.7784
-24.618499325236243	-6.0401	-0.89418
-23.69249932523624	8.0212	1.5138
-23.20449932523624	1.0959	1.5744
-24.538499325236245	7.9855	-16.78
-22.57649932523624	0.71571	-16.727
-21.787499325236247	7.2929	-31.452
-21.804499325236243	0.53484	-31.656
-25.611499325236245	5.2578	29.75
-24.083499325236247	13.021	22.115
-22.787499325236247	-1.7456	22.729
-23.921499325236248	15.038	7.9186
-23.866499325236248	-4.2709	8.6648
-24.115499325236243	16.104	-1.7843
-24.592499325236247	-5.9496	-0.91408
-23.760499325236246	8.0879	1.5075
-23.242499325236246	1.1651	1.5789
-24.588499325236242	8.0176	-16.787
-22.595499325236247	0.74566	-16.721
-21.787499325236247	7.2972	-31.448
-21.808499325236248	0.53374	-31.649
-25.805499325236248	5.352	29.721
-24.245499325236246	13.125	22.134
-22.891499325236246	-1.6531	22.756
-24.06449932523624	15.046	7.9239
-23.894499325236247	-4.1725	8.6849
-24.202499325236246	16.089	-1.7822
-24.568499325236246	-5.8465	-0.89848
-23.82949932523624	8.1544	1.4956
-23.281499325236247	1.2338	1.5765
-24.63449932523624	8.048	-16.8
-22.612499325236243	0.78017	-16.721
-21.778499325236247	7.2988	-31.449
-21.807499325236243	0.54037	-31.648
-26.06149932523624	5.3897	29.682
-24.419499325236245	13.181	22.114
-23.01549932523624	-1.5851	22.736
-24.196499325236246	15.183	7.9155
-23.934499325236246	-4.1039	8.6591
-24.245499325236246	16.338	-1.7788
-24.551499325236243	-5.7781	-0.92808
-23.904499325236245	8.2397	1.4834
-23.332499325236242	1.3213	1.5673
-24.687499325236246	8.0889	-16.813
-22.63449932523624	0.81885	-16.728
-21.771499325236242	7.3036	-31.448
-21.808499325236248	0.53857	-31.653
-26.25049932523624	5.5151	29.663
-24.562499325236246	13.295	22.058
-23.151499325236244	-1.4506	22.688
-24.319499325236244	15.302	7.8607
-23.983499325236245	-3.9967	8.6113
-24.321499325236246	16.49	-1.8298
-24.541499325236245	-5.6895	-0.97628
-23.979499325236247	8.3283	1.4788
-23.386499325236244	1.4116	1.5704
-24.745499325236246	8.1271	-16.817
-22.660499325236245	0.8649	-16.723
-21.766499325236246	7.3004	-31.438
-21.810499325236243	0.54915	-31.646
-26.424499325236248	5.5946	29.651
-24.730499325236245	13.389	22.088
-23.31749932523624	-1.3736	22.716
-24.460499325236242	15.383	7.8893
-24.047499325236245	-3.8972	8.6292
-24.477499325236245	16.532	-1.8059
-24.535499325236245	-5.5747	-0.96488
-24.057499325236243	8.4243	1.4689
-23.458499325236247	1.5082	1.5699
-24.808499325236248	8.1738	-16.827
-22.693499325236246	0.90263	-16.72
-21.763499325236246	7.3016	-31.432
-21.809499325236246	0.53981	-31.64
-26.667499325236243	5.7058	29.618
-24.900499325236247	13.493	22.064
-23.51549932523624	-1.2683	22.699
-24.485499325236248	15.613	7.8878
-24.146499325236242	-3.7894	8.6066
-24.51849932523624	16.738	-1.8101
-24.56749932523624	-5.4644	-0.99098
-24.154499325236245	8.5169	1.4518
-23.546499325236248	1.6018	1.5621
-24.88749932523624	8.2162	-16.844
-22.733499325236245	0.94334	-16.724
-21.760499325236246	7.3025	-31.429
-21.81149932523624	0.53789	-31.64
-26.866499325236248	5.8177	29.599
-25.07949932523624	13.607	22.041
-23.721499325236245	-1.1583	22.694
-24.546499325236248	15.794	7.8789
-24.260499325236246	-3.6792	8.5983
-24.693499325236246	16.783	-1.8328
-24.619499325236248	-5.3548	-1.0017
-24.24749932523624	8.6019	1.4349
-23.653499325236247	1.6857	1.556
-24.963499325236242	8.2624	-16.861
-22.779499325236245	0.97947	-16.725
-21.745499325236246	7.3055	-31.423
-21.809499325236246	0.53395	-31.637
-27.096499325236245	5.9107	29.574
-25.254499325236246	13.696	22.023
-23.94249932523624	-1.0756	22.686
-24.504499325236246	16.094	7.9051
-24.39349932523624	-3.5809	8.5846
-24.75049932523624	17.001	-1.8127
-24.69249932523624	-5.2459	-1.0193
-24.359499325236243	8.7058	1.4214
-23.778499325236247	1.7888	1.5502
-25.06449932523624	8.3119	-16.874
-22.839499325236247	1.0239	-16.725
-21.746499325236243	7.3021	-31.41
-21.815499325236246	0.53189	-31.632
-27.341499325236242	6.0311	29.54
-25.43949932523624	13.815	21.959
-24.19849932523624	-0.9539	22.66
-24.510499325236246	16.355	7.876
-24.56749932523624	-3.4695	8.5578
-24.899499325236242	17.124	-1.8491
-24.810499325236243	-5.1415	-1.0465
-24.468499325236245	8.7858	1.3915
-23.908499325236242	1.8677	1.5482
-25.160499325236245	8.3716	-16.904
-22.901499325236244	1.0539	-16.722
-21.727499325236245	7.3344	-31.411
-21.81749932523624	0.52358	-31.623
-27.647499325236247	6.1555	29.508
-25.665499325236247	13.941	21.972
-24.491499325236248	-0.84875	22.69
-24.519499325236247	16.61	7.9285
-24.781499325236247	-3.3885	8.5905
-25.019499325236247	17.262	-1.8
-24.972499325236242	-5.0743	-1.0125
-24.575499325236244	8.8625	1.3748
-24.060499325236243	1.941	1.5437
-25.273499325236244	8.4206	-16.92
-22.937499325236246	1.0204	-16.714
-21.732499325236248	7.3345	-31.398
-21.76549932523624	0.40101	-31.605
-27.913499325236245	6.2994	29.475
-25.869499325236248	14.09	21.942
-24.801499325236243	-0.70883	22.684
-24.542499325236243	16.838	7.9306
-25.01849932523624	-3.3017	8.5922
-25.161499325236242	17.362	-1.7989
-25.167499325236243	-5.0145	-1.0069
-24.694499325236244	8.9286	1.3507
-24.207499325236242	2.0055	1.5335
-25.398499325236244	8.4551	-16.943
-23.13149932523624	0.98941	-16.722
-21.731499325236243	7.324	-31.386
-21.75949932523624	0.38945	-31.596
-28.248499325236246	6.4727	29.429
-26.136499325236244	14.231	21.893
-25.184499325236246	-0.5798	22.67
-24.593499325236245	17.064	7.92
-25.324499325236246	-3.2533	8.5931
-25.297499325236245	17.466	-1.8095
-25.44549932523624	-4.9945	-1.0013
-24.798499325236243	8.9443	1.3186
-24.287499325236247	2.0234	1.5188
-25.536499325236242	8.4538	-16.973
-23.489499325236245	0.8237	-16.739
-21.736499325236245	7.3156	-31.381
-21.75049932523624	0.33266	-31.579
-28.63749932523624	6.5841	29.358
-26.430499325236248	14.336	21.823
-25.594499325236242	-0.48485	22.658
-24.645499325236244	17.274	7.9011
-25.683499325236248	-3.2909	8.6056
-25.464499325236247	17.579	-1.823
-25.82649932523624	-5.0572	-0.98398
-24.883499325236244	8.9787	1.287
-24.418499325236247	2.0546	1.4983
-25.697499325236244	8.4691	-17.001
-24.050499325236245	0.50235	-16.746
-21.760499325236246	7.2626	-31.366
-21.693499325236246	0.14905	-31.503
-29.113499325236248	6.751	29.243
-26.782499325236245	14.449	21.702
-26.052499325236248	-0.3784	22.629
-24.678499325236245	17.482	7.8451
-26.07949932523624	-3.3985	8.621
-25.581499325236244	17.677	-1.8743
-26.297499325236245	-5.183	-0.96398
-24.986499325236245	8.9907	1.2497
-24.533499325236242	2.0654	1.447
-25.860499325236248	8.4242	-17.034
-24.904499325236245	0.23716	-16.771
-21.770499325236244	7.1349	-31.349
-21.870499325236246	0.26774	-31.408
-29.62549932523624	6.8971	29.117
-27.182499325236243	14.474	21.512
