level_0	level_1	frames = 138 markers = 13 Hz = 30
-35.438088071348915	-3.3042	31.623
-34.224088071348916	3.1961	24.314
-34.21308807134892	-9.9101	23.862
-36.04608807134892	5.8693	11.137
-34.81808807134892	-12.871	10.752
-36.56208807134892	7.8125	1.4427
-34.411088071348914	-15.012	1.1016
-34.602088071348916	0.1625	2.1861
-34.27108807134892	-8.401	2.1913
-33.65308807134892	0.86547	-14.066
-33.73608807134892	-8.9932	-14.085
-32.782088071348916	1.4899	-28.798
-33.26208807134892	-9.5032	-28.846
-35.447088071348915	-3.2988	31.624
-34.234088071348914	3.2057	24.319
-34.212088071348916	-9.9007	23.859
-36.04708807134892	5.8788	11.141
-34.80908807134892	-12.857	10.749
-36.55808807134892	7.8214	1.446
-34.39908807134892	-14.994	1.0977
-34.600088071348914	0.17349	2.1886
-34.26608807134892	-8.3899	2.192
-33.798088071348914	0.9212	-14.069
-33.880088071348915	-8.9979	-14.088
-32.78408807134892	1.4898	-28.795
-33.249088071348915	-9.5022	-28.843
-35.45808807134892	-3.2919	31.626
-34.246088071348915	3.2177	24.324
-34.21008807134892	-9.8889	23.856
-36.05008807134892	5.89	11.145
-34.80208807134892	-12.838	10.744
-36.55508807134892	7.832	1.4501
-34.38708807134892	-14.971	1.0926
-34.59808807134892	0.18715	2.1916
-34.26008807134892	-8.3761	2.1929
-33.798088071348914	0.92764	-14.067
-33.868088071348915	-8.9906	-14.087
-32.78708807134892	1.4896	-28.793
-33.23308807134892	-9.5011	-28.841
-35.468088071348916	-3.2861	31.627
-34.25708807134892	3.228	24.328
-34.209088071348916	-9.8788	23.854
-36.054088071348914	5.8996	11.149
-34.79608807134892	-12.822	10.74
-36.55308807134892	7.8411	1.4537
-34.37608807134892	-14.952	1.0881
-34.596088071348916	0.19895	2.1942
-34.25408807134892	-8.3642	2.1937
-33.79908807134892	0.93355	-14.064
-33.85708807134892	-8.9841	-14.086
-32.789088071348914	1.4895	-28.791
-33.219088071348914	-9.5001	-28.84
-35.477088071348916	-3.2803	31.628
-34.26808807134892	3.2382	24.333
-34.20708807134892	-9.8687	23.851
-36.057088071348915	5.909	11.153
-34.789088071348914	-12.807	10.737
-36.55008807134892	7.8502	1.4572
-34.36608807134892	-14.932	1.0837
-34.594088071348914	0.2106	2.1968
-34.249088071348915	-8.3524	2.1945
-33.798088071348914	0.93853	-14.062
-33.847088071348914	-8.9777	-14.085
-32.79008807134892	1.4891	-28.789
-33.20508807134892	-9.4993	-28.838
-35.48608807134892	-3.275	31.629
-34.27708807134892	3.2476	24.337
-34.206088071348915	-9.8595	23.849
-36.060088071348915	5.9177	11.157
-34.783088071348914	-12.792	10.733
-36.548088071348914	7.8584	1.4604
-34.356088071348914	-14.914	1.0796
-34.59208807134892	0.22128	2.1992
-34.24408807134892	-8.3416	2.1952
-33.79908807134892	0.94407	-14.06
-33.840088071348916	-8.9719	-14.084
