level_0	level_1	frames = 169 markers = 13 Hz = 30
-33.47006918525273	-1.8647	31.15
-33.131069185252734	4.6829	23.835
-34.09806918525273	-8.6938	24.533
-32.68106918525273	7.8092	9.4788
-35.02006918525273	-10.749	10.018
-32.41306918525273	9.8114	0.15067
-35.59806918525273	-12.048	0.59177
-33.353069185252735	1.2337	2.8723
-34.183069185252734	-5.0612	2.8769
-36.38006918525274	3.4151	-15.142
-33.268069185252735	-4.2895	-15.483
-31.299069185252733	3.5977	-29.617
-32.02606918525273	-3.4385	-30.757
-33.53106918525273	-2.0183	31.158
-33.14506918525273	4.5388	23.844
-34.183069185252734	-8.8316	24.508
-32.628069185252734	7.6868	9.4949
-35.16806918525273	-10.831	9.9895
-32.320069185252734	9.7057	0.17167
-35.78506918525273	-12.093	0.56107
-33.33906918525273	1.1045	2.8892
-34.170069185252736	-5.1902	2.8727
-36.365069185252736	3.3292	-15.12
-33.50706918525273	-4.4353	-15.499
-31.265069185252734	3.6595	-29.587
-32.02606918525273	-3.4434	-30.743
-33.59506918525273	-2.1183	31.166
-33.16606918525273	4.4361	23.838
-34.25506918525274	-8.9301	24.507
-32.57806918525273	7.5927	9.4935
-35.28206918525273	-10.891	9.9863
-32.22406918525273	9.6172	0.17307
-35.926069185252736	-12.129	0.55637
-33.34606918525273	0.97626	2.919
-34.116069185252734	-5.3258	2.8489
-36.34306918525273	3.3127	-15.081
-33.53706918525273	-4.5173	-15.523
-31.135069185252732	3.7764	-29.506
-32.02506918525273	-3.4364	-30.758
-33.66506918525273	-2.2169	31.175
-33.17706918525273	4.3079	23.813
-34.30906918525273	-9.0508	24.521
-32.53806918525273	7.4854	9.4757
-35.374069185252736	-10.954	9.9947
-32.15006918525273	9.5239	0.15957
-36.04106918525273	-12.155	0.56167
-33.40606918525273	0.92164	2.9306
-34.140069185252734	-5.3849	2.843
-36.262069185252734	3.3993	-15.074
-33.63606918525273	-4.5769	-15.531
-31.055069185252734	3.7519	-29.504
-32.02606918525273	-3.4349	-30.751
-33.72106918525273	-2.2518	31.219
-33.192069185252734	4.2639	23.849
-34.34006918525273	-9.0922	24.543
-32.51906918525273	7.4254	9.5087
-35.429069185252736	-10.986	10.018
-32.11006918525273	9.4538	0.19137
-36.112069185252736	-12.181	0.58537
-33.48006918525273	0.89279	3.0047
-34.16606918525273	-5.4176	2.8402
-36.22706918525273	3.3833	-15.015
-33.76706918525273	-4.6342	-15.537
-31.100069185252735	3.9503	-29.468
-32.03506918525273	-3.4311	-30.739
-33.76706918525273	-2.2579	31.245
-33.207069185252735	4.2452	23.864
-34.33006918525273	-9.1115	24.559
-32.57506918525273	7.4075	9.523
-35.448069185252734	-11.01	10.037
-32.192069185252734	9.4367	0.20447
-36.15006918525273	-12.208	0.60607
-33.56506918525273	0.88204	3.0461
-34.20806918525273	-5.4308	2.8379
-36.38606918525273	2.663	-15.046
-33.92106918525273	-4.6962	-15.543
-31.571069185252732	3.1744	-29.607
-32.042069185252736	-3.4415	-30.724
-33.813069185252736	-2.2587	31.246
-33.222069185252735	4.2419	23.857
-34.30906918525273	-9.1174	24.551
-32.616069185252734	7.3752	9.5082
-35.43706918525273	-11.047	10.033
-32.25406918525273	9.3851	0.18467
-36.143069185252735	-12.265	0.60577
-33.66606918525273	0.88226	3.0387
