		frames = 169 markers = 13 Hz = 30
-34.707	10.263	-0.34053
-33.696	-10.726	9.8872
-34.613	-1.4653	0.43797
-30.275	1.5224	3.0184
-30.187	-1.6527	25.248
-32.412	0.54122	10.863
-36.018	-17.141	-16.712
-36.087	-13.213	-15.642
-30.565	-3.4158	30.196
-37.22	11.169	11.378
-37.974	-10.091	-30.178
-29.839	1.0651	25.733
-40.494	-4.5426	1.5376
-36.356	2.6359	-30.25
-31.231	6.4273	-15.599
-33.252	11.11	0.31407
-35.936	10.99	9.5003
-34.789	2.9781	-15.169
-33.105	0.39518	-14.82
-38.276	16.325	1.0735
-28.225	-7.7655	13.859
-35.977	9.6122	9.1188
-38.323	-21.824	-18.574
-42.152	-21.522	-17.859
-34.309	1.3426	2.8521
-36.424	2.7047	-30.223
-31.55	7.399	-15.682
-32.574	2.6024	-15.449
-26.908	-12.262	6.6322
-31.12	-19.932	0.17917
-33.371	-10.013	10.118
-35.249	-11.205	0.54437
-34.457	1.1931	2.883
-31.627	-1.6858	-30.476
-33.792	5.3539	2.4439
-32.737	-14.191	22.314
-35.984	-17.063	-16.665
-36.448	4.1967	-29.848
-36.823	-3.5261	-30.702
-32.887	-23.453	-0.19083
-35.947	-6.4122	24.26
-36.583	4.8244	-29.908
-30.935	-0.40922	9.3671
-36.223	-13.616	-15.667
-35.346	11.929	22.743
-36.01	8.9903	9.0921
-32.441	-11.956	0.68887
-36.271	7.4254	9.5087
-36.758	-13.545	-15.546
-37.859	-10.028	-30.295
-30.012	-14.823	15.548
-34.884	-8.5798	24.351
-30.376	-1.0564	-15.153
-36.598	4.5904	-29.791
-36.431	2.5668	-30.351
-33.467	2.4983	-15.008
-36.377	9.8114	0.15067
-26.689	-19.077	20.916
-34.46	2.1076	2.8468
-35.262	3.8547	-30.109
-34.415	0.15628	-15.266
-36.317	-3.5291	2.9553
-36.438	-13.73	-15.652
-39.572	-21.021	-26.604
-34.093	-1.7492	0.28137
-35.195	6.5046	23.386
-33.695	-21.764	-6.0706
-38.02	-3.1919	2.4113
-42.706	-8.8663	1.1197
-34.346	1.2994	2.8626
-33.055	7.9867	30.934
-35.533	6.0298	23.447
-33.508	-10.891	9.9863
-37.79	-10.048	-30.5
-36.02	-17.178	-16.731
-23.407	-18.829	2.8126
-30.584	-1.1105	-15.151
-22.539	-18.065	6.0523
-36.036	9.2912	9.091
-28.852	-14.979	25.976
-25.486	-14.02	0.80327
-37.655	3.7764	-29.506
-35.839	12.288	22.586
-40.769	-1.3951	2.7684
-35.26	3.8533	-30.121
-36.742	-13.986	-15.59
-35.524	6.1532	23.422
-36.521	5.2159	-29.828
-30.339	-1.4029	29.897
-34.692	-8.6938	24.533
-35.302	3.9665	-30.152
-34.633	-4.2829	-15.574
-35.251	3.8517	-30.095
-38.349	-10.102	-30.569
-38.377	-22.013	-20.142
-35.265	-7.2544	24.42
-35.809	-6.2792	24.257
-32.303	-11.64	0.83347
-36.463	2.8757	-30.421
-32.593	2.6091	-15.456
-34.797	11.228	-0.033729
-34.936	-2.1898	31.141
-40.049	-3.8751	2.4046
-35.616	7.8867	9.2554
-35.586	12.073	22.731
-43.214	-9.7543	0.32757
-43.038	-20.822	-18.087
-36.305	3.2119	-30.136
-26.115	-22.875	-2.9536
-39.64	-3.6639	2.423
-34.161	-5.4284	-28.889
-30.799	-1.8831	8.9551
-36.029	14.403	2.1121
-33.343	-8.7938	22.896
-36.099	-3.5331	2.9662
-40.141	-5.005	1.404
-34.1	5.397	2.6471
-36.36	2.9852	-30.251
-32.377	2.7616	-15.421
-36.749	-3.3963	-30.784
-23.888	-3.6467	4.67
-32.964	9.3272	1.6619
-31.905	5.3165	31.035
-35.246	-9.3337	9.9009
-30.75	-8.4102	2.5756
-32.861	6.8538	2.6546
-37.405	-4.1096	-30.214
-34.79	-19.029	9.1925
-34.898	-11.279	0.57587
-34.401	-4.4474	-15.6
-36.689	3.7319	-29.363
-34.94	-0.30343	31.063
-33.65	-11.021	9.8702
-24.477	-12.712	12.394
-34.536	-4.3545	-15.593
-40.706	-0.15783	2.7533
-34.072	9.6292	23.552
-35.195	-2.1183	31.166
-32.412	2.386	-15.199
-34.097	-4.7339	2.7799
-35.958	-17.081	-16.705
-42.057	-20.973	-12.927
-36.762	-3.4177	-30.773
-35.391	3.4657	-30.2
-33.774	-1.2374	0.50977
-31.025	-1.4857	-15.142
-37.366	-6.0107	-29.843
-37.764	-3.9243	2.8912
-29.835	-1.9651	9.1681
-36.354	2.7305	-30.231
-37.69	3.9503	-29.468
-32.408	2.648	-15.418
-33.958	-1.078	0.64877
-33.951	-9.7635	9.9942
-36.375	2.5978	-30.328
-38.082	2.1105	2.9102
-31.472	-11.892	19.928
-35.253	-4.5173	-15.523
-35.749	2.4877	2.8413
-33.977	3.9832	2.4269
-35.277	3.8273	-30.17
-40.505	-4.7638	1.4334
-32.044	-18.432	19.373
-36.375	2.5859	-30.346
-42.206	-21.504	-18.181
-36.004	9.331	9.0779
-33.119	-0.64899	30.834
-34.214	-16.992	10.773
-37.99	-10.067	-30.185
-35.92	-9.4169	-29.906
-33.852	0.090563	-14.907
-31.988	1.929	23.806
-36.619	2.6455	-29.953
-25.28	-15.69	1.2189
-34.408	-18.224	10.057
-39.633	-24.199	-12.221
-30.403	0.91978	3.1576
-35.975	0.83157	-14.98
-42.193	-5.411	1.909
-30.591	-1.1917	26.174
-33.346	2.9051	-15.369
-41.274	-23.06	-16.628
-25.097	-14.556	3.6965
-36.414	2.5673	-30.4
-35.716	-0.17091	2.405
-28.564	-0.82431	-14.994
-32.651	3.2925	11.125
-35.283	2.7425	2.8944
-30.014	1.762	3.1142
-35.653	15.372	0.27157
-32.031	-2.2064	-29.272
-23.713	-19.163	1.5335
-37.952	-10.364	-15.292
-35.366	-7.1711	24.418
-29.561	-6.3612	-14.519
-33.864	-3.5621	2.2622
-29.401	-18.946	5.5507
-31.424	7.5877	-15.731
-27.655	-7.2321	13.925
-33.441	6.5709	23.848
-37.525	3.6595	-29.587
-36.719	-3.3382	-30.704
-34.374	-8.1613	-15.241
-33.932	-4.9571	2.7285
-36.586	4.4506	-29.883
-35.337	4.3749	11.968
-34.286	1.6126	2.8308
-34.494	0.0079728	0.99237
-42.733	-10.325	-0.95413
-36.649	0.60558	-15.053
-33.599	1.8086	11.551
-30.755	0.30177	25.734
-42.342	-21.614	-18.225
-37.804	-10.046	-30.537
-30.277	-0.77266	26.131
-42.828	-20.917	-19.675
-34.434	-4.3802	2.823
-26.265	-14.142	6.5575
-37.191	-2.5303	2.5231
-34.948	-1.92	31.14
-31.184	6.7025	-15.651
-25.59	-21.607	-2.6555
-36.388	2.509	-30.344
-39.616	-21.216	-27.251
-34.072	-4.5873	-15.633
-25.412	-2.232	6.7632
-37.535	-4.3244	-30.001
-35.557	3.3652	-30.011
-40.364	-4.9114	1.3809
-34.027	-1.7132	0.28347
-29.279	-8.2118	13.503
-33.641	6.8471	23.485
-31.438	7.0767	-15.675
-33.025	-12.467	0.49677
-31.918	-0.44389	2.7371
-34.822	2.0876	2.3989
-34.954	-1.715	31.136
-26.377	-23.612	-2.7658
-35.216	11.645	23.048
-35.154	-4.5769	-15.531
-36.17	10.095	9.1687
-30.574	-1.1974	9.6251
-38.761	-21.855	-23.732
-33.04	6.5542	31.186
-33.858	5.0263	2.4129
-39.343	-3.8732	2.1182
-35.715	0.70388	-14.965
-29.668	1.1675	25.748
-31.99	-11.033	20.999
-32.898	7.5039	30.906
-31.77	-1.027	30.31
-25.455	-15.016	0.74727
-39.313	13.747	10.765
-25.455	-13.789	0.80127
-31.72	-9.6245	23.227
-34.134	-1.7364	0.30467
-34.217	-15.018	12.028
-29.068	-2.1105	29.495
-36.282	10.445	9.1827
-32.269	-11.863	0.72827
-25.996	-22.687	-2.9833
-24.582	-1.7551	6.921
-36.448	-11.12	0.52147
-42.552	-21.823	-16.904
-28.872	-0.68444	-15.051
-35.16	0.27759	-15.475
-32.351	2.7334	-15.43
-32.212	-11.815	0.81137
-43.137	-9.4727	0.61927
-33.346	2.1582	-14.66
-28.939	3.2804	22.167
-31.738	-1.9862	-30.426
-25.193	-15.688	1.3594
-35.826	-3.7013	-15.435
-36.481	14.946	-0.045329
-41.199	-9.9308	1.7046
-29.761	1.149	25.688
-31.784	1.049	9.6394
-36.569	4.1146	-29.858
-31.085	-2.3155	26.065
-35.74	8.4285	9.1243
-34.158	-4.877	-15.667
-38.571	16.465	0.80437
-38.291	13.942	-0.88943
-35.451	1.1045	2.8892
-36.366	2.9321	-30.227
-35.072	-0.44644	0.77127
-36.212	7.5927	9.4935
-37.756	-22.126	6.3605
-36.352	2.6304	-30.24
-35.323	6.4361	23.418
-37.776	0.87245	-15.283
-36.319	3.7907	-29.932
-31.762	0.9943	23.829
-42.965	-22.323	-5.2847
-39.952	-4.8734	1.523
-27.424	-0.085157	-14.964
-27.191	0.19296	-14.995
-26.51	-24.113	-2.4189
-25.235	-15.701	1.2713
-34.29	-23.03	-5.8055
-35.401	-7.5345	-29.166
