level_0	level_1	frames = 253 markers = 13 Hz = 30
-39.741	0.73589	-33.733050367406506
-41.404	7.3847	-26.7640503674065
-39.114	-6.3286	-26.771050367406502
-42.397	10.266	-12.9980503674065
-37.554	-8.6298	-12.959050367406501
-43.063	12.235	-3.4372103674065024
-36.499	-10.19	-3.3696103674065023
-40.374	3.9075	-5.567050367406502
-39.587	-3.0729	-5.571650367406502
-38.392	5.1819	12.678949632593499
-38.131	-3.6734	12.7579496325935
-40.498	4.7155	28.245949632593497
-41.16	-2.6148	28.1459496325935
-39.69	0.81175	-33.65805036740651
-41.329	7.4415	-26.6670503674065
-39.165	-6.2904	-26.701050367406502
-42.318	10.353	-12.907050367406502
-37.596	-8.5999	-12.891050367406502
-42.983	12.342	-3.3500103674065023
-36.533	-10.165	-3.3039103674065022
-40.139	3.827	-5.429850367406502
-39.518	-3.1692	-5.561850367406501
-37.872	5.3286	12.765949632593498
-38.106	-3.6983	12.772949632593498
-40.494	4.7074	28.248949632593497
-41.158	-2.6054	28.1549496325935
-39.631	0.88118	-33.663050367406505
-41.232	7.5126	-26.632050367406503
-39.215	-6.2397	-26.7110503674065
-42.306	10.382	-12.869050367406501
-37.641	-8.5606	-12.904050367406501
-43.031	12.342	-3.310810367406502
-36.574	-10.134	-3.3185103674065024
-40.078	3.866	-5.4299503674065015
-39.494	-3.1333	-5.561650367406502
-37.864	5.3291	12.774949632593499
-38.1	-3.6871	12.7739496325935
-40.499	4.7026	28.254949632593497
-41.158	-2.6037	28.1549496325935
-39.566	0.94325	-33.660050367406505
-41.129	7.5616	-26.5920503674065
-39.257	-6.208	-26.719050367406503
-42.318	10.29	-12.810050367406502
-37.694	-8.523	-12.910050367406502
-43.126	12.151	-3.238710367406502
-36.635	-10.093	-3.322410367406502
-40.014	3.8976	-5.419750367406502
-39.478	-3.1056	-5.5610503674065015
-37.87	5.3152	12.797949632593498
-38.092	-3.6806	12.774949632593499
-40.505	4.6914	28.277949632593497
-41.145	-2.6023	28.1569496325935
-39.391	0.82241	-33.645050367406505
-41.064	7.4381	-26.5490503674065
-39.267	-6.3128	-26.698050367406502
-42.262	10.235	-12.7817503674065
-37.725	-8.5567	-12.874050367406502
-43.076	12.142	-3.2198103674065024
-36.68	-10.076	-3.2776103674065022
-39.959	3.9334	-5.404150367406501
-39.467	-3.0727	-5.558650367406502
-37.902	5.3029	12.826949632593498
-38.102	-3.6719	12.777949632593499
-40.521	4.6813	28.309949632593497
-41.16	-2.61	28.1599496325935
-39.398	0.83197	-33.730050367406506
-40.974	7.4787	-26.6160503674065
-39.326	-6.2948	-26.803050367406502
-42.16	10.231	-12.839050367406502
-37.791	-8.5155	-12.975050367406501
-42.968	12.107	-3.2701103674065024
-36.753	-10.019	-3.374610367406502
-40.018	4.1993	-5.5709503674065015
-39.517	-2.8077	-5.577150367406501
-37.958	5.4252	12.669949632593498
-38.122	-3.5322	12.752949632593499
-40.466	4.6942	28.1669496325935
-41.155	-2.6056	28.1489496325935
-39.396	0.8093	-33.71105036740651
-40.871	7.4883	-26.6010503674065
-39.355	-6.3054	-26.815050367406503
-42.03	10.24	-12.8220503674065
-37.837	-8.4877	-12.9790503674065
-42.821	12.115	-3.251210367406502
-36.811	-9.9652	-3.373210367406502
-39.943	4.2318	-5.530250367406502
-39.512	-2.7799	-5.5709503674065015
-37.971	5.405	12.723949632593499
-38.13	-3.5265	12.758949632593499
-40.482	4.6792	28.219949632593497
-41.154	-2.6032	28.1569496325935
-39.627	0.88972	-33.733050367406506
-40.684	7.6189	-26.5800503674065
-39.483	-6.2218	-26.8080503674065
-41.795	10.1	-12.745350367406502
-37.932	-8.4075	-12.9760503674065
-42.553	11.786	-3.1375103674065024
-36.884	-9.8878	-3.373910367406502
-39.887	4.257	-5.520150367406503
-39.508	-2.7576	-5.573850367406502
-37.97	5.4018	12.7419496325935
-38.135	-3.518	12.755949632593499
-40.485	4.6764	28.2369496325935
-41.152	-2.6028	28.155949632593497
-39.686	0.86815	-33.7370503674065
-40.585	7.6361	-26.5810503674065
-39.494	-6.2144	-26.820050367406502
-41.612	10.083	-12.733150367406502
-37.978	-8.3404	-12.975050367406501
-42.311	11.745	-3.116710367406502
-36.955	-9.7802	-3.363810367406502
-39.848	4.2716	-5.518550367406501
-39.507	-2.7449	-5.5755503674065015
-37.964	5.4051	12.746949632593498
-38.138	-3.5083	12.7549496325935
-40.496	4.672	28.2399496325935
-41.146	-2.6011	28.1569496325935
-39.767	0.83542	-33.7400503674065
-40.495	7.6456	-26.5830503674065
-39.517	-6.2151	-26.832050367406502
-41.417	10.053	-12.721650367406502
-38.036	-8.2689	-12.9730503674065
-42.044	11.687	-3.095510367406502
-37.039	-9.6579	-3.351210367406502
-39.813	4.2844	-5.518850367406502
-39.51	-2.7339	-5.582450367406501
-37.943	5.417	12.7479496325935
-38.147	-3.5021	12.7479496325935
-40.497	4.6773	28.2369496325935
-41.149	-2.6037	28.1519496325935
