level_0	level_1	frames = 130 markers = 13 Hz = 30
-27.559239053254522	10.234	31.689
-27.312239053254523	17.833	24.128
-27.52723905325452	2.588	24.426
-27.925239053254522	19.413	9.9945
-28.190239053254523	0.88491	10.32
-28.32923905325452	20.386	0.98269
-28.58823905325452	-0.16583	1.3275
-27.747239053254518	13.365	3.1794
-27.570239053254518	6.3879	3.1844
-27.702239053254523	13.417	-15.003
-26.269239053254523	7.4262	-14.924
-25.796239053254524	13.226	-29.81
-25.220239053254524	8.2999	-29.798
-27.51423905325452	10.356	31.686
-27.375239053254518	18.041	24.159
-27.448239053254518	2.7939	24.406
-27.811239053254518	19.684	10.026
-28.236239053254522	1.1074	10.305
-28.172239053254522	20.612	1.0079
-28.71623905325452	0.068291	1.3152
-27.738239053254524	13.538	3.1647
-27.537239053254524	6.5608	3.2048
-28.183239053254518	13.557	-15.012
-26.52123905325452	7.4299	-14.93
-25.81923905325452	13.215	-29.75
-25.29123905325452	8.3493	-29.788
-27.565239053254523	10.499	31.667
-27.50223905325452	18.244	24.174
-27.351239053254524	2.9958	24.351
-27.80723905325452	19.905	10.04
-28.26823905325452	1.3355	10.254
-28.15523905325452	20.76	1.0143
-28.83123905325452	0.314	1.2674
-27.67923905325452	13.693	3.1452
-27.458239053254523	6.717	3.1884
-28.244239053254525	13.622	-15.028
-26.67023905325452	7.4529	-14.963
-25.81623905325452	13.186	-29.753
-25.363239053254524	8.3813	-29.814
-27.623239053254522	10.669	31.63
-27.64323905325452	18.432	24.143
-27.26723905325452	3.1957	24.262
-27.726239053254524	20.311	10.034
-28.317239053254518	1.5666	10.171
-28.049239053254524	21.158	1.006
-28.96523905325452	0.56463	1.1879
-27.60923905325452	13.825	3.1004
-27.33723905325452	6.8501	3.1667
-28.327239053254523	13.687	-15.067
-26.784239053254524	7.3734	-15.001
-25.80423905325452	13.177	-29.773
-25.29523905325452	8.2969	-29.834
-27.656239053254524	10.802	31.575
-27.76523905325452	18.552	24.124
-27.22423905325452	3.3125	24.212
-27.70323905325452	20.628	10.042
-28.35923905325452	1.7321	10.122
-28.08223905325452	21.414	1.0107
-29.06323905325452	0.7618	1.1388
-27.577239053254523	13.98	3.0499
-27.235239053254524	7.0081	3.1113
-28.425239053254522	13.755	-15.111
-26.839239053254524	7.2542	-15.066
-25.78923905325452	13.162	-29.794
-25.10623905325452	8.1216	-29.875
-27.705239053254523	10.92	31.532
-27.833239053254523	18.622	24.087
-27.15123905325452	3.3859	24.15
-27.60223905325452	21.031	10.059
-28.372239053254518	1.8556	10.061
-28.01523905325452	21.849	1.0325
-29.13023905325452	0.91754	1.0794
-27.592239053254524	14.097	3.0225
-27.214239053254524	7.1272	3.0509
-28.51123905325452	13.81	-15.134
-26.89023905325452	7.2428	-15.129
-25.78223905325452	13.15	-29.797
-25.000239053254518	8.0932	-29.919
-27.702239053254523	10.956	31.552
-27.823239053254518	18.617	24.105
-27.06323905325452	3.3917	24.138
-27.53223905325452	21.249	10.119
-28.376239053254523	1.9394	10.05
-27.99623905325452	22.099	1.0972
-29.19423905325452	1.0514	1.0679
-27.619239053254525	14.187	3.0313
-27.21923905325452	7.2188	3.0752
-28.55723905325452	13.852	-15.123
-26.93823905325452	7.3292	-15.105
-25.79123905325452	13.143	-29.778
-25.125239053254518	8.1489	-29.907
-27.698239053254518	10.997	31.591
-27.751239053254523	18.627	24.142
-27.00223905325452	3.408	24.147
-27.476239053254524	21.406	10.184
-28.382239053254523	1.9928	10.061
-27.96023905325452	22.342	1.1722
-29.242239053254522	1.1292	1.0806
-27.641239053254523	14.257	3.0651
-27.24323905325452	7.2883	3.1042
-28.553239053254522	13.89	-15.09
-26.903239053254524	7.4748	-15.075
