		frames = 100 markers = 13 Hz = 30
18.11	15.662	31.433
29.08	9.3589	1.5768
15.371	18.25	27.333
29.561	11.129	23.268
35.49	-1.7056	1.5696
36.291	-1.8322	-27.609
36.054	-2.191	-27.241
33.72	6.007	21.922
32.486	-1.4265	-14.959
30.077	11.043	10.869
33.791	-4.4056	1.2975
33.65	-4.1231	1.2837
32.146	-7.551	0.59836
34.727	-9.8041	20.974
31.798	-11.715	-0.18504
33.058	-9.699	7.8412
29.695	2.7339	1.6371
35.179	-5.1747	21.748
29.125	8.2654	-14.935
29.668	2.8193	1.7231
35.973	-2.2197	-27.141
31.575	-9.4841	-0.31584
35.106	-2.7586	1.6428
26.779	10.543	10.728
28.325	10.386	1.7282
33.195	3.5642	1.5401
28.531	14.652	0.48056
21.429	20.442	16.569
29.0	3.991	28.42
34.048	7.5149	21.44
31.971	-2.205	28.311
31.269	6.7276	1.5872
28.958	5.5468	28.442
29.525	7.5417	-28.682
27.606	9.3637	21.259
31.372	-3.9637	8.8258
31.271	-0.94878	28.346
29.938	7.3427	-14.974
30.775	-0.26629	-14.628
34.734	-10.081	20.907
31.584	-6.3631	0.66776
31.383	-6.9391	0.61946
23.77	14.152	14.273
28.585	11.139	21.868
16.847	17.355	30.438
30.892	-2.6322	21.734
32.25	-7.2958	0.54096
30.237	1.8633	1.7067
30.674	6.2324	21.988
26.947	12.741	21.865
30.694	-4.0946	8.0398
29.508	7.5334	-28.454
33.704	-4.6359	1.303
35.035	-7.1589	21.357
31.449	-5.6146	0.53806
30.076	-8.4299	0.36376
31.103	0.025818	-14.488
32.34	-2.8944	28.339
31.006	4.3238	21.149
28.811	5.6811	28.774
36.622	-1.452	-28.259
36.444	-1.5156	-27.911
32.887	-2.1025	28.3
28.964	8.3437	-14.653
30.502	-3.0676	8.6973
29.467	-4.4135	0.43806
30.822	-4.2457	8.0638
17.735	16.178	31.09
28.599	8.9046	21.171
31.165	-5.7864	8.9692
36.676	5.9741	-28.557
36.649	5.9184	-28.615
32.577	-1.9586	1.3004
34.216	5.0676	-14.501
29.121	-4.7761	-0.21614
29.766	2.1657	28.515
29.023	-4.0761	0.22566
27.045	10.26	10.721
31.264	-0.0053115	-14.394
33.63	2.3635	22.582
33.342	-10.698	8.4204
29.401	7.3334	-28.583
36.001	-2.1864	-27.147
31.396	12.418	0.21156
29.71	7.4696	-28.372
31.684	-5.3653	8.5496
31.632	-7.3283	0.28796
31.501	5.3311	-14.604
31.134	-0.61255	28.354
31.918	-7.7787	0.32556
19.294	13.501	7.1394
32.778	-1.877	-15.143
29.007	8.9478	1.8682
30.884	11.023	8.4865
36.389	6.1047	-28.278
29.401	7.367	-28.423
29.491	7.3763	-28.759
33.226	-11.41	8.114
28.72	8.8381	-14.772
27.308	9.467	21.209
21.178	19.185	24.31
31.338	-12.054	-0.47354
29.512	7.5163	-28.468
31.573	-1.4468	-15.024
20.519	20.273	23.792
30.664	-4.9778	0.50366
28.265	10.525	1.6628
33.094	-2.9246	-15.191
29.811	2.2809	28.737
31.746	-8.9513	0.14546
32.813	-9.8583	0.41886
30.504	-0.1945	-14.682
33.211	-9.1963	8.6131
32.786	-4.2298	21.511
35.962	-2.2315	-27.131
29.034	3.8849	28.374
20.418	21.069	22.766
33.957	2.468	1.9042
31.756	-1.1715	21.275
28.906	6.2474	28.471
28.772	8.7572	-14.797
30.607	-3.0731	8.77
21.377	18.545	24.023
32.863	-7.7223	8.7651
28.96	-4.3564	-0.11434
20.454	20.445	23.588
28.228	10.886	21.77
29.129	3.6173	28.449
14.077	17.549	12.73
32.66	-11.286	7.7597
30.566	6.3507	-14.787
29.186	4.2723	28.673
36.273	6.1852	-28.237
32.613	-10.905	0.16716
36.791	-1.3421	-28.396
29.69	10.748	23.23
30.731	5.7212	21.78
32.097	10.049	9.0082
32.35	-2.9935	28.335
34.428	3.1693	1.8441
32.817	9.6646	8.7666
31.202	1.6155	1.5214
29.485	3.099	1.7236
29.414	11.645	22.844
32.886	5.1934	1.4373
28.792	8.6579	-14.826
31.901	11.015	0.37756
31.851	11.253	0.40616
34.162	2.632	1.8907
29.509	7.3698	-28.7
33.213	-8.6083	8.4416
33.295	-10.12	8.5193
30.327	-3.4877	8.1606
28.976	4.9617	28.417
31.19	0.058718	1.7195
32.356	-2.7638	21.105
32.977	-3.1846	-15.117
33.072	-3.1629	-15.133
34.623	-3.4759	1.3622
33.874	-4.2676	1.3022
31.19	-3.3563	8.7517
32.383	4.618	1.6042
32.904	-1.5221	28.412
34.718	-10.244	20.871
35.475	-1.5702	-14.99
32.158	-2.5651	20.933
36.739	-1.3341	-28.326
34.38	3.0271	1.8594
31.9	3.0654	21.155
30.396	1.1576	28.58
32.084	-7.6858	0.61026
20.162	13.171	6.2264
33.795	2.3049	22.72
29.369	3.1944	1.6265
33.631	2.8349	1.6159
32.173	-1.0407	1.4849
26.904	12.724	22.649
29.021	8.2255	-14.644
28.246	10.554	1.665
29.48	7.3704	-28.412
36.646	5.8411	-28.767
28.791	8.6897	-14.813
31.061	-4.5754	8.2029
32.691	-1.695	-15.061
17.176	16.833	30.808
29.401	7.3727	-28.52
30.036	7.2215	-14.928
34.81	3.9948	1.5976
28.452	10.019	1.6306
35.973	-2.2128	-27.15
34.604	-10.503	20.766
29.545	7.5541	-28.684
34.481	2.1741	23.48
31.6	-6.126	0.60766
32.963	-2.629	-15.078
32.577	9.8857	8.7243
32.002	5.4026	-14.34
21.471	18.203	23.048
28.7	5.7581	28.772
31.394	-2.0498	21.74
31.49	-5.0753	8.4045
15.669	18.213	28.217
31.879	-1.0285	1.571
31.217	-5.5661	8.9371
29.249	3.6698	28.825
34.639	-10.514	20.818
36.636	-1.3298	-28.185
33.349	-6.6057	8.9093
32.096	-1.3844	1.5213
36.939	-1.38	-28.634
29.85	-8.6631	0.23026
28.952	8.4498	-14.864
32.401	9.9696	8.83
30.243	12.34	1.2499
28.955	-4.2543	-0.043639
28.922	6.0902	28.462
28.641	9.6675	1.8105
32.648	0.91436	28.784
30.058	-4.6476	0.50446
21.384	18.475	23.679
30.501	7.5424	1.5537
31.725	-1.0939	21.324
32.733	-3.2029	-15.152
31.174	-3.8458	21.809
32.533	-2.1595	1.3989
31.133	-1.4677	-15.02
33.719	6.8389	21.54
29.349	11.633	23.047
29.404	7.3671	-28.395
29.254	3.0143	28.436
30.869	-7.7701	0.61406
28.805	8.6125	-14.844
31.061	-6.3688	8.9264
29.942	7.234	-28.074
32.29	-0.91797	21.521
29.377	8.3576	1.8981
28.986	-4.0501	0.17096
31.129	10.664	8.4137
31.919	-5.2211	21.521
31.005	12.048	0.90106
30.144	2.2939	1.5772
30.535	-0.42359	-14.739
30.247	14.019	0.39506
28.964	11.524	22.165
36.879	-1.5996	-28.205
30.893	0.032538	-14.539
