level_0	level_1	frames = 100 markers = 13 Hz = 30
-23.241084615384597	5.4592	27.573
-20.813084615384597	12.041	19.217
-22.081084615384597	-1.5415	19.153
-20.396084615384595	13.417	6.3335
-20.042084615384596	-5.6135	7.18
-20.061084615384594	13.813	-3.8171
-21.075084615384597	-6.5811	-2.8791
-21.035084615384598	8.1535	-1.4936
-21.080084615384592	-0.44937	-1.4891
-20.415084615384593	8.0539	-17.76
-20.278084615384593	-1.4124	-17.721
-19.836084615384593	7.9556	-32.554
-19.560084615384596	-2.2613	-32.491
-23.190084615384595	5.1108	27.567
-20.785084615384598	11.772	19.23
-21.976084615384597	-1.8208	19.119
-20.102084615384598	13.044	6.3765
-20.101084615384593	-5.5682	7.0016
-19.715084615384598	13.507	-3.7698
-21.869084615384597	-7.0494	-2.8898
-21.0560846153846	8.0195	-1.5349
-21.166084615384598	-0.58273	-1.5181
-20.569084615384597	7.9855	-17.806
-20.466084615384595	-1.4901	-17.757
-19.8180846153846	7.9481	-32.593
-19.554084615384596	-2.2563	-32.521
-23.082084615384595	4.8378	27.552
-20.725084615384596	11.55	19.23
-21.869084615384597	-2.0544	19.089
-19.869084615384594	12.9	6.4126
-20.226084615384593	-6.0996	7.0025
-19.211084615384593	13.497	-3.7127
-22.099084615384594	-7.8434	-2.8261
-21.077084615384592	7.8692	-1.5705
-21.237084615384596	-0.73235	-1.5563
-20.579084615384595	7.9455	-17.841
-20.499084615384596	-1.5505	-17.799
-19.819084615384597	8.007	-32.627
-19.551084615384596	-2.2371	-32.564
-23.032084615384594	4.6104	27.523
-20.676084615384596	11.346	19.202
-21.819084615384597	-2.2589	19.05
-19.913084615384598	12.681	6.3675
-20.210084615384595	-6.2669	6.9437
-19.1140846153846	13.357	-3.7425
-22.002084615384597	-8.0597	-2.8912
-21.089084615384593	7.7023	-1.6051
-21.280084615384595	-0.89856	-1.5989
-20.586084615384593	7.8689	-17.875
-20.514084615384597	-1.6224	-17.844
-19.8210846153846	8.0118	-32.66
-19.542084615384596	-2.225	-32.612
-22.970084615384597	4.3968	27.508
-20.646084615384595	11.146	19.184
-21.825084615384597	-2.4529	19.03
-19.999084615384596	12.503	6.3323
-20.323084615384595	-6.378	6.8727
-19.052084615384594	13.284	-3.7572
-21.886084615384597	-8.2291	-2.9905
-21.100084615384596	7.5347	-1.6317
-21.288084615384598	-1.0662	-1.617
-20.587084615384597	7.7924	-17.9
-20.523084615384597	-1.6934	-17.866
-19.814084615384594	8.0186	-32.684
-19.549084615384594	-2.2082	-32.638
-22.951084615384595	4.1743	27.547
-20.602084615384598	10.906	19.232
-21.827084615384596	-2.6976	19.088
-20.023084615384597	12.302	6.3742
-20.509084615384594	-6.498	6.8514
-18.939084615384594	13.178	-3.6933
-21.823084615384595	-8.3403	-3.0497
-21.110084615384594	7.4186	-1.6326
-21.285084615384598	-1.1824	-1.5669
-20.594084615384595	7.7396	-17.9
-20.612084615384596	-1.6654	-17.825
-19.8150846153846	8.0241	-32.683
-19.722084615384595	-2.0499	-32.607
-22.909084615384597	3.9782	27.588
-20.579084615384595	10.75	19.303
-21.868084615384596	-2.8639	19.15
-20.134084615384594	12.26	6.4375
-20.6900846153846	-6.5632	6.8545
-19.072084615384597	13.247	-3.6219
-21.776084615384597	-8.3628	-3.0819
-21.130084615384597	7.29	-1.6125
-21.281084615384593	-1.3113	-1.5223
-20.601084615384593	7.6881	-17.877
-20.6140846153846	-1.7291	-17.783
-19.814084615384594	8.0436	-32.658
-19.727084615384598	-2.0538	-32.566
-22.918084615384597	3.9124	27.573
-20.587084615384597	10.711	19.312
-21.895084615384597	-2.9136	19.155
-20.179084615384596	12.27	6.4466
-20.8580846153846	-6.5595	6.8154
-19.2360846153846	13.266	-3.6236
-21.757084615384596	-8.3308	-3.1448
-21.163084615384598	7.1433	-1.5911
-21.283084615384595	-1.4589	-1.5498
-20.619084615384594	7.6194	-17.853
-20.615084615384596	-1.8002	-17.812
-19.816084615384597	8.0467	-32.632
-19.726084615384593	-2.0546	-32.596
-22.934084615384595	3.799	27.575
-20.596084615384598	10.607	19.336
-21.886084615384597	-3.023	19.155
-20.109084615384596	12.352	6.5055
-20.692084615384594	-6.3141	6.7527
-19.412084615384593	13.401	-3.5791
-21.249084615384596	-7.8158	-3.2775
-21.1930846153846	7.0924	-1.5771
-21.320084615384594	-1.5097	-1.5621
-20.637084615384595	7.5858	-17.838
-20.631084615384594	-1.8187	-17.824
-19.823084615384595	8.0282	-32.616
-19.727084615384598	-2.0441	-32.608
-22.849084615384594	3.6761	27.549
-20.595084615384593	10.524	19.315
-21.858084615384595	-3.1027	19.113
-20.0500846153846	12.408	6.5114
-20.785084615384598	-6.3863	6.6844
-19.843084615384598	13.426	-3.5981
-21.275084615384593	-7.8622	-3.3529
-21.1930846153846	6.9741	-1.6313
-21.356084615384596	-1.6272	-1.5686
-20.634084615384594	7.5306	-17.891
-20.648084615384597	-1.8714	-17.831
-19.8210846153846	8.029	-32.666
-19.727084615384598	-2.0389	-32.614
-22.891084615384596	3.643	27.54
-20.604084615384593	10.453	19.308
-21.846084615384594	-3.1632	19.083
-20.106084615384596	12.675	6.5488
-21.035084615384598	-6.5645	6.6358
-20.673084615384596	13.779	-3.5393
-21.631084615384594	-8.1354	-3.3815
-21.2330846153846	6.8943	-1.6409
-21.398084615384597	-1.707	-1.5752
-20.656084615384593	7.4942	-17.898
-20.668084615384593	-1.9141	-17.837
-19.8240846153846	8.0318	-32.671
-19.727084615384598	-2.0476	-32.619
-22.802084615384597	3.574	27.537
-20.5710846153846	10.417	19.294
-21.762084615384595	-3.192	19.063
-19.942084615384594	12.802	6.5829
-21.0470846153846	-6.5949	6.5992
-21.270084615384597	13.852	-3.4393
-21.672084615384595	-8.2034	-3.4104
-21.334084615384597	6.8151	-1.6402
-21.452084615384592	-1.787	-1.579
-20.703084615384597	7.4551	-17.894
-20.822084615384597	-1.9953	-17.845
-19.823084615384595	8.0304	-32.663
-19.972084615384595	-2.1272	-32.632
-22.806084615384595	3.4957	27.553
-20.5740846153846	10.332	19.319
-21.718084615384594	-3.2809	19.082
-19.792084615384596	12.851	6.6586
-21.1780846153846	-6.7768	6.6153
-21.993084615384596	13.84	-3.215
-21.923084615384596	-8.476	-3.3704
-21.392084615384597	6.8087	-1.6416
-21.516084615384592	-1.7932	-1.5576
-20.732084615384593	7.454	-17.894
-20.869084615384594	-1.9933	-17.823
-19.829084615384595	8.0335	-32.661
-19.999084615384596	-2.1173	-32.609
-22.810084615384596	3.5052	27.527
-20.603084615384596	10.351	19.322
-21.732084615384597	-3.2741	19.069
-19.735084615384594	13.012	6.7045
-21.198084615384595	-6.7837	6.6046
-22.659084615384597	13.99	-2.9813
-21.983084615384595	-8.5134	-3.3728
-21.439084615384594	6.6952	-1.6582
-21.543084615384593	-1.9069	-1.5662
-20.761084615384597	7.3969	-17.907
-20.869084615384594	-2.0529	-17.831
-19.834084615384597	8.0278	-32.671
-19.980084615384598	-2.1279	-32.617
-22.753084615384594	3.3902	27.538
-20.644084615384592	10.281	19.352
-21.764084615384597	-3.3453	19.069
-19.945084615384594	12.953	6.7073
-21.206084615384597	-6.8004	6.5937
-23.236084615384595	13.909	-2.8621
-22.065084615384595	-8.4948	-3.3837
-21.536084615384596	6.6967	-1.6734
-21.594084615384595	-1.9057	-1.5591
-20.801084615384596	7.4042	-17.92
-20.903084615384593	-2.0803	-17.823
-19.827084615384592	8.041	-32.681
-20.000084615384594	-2.1801	-32.608
-22.745084615384595	3.39	27.557
-20.662084615384593	10.288	19.372
-21.762084615384595	-3.3302	19.07
-19.953084615384597	12.958	6.7285
-21.171084615384594	-6.7966	6.6027
-23.567084615384594	13.83	-2.7316
-22.153084615384596	-8.471	-3.3667
-21.618084615384596	6.6735	-1.639
-21.6350846153846	-1.9293	-1.5469
-20.848084615384593	7.3984	-17.883
-20.912084615384593	-2.0913	-17.81
-19.840084615384598	8.0517	-32.641
-19.9830846153846	-2.1789	-32.593
-22.782084615384594	3.336	27.56
-20.714084615384593	10.246	19.373
-21.807084615384596	-3.3601	19.048
-19.893084615384595	12.954	6.7571
-21.1380846153846	-6.8367	6.5968
-23.888084615384596	13.736	-2.5565
-22.254084615384595	-8.448	-3.369
-21.644084615384592	6.6397	-1.6361
-21.677084615384597	-1.963	-1.5408
-20.862084615384596	7.3799	-17.879
-20.9400846153846	-2.1097	-17.803
-19.846084615384598	8.046	-32.636
-19.991084615384594	-2.1836	-32.585
-22.864084615384595	3.2932	27.545
-20.802084615384594	10.199	19.346
-21.899084615384595	-3.395	19.018
-19.8640846153846	12.979	6.7654
-21.109084615384596	-6.8945	6.5928
-24.166084615384595	13.692	-2.4159
-22.363084615384597	-8.4418	-3.3666
-21.691084615384597	6.5595	-1.6796
-21.739084615384595	-2.0424	-1.5267
-20.889084615384597	7.3396	-17.919
-20.984084615384596	-2.151	-17.788
-19.853084615384596	8.0408	-32.673
-20.017084615384597	-2.1906	-32.569
-22.976084615384597	3.255	27.57
-20.860084615384594	10.149	19.373
-21.977084615384594	-3.4414	19.049
-20.0070846153846	12.991	6.7906
-21.054084615384596	-6.9562	6.6526
-24.418084615384597	13.662	-2.3421
-22.463084615384595	-8.4283	-3.2977
-21.743084615384596	6.5503	-1.641
-21.778084615384596	-2.0521	-1.5149
-20.920084615384596	7.3289	-17.88
-21.006084615384594	-2.1525	-17.776
-19.8670846153846	8.0287	-32.633
-20.024084615384595	-2.1845	-32.556
