level_0	level_1	frames = 108 markers = 13 Hz = 30
-6.20609051068368	-0.28186	30.085
-5.1900905106836746	6.4264	22.737
-5.867090510683674	-6.6178	22.686
-4.114090510683674	9.1695	9.3596
-6.482090510683676	-10.043	9.4477
-6.158090510683678	10.127	-0.13568
-6.927090510683676	-12.45	0.009017
-5.983090510683674	2.6548	1.1909
-5.308090510683677	-5.8411	1.1958
-5.1160905106836765	2.7301	-15.219
-4.847090510683678	-5.6332	-15.231
-4.326090510683677	2.7889	-29.9
-4.448090510683677	-5.4214	-29.934
-6.161090510683678	-0.28976	30.091
-5.14809051068368	6.3987	22.731
-5.906090510683676	-6.639	22.701
-4.678090510683674	8.919	9.2746
-6.495090510683674	-10.052	9.458
-5.729090510683676	10.152	-0.34978
-6.919090510683674	-12.449	0.015717
-5.961090510683675	2.6657	1.1925
-5.299090510683676	-5.8312	1.1915
-5.2510905106836745	2.7456	-15.225
-4.995090510683674	-5.648	-15.239
-4.317090510683677	2.7929	-29.898
-4.451090510683677	-5.4249	-29.937
-6.130090510683679	-0.31923	30.104
-5.092090510683676	6.3512	22.735
-5.939090510683677	-6.6803	22.729
-4.592090510683676	8.8182	9.2696
-6.5180905106836775	-10.066	9.479
-5.369090510683677	10.1	-0.37428
-6.934090510683674	-12.444	0.031317
-5.938090510683679	2.6791	1.1933
-5.287090510683676	-5.8186	1.1896
-5.248090510683674	2.6675	-15.226
-4.985090510683676	-5.6427	-15.241
-4.330090510683675	2.6329	-29.898
-4.445090510683677	-5.4256	-29.939
-6.123090510683674	-0.33757	30.114
-5.044090510683674	6.3079	22.739
-5.971090510683673	-6.7169	22.749
-4.500090510683677	8.682	9.2588
-6.573090510683677	-10.076	9.4932
-4.917090510683678	10.016	-0.39958
-7.006090510683677	-12.435	0.041217
-5.912090510683676	2.6948	1.194
-5.27009051068368	-5.8035	1.1872
-5.236090510683674	2.6769	-15.225
-4.976090510683676	-5.634	-15.244
-4.32809051068368	2.6363	-29.899
