level_0	level_1	frames = 245 markers = 13 Hz = 30
-28.809528414442674	9.7661	29.329
-27.20052841444268	16.602	21.93
-26.63652841444268	2.1602	23.21
-27.28852841444268	18.627	7.8648
-28.27952841444268	-1.7566	9.6595
-27.38052841444268	20.235	-3.5785
-29.60952841444268	-4.8953	-1.3707
-27.74052841444268	11.269	1.1604
-27.17052841444268	4.3723	1.166
-27.78252841444268	12.321	-16.565
-27.14252841444268	3.5527	-16.574
-27.79852841444268	13.158	-30.649
-27.13652841444268	2.9222	-30.673
-28.863528414442676	9.5425	29.331
-27.222528414442678	16.41	21.971
-26.66052841444268	1.9609	23.205
-27.32252841444268	18.458	7.9089
-28.49652841444268	-1.9208	9.6687
-27.42552841444268	20.085	-3.5316
-29.98352841444268	-5.0313	-1.3495
-27.665528414442676	11.166	1.1909
-27.210528414442678	4.2603	1.1197
-27.887528414442677	12.192	-16.535
-27.341528414442678	3.4472	-16.62
-27.80052841444268	13.149	-30.611
-27.21852841444268	2.9474	-30.724
-28.89252841444268	9.2975	29.33
-27.247528414442677	16.214	22.005
-26.66052841444268	1.7539	23.179
-27.37052841444268	18.29	7.9471
-28.655528414442678	-2.0783	9.651
-27.49252841444268	19.94	-3.49
-30.27052841444268	-5.1488	-1.3603
-27.68552841444268	11.055	1.1983
-27.23652841444268	4.1501	1.0857
-27.903528414442675	12.144	-16.524
-27.34052841444268	3.397	-16.657
-27.808528414442677	13.156	-30.596
-27.18852841444268	2.9489	-30.762
-28.91052841444268	9.0591	29.334
-27.24352841444268	16.015	22.042
-26.665528414442676	1.5488	23.133
-27.409528414442676	18.119	7.9889
-28.76152841444268	-2.2268	9.6052
-27.567528414442677	19.789	-3.4447
-30.457528414442677	-5.2518	-1.4067
-27.713528414442678	10.933	1.2172
-27.28852841444268	4.0269	1.0673
-27.912528414442676	12.09	-16.501
-27.375528414442677	3.3456	-16.678
-27.814528414442677	13.149	-30.57
-27.214528414442675	2.9523	-30.785
-28.92852841444268	8.7993	29.35
-27.23752841444268	15.819	22.104
-26.668528414442676	1.3405	23.122
-27.454528414442677	17.954	8.0564
-28.81052841444268	-2.3407	9.5754
-27.65152841444268	19.652	-3.3726
-30.54252841444268	-5.2892	-1.4516
-27.729528414442676	10.844	1.2431
-27.34652841444268	3.937	1.0547
-27.924528414442676	12.056	-16.471
-27.385528414442675	3.2991	-16.692
-27.82252841444268	13.156	-30.537
-27.189528414442677	2.9376	-30.8
-28.899528414442678	8.5712	29.361
-27.21852841444268	15.645	22.182
-26.692528414442677	1.1524	23.1
-27.49352841444268	17.785	8.1356
-28.820528414442677	-2.4292	9.524
-27.738528414442676	19.487	-3.2919
-30.540528414442676	-5.2968	-1.5263
-27.732528414442676	10.77	1.2674
-27.38052841444268	3.8617	1.0422
-27.93152841444268	12.019	-16.444
-27.409528414442676	3.2608	-16.706
-27.82552841444268	13.153	-30.507
-27.19752841444268	2.9322	-30.814
-28.915528414442676	8.3598	29.364
-27.192528414442677	15.472	22.219
-26.73652841444268	0.9699	23.068
-27.533528414442678	17.638	8.1786
-28.79452841444268	-2.5167	9.4567
-27.83152841444268	19.361	-3.2444
-30.455528414442675	-5.3076	-1.622
-27.73352841444268	10.689	1.2783
-27.42852841444268	3.7797	1.0284
-27.937528414442674	11.981	-16.43
-27.42952841444268	3.2214	-16.721
-27.835528414442678	13.149	-30.491
-27.195528414442677	2.9263	-30.83
-28.92852841444268	8.1621	29.362
-27.16352841444268	15.314	22.252
-26.76752841444268	0.8054	23.028
-27.56652841444268	17.495	8.2156
-28.725528414442678	-2.5711	9.3748
-27.91652841444268	19.23	-3.2041
-30.302528414442676	-5.2729	-1.7382
-27.741528414442676	10.605	1.2822
-27.48352841444268	3.6944	1.0141
-27.946528414442675	11.95	-16.422
-27.45652841444268	3.1835	-16.737
-27.844528414442678	13.161	-30.479
-27.199528414442675	2.9255	-30.846
-28.927528414442676	7.9752	29.361
-27.11752841444268	15.166	22.282
-26.802528414442676	0.6509	22.99
-27.59952841444268	17.36	8.2501
-28.60952841444268	-2.6108	9.2871
-28.013528414442675	19.105	-3.1658
-30.061528414442677	-5.22	-1.8649
-27.748528414442674	10.545	1.297
-27.579528414442677	3.6328	1.0055
-27.948528414442677	11.929	-16.405
-27.503528414442677	3.1588	-16.747
-27.84952841444268	13.165	-30.459
-27.20952841444268	2.9263	-30.855
-28.93852841444268	7.8189	29.369
-27.092528414442675	15.043	22.326
-26.82852841444268	0.5267	22.945
-27.61152841444268	17.249	8.2971
-28.449528414442675	-2.6417	9.1971
-28.05452841444268	19.005	-3.116
-29.747528414442677	-5.1757	-1.991
-27.74652841444268	10.482	1.3104
-27.61852841444268	3.5694	1.0033
-27.94752841444268	11.894	-16.389
-27.52952841444268	3.1289	-16.75
-27.848528414442676	13.152	-30.442
-27.219528414442678	2.9264	-30.858
-28.969528414442678	7.6382	29.354
-27.070528414442677	14.888	22.345
-26.854528414442676	0.368	22.895
-27.62152841444268	17.135	8.3235
-28.260528414442675	-2.6635	9.0933
-28.091528414442678	18.924	-3.0834
-29.38052841444268	-5.0867	-2.1385
-27.82252841444268	10.386	1.2551
-27.69452841444268	3.471	1.0148
-27.98752841444268	11.869	-16.439
-27.562528414442674	3.0825	-16.739
-27.86152841444268	13.184	-30.486
-27.22452841444268	2.9192	-30.848
-28.99952841444268	7.5165	29.354
-27.07552841444268	14.797	22.365
-26.87052841444268	0.2768	22.849
-27.640528414442677	17.053	8.3454
-28.01152841444268	-2.6144	8.9929
-28.122528414442677	18.849	-3.0597
-28.915528414442676	-4.9219	-2.2827
-27.818528414442675	10.335	1.2578
-27.71552841444268	3.4203	1.0051
-27.99352841444268	11.847	-16.434
-27.576528414442677	3.0624	-16.749
-27.869528414442676	13.189	-30.479
-27.23352841444268	2.9232	-30.858
-29.034528414442676	7.42	29.352
-27.074528414442675	14.744	22.401
-26.88352841444268	0.2225	22.8
-27.65452841444268	16.996	8.3818
-27.836528414442675	-2.6076	8.9173
-28.14852841444268	18.789	-3.0234
-28.585528414442678	-4.8683	-2.3789
-27.81352841444268	10.288	1.2641
-27.716528414442678	3.3729	0.99558
-27.994528414442676	11.819	-16.426
-27.576528414442677	3.0383	-16.759
-27.87452841444268	13.177	-30.469
-27.232528414442676	2.9182	-30.868
-29.052528414442676	7.3261	29.359
-27.067528414442677	14.697	22.436
-26.869528414442676	0.1736	22.779
-27.643528414442677	16.967	8.4191
-27.64252841444268	-2.5368	8.8606
-28.134528414442677	18.775	-2.9838
-28.24352841444268	-4.7009	-2.4633
-27.817528414442677	10.218	1.2683
-27.78252841444268	3.3025	1.0109
-28.000528414442677	11.79	-16.418
-27.60952841444268	3.0088	-16.744
-27.881528414442677	13.178	-30.458
-27.238528414442676	2.9191	-30.853
-29.10352841444268	7.2566	29.349
-27.07552841444268	14.647	22.435
-26.872528414442677	0.1235	22.751
-27.628528414442677	16.949	8.4227
-27.48752841444268	-2.5044	8.809
-28.100528414442678	18.783	-2.9768
-27.95952841444268	-4.6016	-2.5335
-27.80652841444268	10.194	1.2671
-27.75252841444268	3.2796	0.98928
-27.998528414442674	11.781	-16.418
-27.597528414442678	2.9956	-16.766
-27.88652841444268	13.181	-30.457
-27.238528414442676	2.9165	-30.875
-29.10552841444268	7.1995	29.345
-27.071528414442675	14.609	22.435
-26.847528414442678	0.086099	22.746
-27.592528414442675	16.938	8.4263
-27.363528414442676	-2.4697	8.7868
-28.039528414442678	18.794	-2.9708
-27.754528414442674	-4.5084	-2.5693
-27.805528414442676	10.158	1.2666
-27.72752841444268	3.2433	0.98268
-27.99652841444268	11.768	-16.416
-27.58152841444268	2.9805	-16.773
-27.890528414442677	13.184	-30.454
-27.23652841444268	2.9152	-30.883
-29.135528414442675	7.1522	29.34
-27.06952841444268	14.569	22.433
-26.817528414442677	0.049699	22.739
-27.54752841444268	16.921	8.4263
-27.263528414442675	-2.4247	8.7623
-27.958528414442675	18.796	-2.9691
-27.597528414442678	-4.3972	-2.6072
-27.80052841444268	10.12	1.2596
-27.696528414442675	3.2062	0.97868
-27.99352841444268	11.746	-16.421
-27.570528414442677	2.9637	-16.778
-27.88952841444268	13.176	-30.458
-27.238528414442676	2.9166	-30.887
-29.140528414442677	7.0995	29.341
-27.085528414442678	14.535	22.436
-26.77052841444268	0.017599	22.742
-27.51152841444268	16.924	8.4342
-27.19152841444268	-2.3971	8.7542
-27.879528414442674	18.828	-2.9578
-27.506528414442677	-4.3208	-2.6242
-27.78852841444268	10.09	1.2615
-27.66952841444268	3.1759	0.98218
-27.99052841444268	11.741	-16.417
-27.555528414442676	2.9482	-16.774
-27.899528414442678	13.186	-30.452
-27.23652841444268	2.911	-30.885
-29.143528414442677	7.0786	29.343
-27.09652841444268	14.506	22.434
-26.71852841444268	-0.0072006	22.747
-27.464528414442675	16.932	8.4365
-27.125528414442677	-2.3862	8.7531
-27.784528414442676	18.867	-2.9519
-27.42952841444268	-4.2803	-2.6306
-27.775528414442675	10.066	1.26
-27.629528414442674	3.1522	0.98708
-27.99652841444268	11.728	-16.417
-27.53852841444268	2.9359	-16.77
-27.908528414442678	13.189	-30.451
-27.23452841444268	2.9097	-30.88
-29.131528414442677	7.0649	29.348
-27.11752841444268	14.495	22.439
-26.65752841444268	-0.014501	22.749
-27.42252841444268	16.933	8.442
-27.05752841444268	-2.3682	8.7503
-27.690528414442674	18.876	-2.9461
-27.357528414442676	-4.2412	-2.637
-27.757528414442675	10.045	1.2607
-27.586528414442675	3.1311	0.99698
-27.988528414442676	11.72	-16.415
-27.519528414442675	2.9255	-16.76
-27.908528414442678	13.192	-30.448
-27.23452841444268	2.9077	-30.871
-29.10852841444268	7.0579	29.35
-27.131528414442677	14.49	22.436
-26.592528414442675	-0.015901	22.753
-27.375528414442677	16.943	8.4402
-26.99652841444268	-2.3664	8.7538
-27.594528414442678	18.899	-2.947
-27.30052841444268	-4.2362	-2.6339
-27.73052841444268	10.031	1.2593
-27.54252841444268	3.1182	1.0018
-27.972528414442678	11.718	-16.415
-27.497528414442677	2.9209	-16.756
-27.91352841444268	13.192	-30.448
-27.23052841444268	2.9095	-30.867
-29.088528414442678	7.0719	29.348
-27.129528414442674	14.507	22.427
-26.507528414442675	0.0075994	22.756
-27.32852841444268	16.954	8.4299
-26.961528414442675	-2.3792	8.7652
-27.51152841444268	18.905	-2.9588
-27.30652841444268	-4.2781	-2.6166
-27.70052841444268	10.033	1.2628
-27.479528414442676	3.121	1.0038
-27.966528414442678	11.722	-16.412
-27.47152841444268	2.9186	-16.754
-27.91952841444268	13.201	-30.444
-27.225528414442678	2.9069	-30.865
-29.06952841444268	7.0893	29.351
-27.128528414442677	14.53	22.429
-26.427528414442676	0.033499	22.776
-27.28852841444268	16.971	8.4302
-26.945528414442677	-2.4056	8.7958
-27.437528414442674	18.916	-2.9599
-27.342528414442675	-4.3465	-2.5772
-27.671528414442676	10.036	1.2618
-27.408528414442678	3.1249	1.0135
-27.95652841444268	11.726	-16.412
-27.437528414442674	2.9227	-16.744
-27.92552841444268	13.207	-30.444
-27.225528414442678	2.9097	-30.856
-29.055528414442676	7.1197	29.354
-27.100528414442678	14.562	22.418
-26.351528414442676	0.072099	22.792
-27.24352841444268	16.986	8.4157
-26.92652841444268	-2.4176	8.8233
-27.379528414442674	18.918	-2.9769
-27.373528414442674	-4.3972	-2.5413
-27.634528414442677	10.042	1.2709
-27.347528414442678	3.1313	1.0242
-27.934528414442674	11.725	-16.403
-27.408528414442678	2.9242	-16.733
-27.914528414442678	13.2	-30.436
-27.220528414442676	2.907	-30.846
-29.046528414442676	7.135	29.377
-27.086528414442675	14.585	22.426
-26.28252841444268	0.099699	22.825
-27.211528414442675	17.001	8.4229
-26.918528414442676	-2.4321	8.8664
-27.332528414442677	18.926	-2.971
-27.415528414442676	-4.4476	-2.4898
-27.59352841444268	10.053	1.2783
-27.266528414442675	3.1435	1.0578
-27.921528414442676	11.735	-16.396
-27.37152841444268	2.9303	-16.699
-27.924528414442676	13.209	-30.428
-27.21552841444268	2.9109	-30.812
-29.040528414442676	7.1811	29.382
-27.068528414442675	14.631	22.418
-26.213528414442678	0.1514	22.84
-27.16952841444268	17.031	8.4114
-26.91752841444268	-2.4433	8.8957
-27.271528414442678	18.944	-2.9849
-27.470528414442676	-4.5096	-2.4488
-27.55152841444268	10.078	1.2857
-27.195528414442677	3.1701	1.0683
-27.90152841444268	11.751	-16.389
-27.33452841444268	2.9435	-16.688
-27.92952841444268	13.215	-30.422
-27.20952841444268	2.9114	-30.802
-29.030528414442678	7.2318	29.382
-27.02352841444268	14.686	22.419
-26.153528414442675	0.2063	22.861
-27.134528414442677	17.065	8.409
-26.897528414442675	-2.4363	8.9278
-27.24352841444268	18.961	-2.99
-27.482528414442676	-4.5414	-2.4081
-27.51452841444268	10.095	1.2895
-27.147528414442675	3.1871	1.0753
-27.893528414442677	11.759	-16.385
-27.308528414442677	2.9521	-16.681
-27.930528414442676	13.222	-30.419
-27.204528414442677	2.9115	-30.794
-29.04552841444268	7.2797	29.37
-27.00852841444268	14.726	22.385
-26.09952841444268	0.2546	22.862
-27.11752841444268	17.095	8.3739
-26.884528414442677	-2.4377	8.9409
-27.225528414442678	18.983	-3.0264
