level_0	level_1	frames = 210 markers = 13 Hz = 30
-38.836	5.2388	-33.8897145496008
-40.081	12.086	-26.192714549600797
-40.055	-2.3809	-27.023714549600797
-39.512	13.823	-11.9609145496008
-38.545	-4.5761	-12.935414549600798
-39.124	14.933	-2.5787045496007988
-37.575	-5.9876	-3.6475045496007987
-39.153	7.3125	-5.4483145496007985
-39.431	0.31244	-5.453014549600798
-38.889	7.1259	12.6632854503992
-40.505	1.1381	12.613285450399202
-40.861	6.6255	27.542285450399202
-41.374	1.8417	27.595285450399203
-38.813	5.249	-33.88571454960079
-40.08	12.095	-26.1937145496008
-40.05	-2.3731	-27.026714549600797
-39.517	13.831	-11.961214549600799
-38.54	-4.564	-12.937714549600798
-39.134	14.94	-2.5788045496007985
-37.57	-5.9725	-3.6493045496007985
-39.151	7.3203	-5.448214549600799
-39.424	0.32	-5.451414549600798
-38.876	7.1304	12.6632854503992
-40.365	1.055	12.6252854503992
-40.86	6.6257	27.5402854503992
-41.375	1.8408	27.595285450399203
-38.788	5.2608	-33.8817145496008
-40.085	12.097	-26.1827145496008
-40.047	-2.3677	-27.0207145496008
-39.523	13.835	-11.950914549600798
-38.531	-4.5524	-12.9320145496008
-39.141	14.946	-2.5686045496007988
-37.556	-5.9569	-3.6435045496007987
-39.147	7.3248	-5.448214549600799
-39.418	0.32446	-5.451414549600798
-38.871	7.1333	12.6632854503992
-40.362	1.0575	12.6252854503992
-40.859	6.627	27.539285450399202
-41.374	1.8415	27.595285450399203
-38.774	5.2589	-33.8787145496008
-40.081	12.098	-26.180714549600797
-40.046	-2.367	-27.0197145496008
-39.529	13.79	-11.9433145496008
-38.524	-4.5458	-12.930214549600798
-39.153	14.869	-2.5571045496007985
-37.545	-5.9463	-3.6415045496007985
-39.147	7.3265	-5.4483145496007985
-39.404	0.3256	-5.453014549600798
-38.868	7.137	12.6632854503992
-40.355	1.0583	12.623285450399202
-40.859	6.6281	27.539285450399202
-41.374	1.8418	27.5932854503992
-38.752	5.2664	-33.8757145496008
-40.082	12.101	-26.1777145496008
-40.039	-2.3634	-27.018714549600798
-39.528	13.79	-11.939714549600799
-38.509	-4.5331	-12.928714549600798
-39.15	14.868	-2.553504549600799
-37.526	-5.9277	-3.6396045496007985
-39.142	7.3292	-5.449914549600798
-39.399	0.32832	-5.451514549600798
-38.859	7.1388	12.661285450399202
-40.357	1.0598	12.6252854503992
-40.858	6.6291	27.536285450399202
-41.376	1.8387	27.5942854503992
-38.738	5.2622	-33.87071454960079
-40.074	12.105	-26.1747145496008
-40.029	-2.3607	-27.0147145496008
-39.523	13.824	-11.940614549600799
