		frames = 210 markers = 13 Hz = 30
-40.88	6.6686	-30.577
-20.516	1.8409	14.758
-39.045	7.0543	2.4387
-39.821	11.815	23.121
-31.209	2.8378	-15.442
-39.877	-2.4132	24.01
-31.286	2.8535	-15.478
-34.997	-5.7883	22.811
-21.653	10.935	2.365
-19.315	-6.738	21.414
-31.124	6.1348	-15.49
-34.461	-2.0387	-30.849
-41.485	1.6725	-30.505
-31.274	2.8335	-15.469
-39.332	13.534	8.8688
-39.001	6.8069	-15.691
-39.842	-2.5488	23.998
-40.933	6.7664	-30.57
-37.392	-6.1595	0.59859
-30.094	6.1964	-15.489
-40.906	6.6929	-30.582
-31.302	5.0262	-30.457
-38.974	14.68	-0.50621
-37.881	6.2042	1.6423
-21.767	-6.2982	25.196
-39.528	13.79	8.932
-40.298	0.97013	-15.642
-38.039	0.33902	-15.982
-31.034	5.0374	-30.096
-36.073	0.65004	1.86
-38.023	-6.0919	1.7769
-21.839	5.109	0.68189
-29.2	14.422	-0.68101
-28.02	-4.2397	19.13
-20.684	-13.402	-6.7922
-28.452	2.5732	22.371
-40.319	0.99178	-15.642
-38.802	7.1213	-15.672
-40.047	12.089	23.143
-38.745	-3.713	23.814
-20.621	9.9732	14.773
-41.374	1.8379	-30.606
-37.049	-6.2662	0.49779
-38.813	5.249	30.878
-39.287	0.26797	2.4301
-20.771	11.125	13.624
-38.85	7.1378	-15.671
-39.045	-0.14656	2.3972
-35.008	8.8015	23.108
-39.349	13.573	8.8572
-39.857	11.839	23.106
-34.418	-2.0516	-30.702
-41.379	1.8338	-30.603
-39.61	-2.6897	23.974
-20.677	7.6786	16.141
-20.632	0.97911	14.509
-29.237	2.6504	-15.123
-36.568	3.4895	30.661
-36.133	0.67237	1.839
-36.959	-6.5866	0.46109
-36.946	-7.2	0.14619
-40.246	0.78241	-15.671
-17.512	9.3927	-3.5112
-21.484	5.0617	0.69649
-38.471	-4.5144	9.9079
-30.34	6.1492	-15.489
-16.852	-7.203	18.061
-39.077	14.839	-0.48021
-24.226	2.6833	25.296
-20.035	-6.7123	22.547
-38.811	7.113	-15.673
-28.106	-5.3795	29.705
-32.61	-6.82	1.919
-38.892	14.409	-0.39471
-20.601	5.49	0.88449
-37.218	-6.2153	0.53069
-39.328	0.30271	2.4364
-26.42	-15.939	0.60679
-39.725	-2.6129	23.97
-17.144	-0.57049	-5.2971
-36.003	0.71044	1.8899
-31.265	4.9337	-30.459
-23.024	-3.3796	15.269
-20.72	-13.363	-6.9322
-35.579	-3.1856	-15.832
-39.127	6.8794	-15.671
-37.97	-4.9581	9.8057
-39.231	0.13743	2.4216
-30.829	4.941	-29.812
-20.893	11.225	13.61
-33.353	6.3001	-29.875
-23.719	-13.092	14.637
-40.864	6.6661	-30.553
-19.413	-2.4002	-6.4221
-38.191	4.8485	30.835
-40.28	0.95131	-15.644
-36.278	0.70459	1.813
-38.756	5.2912	30.85
-19.246	-2.501	-6.7792
-31.147	4.9011	-30.338
-39.879	11.85	23.105
-21.656	13.387	-2.6837
-33.456	14.404	0.19689
-39.475	13.76	8.9087
-21.483	-3.8932	13.917
-31.136	4.9138	-30.322
-35.018	-2.222	-30.879
-17.418	5.4695	-3.2746
-19.922	1.7704	-4.4063
-26.819	10.609	18.536
-35.49	-10.92	-0.40571
-37.882	-6.1166	1.8078
-39.945	-2.3686	24.013
-37.492	1.2281	1.9979
-20.637	0.99386	14.511
-39.164	6.8948	-15.67
-23.282	-14.268	-5.926
-22.305	-5.1564	14.803
-34.403	-5.1025	-15.936
-39.955	11.901	23.1
-20.721	7.0033	16.131
-39.034	6.9721	-15.667
-39.888	11.866	23.111
-40.365	1.055	-15.633
-38.859	7.1388	-15.669
-34.475	-2.1435	-30.682
-25.838	-16.219	0.42659
-31.116	4.9271	-30.28
-40.866	6.6449	-30.544
-39.115	0.0098203	2.4234
-36.976	-6.4297	0.48999
-40.864	6.6651	-30.549
-26.253	-7.4896	1.4298
-34.387	-1.9844	-30.723
-41.376	1.838	-30.604
-38.773	5.2883	30.849
-37.128	7.4564	1.5524
-38.801	7.1411	-15.676
-39.855	-2.5239	24.001
-37.409	-6.168	0.57699
-38.318	-4.7631	9.8932
-25.963	10.753	17.963
-20.888	-13.41	-6.7551
-20.813	5.3549	0.86419
-39.116	7.2967	2.435
-40.63	1.7152	-29.874
-38.832	12.998	0.11069
-38.89	5.8554	2.4176
-39.339	13.514	8.8653
-38.93	5.3833	2.452
-40.871	6.6576	-30.572
-35.541	-1.5431	-30.428
-37.446	7.0117	1.5069
-31.587	15.653	7.499
-40.865	6.6614	-30.545
-21.534	-3.4172	13.915
-24.199	-6.4641	0.10099
-41.472	1.7212	-30.67
-39.064	-0.62978	2.3557
-38.969	13.523	-0.28681
-31.043	5.0208	-30.117
-29.729	-11.782	22.573
-17.137	-0.67486	-5.3482
-38.589	5.1171	30.84
-40.86	6.6562	-30.547
-17.536	11.302	-4.8396
-38.347	-4.6088	9.92
-29.576	-11.804	22.426
-39.118	-0.14453	2.3869
-31.355	3.8064	-15.507
-34.504	-5.0766	-15.987
-21.543	-4.4279	14.152
-24.351	-12.808	15.337
-40.324	0.9971	-15.641
-37.517	-2.1314	2.161
-41.418	1.6848	-30.504
-20.71	8.9	15.756
-35.994	0.67224	1.8913
-40.034	12.059	23.144
-20.694	6.5572	16.111
-38.075	-6.1042	1.741
-17.183	0.23411	-4.5849
-39.239	0.10341	2.42
-16.436	0.9623	18.688
-23.349	2.8555	24.622
-36.167	0.6776	1.8269
-19.64	-2.6775	-6.11
-37.541	4.3112	30.778
-36.916	-7.2735	9.2707
-40.067	0.08202	-15.851
-36.207	3.1376	30.612
-37.41	-5.9707	0.62339
-34.745	0.25726	2.1854
-22.312	-7.7569	-4.6805
-23.161	-13.543	14.229
-39.682	-2.6402	23.975
-21.427	-13.208	-6.4555
-40.261	0.94145	-15.64
-35.638	-1.4736	-15.815
-16.806	0.0492	19.204
-31.396	6.1093	-15.403
-39.142	7.3292	2.4422
-28.248	-11.384	2.645
-22.99	-6.0273	26.574
-41.401	1.7658	-30.601
-39.083	12.922	9.0229
-34.592	-4.535	-15.881
