		frames = 180 markers = 13 Hz = 30
-37.417	0.027297	3.1535
-39.12	-6.8574	-28.428
-37.711	-8.7894	3.1555
-38.334	-6.9996	-27.571
-38.296	-3.2506	3.7772
-39.748	4.4779	-12.73
-38.237	-7.1186	-27.44
-42.291	1.3943	3.4909
-35.442	-13.903	11.624
-17.652	8.9918	-22.025
-31.508	10.766	-15.211
-33.936	9.424	-13.965
-19.019	-8.8015	-18.507
-24.392	-8.3353	-13.502
-37.459	-8.4108	3.0156
-37.856	19.819	1.2398
-40.986	4.1319	-12.448
-44.239	2.2698	-2.3388
-33.151	-9.0027	-13.432
-33.022	-6.9863	24.616
-25.824	-6.8464	0.58034
-34.325	-14.047	1.7108
-38.08	-4.3486	3.8359
-45.83	5.8048	12.962
-39.675	4.7184	-28.105
-37.573	-8.9093	3.0875
-25.211	5.0181	-0.53066
-37.614	-6.5105	-13.058
-37.261	-13.588	11.731
-37.591	-7.8556	-13.129
-37.083	-13.458	11.714
-19.167	-8.5883	-20.73
-43.319	2.4721	-2.6526
-39.778	14.262	8.4854
-38.66	-7.258	-28.091
-40.149	2.3191	-12.571
-39.385	5.4415	-27.349
-35.128	6.5698	1.8029
-17.674	8.8876	-21.155
-39.398	5.4689	-27.34
-35.742	-4.2074	32.127
-30.377	-12.444	11.962
-36.262	4.8165	12.059
-40.128	7.6625	3.0696
-38.299	-5.5499	-12.165
-37.85	-10.183	24.524
-37.803	-10.2	24.533
-26.514	-12.012	-5.9036
-39.291	3.998	-12.755
-20.246	11.095	-4.3326
-39.13	-6.8732	-28.441
-44.275	18.912	5.025
-28.991	-9.0151	-15.024
-37.825	-8.6832	3.1095
-38.291	-0.21916	3.1984
-31.682	-0.66411	31.871
-25.753	-6.3598	6.4345
-36.436	-10.237	24.662
-41.274	4.8838	24.256
-39.038	-7.1656	-27.786
-47.163	22.277	-3.9174
-36.544	-10.315	12.175
-42.986	-6.7254	0.10414
-25.811	7.1412	10.059
-36.964	-5.8685	3.2425
-24.863	10.981	-14.147
-38.967	2.4015	-12.873
-27.188	6.8792	12.348
-41.574	4.4304	-12.685
-39.191	-6.8601	-28.465
-24.488	-4.8935	13.391
-29.429	17.871	-4.0304
-39.788	4.8245	-27.76
-26.064	6.5775	7.2872
-27.964	0.90348	21.288
-19.155	0.35621	9.2127
-20.38	-0.55157	11.665
-39.132	-6.8749	-28.479
-26.518	7.2071	15.038
-36.437	-10.46	24.623
-25.515	5.9855	0.24624
-23.013	10.58	-11.956
-41.366	3.9082	-12.724
-37.487	-8.7172	3.045
-31.257	-14.659	1.8926
-35.118	-4.4635	31.988
-27.866	17.788	-0.59746
-37.967	-3.0723	4.1429
-39.149	-7.0118	-28.034
-20.463	0.71627	16.117
-38.765	-0.31721	3.1402
-41.976	12.891	5.899
-27.087	14.839	-2.0482
-40.038	5.2059	-28.412
-42.359	-5.9403	-3.2562
-29.16	11.355	-4.6137
-39.191	-6.8601	-28.465
-24.343	-12.757	-12.276
-38.724	14.179	8.3731
-25.321	12.333	-0.43646
-32.807	9.8523	28.887
-39.734	-0.61383	3.23
-39.605	4.2815	-12.419
-37.041	-6.7641	-12.689
-47.26	13.067	10.89
-35.008	11.185	20.851
-25.798	-6.6617	-1.441
-33.667	-3.6729	31.789
-28.078	-12.077	0.99894
-36.823	12.609	20.865
-38.989	4.9151	11.9
-37.96	-13.697	11.665
-18.662	0.10745	5.5567
-44.157	2.7236	-4.4648
-43.708	-6.1544	-2.6884
-38.152	-7.1703	-27.267
-33.244	9.6261	-14.075
-24.623	-12.91	-9.8865
-43.406	2.9809	-7.0554
-25.377	5.7771	-2.1243
-19.781	-8.1844	-22.594
-37.698	-8.9836	3.1187
-39.743	4.7166	-28.12
-18.692	-8.1323	-9.6566
-36.431	-10.216	24.649
-39.162	-6.9989	-28.173
-38.806	-16.121	1.4946
-36.495	-10.367	12.227
-18.001	8.9101	-12.643
-39.853	5.0576	-27.723
-43.52	17.312	6.0083
-37.723	-8.7686	3.1649
-38.806	-0.33822	3.14
-37.673	2.5327	25.149
-37.672	2.5333	25.148
-37.561	-8.8179	2.9958
-33.4	6.0829	24.481
-19.276	-8.5213	-21.118
-24.498	-12.94	-10.613
-24.48	-5.0186	10.09
-31.562	10.748	-15.163
-41.074	-6.5428	2.2891
-18.996	-8.641	-13.52
-41.571	4.3871	-12.72
-44.416	4.4825	12.663
-35.296	-10.611	24.567
-38.888	-7.1661	-27.548
-46.827	15.631	6.4998
-38.02	2.639	3.1051
-34.301	-14.459	11.898
-39.508	5.542	-27.389
-29.762	13.077	17.242
-37.748	-5.8694	3.2316
-36.462	-3.9648	32.118
-38.06	-4.5382	3.7811
-37.833	-8.8573	3.1387
-36.576	-13.681	11.657
-39.76	5.3872	-27.869
-38.262	4.969	11.943
-38.477	8.8902	12.445
-36.231	7.445	-13.054
-30.666	6.557	21.677
-22.0	-7.9002	-17.677
-38.489	-13.474	11.6
-42.624	1.8746	3.4234
-38.714	2.5489	3.4293
-39.127	2.3855	-12.921
-29.468	8.3462	16.749
-38.493	-13.472	11.6
-38.354	-7.6919	-13.096
-38.345	-5.6129	-12.231
-39.732	2.194	-12.743
-36.967	-7.5685	-13.231
-44.035	1.4067	1.3834
-41.218	4.1351	24.429
-19.602	-0.85476	6.451
-39.176	6.8983	1.6154
-39.375	6.6937	1.7587
-38.412	-7.5716	-27.36
-38.876	2.4379	-12.913
-38.049	-3.8506	4.0319
-47.584	14.777	9.0985
-38.297	-5.3587	-12.441
-38.622	-7.2062	-28.081
-38.104	-13.637	11.646
-39.304	2.2851	-12.928
-18.926	-8.5215	-12.239
-36.431	-10.216	24.649
-26.883	7.2036	16.561
-38.53	-0.24864	3.1926
-38.497	-13.469	11.599
-23.517	-8.1195	-15.142
-40.807	3.9234	-12.753
-17.687	8.6199	-18.419
-38.712	-7.2338	-27.966
-38.95	4.0519	-13.08
-30.229	14.709	26.128
-37.787	-8.776	3.1541
-34.773	-10.83	12.154
-36.897	-5.908	3.233
-41.392	4.0445	-12.754
-38.743	-7.1896	-27.389
-38.395	-7.6652	-13.1
-29.751	-9.4066	-14.757
-43.254	1.4699	2.9964
-25.927	7.461	6.4452
-37.791	-10.204	24.536
-25.885	5.4295	27.151
-39.119	-6.8587	-28.424
-39.986	16.532	17.94
-33.508	10.492	20.152
-38.014	-0.098529	3.1435
-39.022	2.5819	3.5806
-29.015	12.426	1.2281
-39.668	4.7179	-28.109
-17.742	9.1889	-21.579
-39.126	-6.8854	-28.44
-35.637	11.665	20.919
-20.088	0.51648	13.186
-35.487	6.4799	1.7879
-38.082	-5.3678	-12.057
-24.996	-5.8748	-2.126
-42.01	-7.0785	1.9484
-40.531	2.912	-12.584
-36.465	-3.9566	32.118
-37.905	-5.2582	3.4464
-38.501	2.5998	3.4175
-25.479	1.9964	8.4545
-35.193	12.063	10.053
-38.698	-6.1079	3.7911
-43.323	2.9567	-7.1781
-32.342	-15.384	1.6221
-38.391	-5.5741	-12.608
-26.774	5.8321	8.7109
-25.47	5.7346	-2.0131
-42.749	4.0722	3.6915
-19.395	-0.67964	4.8973
-36.455	-3.9816	32.119
-35.297	-7.3408	-12.883
-37.656	-5.9591	3.5064
-39.193	2.3412	-12.926
-47.959	16.3	5.8763
-27.326	-12.052	-2.5808
-25.381	-6.4551	-1.9666
-31.476	10.745	-15.236
-39.808	1.2874	25.0
-38.394	-7.6614	-13.1
-39.189	-6.9535	-28.278
-38.442	2.534	-12.908
-36.44	-6.9644	-12.833
-30.252	8.7773	17.668
-39.13	-6.8938	-28.498
-36.24	-4.1504	32.118
-37.248	-5.8744	3.3145
-38.556	4.9509	11.963
-35.701	5.4705	24.85
-38.434	-4.0182	3.5608
-39.674	4.7182	-28.106
-41.313	-6.4771	1.6447
-36.49	-10.374	12.158
-39.083	6.9662	1.636
-42.387	13.886	5.9418
-31.648	10.685	-15.144
-32.029	10.659	-14.963
-25.885	-6.787	-0.43656
-26.566	-5.3429	12.552
-38.268	2.6563	3.2772
-41.58	4.4055	-12.708
-38.437	-7.2252	-27.75
-33.774	-3.9412	31.859
-32.481	-12.853	-0.053461
-39.191	-6.8601	-28.466
-38.044	-16.155	1.6323
-38.102	-7.1127	-27.297
-39.179	4.7056	11.898
-37.547	-8.871	3.0576
-17.857	8.7152	-15.014
-47.778	15.897	7.2404
-36.876	11.034	11.987
-31.19	-11.879	-1.9549
-26.012	6.4543	5.9478
-33.664	9.3096	-13.849
-25.283	4.9869	-0.055461
-37.719	-7.7049	-13.157
-39.176	-6.8494	-28.452
-18.185	-5.8811	-3.3526
-37.651	-7.8444	-13.127
-39.982	5.3372	-27.995
-27.438	-0.34597	20.597
-26.048	5.3008	3.5344
-38.354	-7.0902	-27.512
-38.742	7.234	12.018
-34.999	8.5673	-13.484
-32.717	10.13	-14.559
-32.076	-9.9644	-13.928
-39.054	2.3914	-12.869
-43.642	-6.2849	-2.0901
-27.859	11.24	-5.9817
-36.433	-10.303	24.647
-36.588	-10.317	24.615
-30.32	-11.449	9.3824
-42.528	-5.6597	-6.2027
-47.796	16.368	4.6824
-36.992	-13.461	11.679
-35.844	-4.1624	32.13
-38.428	2.5424	-12.911
-38.387	-7.0546	-27.586
-22.805	-8.0536	-16.517
-43.092	15.82	6.029
-38.395	-7.6638	-13.1
-40.912	4.3416	-12.476
-19.803	-0.78538	8.487
-22.07	6.5972	1.7168
-37.552	-13.621	11.738
-38.146	-16.242	1.6116
-45.176	14.878	7.8672
-39.317	-12.881	2.4203
-21.196	0.97186	18.517
-38.94	-16.035	1.4721
-37.68	2.5263	25.153
-42.769	-5.5753	-6.8744
-28.663	-12.712	2.6116
-36.221	-10.543	12.212
-42.542	2.1169	3.591
-41.824	0.88465	3.435
-36.728	4.6977	12.021
-34.834	-4.496	32.016
-37.009	-7.6987	-13.202
-27.214	11.971	4.1773
-26.248	-9.0274	-10.716
-29.07	17.589	-4.197
-37.745	-6.7238	-12.602
-24.633	10.87	-14.453
-34.987	-10.509	24.554
-39.68	4.7187	-28.103
-44.087	2.8015	-4.942
-37.861	-8.6723	3.1097
-37.597	-7.3193	3.0932
-39.815	6.7596	2.0867
-41.13	2.0851	3.8412
-40.977	10.197	4.843
-39.589	5.5268	-27.459
-44.072	14.645	8.2451
-36.769	-6.046	3.2217
-32.151	-10.837	11.428
-28.649	7.9248	20.065
-35.302	-4.4475	32.001
-24.903	-6.1857	-2.1886
-36.935	-13.506	11.688
-26.03	6.6625	8.6851
-43.46	2.9807	-6.9855
-40.063	5.4046	-27.878
-45.197	4.8844	12.814
-37.835	-10.188	24.527
-42.46	-5.8025	-4.6296
-32.051	-8.2394	-13.711
-39.115	-6.8682	-28.423
-35.788	7.7918	-13.186
-28.619	9.4695	28.256
-18.823	-1.5936	1.0208
-44.86	20.282	3.6936
-38.884	2.5448	3.4616
-31.672	-10.937	11.113
-39.107	2.3799	-12.92
-27.047	11.174	6.3792
-39.402	5.4942	-27.329
-41.469	4.1992	-12.895
-31.306	13.128	4.4104
-39.575	6.5489	1.7675
-25.294	5.139	-1.2305
