level_0	level_1	frames = 253 markers = 13 Hz = 30
39.741	0.73589	30.928
41.404	7.3847	23.959
39.114	-6.3286	23.966
42.397	10.266	10.193
37.554	-8.6298	10.154
43.063	12.235	0.63216
36.499	-10.19	0.56456
40.374	3.9075	2.762
39.587	-3.0729	2.7666
38.392	5.1819	-15.484
38.131	-3.6734	-15.563
40.498	4.7155	-31.051
41.16	-2.6148	-30.951
39.69	0.81175	30.853
41.329	7.4415	23.862
39.165	-6.2904	23.896
42.318	10.353	10.102
37.596	-8.5999	10.086
42.983	12.342	0.54496
36.533	-10.165	0.49886
40.139	3.827	2.6248
39.518	-3.1692	2.7568
37.872	5.3286	-15.571
38.106	-3.6983	-15.578
40.494	4.7074	-31.054
41.158	-2.6054	-30.96
39.631	0.88118	30.858
41.232	7.5126	23.827
39.215	-6.2397	23.906
42.306	10.382	10.064
37.641	-8.5606	10.099
43.031	12.342	0.50576
36.574	-10.134	0.51346
40.078	3.866	2.6249
39.494	-3.1333	2.7566
37.864	5.3291	-15.58
38.1	-3.6871	-15.579
40.499	4.7026	-31.06
41.158	-2.6037	-30.96
39.566	0.94325	30.855
41.129	7.5616	23.787
39.257	-6.208	23.914
42.318	10.29	10.005
37.694	-8.523	10.105
43.126	12.151	0.43366
36.635	-10.093	0.51736
40.014	3.8976	2.6147
39.478	-3.1056	2.756
37.87	5.3152	-15.603
38.092	-3.6806	-15.58
40.505	4.6914	-31.083
41.145	-2.6023	-30.962
39.391	0.82241	30.84
41.064	7.4381	23.744
39.267	-6.3128	23.893
42.262	10.235	9.9767
37.725	-8.5567	10.069
43.076	12.142	0.41476
36.68	-10.076	0.47256
39.959	3.9334	2.5991
39.467	-3.0727	2.7536
37.902	5.3029	-15.632
38.102	-3.6719	-15.583
40.521	4.6813	-31.115
41.16	-2.61	-30.965
39.398	0.83197	30.925
40.974	7.4787	23.811
39.326	-6.2948	23.998
42.16	10.231	10.034
37.791	-8.5155	10.17
42.968	12.107	0.46506
36.753	-10.019	0.56956
40.018	4.1993	2.7659
39.517	-2.8077	2.7721
37.958	5.4252	-15.475
38.122	-3.5322	-15.558
40.466	4.6942	-30.972
41.155	-2.6056	-30.954
39.396	0.8093	30.906
40.871	7.4883	23.796
39.355	-6.3054	24.01
42.03	10.24	10.017
37.837	-8.4877	10.174
42.821	12.115	0.44616
36.811	-9.9652	0.56816
39.943	4.2318	2.7252
39.512	-2.7799	2.7659
37.971	5.405	-15.529
38.13	-3.5265	-15.564
40.482	4.6792	-31.025
41.154	-2.6032	-30.962
39.627	0.88972	30.928
40.684	7.6189	23.775
39.483	-6.2218	24.003
41.795	10.1	9.9403
