level_0	level_1	frames = 265 markers = 13 Hz = 30
30.115	-2.4436	-30.589486584267057
34.663	-9.7231	-23.56248658426706
35.517	5.1579	-23.770486584267058
33.456	-11.191	-9.062486584267054
35.913	9.4411	-9.805586584267054
32.775	-11.986	-0.8635565842670544
33.493	10.168	-1.9456865842670545
35.958	-6.0259	-3.552186584267054
35.587	2.4826	-3.5572865842670542
36.196	-5.9944	14.461513415732945
36.276	3.3349	14.426513415732947
36.42	-5.9539	30.27551341573294
36.869	4.0548	30.220513415732942
30.081	-2.321	-30.568486584267056
34.602	-9.6126	-23.531486584267057
35.452	5.2659	-23.737486584267057
33.444	-11.114	-9.031086584267054
35.835	9.5891	-9.784186584267054
32.789	-11.928	-0.8317565842670545
33.291	10.233	-1.9564865842670542
35.866	-6.0209	-3.5389865842670543
35.574	2.4909	-3.513186584267054
36.036	-6.0322	14.475513415732946
36.102	3.3595	14.474513415732945
36.494	-5.9302	30.28351341573294
36.869	4.0599	30.262513415732943
29.983	-2.2036	-30.475486584267056
34.476	-9.4945	-23.435486584267057
35.337	5.3818	-23.62648658426706
33.387	-11.064	-8.937186584267055
35.955	9.7502	-9.696486584267054
32.771	-11.917	-0.7387595842670545
33.147	10.278	-1.9509865842670542
35.811	-6.1506	-3.5446865842670543
35.796	2.3638	-3.3430865842670543
36.019	-6.0868	14.469513415732946
36.211	3.31	14.643513415732945
36.518	-5.9263	30.27551341573294
36.872	4.0705	30.433513415732943
29.86	-2.0945	-30.47448658426706
34.361	-9.3903	-23.444486584267057
35.241	5.4832	-23.619486584267058
33.191	-11.012	-8.958286584267054
35.869	9.8409	-9.686486584267055
32.529	-11.894	-0.7663595842670544
33.022	10.336	-1.9527865842670544
35.765	-6.0974	-3.561186584267054
35.767	2.4166	-3.341686584267054
35.929	-6.0672	14.453513415732946
36.192	3.3323	14.646513415732946
36.385	-5.9358	30.261513415732942
36.864	4.0663	30.43751341573294
29.695	-1.9955	-30.46348658426706
34.195	-9.306	-23.43948658426706
35.099	5.566	-23.613486584267058
33.02	-10.983	-8.959586584267054
35.802	9.9301	-9.685986584267054
32.354	-11.893	-0.7711595842670544
32.954	10.394	-1.9509865842670542
35.753	-6.0488	-3.5753865842670542
35.755	2.4647	-3.335186584267054
35.952	-6.0394	14.438513415732945
36.183	3.3513	14.654513415732946
36.436	-5.9258	30.24651341573294
36.857	4.0611	30.44651341573294
29.401	-1.5579	-30.43148658426706
34.024	-9.0266	-23.421486584267058
34.951	5.7751	-23.50948658426706
32.693	-10.878	-8.976586584267054
35.949	10.167	-9.608286584267054
31.935	-11.875	-0.8060565842670544
32.92	10.426	-1.9329865842670544
35.77	-6.0089	-3.585186584267054
