"rt","response","trial_type","trial_index","plugin_version","time_elapsed","stimulus","nt","stim","resp","slider_start"
"8544","{}","survey-html-form","0","2.0.0","8548","","","","",""
"null","null","html-keyboard-response","1","2.0.0","11751","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","1","[""I_am_angry_M_A.txt"",""I_am_angry_M_B.txt""]","[""imitate me"",""I am angry""]",""
"2681","96","html-slider-response","2","2.0.0","14435","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","3","2.0.0","17638","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","2","[""come_closer_M_A.txt"",""come_closer_M_B.txt""]","[""which one?"",""come closer""]",""
"2121","93","html-slider-response","4","2.0.0","19761","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","5","2.0.0","22963","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","3","[""move_over_M_A.txt"",""move_over_M_B.txt""]","[""move over"",""give me""]",""
"2495","29","html-slider-response","6","2.0.0","25460","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","7","2.0.0","28663","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","4","[""no_M_A.txt"",""no_M_B.txt""]","[""no"",""imitate me""]",""
"2200","9","html-slider-response","8","2.0.0","30866","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","9","2.0.0","34067","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","5","[""which_one_M_A.txt"",""which_one_M_B.txt""]","[""sit down"",""which one?""]",""
"2292","87","html-slider-response","10","2.0.0","36361","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","11","2.0.0","39563","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","6","[""go_overthere_M_A.txt"",""go_overthere_M_B.txt""]","[""come closer"",""go over there""]",""
"2112","88","html-slider-response","12","2.0.0","41677","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","13","2.0.0","44881","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","7","[""help_yourself_M_A.txt"",""help_yourself_M_B.txt""]","[""I am happy"",""help yourself""]",""
"2301","99","html-slider-response","14","2.0.0","47184","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","15","2.0.0","50385","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","8","[""give_me_M_A.txt"",""give_me_M_B.txt""]","[""give me"",""imitate me""]",""
"3481","2","html-slider-response","16","2.0.0","53868","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"1355","{}","survey-html-form","17","2.0.0","55225","","","","",""
"null","null","html-keyboard-response","18","2.0.0","58427","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","9","[""give_me_M_A.txt"",""give_me_M_B.txt""]","[""I am happy"",""give me""]",""
"2190","96","html-slider-response","19","2.0.0","60618","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","20","2.0.0","63821","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","10","[""this_tall_M_A.txt"",""this_tall_M_B.txt""]","[""I am happy"",""this tall""]",""
"2186","95","html-slider-response","21","2.0.0","66010","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
"null","null","html-keyboard-response","22","2.0.0","69212","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","11","[""move_it_M_A.txt"",""move_it_M_B.txt""]","[""come closer"",""move it""]",""
"2113","95","html-slider-response","23","2.0.0","71326","<p style=""text-align: center;"">Indicate your response!</p>","","","","50"
