		frames = 230 markers = 13 Hz = 30
-38.932	-12.53	-1.8702
-36.936	-4.8283	1.6869
-37.636	8.5445	10.491
-36.286	-6.6481	23.495
-38.828	-5.8557	-29.22
-38.804	8.5796	-3.46
-37.151	-4.6136	1.5801
-38.962	-5.8084	-29.032
-37.585	-5.3373	-14.521
-36.174	-4.6531	1.4982
-32.919	7.0591	21.739
-26.203	-7.3268	1.9383
-37.3	4.5416	-14.707
-21.761	-3.0483	-11.409
-36.292	4.001	1.3187
-35.095	-0.24894	31.005
-37.546	-5.3579	-14.77
-36.533	3.7993	1.3274
-38.111	-5.2473	-14.531
-33.631	0.68055	30.774
-37.103	10.997	-2.281
-38.522	5.1611	-29.057
-38.088	9.7319	10.519
-37.468	-4.5752	1.5499
-38.044	-9.9113	10.639
-38.048	4.5182	-14.382
-38.881	11.956	-2.2941
-38.08	-5.2428	-14.536
-37.999	-4.7839	1.5558
-37.402	-4.556	1.5425
-38.726	11.143	-2.1191
-34.514	0.89326	30.934
-40.837	4.3875	-14.203
-31.546	-9.8685	8.705
-37.237	4.0047	1.521
-37.98	6.1787	23.815
-36.869	3.9122	1.4763
-37.755	4.6293	-14.564
-38.522	5.159	-29.056
-38.905	-5.8263	-28.89
-38.908	-5.7185	-29.269
-27.399	-2.7949	24.805
-38.763	-5.916	-29.202
-29.461	-8.2423	6.1317
-37.271	4.0284	1.5326
-37.663	9.5785	10.141
-35.389	-9.7079	10.397
-38.401	6.3136	23.81
-38.436	5.0761	-28.929
-29.613	-4.7036	20.801
-40.348	9.0837	-3.9096
-42.577	3.434	1.7039
-41.47	4.3099	1.4963
-39.439	10.865	10.54
-23.304	0.94574	22.54
-35.357	-5.5439	23.496
-26.797	0.80633	28.393
-37.808	10.663	-2.3897
-34.766	10.669	7.0063
-18.605	-2.77	-10.843
-37.998	6.1795	23.817
-37.879	-4.6828	1.5615
-38.767	10.669	-2.3207
-40.396	-5.1453	-14.856
-38.079	6.1833	23.823
-38.948	-5.8111	-29.049
-38.83	9.9435	10.655
-38.521	5.1734	-29.059
-38.965	-5.7981	-29.027
-30.214	-5.4963	20.71
-25.656	-7.5157	13.939
-37.927	4.6138	-14.548
-37.796	4.6248	-14.544
-38.488	5.0476	-28.791
-35.697	0.15364	30.948
-24.439	-4.331	10.303
-29.471	-5.4066	20.007
-37.494	-5.2944	-14.532
-37.291	-4.5174	1.5339
-38.05	6.9332	23.508
-25.011	-5.0273	-7.9342
-37.197	4.5614	-14.792
-38.342	6.2793	23.823
-38.524	5.1371	-29.052
-38.207	6.7695	23.576
-31.744	-5.0238	22.512
-37.722	9.2408	10.097
-38.468	5.0872	-29.22
-38.095	6.184	23.824
-38.979	-4.1502	1.7785
-37.45	-4.5699	1.5479
-42.343	-4.4302	1.0692
-38.932	-5.8578	-28.903
-31.285	8.5026	-3.3323
-25.756	-7.7516	13.803
-38.917	-5.8166	-28.974
-33.752	10.156	-1.8933
-37.958	6.1776	23.814
-38.925	-5.7213	-29.251
-32.493	0.90038	30.597
-37.941	6.1768	23.812
-37.099	-4.5954	1.5089
-38.917	-5.7329	-29.302
-24.437	-7.8932	-0.85978
-40.033	-5.4201	-14.555
-37.775	4.6196	-14.553
-38.082	-5.2428	-14.536
-37.243	4.0089	1.5231
-35.525	-9.6693	10.381
-32.498	7.9432	20.469
-37.645	8.5934	10.498
-38.995	-5.8374	-29.036
-38.987	-5.8623	-28.812
-33.265	9.132	-3.7395
-30.724	-8.5504	7.6272
-29.218	-2.6811	25.381
-42.341	4.2404	1.9284
-25.988	0.87683	27.731
-38.57	5.033	-28.646
-37.962	6.1778	23.814
-37.91	9.5298	10.368
-38.403	6.549	23.451
-37.353	9.0729	10.124
-43.598	3.8057	1.6587
