level_0	level_1	frames = 313 markers = 13 Hz = 30
-30.317733398869343	-0.79707	29.46
-29.851733398869342	6.5132	21.637
-29.049733398869343	-8.2844	22.471
-30.31373339886934	8.2798	7.6046
-30.707733398869344	-10.329	8.5776
-30.63373339886934	9.4109	-1.6562
-31.786733398869345	-11.64	-0.59101
-30.31873339886934	1.982	1.232
-30.198733398869344	-5.08	1.237
-30.86473339886934	2.4746	-16.96
-29.28873339886934	-5.8056	-16.935
-29.12673339886934	2.5709	-31.817
-28.55373339886934	-6.3765	-31.871
-30.32773339886934	-0.77288	29.463
-29.81573339886934	6.5232	21.633
-29.07573339886934	-8.2769	22.478
-30.289733398869338	8.2892	7.6009
-30.75773339886934	-10.302	8.5842
-30.616733398869343	9.4198	-1.6597
-31.851733398869342	-11.6	-0.58441
-30.296733398869343	1.9865	1.2373
-30.198733398869344	-5.0756	1.2391
-30.80973339886934	2.3216	-16.96
-29.44373339886934	-5.8442	-16.938
-29.168733398869342	2.3159	-31.827
-28.54773339886934	-6.3797	-31.866
-30.341733398869344	-0.75592	29.465
-29.784733398869342	6.5291	21.624
-29.106733398869338	-8.2711	22.484
-30.275733398869342	8.2999	7.5928
-30.77973339886934	-10.289	8.5885
-30.613733398869343	9.4336	-1.667
-31.86773339886934	-11.584	-0.58141
-30.28273339886934	1.9927	1.2404
-30.201733398869344	-5.0698	1.2377
-30.762733398869344	2.463	-16.954
-29.448733398869344	-5.83	-16.94
-29.122733398869343	2.5679	-31.823
-28.55773339886934	-6.3601	-31.868
-30.348733398869342	-0.7325	29.466
-29.765733398869344	6.54	21.618
-29.13973339886934	-8.2626	22.487
-30.295733398869338	8.2688	7.5828
-30.80373339886934	-10.276	8.5893
-30.66073339886934	9.3743	-1.6794
-31.884733398869344	-11.567	-0.58191
-30.26773339886934	1.993	1.239
-30.204733398869344	-5.0695	1.2409
-30.74673339886934	2.3198	-16.959
-29.44973339886934	-5.8355	-16.936
-29.164733398869338	2.3127	-31.832
-28.55373339886934	-6.3698	-31.864
-30.359733398869338	-0.71137	29.468
-29.765733398869344	6.5583	21.642
-29.179733398869338	-8.2551	22.499
-30.25873339886934	8.3187	7.6095
-30.83173339886934	-10.261	8.5992
-30.598733398869342	9.4458	-1.6511
-31.905733398869344	-11.546	-0.57361
-30.25573339886934	1.9944	1.2375
-30.20273339886934	-5.0683	1.2442
-30.66073339886934	2.4537	-16.959
-29.45073339886934	-5.8317	-16.933
-29.11773339886934	2.5689	-31.838
-28.55973339886934	-6.3646	-31.862
-30.37973339886934	-0.69241	29.47
-29.75873339886934	6.5708	21.647
-29.207733398869344	-8.2466	22.515
-30.323733398869344	8.2804	7.6111
-30.860733398869343	-10.24	8.6132
-30.71273339886934	9.3733	-1.6517
-31.93573339886934	-11.519	-0.56061
-30.240733398869338	1.9947	1.2361
-30.198733398869344	-5.0679	1.2475
-30.604733398869342	2.3073	-16.965
-29.591733398869344	-5.7686	-16.938
-29.156733398869342	2.3207	-31.852
-28.82173339886934	-6.2506	-31.875
-30.37473339886934	-0.63312	29.496
-29.75573339886934	6.6252	21.665
-29.23073339886934	-8.195	22.557
-30.33373339886934	8.2997	7.6252
-30.88873339886934	-10.203	8.6586
-30.73073339886934	9.3702	-1.6398
-31.96573339886934	-11.49	-0.51361
-30.19673339886934	1.9817	1.2956
-30.18273339886934	-5.0809	1.253
-30.524733398869344	2.2922	-16.906
-29.58673339886934	-5.7745	-16.933
-29.17873339886934	2.3181	-31.803
-28.82173339886934	-6.2507	-31.871
-30.37973339886934	-0.61084	29.497
-29.75573339886934	6.6309	21.656
-29.26173339886934	-8.1905	22.574
-30.345733398869342	8.3014	7.6158
-30.914733398869338	-10.187	8.6729
-30.750733398869343	9.3693	-1.6492
-31.988733398869343	-11.468	-0.50071
-30.18573339886934	1.981	1.291
-30.183733398869343	-5.0817	1.2594
-30.46173339886934	2.2828	-16.912
-29.588733398869344	-5.7696	-16.927
-29.173733398869338	2.3151	-31.813
-28.82873339886934	-6.2421	-31.865
-30.38273339886934	-0.5929	29.496
-29.768733398869344	6.6368	21.65
-29.290733398869342	-8.1888	22.594
-30.359733398869338	8.2966	7.6087
-30.93773339886934	-10.181	8.6913
-30.76773339886934	9.3555	-1.6571
-32.00773339886934	-11.457	-0.48331
-30.186733398869343	1.9763	1.286
-30.189733398869343	-5.0864	1.2608
-30.436733398869343	2.2797	-16.917
-29.59073339886934	-5.7743	-16.926
-29.170733398869338	2.3195	-31.821
-28.826733398869344	-6.2468	-31.863
-30.41073339886934	-0.55075	29.495
-29.771733398869344	6.6558	21.651
-29.32873339886934	-8.173	22.613
-30.372733398869343	8.292	7.6079
-30.96573339886934	-10.171	8.7102
-30.78573339886934	9.3364	-1.6594
-32.02873339886934	-11.453	-0.46461
-30.18573339886934	1.9711	1.2796
-30.18473339886934	-5.0916	1.2654
-30.439733398869343	2.2796	-16.923
-29.591733398869344	-5.7731	-16.921
-29.16373339886934	2.3226	-31.826
-28.829733398869344	-6.2394	-31.859
-30.423733398869338	-0.52157	29.493
-29.65473339886934	6.6637	21.661
-29.353733398869338	-8.1629	22.62
-30.33173339886934	8.2805	7.6192
-30.987733398869338	-10.168	8.7177
-30.793733398869342	9.3123	-1.6472
-32.04873339886934	-11.453	-0.45671
-30.19073339886934	1.9687	1.2745
-30.189733398869343	-5.094	1.2651
-30.472733398869345	2.2786	-16.928
-29.592733398869342	-5.7738	-16.922
-29.168733398869342	2.315	-31.828
-28.829733398869344	-6.2394	-31.86
-30.43173339886934	-0.49231	29.492
-29.66973339886934	6.6783	21.66
-29.366733398869343	-8.149	22.624
-30.33673339886934	8.2761	7.6155
-31.00173339886934	-10.156	8.7222
-30.79173339886934	9.296	-1.6526
-32.06373339886934	-11.442	-0.45201
-30.195733398869343	1.9679	1.2727
-30.19173339886934	-5.0949	1.2632
-30.51173339886934	2.292	-16.929
-29.594733398869344	-5.7754	-16.923
-29.16073339886934	2.3295	-31.825
-28.83073339886934	-6.2415	-31.862
-30.433733398869343	-0.48316	29.488
-29.686733398869343	6.6816	21.645
-29.375733398869343	-8.1443	22.625
-30.33773339886934	8.2655	7.5982
-31.01373339886934	-10.156	8.7243
-30.781733398869342	9.2761	-1.6714
-32.076733398869344	-11.447	-0.44911
-30.21273339886934	1.9572	1.2593
-30.19073339886934	-5.1055	1.264
-30.56273339886934	2.2908	-16.941
-29.592733398869342	-5.7924	-16.922
-29.164733398869338	2.3276	-31.833
-28.826733398869344	-6.2626	-31.86
-30.42873339886934	-0.47157	29.488
-29.707733398869344	6.6943	21.636
-29.38273339886934	-8.131	22.63
-30.344733398869344	8.2648	7.5869
-31.02073339886934	-10.147	8.7295
-30.780733398869344	9.2659	-1.6841
-32.08373339886934	-11.439	-0.44361
-30.23373339886934	1.9572	1.2575
-30.19473339886934	-5.1055	1.2621
-30.613733398869343	2.2968	-16.943
-29.598733398869342	-5.7824	-16.925
-29.165733398869342	2.3302	-31.83
-28.83473339886934	-6.2442	-31.863
-30.426733398869338	-0.46491	29.484
-29.722733398869345	6.697	21.629
-29.37373339886934	-8.1269	22.629
-30.353733398869338	8.2597	7.5782
-31.01373339886934	-10.141	8.7285
-30.78573339886934	9.2564	-1.6935
-32.07873339886934	-11.433	-0.44451
-30.25873339886934	1.9566	1.2524
-30.20373339886934	-5.106	1.2618
-30.664733398869338	2.2931	-16.947
-29.60573339886934	-5.7771	-16.925
-29.17273339886934	2.3162	-31.83
-28.839733398869342	-6.2339	-31.863
-30.42273339886934	-0.44876	29.481
-29.737733398869338	6.7075	21.609
-29.36173339886934	-8.1125	22.634
-30.362733398869338	8.2675	7.5575
-31.00473339886934	-10.131	8.7351
-30.789733398869338	9.2623	-1.7146
-32.07173339886934	-11.425	-0.43731
-30.274733398869344	1.9538	1.2491
-30.20873339886934	-5.1087	1.2616
-30.70673339886934	2.2969	-16.95
-29.60873339886934	-5.7799	-16.925
-29.173733398869338	2.3171	-31.828
-28.839733398869342	-6.2368	-31.863
-30.429733398869338	-0.43276	29.475
-29.87673339886934	6.7207	21.588
-29.347733398869345	-8.1005	22.638
-30.423733398869338	8.2812	7.5335
-30.99673339886934	-10.122	8.7399
-30.801733398869338	9.2756	-1.7408
-32.06673339886934	-11.419	-0.43181
-30.296733398869343	1.9523	1.244
-30.220733398869342	-5.1101	1.2612
-30.75173339886934	2.3017	-16.954
-29.61173339886934	-5.7793	-16.925
-29.17573339886934	2.3197	-31.828
-28.839733398869342	-6.2352	-31.863
-30.44773339886934	-0.41946	29.47
-29.89573339886934	6.7251	21.572
-29.339733398869342	-8.0917	22.629
-30.44073339886934	8.2944	7.5187
-30.985733398869343	-10.123	8.7323
-30.81573339886934	9.2954	-1.755
-32.05573339886934	-11.426	-0.43871
-30.31073339886934	1.9534	1.234
-30.22773339886934	-5.1089	1.2623
-30.786733398869345	2.3058	-16.963
-29.61473339886934	-5.7782	-16.924
-29.174733398869343	2.3185	-31.834
-28.838733398869344	-6.2343	-31.862
-30.45573339886934	-0.40958	29.469
-29.909733398869342	6.7329	21.564
-29.34373339886934	-8.0822	22.633
-30.457733398869344	8.3104	7.5114
-30.982733398869343	-10.119	8.7361
-30.83473339886934	9.3166	-1.7616
-32.04673339886934	-11.424	-0.43501
-30.32773339886934	1.9574	1.2323
-30.23673339886934	-5.1048	1.2622
-30.820733398869343	2.3103	-16.965
-29.618733398869338	-5.7797	-16.924
-29.174733398869343	2.3176	-31.831
-28.838733398869344	-6.2404	-31.861
-30.44773339886934	-0.40474	29.469
-29.91073339886934	6.7338	21.521
-29.339733398869342	-8.0716	22.625
-30.47773339886934	8.3207	7.4706
-30.978733398869338	-10.116	8.7295
-30.86773339886934	9.3332	-1.8013
-32.04373339886934	-11.426	-0.44091
-30.342733398869342	1.9613	1.2291
-30.24673339886934	-5.1008	1.2637
-30.845733398869342	2.3328	-16.967
-29.625733398869343	-5.7755	-16.922
-29.16673339886934	2.3501	-31.83
-28.839733398869342	-6.235	-31.86
-30.45573339886934	-0.39287	29.47
-29.91973339886934	6.742	21.517
-29.348733398869342	-8.0619	22.625
-30.503733398869343	8.3309	7.4678
-30.98373339886934	-10.112	8.7294
-30.905733398869344	9.344	-1.8035
-32.04573339886934	-11.427	-0.44061
-30.350733398869338	1.9744	1.2308
-30.253733398869343	-5.0877	1.2638
-30.869733398869343	2.3243	-16.966
-29.62773339886934	-5.7744	-16.922
-29.171733398869343	2.3191	-31.826
-28.83773339886934	-6.244	-31.858
-30.473733398869342	-0.38418	29.467
-29.923733398869338	6.7537	21.512
-29.366733398869343	-8.0501	22.627
-30.52973339886934	8.3447	7.4641
-30.997733398869343	-10.101	8.7316
-30.945733398869343	9.3598	-1.8064
-32.05673339886934	-11.416	-0.43881
-30.354733398869342	1.9875	1.2273
-30.265733398869344	-5.0747	1.2618
-30.884733398869344	2.3506	-16.968
-29.63373339886934	-5.7599	-16.924
-29.16973339886934	2.3498	-31.828
-28.842733398869342	-6.2294	-31.86
-30.47773339886934	-0.37639	29.464
-29.92573339886934	6.7669	21.508
-29.38073339886934	-8.0377	22.626
-30.555733398869343	8.3618	7.461
-31.01073339886934	-10.087	8.7298
-30.987733398869338	9.3795	-1.8085
-32.06873339886934	-11.401	-0.44081
-30.375733398869343	2.0073	1.227
-30.27673339886934	-5.0548	1.2585
-30.905733398869344	2.3589	-16.969
-29.63973339886934	-5.7521	-16.926
-29.16973339886934	2.348	-31.825
-28.844733398869344	-6.2312	-31.862
-30.491733398869343	-0.36838	29.466
-29.926733398869338	6.7735	21.506
-29.40173339886934	-8.0312	22.628
-30.567733398869343	8.3598	7.459
-31.034733398869342	-10.069	8.7306
-31.006733398869343	9.3719	-1.8107
-32.09573339886934	-11.375	-0.44081
-30.38273339886934	2.0186	1.2305
-30.28273339886934	-5.0434	1.2604
-30.924733398869343	2.3511	-16.965
-29.646733398869344	-5.743	-16.924
-29.174733398869343	2.322	-31.82
-28.84973339886934	-6.223	-31.86
-30.503733398869343	-0.36801	29.463
-29.929733398869338	6.7765	21.51
-29.42573339886934	-8.0314	22.617
-30.588733398869344	8.3588	7.4626
-31.058733398869343	-10.058	8.7179
-31.03873339886934	9.3682	-1.8069
-32.11873339886934	-11.359	-0.45441
-30.39273339886934	2.0344	1.2271
-30.299733398869343	-5.0277	1.2585
-30.945733398869343	2.3604	-16.969
-29.653733398869342	-5.7345	-16.926
-29.177733398869343	2.3208	-31.821
-28.851733398869342	-6.2211	-31.861
-30.50873339886934	-0.3641	29.459
-29.926733398869338	6.7827	21.51
-29.43273339886934	-8.0253	22.61
-30.607733398869343	8.3616	7.4632
-31.07273339886934	-10.041	8.71
-31.07273339886934	9.3682	-1.8058
-32.13873339886934	-11.333	-0.46291
-30.40773339886934	2.052	1.2236
-30.31273339886934	-5.0102	1.2566
-30.96173339886934	2.3844	-16.972
-29.66373339886934	-5.725	-16.927
-29.168733398869342	2.3477	-31.822
-28.854733398869342	-6.2173	-31.862
-30.52273339886934	-0.36448	29.454
-29.93573339886934	6.7898	21.507
-29.442733398869343	-8.0186	22.602
-30.63373339886934	8.3652	7.4609
-31.088733398869344	-10.03	8.7027
-31.110733398869343	9.3693	-1.8078
-32.15973339886934	-11.319	-0.47011
-30.41673339886934	2.0712	1.2229
-30.332733398869344	-4.9911	1.2464
-30.98373339886934	2.3944	-16.972
-29.66973339886934	-5.7198	-16.936
-29.171733398869343	2.3437	-31.82
-28.84973339886934	-6.2236	-31.87
-30.52373339886934	-0.3594	29.453
-29.94373339886934	6.794	21.506
-29.45273339886934	-8.0145	22.592
-30.65173339886934	8.3704	7.4608
-31.10873339886934	-10.019	8.6928
-31.13373339886934	9.3758	-1.8075
