		frames = 114 markers = 13 Hz = 30
-27.136	1.1322	-31.886
-40.371	-0.57325	1.317
-22.649	-2.4748	-17.786
-31.028	0.083228	-16.546
-38.127	8.0176	-16.787
-31.48	7.8526	-17.545
-33.584	13.569	0.31552
-38.296	13.181	22.114
-30.063	-1.7976	-1.1056
-35.451	-3.0696	21.973
-41.456	14.761	8.4225
-35.378	-7.658	-1.5114
-38.286	-5.8297	8.532
-36.151	6.8618	-16.586
-38.201	6.162	-31.342
-36.034	17.066	8.2448
-39.009	14.375	8.0504
-31.998	8.1426	-29.603
-29.217	12.629	9.5955
-34.531	11.947	22.105
-38.362	4.9764	29.939
-15.857	0.54583	20.62
-38.051	6.1854	-31.26
-39.527	1.0202	1.5731
-25.28	9.6242	-31.43
-34.455	-3.4792	21.758
-30.002	-1.7495	-1.1262
-22.599	-2.4755	-17.809
-35.485	0.68374	1.0606
-41.262	7.4996	-31.307
-32.953	7.8418	-17.279
-30.461	0.90633	-31.357
-39.094	14.201	8.0854
-21.225	-3.6976	24.864
-39.454	0.77581	-30.576
-36.314	8.2511	-17.176
-31.054	0.61976	-31.339
-18.84	6.3184	17.219
-40.055	0.8649	-16.723
-34.874	-7.8177	-1.5936
-36.4	16.765	9.1753
-26.891	1.2005	-31.671
-22.84	9.1146	-16.634
-18.356	7.1398	15.933
-35.84	16.608	9.2843
-30.1	14.594	1.2402
-38.4	6.1518	-31.327
-28.68	-10.488	-2.7746
-37.47	-7.2787	-1.217
-38.517	-0.9539	22.66
-31.924	17.066	0.26642
-38.088	6.3524	-31.159
-40.904	0.53789	-31.64
-28.242	7.9892	22.328
-28.435	0.38572	-31.34
-28.412	0.85543	-31.401
-27.741	-0.28613	-17.129
-35.302	16.418	9.4006
-38.817	15.522	-1.643
-44.196	0.044378	-31.665
-32.959	0.010098	0.80452
-24.808	-13.314	3.2295
-32.216	-0.3057	0.75332
-23.041	8.9114	-16.528
-40.912	0.51747	-31.653
-37.253	-7.2457	-1.2689
-16.744	-2.0101	21.844
-25.639	-13.087	3.7541
-22.259	-13.151	0.81552
-37.893	17.77	7.7218
-29.852	-1.7143	-1.1392
-26.964	-11.073	-3.0881
-30.338	12.373	9.6103
-31.908	7.7583	-17.542
-30.891	5.4119	0.51812
-20.495	-12.205	-5.0136
-24.251	5.1923	21.135
-39.063	6.7742	1.3395
-40.905	0.54915	-31.646
-21.586	-12.805	0.61522
-37.531	-0.5798	22.67
-22.648	9.2004	-16.63
-30.076	11.74	10.121
-33.73	-0.96055	0.44742
-31.01	0.46556	-17.115
-32.806	-0.79572	22.166
-40.913	7.2841	-31.446
-26.841	1.2915	-31.635
-20.775	-9.4222	14.702
-30.852	5.341	0.45402
-34.303	15.107	9.5594
-38.395	4.0826	29.694
-24.474	-2.0272	-17.275
-30.069	-1.841	-1.0713
-40.023	-1.8413	22.74
-37.914	5.0316	29.878
-37.251	17.579	-1.823
-29.912	0.37225	-17.128
-42.515	0.25795	-30.517
-27.298	0.99875	-32.019
-40.672	7.5629	-30.611
-35.874	6.9929	-16.623
-30.118	-1.8727	-1.0664
-39.249	7.6969	1.5625
-35.091	-5.7356	-0.91428
-26.238	-0.84456	-17.126
-40.581	16.743	-1.0379
-25.325	-11.52	-3.4898
-22.389	-2.4621	-17.842
-25.062	-1.4164	-17.195
-34.321	-6.076	-0.79568
-33.403	14.265	21.033
-32.016	4.972	-0.071081
-36.048	5.7058	29.618
-39.511	1.0959	1.5744
-25.418	9.4851	-31.285
-35.751	7.8612	0.93842
-30.587	-1.6364	-0.37168
-30.145	-1.8865	-1.058
-39.397	0.045208	1.3039
-16.032	-10.647	-7.8139
-25.391	9.4864	-31.288
-30.249	-1.9433	-0.91688
-23.397	9.0326	-16.607
-28.201	-2.444	20.308
-41.44	0.25836	-30.33
-23.04	9.1509	-16.592
-20.574	-3.7437	24.398
-36.056	8.0961	1.0168
-34.155	7.7406	-16.962
-37.611	-2.802	22.388
-37.722	4.3872	29.679
-36.663	-0.3784	22.629
-23.976	-11.689	2.1541
-22.077	-13.046	0.69192
-32.411	7.8534	-17.417
-33.732	7.2654	0.72432
-26.806	1.2764	-31.636
-38.028	8.0889	-16.813
-29.589	14.237	-0.015381
-29.982	-1.6893	-1.1397
-28.844	0.13178	-17.134
-31.914	10.804	22.154
-37.5	0.88309	1.3305
-23.459	-9.6556	-2.5613
-16.835	0.9868	21.499
-16.693	-11.364	-7.5051
-32.699	-1.3448	-16.294
-38.14	8.8625	1.3748
-22.567	-2.4725	-17.811
-37.812	-7.7451	-1.0122
-21.721	-12.868	0.61782
-30.728	-1.3778	-0.066381
-15.039	-1.5758	20.444
-28.376	-11.914	5.2499
-33.531	11.67	22.007
-30.256	-1.7871	-1.054
-38.872	-4.3639	8.6813
-38.16	6.1235	-31.327
-29.126	12.608	9.6868
-37.955	6.4769	-30.764
-30.555	4.9891	-0.029981
-36.145	-0.34162	22.544
-31.448	12.883	10.772
-40.972	7.3411	-31.334
-26.174	9.5793	-15.773
-26.96	1.1987	-31.634
-23.155	8.8863	-16.469
-23.59	9.6616	18.253
-19.677	8.0286	15.94
-37.426	7.0436	-29.369
-18.422	-8.2269	13.8
-38.224	-0.84875	22.69
-38.021	-6.4159	-0.82428
-31.439	-0.68001	0.53142
-30.178	-1.8917	-1.0457
-40.395	15.692	8.6669
-38.905	-4.8289	8.7568
-40.965	0.33266	-31.579
-16.66	-2.0201	21.634
-33.967	-3.7642	21.615
-31.113	13.755	0.069719
-33.869	4.3266	29.186
-29.043	14.062	0.30032
-27.1	1.1567	-31.856
-22.701	4.8431	20.153
-33.625	-6.0626	8.8646
-41.978	-0.67312	-16.882
-38.061	6.1556	-31.27
-40.907	0.53374	-31.649
-33.753	17.244	-0.20998
-40.922	7.2992	-31.449
-37.697	-3.3017	8.5922
-38.037	17.482	7.8451
-39.593	0.65881	1.5805
-22.978	4.8832	20.368
-33.144	13.822	10.025
-39.02	3.6394	29.711
-37.33	8.8411	1.1845
-17.444	-11.911	-6.968
-32.194	13.202	9.9645
-38.072	6.1217	-31.291
-31.773	6.8641	28.791
-23.414	8.9419	-16.258
-28.677	9.2571	-30.264
-32.816	6.951	0.69692
-31.709	12.935	9.8762
-39.071	7.9476	1.5203
-43.363	0.18751	-30.767
-18.485	6.4997	16.842
-31.124	-5.8337	20.531
-38.173	16.838	7.9306
-34.758	-4.9399	8.857
-36.664	8.4714	-17.098
-40.043	-0.35145	1.2972
-37.27	-4.9945	-1.0013
-40.183	0.52099	-16.727
-31.595	-1.9086	-0.40608
-35.122	-1.982	-16.534
-30.386	15.932	1.0655
-29.648	7.9569	-17.326
-29.186	12.554	9.7674
-34.779	7.6558	-16.877
