level_0	level_1	frames = 180 markers = 13 Hz = 30
35.734	-0.63433	-26.704916553846154
35.995	-7.4702	-19.915916553846152
35.594	6.4133	-19.538916553846153
34.563	-8.4923	-6.965216553846152
34.432	8.709	-6.735316553846152
33.605	-9.1348	1.622143446153848
31.439	8.3903	1.375343446153848
36.216	-3.1522	0.3689834461538479
36.416	4.4342	0.36458344615384797
36.438	-2.7294	16.86408344615385
37.224	3.7491	16.834083446153848
37.841	-2.3294	30.691083446153847
37.893	3.1485	30.717083446153847
35.752	-0.65211	-26.705916553846155
36.039	-7.4987	-20.056916553846154
35.584	6.4133	-19.605916553846154
34.591	-8.4985	-7.106016553846152
33.419	7.9484	-6.818616553846152
33.622	-9.1261	1.481243446153848
31.39	8.3865	1.580143446153848
36.211	-3.1487	0.36548344615384787
36.404	4.4379	0.36368344615384807
36.51	-2.7296	16.859083446153846
37.075	3.7759	16.840083446153848
37.844	-2.3392	30.693083446153846
37.895	3.1469	30.713083446153846
35.738	-0.67992	-26.709916553846153
36.101	-7.5156	-20.056916553846154
35.581	6.398	-19.617916553846154
34.616	-8.5137	-7.110016553846152
33.376	8.0817	-6.855316553846151
33.622	-9.1402	1.474443446153848
31.304	8.5889	1.529243446153848
36.208	-3.1416	0.3615834461538481
36.378	4.4455	0.35478344615384794
36.516	-2.7234	16.85508344615385
37.06	3.776	16.831083446153848
37.835	-2.332	30.691083446153847
37.891	3.1408	30.703083446153848
35.658	-0.72764	-26.71191655384615
36.221	-7.5614	-20.036916553846154
35.596	6.3515	-19.599916553846153
34.657	-8.5348	-7.098016553846153
33.404	8.3548	-6.882116553846151
33.61	-9.144	1.481443446153848
31.177	8.8988	1.461043446153848
36.196	-3.123	0.3593834461538479
36.349	4.4645	0.34258344615384795
36.529	-2.7164	16.853083446153846
37.051	3.7894	16.81708344615385
37.842	-2.3339	30.689083446153848
37.899	3.1501	30.688083446153847
35.616	-0.68211	-26.703916553846152
36.293	-7.6113	-20.034916553846152
35.611	6.304	-19.627916553846152
34.678	-8.5604	-7.099716553846153
33.499	8.8475	-6.993516553846152
33.599	-9.1545	1.476743446153848
30.893	9.2915	1.245943446153848
36.182	-3.1115	0.3569834461538479
36.322	4.4763	0.32858344615384794
36.533	-2.7123	16.850083446153846
37.059	3.9029	16.80608344615385
37.84	-2.3353	30.687083446153846
37.935	3.3488	30.678083446153845
35.657	-0.6426	-26.681916553846154
36.319	-7.654	-20.037916553846152
35.681	6.2729	-19.713916553846154
34.682	-8.5851	-7.104616553846152
33.723	9.5299	-7.219416553846153
33.588	-9.1671	1.470843446153848
30.511	9.686	0.8152834461538481
36.171	-3.1007	0.358083446153848
36.303	4.4871	0.3151834461538481
36.531	-2.7106	16.851083446153847
37.043	3.9026	16.792083446153846
37.843	-2.3393	30.688083446153847
37.924	3.3393	30.66308344615385
35.664	-0.55088	-26.662916553846152
36.344	-7.6652	-20.010916553846155
35.789	6.2816	-19.822916553846152
34.682	-8.5931	-7.080616553846153
33.854	10.533	-7.627016553846153
33.572	-9.1719	1.492943446153848
29.682	10.278	-0.0501165538461521
36.157	-3.0969	0.35578344615384805
36.291	4.4908	0.3048834461538479
36.519	-2.7118	16.84908344615385
37.022	3.8001	16.778083446153847
37.841	-2.3416	30.685083446153847
37.893	3.1492	30.647083446153847
35.688	-0.52909	-26.643916553846154
36.374	-7.6726	-19.968916553846153
35.942	6.2888	-19.902916553846154
34.675	-8.601	-7.043116553846153
33.562	11.403	-8.124916553846154
33.541	-9.1813	1.527143446153848
28.302	10.773	-1.2833165538461524
36.14	-3.0968	0.3571834461538479
36.298	4.4905	0.3006834461538479
36.497	-2.7104	16.851083446153847
