		frames = 180 markers = 13 Hz = 30
35.617	-0.22651	28.753
35.481	-0.36864	28.693
35.282	-9.9844	8.5745
36.927	4.573	2.5029
36.366	-2.8288	-14.534
36.285	4.0972	2.0724
25.764	13.343	17.608
35.577	-8.7017	9.2749
36.551	-7.4591	22.158
36.864	-3.4145	1.7826
36.911	-2.8374	-14.673
36.69	-6.8647	22.107
35.537	-8.439	9.2967
39.257	-11.269	7.608
36.856	4.1813	1.9047
37.138	4.9699	2.2887
36.043	-3.2585	1.7784
36.526	-7.7323	22.023
36.11	-0.5703	28.927
34.784	-2.2119	28.552
35.171	-8.6494	8.7262
34.166	9.041	8.8874
33.45	-9.2507	0.40194
39.866	-9.5053	7.583
14.284	-3.1267	6.7972
36.802	-2.6776	-14.678
37.063	-7.4647	22.197
15.345	2.1703	14.712
36.697	4.4132	1.9349
20.097	3.8758	11.574
35.327	7.0276	21.763
27.465	0.74074	20.979
35.685	7.0129	21.621
38.152	11.216	11.673
33.695	9.7073	0.46154
37.855	3.1296	-28.459
35.795	6.5455	21.842
34.631	-9.626	0.63674
33.802	9.5991	0.40954
34.688	-8.6167	9.113
37.866	-2.4363	-14.396
37.884	3.1551	-27.958
37.87	3.0917	-28.511
35.745	-0.63929	28.928
35.775	6.8775	21.804
37.699	-2.3307	-28.372
35.793	-1.2258	28.705
34.368	5.7045	22.924
37.892	3.116	-28.488
35.48	-0.33955	28.695
31.521	-9.0756	0.81604
37.0	-7.0522	22.207
36.515	4.7099	1.8294
37.866	3.0917	-28.496
34.772	8.9311	8.7259
36.991	-7.11	22.207
37.857	-2.3353	-28.541
34.428	-9.5446	-0.013961
36.977	-7.299	22.205
36.084	-3.1208	1.8164
37.878	3.1041	-28.339
35.473	-8.3309	9.1852
35.535	-8.452	9.3004
36.196	-3.123	1.8197
37.227	3.6517	-14.642
35.82	6.1616	21.826
37.045	-6.9709	22.128
34.683	8.6505	8.957
31.465	11.481	6.1869
34.54	-9.3455	0.68874
34.582	8.3391	8.9584
37.869	3.0705	-28.527
36.048	4.599	1.8856
37.852	-2.3278	-28.536
37.903	3.1702	-28.168
36.531	-2.7106	-14.672
34.342	8.2474	8.9446
35.317	7.0588	21.753
35.379	-7.4235	22.12
27.242	-0.43973	20.967
30.513	-5.8511	26.964
37.875	-2.3702	-28.543
37.88	3.0888	-28.496
37.193	3.7653	-14.542
35.523	-8.4283	9.2941
36.921	-10.621	20.535
36.352	-11.253	-0.49246
36.796	-2.8915	-14.522
34.457	-9.2115	0.57584
34.485	-9.2548	0.66584
37.144	3.7725	-14.612
36.943	4.2014	2.3753
35.984	-0.13228	28.927
40.091	-9.4024	8.1357
33.687	9.7143	0.45664
35.536	-8.161	21.753
36.912	4.1506	1.8723
36.572	4.6637	1.8385
36.481	-2.7153	-14.66
34.5	-9.6297	0.62974
36.291	4.4908	1.8742
37.104	3.8679	-14.638
37.012	-3.4084	1.8213
16.004	4.2686	16.199
14.269	-3.1951	7.0516
37.295	3.6074	-14.618
36.982	-2.6442	-14.67
36.303	4.4871	1.8639
40.413	-9.0118	-0.65586
33.461	9.4375	0.28764
37.12	3.8772	-14.639
36.426	-2.7113	-14.697
38.928	-9.5793	8.2839
35.46	-8.3361	9.2171
36.656	4.1945	1.8825
34.353	10.02	0.18644
35.469	-0.49505	28.704
18.698	2.6728	11.513
18.452	11.047	18.076
34.521	8.5466	8.981
36.804	-7.4972	22.157
35.807	-0.80345	28.762
37.852	-2.3326	-28.543
34.611	-9.5402	0.71364
37.036	4.2696	2.406
35.71	-0.33071	28.937
23.843	11.392	17.172
35.533	9.0801	8.9799
37.904	-7.9065	21.378
35.851	-0.74085	28.928
37.856	3.1243	-28.469
36.724	-7.6439	22.137
36.593	4.6491	1.8419
36.779	4.2489	1.8461
36.461	-2.9049	1.8565
35.273	-8.2638	9.1467
37.841	-2.3416	-28.506
14.128	-2.8559	7.856
33.459	-9.1692	0.54774
36.14	-3.0968	1.8219
36.956	-7.2456	22.21
36.812	-6.8883	22.108
32.067	-9.4828	0.63304
33.688	9.5056	0.40734
36.612	-2.8005	-14.699
35.423	-8.3398	9.2117
37.75	-2.3475	-28.299
35.545	-8.6405	9.2834
33.836	9.5414	0.44694
36.216	-3.1522	1.8101
34.142	8.7557	8.8997
37.924	3.3393	-28.484
33.494	9.4576	0.31184
34.42	8.6462	8.9946
34.167	8.8957	8.8894
35.381	11.63	1.006
36.978	-7.3937	22.156
37.359	4.0279	-14.117
35.168	11.708	1.2734
36.882	3.8223	-14.607
35.529	-8.8801	9.1766
35.573	6.9987	21.665
37.825	-2.3166	-28.503
36.575	4.6067	1.8491
36.071	-3.0309	1.7937
37.871	3.0651	-28.483
37.731	-2.3316	-28.311
36.976	3.5496	-14.381
36.556	4.6176	1.8493
36.827	-10.446	20.712
35.869	-3.147	1.7969
35.759	6.4779	21.82
36.369	-6.8099	22.1
