level_0	level_1	frames = 130 markers = 13 Hz = 30
-32.18	-2.0356	31.695
-31.93	-9.15	23.735
-32.668	6.1104	24.053
-30.429	-11.095	9.2511
-33.254	9.11	9.6958
-29.18	-10.668	0.70149
-31.591	9.2783	1.2182
-33.057	-5.5609	4.2697
-33.46	2.5225	4.2746
-33.57	-4.9098	-13.678
-33.786	3.5315	-13.663
-34.033	-4.324	-29.436
-34.054	4.3929	-29.419
-32.184	-1.9947	31.701
-31.968	-9.1187	23.772
-32.671	6.1512	24.055
-30.274	-10.107	9.2131
-33.311	9.0871	9.6868
-29.282	-10.653	0.63689
-31.851	9.3616	1.1746
-32.999	-5.5278	4.2749
-33.414	2.5551	4.2712
-33.387	-4.969	-13.679
-33.612	3.6104	-13.665
-34.028	-4.3404	-29.429
-34.053	4.3977	-29.421
-32.188	-1.9532	31.702
-31.964	-9.0708	23.776
-32.677	6.1976	24.047
-30.378	-10.088	9.2067
-33.432	9.1892	9.6962
-29.449	-10.646	0.62429
-31.952	9.4769	1.1879
-32.952	-5.4879	4.2764
-33.358	2.5954	4.2643
-33.373	-4.9497	-13.677
-33.571	3.622	-13.673
-34.038	-4.3405	-29.427
-34.028	4.3834	-29.431
-32.184	-1.9428	31.68
-31.965	-9.0721	23.756
-32.686	6.1891	23.994
-30.426	-10.152	9.1865
-33.566	9.3081	9.6768
-29.522	-10.728	0.60249
-31.989	9.6611	1.1885
-32.84	-5.3183	4.2306
-33.301	2.7621	4.2561
-33.316	-4.8654	-13.724
-33.55	3.7086	-13.685
-34.034	-4.3322	-29.474
-34.039	4.3975	-29.445
-32.145	-1.8764	31.682
-31.927	-9.0364	23.761
-32.651	6.2222	23.967
-30.423	-10.214	9.1949
-33.701	9.5067	9.6985
-29.529	-10.788	0.60969
-32.008	9.9423	1.237
-32.81	-5.2713	4.2325
-33.254	2.8101	4.2507
-33.3	-4.8455	-13.723
-33.521	3.7243	-13.692
-34.031	-4.3339	-29.473
-34.027	4.3844	-29.453
-32.272	-1.587	31.695
-31.828	-8.7917	23.83
-32.692	6.4868	23.923
-30.342	-10.203	9.2827
-33.751	9.8877	9.6825
-29.432	-10.787	0.69989
-31.77	10.387	1.2878
-32.774	-5.22	4.2402
-33.208	2.862	4.263
-33.285	-4.8215	-13.715
-33.483	3.7397	-13.682
-34.029	-4.3351	-29.465
-33.998	4.3682	-29.443
-32.183	-1.4994	31.732
-31.792	-8.7182	23.845
-32.678	6.5655	23.988
-30.198	-10.355	9.3336
-33.675	10.227	9.8081
-29.163	-10.842	0.75889
-31.43	10.955	1.4973
-32.743	-5.1763	4.2555
-33.129	2.9081	4.2967
-33.272	-4.804	-13.7
-33.456	3.7706	-13.648
-34.036	-4.3363	-29.45
-34.017	4.3877	-29.408
-32.001	-1.4497	31.717
-31.757	-8.6637	23.811
-32.673	6.6257	24.009
-29.94	-10.693	9.3752
-33.584	10.648	9.9219
-28.671	-11.062	0.82579
-30.655	11.571	1.8473
-32.743	-5.2108	4.2666
-33.219	2.8688	4.24
-33.277	-4.8323	-13.688
-33.492	3.7476	-13.705
-34.044	-4.3624	-29.438
-34.002	4.378	-29.466
-31.822	-1.4451	31.703
-31.757	-8.6418	23.772
-32.706	6.6485	24.047
-29.738	-10.926	9.4014
-33.203	11.125	10.076
-28.189	-11.001	0.89049
-29.445	12.379	2.3989
-32.687	-5.2026	4.2574
-33.228	2.8729	4.2223
-33.255	-4.828	-13.697
-33.5	3.7496	-13.722
-34.05	-4.3639	-29.445
-34.005	4.3776	-29.484
-31.56	-1.5113	31.658
-31.705	-8.7087	23.69
-32.638	6.5744	24.036
-29.425	-11.253	9.4023
-32.756	11.652	10.264
-27.513	-10.975	0.96959
-28.021	13.33	3.2352
-32.744	-5.1553	4.2795
-33.387	2.9121	4.1701
-33.29	-4.8012	-13.676
-33.584	3.776	-13.776
-34.064	-4.3594	-29.426
-34.018	4.3912	-29.541
-31.367	-1.4659	31.685
-31.603	-8.6693	23.693
-32.605	6.6154	24.132
-29.142	-11.513	9.4919
-32.174	12.296	10.605
-26.839	-10.957	1.1712
-26.527	14.342	4.3946
-32.831	-5.2041	4.3472
-33.417	2.8671	4.2023
-33.319	-4.8298	-13.609
-33.598	3.7596	-13.743
-34.048	-4.364	-29.361
-34.026	4.3997	-29.506
-31.055	-1.3592	31.667
-31.523	-8.5831	23.669
-32.488	6.6866	24.14
-28.93	-11.844	9.5816
-31.416	12.939	10.903
-26.157	-10.975	1.4325
-24.846	15.235	5.783
-32.897	-5.211	4.3551
-33.439	2.8635	4.2306
-33.354	-4.8306	-13.602
-33.612	3.7596	-13.714
-34.053	-4.3587	-29.355
-34.032	4.4047	-29.478
-30.668	-1.4903	31.614
-31.361	-8.685	23.793
-32.213	6.66	24.232
-28.503	-11.942	9.756
-30.509	13.591	11.407
-25.414	-11.058	1.7234
-23.305	16.177	7.3988
-33.05	-5.1878	4.4005
-33.622	2.8838	4.2248
-33.419	-4.817	-13.559
-33.703	3.7711	-13.721
-34.041	-4.3546	-29.315
-34.043	4.4075	-29.487
-30.335	-1.7014	31.57
-30.991	-8.7863	23.656
-31.879	6.5698	24.337
-28.297	-12.692	9.7531
-29.457	14.091	11.968
-24.618	-11.199	2.0667
-21.716	16.736	9.1862
-33.172	-5.1736	4.4865
-33.785	2.8918	4.2063
-33.473	-4.8143	-13.474
-33.784	3.7775	-13.74
-34.039	-4.3623	-29.233
-34.05	4.4107	-29.508
-29.87	-1.7472	31.474
-30.702	-8.8303	23.793
-31.506	6.6158	24.432
-27.7	-12.701	9.9439
-28.478	14.715	12.572
-23.665	-11.379	2.4063
-20.407	17.254	10.815
-33.389	-5.2677	4.4743
-33.903	2.8063	4.2412
-33.581	-4.8657	-13.487
-33.837	3.7331	-13.703
-34.043	-4.375	-29.248
-34.049	4.406	-29.47
-29.37	-1.7907	31.381
-30.42	-8.8901	23.746
-31.199	6.5824	24.529
-27.151	-12.926	10.005
-27.338	15.237	13.322
-22.583	-11.495	2.7983
-19.07	17.602	12.48
-33.556	-5.2961	4.4871
-34.021	2.781	4.2607
-33.659	-4.8832	-13.475
-33.895	3.724	-13.682
-34.044	-4.3799	-29.237
-34.05	4.414	-29.449
-29.019	-1.819	31.284
-30.001	-8.8726	23.744
-30.654	6.6491	24.66
-26.424	-13.095	10.136
-26.351	15.675	13.916
-21.383	-11.632	3.2588
-17.951	17.7	13.988
-33.602	-5.3	4.4806
-34.143	2.7729	4.2742
-33.674	-4.8844	-13.481
-33.945	3.7206	-13.668
-34.032	-4.3823	-29.245
-34.04	4.4114	-29.435
-28.449	-1.9525	31.176
-29.704	-9.0104	23.628
-30.372	6.502	24.73
-25.648	-13.324	10.183
-25.422	15.871	14.576
-20.106	-11.84	3.7085
-16.993	17.623	15.322
-33.608	-5.2791	4.5416
-34.249	2.7853	4.2915
-33.672	-4.8751	-13.421
-33.987	3.7308	-13.65
-34.029	-4.3837	-29.184
-34.029	4.4148	-29.418
-27.841	-1.8646	30.996
-29.281	-9.0327	23.497
-29.994	6.4921	24.746
-24.877	-13.625	10.256
-24.55	16.1	15.08
-18.756	-12.188	4.3133
-16.098	17.26	16.451
-33.829	-5.3725	4.5157
-34.389	2.6994	4.3181
-33.776	-4.9234	-13.445
-34.046	3.6846	-13.62
-34.027	-4.3884	-29.21
-34.017	4.4089	-29.386
-27.065	-1.9895	30.76
-28.929	-9.1416	23.298
-29.777	6.3655	24.705
-23.994	-13.899	10.305
-23.789	16.109	15.508
-17.399	-12.54	4.8731
-15.36	16.86	17.259
-33.934	-5.3888	4.5105
-34.553	2.6799	4.3589
-33.81	-4.9238	-13.45
-34.117	3.6706	-13.577
-33.999	-4.3753	-29.214
-34.005	4.3995	-29.342
-26.482	-2.203	30.539
-28.373	-9.3267	22.947
-29.438	6.1346	24.609
-23.304	-14.291	10.084
-23.049	15.991	15.811
-16.181	-12.58	5.4833
-14.648	16.391	17.791
-34.064	-5.4311	4.5007
-34.75	2.633	4.3968
-33.866	-4.947	-13.459
-34.206	3.6447	-13.535
-33.985	-4.3838	-29.223
-33.996	4.3936	-29.298
-25.925	-2.3128	30.295
-27.834	-9.4267	22.708
-29.088	6.0178	24.556
-22.468	-14.578	10.041
-22.427	15.833	15.915
-14.979	-12.812	6.0862
-14.067	15.712	18.098
-34.203	-5.5262	4.4693
-34.953	2.5329	4.4376
-33.923	-5.009	-13.488
-34.287	3.5827	-13.488
-33.975	-4.4134	-29.252
-33.973	4.3649	-29.248
-25.346	-2.4762	30.001
-27.26	-9.4874	22.523
-28.706	5.9553	24.421
-21.553	-14.786	10.067
-21.832	15.646	15.807
-13.818	-12.991	6.6314
-13.56	14.994	18.219
-34.266	-5.5945	4.4673
-35.223	2.4429	4.5071
-33.939	-5.0445	-13.488
-34.419	3.5481	-13.409
-33.951	-4.4237	-29.251
-33.986	4.3744	-29.165
-24.846	-2.505	29.718
-26.713	-9.507	22.303
-28.47	5.9017	24.417
-20.661	-14.89	10.048
-21.419	15.383	15.713
-12.729	-13.104	7.0936
-13.2	14.253	18.127
-34.334	-5.7161	4.4367
-35.428	2.3035	4.5168
-33.957	-5.102	-13.516
-34.517	3.4748	-13.39
-33.923	-4.4267	-29.276
-33.984	4.3593	-29.139
-24.385	-2.5883	29.448
-26.18	-9.5571	22.155
-28.198	5.8307	24.357
-19.823	-14.967	10.068
-21.016	15.079	15.511
-11.769	-13.223	7.4348
-12.839	13.528	17.832
-34.386	-5.8303	4.4019
-35.619	2.1685	4.5354
-33.973	-5.1583	-13.548
-34.611	3.4066	-13.362
-33.909	-4.4317	-29.306
-33.991	4.3499	-29.104
-23.96	-2.6694	29.166
-25.66	-9.6242	21.922
-27.942	5.7197	24.243
-19.035	-15.051	9.9881
-20.66	14.705	15.21
-10.895	-13.3	7.6351
-12.524	12.772	17.381
-34.435	-5.9874	4.3611
-35.81	1.9878	4.5314
-33.992	-5.2301	-13.584
-34.716	3.3063	-13.355
-33.899	-4.4308	-29.339
-34.026	4.3161	-29.091
-23.561	-2.8481	28.843
-25.174	-9.7266	21.633
-27.738	5.5658	24.012
-18.299	-15.156	9.8422
-20.33	14.3	14.837
-10.116	-13.257	7.7743
-12.239	12.032	16.849
-34.503	-6.1956	4.2922
-36.049	1.7485	4.4536
-34.016	-5.3277	-13.647
-34.821	3.2023	-13.414
-33.887	-4.4335	-29.396
-34.008	4.3308	-29.135
-23.106	-2.9929	28.523
-24.735	-9.8379	21.387
-27.487	5.4109	23.835
-17.725	-15.245	9.6653
-20.002	13.859	14.455
-9.5133	-13.254	7.8087
-11.967	11.264	16.288
-34.555	-6.3874	4.2458
-36.163	1.5433	4.4551
-34.038	-5.422	-13.688
-34.873	3.1008	-13.399
-33.884	-4.4401	-29.431
-34.008	4.3198	-29.111
-22.656	-3.0543	28.207
-24.323	-9.9205	21.147
-27.278	5.2812	23.701
-17.24	-15.374	9.491
-19.705	13.402	14.106
-9.0062	-13.279	7.8609
-11.711	10.54	15.707
-34.606	-6.5923	4.2174
-36.252	1.3299	4.4509
-34.049	-5.5095	-13.708
-34.92	3.001	-13.39
-33.856	-4.4258	-29.444
-34.014	4.3223	-29.091
-22.262	-3.1639	27.906
-23.981	-10.052	20.906
-27.017	5.133	23.463
-16.841	-15.469	9.2687
-19.425	12.998	13.673
-8.6129	-13.245	7.7852
-11.46	9.9449	15.052
-34.651	-6.7882	4.175
-36.334	1.1251	4.4466
-34.067	-5.6051	-13.743
-34.963	2.8965	-13.381
-33.854	-4.4315	-29.473
-34.018	4.3079	-29.073
-21.906	-3.2265	27.618
-23.686	-10.142	20.656
-26.742	5.0251	23.272
-16.526	-15.551	9.0263
-19.109	12.598	13.285
-8.3025	-13.254	7.6317
-11.201	9.326	14.471
-34.733	-6.9851	4.1372
-36.402	0.92967	4.4478
-34.108	-5.7015	-13.773
-34.99	2.784	-13.369
-33.856	-4.4398	-29.495
-34.015	4.2677	-29.052
-21.58	-3.2912	27.343
-23.447	-10.276	20.497
-26.488	4.9104	23.078
-16.261	-15.624	8.8549
-18.797	12.227	12.946
-8.0535	-13.269	7.4638
-10.938	8.7885	13.979
-34.79	-7.1635	4.1013
-36.462	0.74983	4.4353
-34.132	-5.7857	-13.801
-35.021	2.6863	-13.37
-33.85	-4.441	-29.515
-34.016	4.2454	-29.044
-21.294	-3.3946	27.065
-23.209	-10.403	20.254
-26.213	4.7882	22.835
-16.029	-15.757	8.6114
-18.529	11.936	12.577
-7.8424	-13.294	7.2906
-10.719	8.3662	13.537
-34.859	-7.2859	4.0684
-36.57	0.61742	4.4394
-34.165	-5.8464	-13.827
-35.073	2.6154	-13.355
-33.851	-4.4502	-29.537
-34.022	4.2261	-29.02
-20.985	-3.4844	26.755
-23.02	-10.515	20.019
-26.004	4.6746	22.652
-15.842	-15.909	8.3926
-18.28	11.663	12.314
-7.6601	-13.391	7.1481
-10.514	7.9821	13.203
-34.92	-7.4514	4.0137
-36.638	0.4493	4.4086
-34.152	-5.9138	-13.871
-35.104	2.5259	-13.373
-33.825	-4.4096	-29.569
-34.026	4.2039	-29.03
-20.787	-3.567	26.525
-22.856	-10.634	19.817
-25.792	4.5739	22.401
-15.69	-16.019	8.1797
-18.055	11.513	12.041
-7.5013	-13.481	7.02
-10.346	7.7079	12.911
-35.005	-7.6411	4.0209
-36.684	0.26985	4.375
-34.039	-6.1021	-13.854
-35.129	2.4418	-13.394
-33.845	-4.4623	-29.541
-34.028	4.2079	-29.039
-20.579	-3.6897	26.292
-22.709	-10.756	19.605
-25.597	4.4537	22.236
-15.576	-16.164	7.9581
