level_0	level_1	frames = 147 markers = 13 Hz = 30
-33.281	-1.5433	26.552
-34.116	-7.4512	19.306
-34.765	5.8493	19.112
-33.12	-8.8979	6.2613
-33.356	7.95	6.2057
-32.491	-9.7594	-1.8041
-32.49	9.2173	-1.7749
-35.335	-3.4445	-0.54777
-35.865	4.1659	-0.54287
-36.17	-3.5223	-17.07
-36.501	4.3727	-17.075
-36.887	-3.5793	-30.933
-37.024	4.5222	-30.952
-33.296	-1.5546	26.552
-34.154	-7.4584	19.303
-34.777	5.8446	19.12
-33.096	-8.8974	6.2624
-33.338	7.9658	6.2194
-32.429	-9.7542	-1.8005
-32.453	9.2452	-1.7573
-35.323	-3.441	-0.55107
-35.841	4.1702	-0.54217
-36.022	-3.5347	-17.08
-36.343	4.3944	-17.078
-36.892	-3.5848	-30.934
-37.02	4.5134	-30.949
-33.331	-1.5754	26.542
-34.171	-7.4629	19.295
-34.778	5.842	19.122
-33.059	-8.8911	6.2581
-33.334	7.9782	6.2247
-32.358	-9.7413	-1.8026
-32.445	9.2668	-1.7502
-35.322	-3.4272	-0.56327
-35.827	4.1849	-0.54567
-36.02	-3.5297	-17.092
-36.336	4.4054	-17.081
-36.891	-3.5865	-30.946
-37.021	4.5213	-30.952
-33.393	-1.6003	26.534
-34.182	-7.4672	19.286
-34.791	5.8378	19.123
-33.024	-8.8794	6.2514
-33.421	7.9287	6.2106
-32.295	-9.7195	-1.8078
-32.58	9.1891	-1.7737
-35.315	-3.4291	-0.56547
-35.823	4.1828	-0.55387
-36.018	-3.5302	-17.094
-36.333	4.4014	-17.089
-36.892	-3.5861	-30.948
-37.02	4.5157	-30.96
-33.423	-1.6205	26.528
-34.186	-7.4738	19.274
-34.806	5.8309	19.126
-32.99	-8.8673	6.2406
-33.365	7.9889	6.2326
-32.239	-9.696	-1.8177
-32.479	9.2917	-1.7402
-35.317	-3.4257	-0.56557
-35.819	4.1865	-0.55637
-36.019	-3.5314	-17.094
-36.332	4.4072	-17.092
-36.89	-3.5912	-30.948
-37.021	4.5235	-30.963
-33.428	-1.6407	26.528
-34.184	-7.4818	19.274
-34.819	5.822	19.129
-32.968	-8.8513	6.2397
-33.394	7.9809	6.2335
-32.204	-9.6649	-1.8189
-32.518	9.2835	-1.7403
-35.312	-3.431	-0.56067
-35.822	4.1809	-0.55947
-36.018	-3.5337	-17.089
-36.334	4.4036	-17.095
-36.892	-3.5912	-30.943
-37.018	4.5223	-30.966
-33.423	-1.6661	26.526
-34.178	-7.4809	19.262
-34.832	5.819	19.13
-32.959	-8.8375	6.2272
-33.433	7.9711	6.2308
-32.194	-9.6431	-1.8321
-32.573	9.2702	-1.7454
-35.303	-3.4391	-0.56067
-35.824	4.172	-0.55897
-36.013	-3.5356	-17.089
-36.339	4.4144	-17.094
-36.893	-3.5879	-30.942
-37.028	4.5488	-30.965
-33.425	-1.6726	26.532
-34.173	-7.479	19.267
-34.865	5.8183	19.136
-33.035	-8.7354	6.2144
-33.468	7.96	6.2347
-32.32	-9.4796	-1.8555
-32.61	9.2526	-1.7427
-35.292	-3.4476	-0.55707
-35.823	4.1628	-0.55707
-36.008	-3.5433	-17.085
-36.336	4.4076	-17.092
-36.895	-3.5949	-30.938
-37.022	4.5444	-30.963
