level_0	level_1	frames = 150 markers = 13 Hz = 30
-7.2576398102563715	-1.6587	27.338
-7.012639810256367	5.2171	19.633
-6.869639810256373	-8.8555	20.15
-7.77363981025637	7.6103	5.4118
-8.079639810256367	-11.235	5.9688
-8.27963981025637	9.1126	-3.7052
-8.84363981025637	-12.721	-3.1216
-7.744639810256373	1.4011	-1.2686
-7.548639810256368	-5.6709	-1.2637
-8.345639810256372	1.9323	-19.472
-6.6526398102563675	-5.2462	-19.46
-6.055639810256373	1.8196	-34.171
-5.942639810256367	-4.8805	-34.322
-7.2506398102563665	-1.6519	27.338
-7.002639810256369	5.2172	19.632
-6.869639810256373	-8.855	20.149
-7.762639810256367	7.6196	5.4116
-8.082639810256367	-11.232	5.9672
-8.266639810256372	9.1278	-3.7046
-8.848639810256373	-12.716	-3.1233
-7.72763981025637	1.3949	-1.2702
-7.539639810256368	-5.6775	-1.2621
-8.339639810256372	1.9468	-19.472
-6.781639810256372	-5.3382	-19.466
-6.04163981025637	1.8486	-34.171
-5.937639810256371	-4.888	-34.319
-7.2506398102563665	-1.65	27.34
-6.993639810256369	5.2149	19.633
-6.869639810256373	-8.8567	20.148
-7.745639810256371	7.6171	5.4125
-8.082639810256367	-11.226	5.9653
-8.247639810256366	9.1241	-3.704
-8.848639810256373	-12.705	-3.1261
-7.714639810256372	1.3949	-1.2684
-7.524639810256367	-5.6774	-1.2603
-8.333639810256372	1.9432	-19.47
-6.7776398102563675	-5.3417	-19.465
-6.043639810256373	1.8433	-34.17
-5.939639810256367	-4.8921	-34.318
-7.249639810256369	-1.6398	27.338
-6.9906398102563685	5.2228	19.633
-6.870639810256371	-8.8495	20.148
-7.736639810256371	7.6222	5.4119
-8.082639810256367	-11.217	5.9645
-8.231639810256368	9.1286	-3.7051
-8.848639810256373	-12.694	-3.127
-7.698639810256367	1.3891	-1.2703
-7.515639810256367	-5.6833	-1.2638
-8.324639810256372	1.9463	-19.472
-6.771639810256367	-5.3431	-19.469
-6.040639810256373	1.852	-34.173
-5.937639810256371	-4.8901	-34.322
-7.253639810256367	-1.6368	27.34
-6.9906398102563685	5.2273	19.635
-6.884639810256367	-8.8456	20.154
-7.72763981025637	7.6194	5.4117
-8.088639810256367	-11.206	5.9685
-8.217639810256372	9.1211	-3.7063
-8.848639810256373	-12.68	-3.1242
-7.678639810256371	1.3852	-1.2671
-7.498639810256371	-5.6873	-1.2652
-8.317639810256367	1.9315	-19.468
-6.763639810256372	-5.3462	-19.47
-6.046639810256373	1.8284	-34.171
-5.934639810256371	-4.8924	-34.324
-7.258639810256369	-1.6403	27.346
-6.987639810256368	5.227	19.645
-6.884639810256367	-8.8483	20.172
-7.71563981025637	7.6225	5.4223
-8.085639810256367	-11.197	5.9847
-8.20063981025637	9.1252	-3.6958
-8.84363981025637	-12.663	-3.1093
-7.6696398102563705	1.3832	-1.2651
-7.482639810256373	-5.6892	-1.2599
-8.312639810256371	1.9292	-19.466
-6.7576398102563715	-5.343	-19.465
-6.046639810256373	1.8296	-34.17
-5.938639810256369	-4.8853	-34.319
-7.263639810256372	-1.6451	27.344
-6.978639810256368	5.2258	19.645
-6.885639810256372	-8.8501	20.171
-7.7036398102563695	7.6266	5.4226
-8.080639810256372	-11.193	5.9824
-8.186639810256366	9.1338	-3.695
-8.83463981025637	-12.654	-3.1126
-7.656639810256372	1.3847	-1.267
-7.47163981025637	-5.6877	-1.2635
-8.307639810256369	1.9319	-19.468
-6.753639810256367	-5.3432	-19.469
-6.049639810256373	1.834	-34.173
-5.937639810256371	-4.8849	-34.323
-7.278639810256372	-1.6405	27.346
-6.967639810256372	5.2232	19.648
-6.874639810256369	-8.8518	20.168
-7.691639810256369	7.6261	5.4257
-8.073639810256367	-11.188	5.9779
-8.171639810256373	9.1347	-3.6917
-8.83163981025637	-12.646	-3.1176
-7.649639810256367	1.381	-1.265
-7.467639810256372	-5.6915	-1.2582
-8.302639810256373	1.9282	-19.466
-6.749639810256369	-5.3464	-19.464
-6.046639810256373	1.8303	-34.171
-5.935639810256369	-4.8894	-34.318
-7.289639810256368	-1.6381	27.347
-6.9536398102563695	5.2219	19.643
-6.869639810256373	-8.8518	20.17
-7.676639810256368	7.6284	5.4214
-8.063639810256369	-11.182	5.9791
-8.156639810256372	9.1392	-3.6957
-8.818639810256371	-12.636	-3.1172
-7.639639810256369	1.3802	-1.2635
-7.461639810256372	-5.6924	-1.2598
-8.29763981025637	1.9304	-19.464
-6.7506398102563665	-5.3463	-19.466
-6.045639810256368	1.835	-34.17
-5.942639810256367	-4.8885	-34.32
-7.286639810256368	-1.6482	27.347
-6.946639810256372	5.215	19.643
-6.862639810256368	-8.8588	20.168
-7.6696398102563705	7.5908	5.4168
-8.054639810256369	-11.183	5.9758
-8.149639810256367	9.0818	-3.7034
-8.807639810256369	-12.632	-3.1213
-7.6326398102563715	1.3815	-1.2651
-7.452639810256372	-5.691	-1.2599
-8.295639810256368	1.9314	-19.466
-6.745639810256371	-5.3417	-19.466
-6.0446398102563705	1.8375	-34.172
-5.940639810256371	-4.8813	-34.321
-7.27663981025637	-1.666	27.351
-6.942639810256367	5.1987	19.649
-6.861639810256371	-8.8735	20.166
-7.664639810256368	7.5281	5.4153
-8.046639810256373	-11.19	5.9723
-8.143639810256367	8.9893	-3.7098
-8.795639810256368	-12.635	-3.126
-7.623639810256371	1.3863	-1.2602
-7.448639810256367	-5.6863	-1.2613
-8.293639810256373	1.9335	-19.46
-6.739639810256371	-5.3419	-19.467
-6.047639810256371	1.8368	-34.167
-5.935639810256369	-4.8875	-34.322
-7.286639810256368	-1.6511	27.346
-6.940639810256371	5.2135	19.643
-6.853639810256368	-8.8589	20.161
-7.655639810256368	7.5205	5.4047
-8.037639810256373	-11.187	5.9691
-8.131639810256367	8.9669	-3.7227
-8.786639810256368	-12.64	-3.1279
-7.618639810256369	1.3831	-1.2637
-7.444639810256369	-5.6896	-1.2632
-8.290639810256373	1.9366	-19.464
-6.7406398102563685	-5.3463	-19.469
