		frames = 108 markers = 13 Hz = 30
28.749	-3.4668	-30.714
27.318	-2.3744	-0.15608
28.746	-3.4411	-30.658
26.168	-8.8717	-1.5157
25.941	-0.068813	26.811
28.752	-3.45	-30.738
28.254	5.8908	-30.7
23.125	12.907	8.5197
26.609	-7.5746	7.0592
26.073	0.181	26.856
26.977	5.0957	-0.13868
28.774	-3.5236	-30.708
21.623	12.3	8.6368
27.932	-3.1069	-16.624
25.962	0.2887	26.892
26.667	-0.2929	26.778
28.227	5.8817	-30.595
28.272	5.8612	-30.687
27.148	-2.3567	-0.13708
27.749	4.7064	-0.072983
25.394	-8.6613	-1.5586
18.21	7.3523	13.921
27.133	5.078	-0.11588
28.756	-3.4458	-30.746
26.651	-7.5294	6.8037
27.924	-3.0048	-16.613
25.694	-0.039923	26.8
19.833	12.202	9.382
28.151	-5.7569	19.961
26.732	-0.21422	26.746
28.253	5.8978	-30.704
26.551	0.18117	26.774
27.869	5.4514	-16.614
26.615	-7.6371	6.8063
26.602	-0.28439	26.735
27.339	5.1586	-0.10088
26.309	6.8285	19.283
25.959	7.175	19.907
27.234	5.1235	-0.12158
28.744	-3.4815	-30.625
27.197	-2.3385	-0.15518
28.241	5.8892	-30.721
27.962	-3.074	-16.614
28.221	5.8706	-30.724
13.172	10.178	18.292
28.061	-5.9864	19.897
24.134	8.5405	6.4847
28.531	-5.9416	19.674
27.926	-3.1122	-16.616
23.059	13.461	-0.97688
28.002	-3.0161	-16.653
27.345	-7.6276	6.9266
28.757	-3.4473	-30.757
24.823	10.875	6.9425
28.221	5.8581	-30.628
27.976	-3.069	-16.575
14.456	15.613	4.4706
28.258	5.9206	-30.723
27.543	5.5629	-16.604
28.283	5.8713	-30.676
24.563	11.492	-1.7091
15.455	7.7671	19.062
27.454	-2.5559	-0.14138
27.305	-2.3319	-0.12108
27.514	5.4736	-16.6
28.253	5.8794	-30.722
27.47	-6.1531	20.11
24.275	-8.5413	-1.4607
22.088	12.582	8.6624
23.64	11.744	7.6757
27.403	-5.9843	19.799
28.802	-3.574	-30.678
27.216	-2.3445	-0.15518
28.758	-3.4602	-30.757
28.249	5.8712	-30.717
27.201	-2.3085	-0.14518
25.714	-7.7569	7.1738
27.086	-7.6132	6.8328
28.219	5.8653	-30.625
27.227	5.0353	-0.12158
27.43	-2.4577	-0.17478
28.756	-3.4486	-30.74
27.936	-3.0173	-16.581
27.07	5.1376	-0.13478
19.253	12.268	9.8114
28.436	-5.9534	19.728
26.75	-7.7028	6.8059
24.206	-8.5339	-1.0546
16.237	13.483	13.563
28.537	-5.84	19.661
27.942	-3.0781	-16.616
27.545	5.5778	-16.61
28.759	-3.4936	-30.696
28.757	-3.5403	-30.698
26.574	-7.5944	6.7719
9.9443	9.5583	15.826
28.766	-3.528	-30.643
28.247	5.8928	-30.723
27.62	4.7192	-0.093083
26.369	-9.0061	-1.3792
28.758	-3.4898	-30.694
28.232	5.8791	-30.724
24.241	8.6422	6.741
27.385	4.7942	-0.10738
18.21	6.5154	13.892
26.463	11.854	-1.7841
28.746	-3.5306	-30.69
27.958	-3.0529	-16.581
15.84	8.7844	10.65
26.026	-7.419	7.137
25.54	-7.6325	7.3203
25.802	-8.7749	-1.556
17.645	6.1192	16.018
15.095	7.0615	16.86
27.373	-2.7373	-0.085283
18.321	5.2989	17.717
27.483	4.9007	-0.10748
27.982	-3.0707	-16.637
27.677	-7.6369	6.9299
26.665	0.34696	26.86
27.475	-6.1817	19.872
27.575	5.5809	-16.48
27.444	-7.5727	6.8276
28.278	5.8706	-30.678
18.218	7.4499	13.847
26.233	0.17544	26.855
29.22	-5.762	19.819
28.001	-3.0745	-16.61
26.5	6.9157	19.498
27.492	5.4772	-16.604
27.568	-5.9935	20.134
27.829	-2.9892	-16.6
25.642	-7.4995	6.9013
27.491	5.4928	-16.607
27.512	-2.3771	-0.14388
27.615	5.4546	-16.59
26.083	-8.8176	-1.4332
27.306	-2.3706	-0.15588
28.405	-5.9569	19.746
28.759	-3.5063	-30.705
27.469	5.5135	-16.614
26.493	-0.32468	26.742
27.751	5.3959	-16.577
25.854	-7.6501	6.9722
25.469	-8.7302	-1.4387
29.867	-5.5281	19.678
15.954	6.4776	17.66
25.58	-8.6763	-1.5543
17.664	7.5691	13.59
27.075	0.10161	26.73
27.59	5.5627	-16.613
24.457	-8.5896	-1.1505
27.065	5.1429	-0.13308
24.227	-8.7688	-1.0816
28.053	-3.0463	-16.581
27.971	-3.0661	-16.583
20.552	13.496	9.8314
28.739	-3.4547	-30.704
27.274	-2.6343	-0.065783
28.265	5.8783	-30.691
27.387	4.9151	-0.13508
27.069	5.1336	-0.16538
18.039	6.1263	15.09
27.596	5.5662	-16.509
28.259	5.9147	-30.705
15.918	12.765	13.362
27.343	-7.5618	6.8716
17.493	13.14	12.199
28.261	5.8987	-30.732
25.973	0.43533	26.887
27.516	5.5893	-16.509
26.575	-7.6044	6.7913
28.216	5.8673	-30.7
27.294	5.1061	-0.12798
28.256	5.9122	-30.72
27.618	5.5583	-16.598
26.379	-0.11785	26.777
25.706	-8.7193	-1.5196
21.172	12.3	8.7985
27.951	-3.035	-16.547
27.977	-3.0766	-16.62
26.109	7.1276	19.737
28.521	-5.8765	19.859
28.746	-3.438	-30.632
27.218	5.1118	-0.12148
27.452	-2.4924	-0.17098
27.916	5.3768	-16.555
24.799	-8.5689	-1.4519
26.651	-7.5679	6.8167
27.407	-2.7137	-0.065683
28.229	5.8698	-30.721
27.421	-2.3522	-0.14648
27.767	5.4687	-16.583
26.717	0.42159	26.767
25.874	-7.4794	7.197
17.931	14.664	12.816
28.779	-3.5108	-30.681
26.174	6.859	19.711
25.71	-0.048453	26.801
26.388	0.015437	26.857
17.15	13.016	12.315
25.955	6.8944	19.771
27.025	5.1981	-0.033983
28.755	-3.4518	-30.732
28.002	-3.0447	-16.639
27.969	-3.0732	-16.62
26.122	7.2169	19.822
28.752	-3.4733	-30.709
27.896	-2.9895	-16.606
26.113	7.1137	19.806
27.637	-5.8854	19.972
28.743	-3.4483	-30.648
26.481	6.8354	19.344
22.348	12.715	8.7075
28.755	-3.4491	-30.732
27.286	5.0822	-0.13278
27.262	5.0899	-0.086583
24.612	-8.7141	-1.2914
16.946	12.163	2.4992
28.77	-3.5061	-30.694
22.81	9.7546	-1.5945
26.163	6.9021	19.715
28.451	-6.1394	19.704
27.042	5.151	-0.13338
25.509	-7.4407	6.8875
28.009	-5.9544	19.903
28.513	-6.1393	19.697
26.705	-0.17073	26.75
26.767	-0.30066	26.787
27.502	5.555	-16.613
27.631	5.5299	-16.631
28.039	-3.0295	-16.609
28.275	5.9044	-30.705
28.218	5.8694	-30.682
27.521	5.5558	-16.611
22.133	12.628	8.6871
27.675	-7.6645	6.9513
