level_0	level_1	frames = 313 markers = 13 Hz = 30
-35.192	0.013507	29.965
-35.514	-7.4401	22.235
-37.013	7.3478	22.159
-33.306	-8.2798	8.4726
-36.174	9.8551	8.4592
-31.891	-8.7887	-0.42651
-35.08	10.906	-0.42721
-36.687	-3.9422	1.8199
-36.963	4.3964	1.8251
-37.216	-4.2567	-15.846
-37.566	5.0826	-15.83
-37.697	-4.5219	-31.379
-38.085	5.658	-31.359
-35.181	0.023677	29.966
-35.515	-7.4349	22.236
-37.005	7.357	22.162
-33.286	-8.2732	8.4771
-36.167	9.8603	8.4617
-31.858	-8.7814	-0.41991
-35.057	10.896	-0.42441
-36.664	-3.939	1.8181
-36.945	4.3995	1.8188
-37.045	-4.2856	-15.851
-37.395	5.0986	-15.84
-37.695	-4.5162	-31.378
-38.084	5.6555	-31.363
-35.163	0.025307	29.962
-35.517	-7.4245	22.222
-36.994	7.372	22.172
-33.264	-8.2716	8.4683
-36.155	9.8448	8.4654
-31.819	-8.7837	-0.42601
-35.055	10.875	-0.42271
-36.625	-3.9456	1.8126
-36.914	4.3927	1.8086
-37.028	-4.2953	-15.856
-37.381	5.0958	-15.85
-37.695	-4.5289	-31.382
-38.082	5.6562	-31.372
-35.154	0.037907	29.965
-35.524	-7.4133	22.216
-36.982	7.3842	22.174
-33.246	-8.2636	8.4663
-36.149	9.8299	8.4624
-31.785	-8.7777	-0.42521
-35.077	10.866	-0.42851
-36.596	-3.9471	1.8141
-36.883	4.3912	1.8045
-37.013	-4.307	-15.854
-37.363	5.0955	-15.853
-37.698	-4.5487	-31.379
-38.079	5.6567	-31.375
-35.151	0.042777	29.958
-35.522	-7.412	22.201
-36.969	7.3843	22.164
-33.218	-8.2752	8.4564
-36.127	9.8101	8.4496
-31.741	-8.7894	-0.43241
-35.086	10.868	-0.44231
-36.561	-3.9433	1.8069
-36.849	4.395	1.7972
-36.989	-4.2873	-15.862
-37.344	5.0972	-15.86
-37.684	-4.5144	-31.386
-38.073	5.6566	-31.381
-35.154	0.054647	29.957
-35.517	-7.403	22.196
-36.973	7.3887	22.152
-33.179	-8.2937	8.4587
-36.081	9.7952	8.4377
-31.68	-8.7988	-0.42681
-35.057	10.887	-0.45221
-36.526	-3.9428	1.805
-36.818	4.3953	1.7942
-36.975	-4.2942	-15.863
-37.326	5.0959	-15.863
-37.685	-4.5288	-31.387
-38.064	5.6539	-31.383
-35.166	0.070837	29.959
-35.492	-7.3897	22.201
-36.979	7.3952	22.132
-33.114	-8.345	8.4753
-36.002	9.8018	8.4229
-31.587	-8.8175	-0.40731
-34.975	10.938	-0.46091
-36.494	-3.9363	1.7999
-36.785	4.402	1.798
-36.957	-4.2931	-15.868
-37.309	5.0997	-15.859
-37.683	-4.5318	-31.391
-38.061	5.6551	-31.379
-35.188	0.096027	29.959
-35.467	-7.3813	22.227
-36.986	7.4067	22.123
-32.935	-8.4691	8.539
-35.874	9.8534	8.4314
-31.301	-8.863	-0.32841
-34.787	11.035	-0.43941
-36.465	-3.916	1.7931
-36.745	4.4226	1.7995
-36.946	-4.2842	-15.874
-37.285	5.1091	-15.857
-37.682	-4.5337	-31.396
-38.058	5.6541	-31.376
-35.182	0.10498	29.964
-35.405	-7.3848	22.239
-36.953	7.3997	22.116
-32.684	-8.703	8.6074
-35.652	9.9296	8.4559
-30.903	-8.9485	-0.23721
-34.409	11.117	-0.39331
-36.454	-3.8832	1.7925
-36.704	4.4564	1.8167
-36.942	-4.2708	-15.874
-37.267	5.1261	-15.84
-37.684	-4.5362	-31.396
-38.056	5.658	-31.359
-35.257	0.060467	29.976
-35.431	-7.4418	22.276
-37.037	7.3314	22.085
-32.423	-9.0814	8.7395
-35.513	10.129	8.5006
-30.394	-9.0858	-0.054805
-33.995	11.337	-0.30301
-36.474	-3.8446	1.7881
-36.675	4.496	1.856
-36.949	-4.2533	-15.878
-37.252	5.1409	-15.801
-37.683	-4.5343	-31.4
-38.053	5.653	-31.32
-35.229	0.091407	29.943
-35.395	-7.4223	22.253
-36.995	7.3541	22.048
-32.014	-9.6267	8.8858
-35.313	10.531	8.5665
-29.651	-9.4082	0.17759
-33.445	11.722	-0.17131
-36.499	-3.9172	1.7868
-36.82	4.42	1.7998
-36.962	-4.2851	-15.88
-37.32	5.1092	-15.858
-37.686	-4.5342	-31.403
-38.056	5.6564	-31.379
-35.241	0.10912	29.954
-35.428	-7.4147	22.286
-36.99	7.3732	22.059
-31.583	-10.336	9.184
-35.115	11.035	8.727
-28.772	-9.9094	0.61739
-32.79	12.172	0.092695
-36.492	-3.918	1.7964
-36.853	4.4176	1.8056
-36.957	-4.283	-15.871
-37.342	5.1132	-15.852
-37.68	-4.5305	-31.394
-38.066	5.6656	-31.374
-35.253	0.10472	29.965
-35.464	-7.4292	22.329
-36.986	7.3749	22.075
-31.082	-11.185	9.6139
-34.845	11.715	8.9885
-27.756	-10.565	1.246
-31.959	12.859	0.52649
-36.501	-3.9052	1.8137
-36.893	4.4289	1.8083
-36.964	-4.2776	-15.853
-37.36	5.1181	-15.851
-37.684	-4.5322	-31.377
-38.064	5.6643	-31.373
-35.263	0.12556	29.935
-35.502	-7.4219	22.349
-36.983	7.4029	22.049
-30.518	-12.034	10.148
-34.537	12.45	9.2732
-26.678	-11.289	2.0131
-31.054	13.587	1.0385
-36.562	-3.9519	1.7926
-36.955	4.3821	1.7603
-36.993	-4.2986	-15.876
-37.396	5.0993	-15.898
-37.686	-4.5303	-31.401
-38.078	5.6704	-31.42
-35.286	0.11078	29.939
-35.609	-7.4851	22.485
-36.996	7.3828	22.067
-29.882	-12.759	10.894
-34.139	13.2	9.7114
-25.584	-12.141	2.9805
-29.988	14.356	1.7951
-36.573	-3.8428	1.7821
-36.953	4.492	1.7952
-36.997	-4.2468	-15.885
-37.397	5.1568	-15.865
-37.686	-4.5274	-31.409
-38.081	5.6823	-31.389
-35.325	0.17978	29.971
-35.491	-7.4014	22.515
-37.002	7.4599	22.113
-29.023	-13.635	11.825
-33.659	13.931	10.213
-24.379	-12.753	4.1353
-28.857	15.031	2.6664
-36.625	-3.8954	1.785
-36.999	4.4395	1.8246
-37.024	-4.2679	-15.884
-37.416	5.1268	-15.836
-37.689	-4.5215	-31.409
-38.08	5.6717	-31.36
-35.328	0.2376	30.015
-35.558	-7.3731	22.656
-36.967	7.5247	22.174
-28.147	-13.926	12.802
-33.088	14.647	10.822
-23.18	-13.374	5.2852
