level_0	level_1	frames = 120 markers = 13 Hz = 30
32.477	5.2292	-28.126266282051283
32.454	-1.8806	-20.489266282051283
32.72	12.722	-20.20926628205128
30.048	-3.5266	-6.122066282051281
32.515	15.436	-5.815266282051281
28.63	-4.4611	2.352233717948719
30.627	15.12	2.601933717948719
32.881	0.85025	-0.4537662820512808
33.03	9.1062	-0.4591662820512806
33.802	0.71901	17.48573371794872
33.982	8.8097	17.478733717948717
34.617	0.6176	33.10973371794872
34.796	8.525	33.10673371794872
32.491	5.2147	-28.12526628205128
32.473	-1.8936	-20.487266282051284
32.713	12.711	-20.21826628205128
30.069	-3.527	-6.1181662820512805
32.54	15.506	-5.839666282051281
28.652	-4.454	2.3571337179487193
30.609	15.114	2.564533717948719
32.904	0.83751	-0.4572662820512806
33.016	9.0939	-0.45696628205128087
33.655	0.66285	17.489733717948717
33.785	8.7049	17.487733717948718
34.614	0.62162	33.10573371794872
34.74	8.287	33.104733717948726
32.602	5.1168	-28.135266282051283
32.571	-1.9802	-20.478266282051283
32.657	12.629	-20.249266282051284
30.113	-3.5615	-6.112866282051281
32.504	15.516	-5.888966282051281
28.664	-4.4577	2.360433717948719
30.56	15.114	2.511733717948719
32.932	0.81892	-0.45906628205128086
32.999	9.0758	-0.46006628205128075
33.669	0.64766	17.48873371794872
33.776	8.6976	17.484733717948718
34.617	0.61091	33.104733717948726
34.741	8.2895	33.101733717948726
32.654	5.1079	-28.13626628205128
32.621	-2.0064	-20.49426628205128
32.6	12.61	-20.262266282051282
30.142	-3.5858	-6.132366282051281
32.481	15.571	-5.916366282051281
28.68	-4.4808	2.3388337179487193
30.506	15.114	2.474233717948719
32.946	0.78098	-0.4729662820512809
32.973	9.0381	-0.45476628205128067
33.674	0.63276	17.475733717948717
33.76	8.6759	17.489733717948717
34.609	0.61563	33.092733717948725
34.734	8.2824	33.10673371794872
32.744	5.0904	-28.128266282051282
32.679	-2.0431	-20.513266282051283
32.53	12.574	-20.23826628205128
30.171	-3.6261	-6.156766282051281
32.378	15.633	-5.913366282051281
28.692	-4.5232	2.3112337179487192
30.328	15.118	2.455733717948719
