level_0	level_1	frames = 151 markers = 13 Hz = 30
-35.377	1.3158	-30.219670985226696
-37.177	8.1746	-23.945670985226695
-35.702	-5.013	-22.721670985226694
-37.537	11.586	-11.1256709852267
-35.282	-8.3719	-9.829670985226699
-34.667	13.433	-1.5486709852266975
-35.836	-10.896	-0.003560985226697677
-37.233	4.9877	-0.6117709852266977
-37.513	-3.5458	-0.6167709852266976
-37.622	5.9043	15.4313290147733
-38.386	-3.7384	15.4343290147733
-37.991	6.7302	30.036329014773305
-39.167	-3.8888	30.051329014773305
-35.381	1.3046	-30.217670985226697
-37.171	8.1582	-23.943670985226696
-35.701	-5.0294	-22.715670985226694
-37.547	11.568	-11.1256709852267
-35.289	-8.3883	-9.823670985226698
-34.668	13.431	-1.5539709852266976
-35.849	-10.912	0.0018390147733022832
-37.231	4.9726	-0.6062709852266976
-37.518	-3.5606	-0.6166709852266976
-37.471	5.8989	15.439329014773302
-38.239	-3.7742	15.4413290147733
-37.99	6.7301	30.039329014773305
-39.166	-3.8902	30.050329014773304
-35.385	1.2932	-30.214670985226697
-37.165	8.1415	-23.941670985226697
-35.7	-5.046	-22.708670985226696
-37.555	11.56	-11.127670985226699
-35.297	-8.405	-9.817670985226698
-34.669	13.426	-1.5588709852266978
-35.864	-10.929	0.007339014773302344
-37.228	4.9573	-0.6007709852266976
-37.523	-3.5757	-0.6164709852266976
-37.468	5.8916	15.4443290147733
-38.245	-3.7815	15.4413290147733
-37.99	6.7302	30.043329014773306
-39.168	-3.8914	30.050329014773304
-35.389	1.2798	-30.210670985226695
-37.158	8.122	-23.938670985226697
-35.698	-5.0654	-22.701670985226695
-37.565	11.549	-11.1296709852267
-35.306	-8.4246	-9.8116709852267
-34.671	13.422	-1.5646709852266976
-35.88	-10.949	0.013739014773302305
-37.225	4.9394	-0.5942709852266976
-37.529	-3.5932	-0.6163709852266976
-37.468	5.883	15.4503290147733
-38.248	-3.7906	15.4413290147733
-37.99	6.7302	30.049329014773306
-39.169	-3.8927	30.051329014773305
-35.394	1.2651	-30.207670985226695
-37.15	8.1006	-23.935670985226697
-35.696	-5.0867	-22.693670985226696
-37.576	11.536	-11.131670985226698
-35.315	-8.446	-9.803670985226699
-34.672	13.417	-1.5709709852266975
-35.898	-10.97	0.0208390147733023
-37.222	4.9198	-0.5870709852266978
-37.536	-3.6125	-0.6161709852266977
-37.467	5.8737	15.456329014773301
-38.251	-3.8008	15.442329014773302
-37.99	6.7303	30.055329014773303
-39.17	-3.8944	30.051329014773305
-35.4	1.2498	-30.203670985226694
-37.142	8.0782	-23.933670985226694
-35.695	-5.109	-22.684670985226695
-37.588	11.522	-11.133670985226699
-35.325	-8.4684	-9.7956709852267
-34.674	13.411	-1.5776709852266975
-35.918	-10.993	0.028039014773302284
-37.219	4.8993	-0.5796709852266977
-37.543	-3.6326	-0.6159709852266977
-37.465	5.8639	15.4633290147733
-38.257	-3.8108	15.442329014773302
-37.99	6.7304	30.061329014773303
-39.171	-3.896	30.052329014773303
-35.404	1.2368	-30.199670985226696
-37.136	8.0594	-23.930670985226694
-35.693	-5.1276	-22.677670985226694
-37.597	11.509	-11.134670985226698
-35.334	-8.4872	-9.788670985226698
-34.675	13.407	-1.5832709852266977
-35.934	-11.012	0.03413901477330228
-37.216	4.8821	-0.5734709852266977
-37.549	-3.6494	-0.6158709852266977
-37.462	5.8558	15.469329014773301
-38.259	-3.8198	15.443329014773301
-37.989	6.7305	30.066329014773306
-39.172	-3.8974	30.053329014773304
-35.409	1.2242	-30.196670985226696
-37.129	8.0411	-23.928670985226695
-35.692	-5.1458	-22.670670985226696
-37.607	11.497	-11.1356709852267
-35.342	-8.5055	-9.7826709852267
-34.676	13.403	-1.5887709852266978
-35.95	-11.03	0.040139014773302284
-37.213	4.8653	-0.5673709852266977
-37.554	-3.6659	-0.6156709852266977
-37.46	5.8478	15.474329014773302
-38.262	-3.8283	15.443329014773301
-37.989	6.7305	30.071329014773305
-39.173	-3.8987	30.053329014773304
-35.413	1.2122	-30.193670985226696
-37.123	8.0238	-23.926670985226696
-35.69	-5.163	-22.663670985226695
-37.616	11.486	-11.137670985226698
-35.35	-8.5228	-9.7766709852267
-34.677	13.399	-1.5939709852266974
-35.965	-11.048	0.04573901477330233
-37.211	4.8494	-0.5615709852266977
-37.56	-3.6815	-0.6154709852266977
-37.46	5.8403	15.4803290147733
-38.264	-3.8366	15.443329014773301
-37.989	6.7306	30.076329014773304
-39.174	-3.9001	30.054329014773305
-35.417	1.2012	-30.190670985226696
-37.117	8.008	-23.924670985226694
-35.689	-5.1788	-22.657670985226694
-37.624	11.475	-11.1386709852267
-35.357	-8.5387	-9.7706709852267
-34.678	13.395	-1.598670985226698
-35.978	-11.064	0.05083901477330233
-37.209	4.8348	-0.5563709852266976
-37.565	-3.6957	-0.6153709852266978
-37.46	5.8334	15.484329014773301
-38.267	-3.844	15.4443290147733
-37.989	6.7307	30.080329014773305
-39.174	-3.9012	30.054329014773305
-35.42	1.1934	-30.188670985226697
-37.113	7.9967	-23.922670985226695
-35.688	-5.19	-22.652670985226695
-37.629	11.467	-11.139670985226699
-35.362	-8.55	-9.7666709852267
-34.679	13.393	-1.602070985226698
-35.988	-11.075	0.05453901477330236
-37.207	4.8245	-0.5525709852266976
-37.568	-3.7058	-0.6152709852266978
-37.458	5.8285	15.488329014773301
-38.27	-3.849	15.4443290147733
-37.989	6.7307	30.083329014773305
-39.175	-3.902	30.054329014773305
-35.423	1.1851	-30.186670985226694
-37.109	7.9848	-23.921670985226694
-35.687	-5.2017	-22.648670985226694
-37.635	11.459	-11.140670985226699
-35.368	-8.5619	-9.762670985226698
-34.68	13.39	-1.6056709852266977
-35.998	-11.087	0.05833901477330228
-37.205	4.8136	-0.5486709852266978
-37.572	-3.7165	-0.6151709852266978
-37.459	5.8233	15.491329014773301
-38.27	-3.8549	15.4443290147733
-37.989	6.7308	30.086329014773305
-39.176	-3.9029	30.055329014773303
-35.425	1.1789	-30.184670985226695
-37.106	7.9759	-23.920670985226696
-35.686	-5.2106	-22.644670985226696
-37.64	11.454	-11.140670985226699
-35.372	-8.5708	-9.759670985226698
-34.68	13.388	-1.6082709852266979
-36.006	-11.096	0.06123901477330229
-37.204	4.8053	-0.5456709852266977
-37.574	-3.7245	-0.6150709852266976
-37.458	5.8194	15.494329014773301
-38.271	-3.8592	15.4443290147733
-37.989	6.7308	30.089329014773305
-39.176	-3.9036	30.055329014773303
-35.426	1.1751	-30.183670985226694
-37.104	7.9703	-23.919670985226695
-35.686	-5.2161	-22.642670985226694
-37.642	11.451	-11.1416709852267
-35.374	-8.5764	-9.7576709852267
-34.681	13.387	-1.6099709852266975
-36.011	-11.102	0.06303901477330232
-37.203	4.8003	-0.5438709852266976
-37.576	-3.7295	-0.6149709852266976
-37.455	5.817	15.4963290147733
-38.274	-3.8613	15.4443290147733
-37.989	6.7309	30.090329014773303
-39.176	-3.904	30.055329014773303
-35.427	1.174	-30.183670985226694
-37.103	7.9688	-23.919670985226695
-35.686	-5.2177	-22.641670985226696
-37.643	11.451	-11.1416709852267
-35.375	-8.5779	-9.7576709852267
-34.681	13.386	-1.6103709852266974
-36.012	-11.103	0.06353901477330237
-37.203	4.7988	-0.5433709852266977
-37.577	-3.7309	-0.6149709852266976
-37.455	5.8162	15.4963290147733
-38.273	-3.8623	15.4443290147733
-37.989	6.7309	30.091329014773304
-39.176	-3.9041	30.055329014773303
-35.426	1.1768	-30.184670985226695
-37.105	7.9728	-23.919670985226695
-35.686	-5.2136	-22.643670985226695
-37.641	11.455	-11.1416709852267
-35.373	-8.5738	-9.758670985226699
-34.681	13.387	-1.6090709852266978
-36.009	-11.099	0.06223901477330229
-37.203	4.8026	-0.5446709852266978
-37.575	-3.7272	-0.6150709852266976
-37.457	5.818	15.4953290147733
-38.274	-3.8602	15.4443290147733
-37.989	6.7309	30.090329014773303
-39.177	-3.9037	30.055329014773303
-35.423	1.1848	-30.186670985226694
-37.109	7.9842	-23.921670985226694
-35.687	-5.2023	-22.648670985226694
-37.635	11.465	-11.1416709852267
-35.368	-8.5624	-9.762670985226698
-34.68	13.389	-1.6054709852266973
-35.999	-11.088	0.05853901477330237
-37.205	4.8131	-0.5484709852266976
-37.572	-3.717	-0.6151709852266978
-37.457	5.8229	15.4923290147733
-38.271	-3.8552	15.4443290147733
-37.989	6.7308	30.086329014773305
-39.176	-3.903	30.055329014773303
-35.418	1.1984	-30.189670985226694
-37.116	8.0039	-23.923670985226696
-35.689	-5.1828	-22.655670985226696
-37.624	11.481	-11.140670985226699
-35.359	-8.5428	-9.7696709852267
-34.679	13.393	-1.599470985226698
-35.982	-11.068	0.052139014773302295
-37.208	4.8311	-0.5549709852266977
-37.566	-3.6993	-0.6153709852266978
-37.459	5.8313	15.4863290147733
-38.267	-3.8462	15.4443290147733
-37.989	6.7307	30.081329014773303
-39.175	-3.9015	30.054329014773305
-35.411	1.2183	-30.195670985226695
-37.126	8.0326	-23.927670985226694
-35.691	-5.1542	-22.666670985226695
-37.609	11.505	-11.139670985226699
-35.346	-8.514	-9.7796709852267
-34.677	13.398	-1.5905709852266976
-35.957	-11.039	0.04283901477330232
-37.212	4.8575	-0.5645709852266976
-37.557	-3.6735	-0.6155709852266977
-37.46	5.8437	15.477329014773302
-38.262	-3.833	15.443329014773301
-37.989	6.7306	30.073329014773304
-39.173	-3.8994	30.053329014773304
-35.398	1.2557	-30.204670985226695
-37.146	8.0867	-23.934670985226695
-35.695	-5.1004	-22.687670985226696
-37.581	11.541	-11.1356709852267
-35.321	-8.4598	-9.7986709852267
-34.673	13.41	-1.5743709852266976
-35.911	-10.984	0.02523901477330237
-37.22	4.9072	-0.5825709852266976
-37.54	-3.6249	-0.6160709852266977
-37.465	5.8673	15.461329014773302
-38.254	-3.8076	15.442329014773302
-37.989	6.7304	30.059329014773304
-39.17	-3.8954	30.052329014773303
-35.375	1.3214	-30.221670985226694
-37.18	8.1828	-23.946670985226696
-35.703	-5.0049	-22.724670985226695
-37.532	11.593	-11.1256709852267
-35.278	-8.3637	-9.832670985226699
-34.667	13.435	-1.5461709852266976
-35.828	-10.888	-0.006160985226697724
-37.235	4.9951	-0.6144709852266976
-37.511	-3.5385	-0.6168709852266976
-37.473	5.9093	15.432329014773302
-38.236	-3.7627	15.440329014773301
-37.99	6.7301	30.032329014773303
-39.165	-3.8883	30.049329014773306
-35.344	1.4147	-30.243670985226697
-37.23	8.3209	-23.962670985226694
-35.714	-4.8674	-22.777670985226695
-37.461	11.66	-11.1096709852267
-35.215	-8.2256	-9.881670985226698
-34.658	13.471	-1.5060709852266978
-35.709	-10.748	-0.05166098522669771
-37.255	5.1211	-0.6605709852266977
-37.468	-3.4142	-0.6177709852266977
-37.481	5.9698	15.3893290147733
-38.212	-3.6978	15.4373290147733
-37.991	6.7298	29.993329014773305
-39.158	-3.8782	30.044329014773304
-35.311	1.5462	-30.248670985226696
-37.273	8.4162	-23.947670985226697
-35.694	-4.7619	-22.806670985226695
-37.346	11.727	-11.070670985226698
-35.108	-8.1358	-9.9106709852267
-34.835	13.582	-1.3945709852266979
-35.537	-10.671	-0.08076098522669772
-37.246	5.2263	-0.6538709852266977
-37.436	-3.3095	-0.6227709852266976
-37.479	6.0183	15.3993290147733
-38.197	-3.6589	15.430329014773301
-37.99	6.727	30.005329014773306
-39.157	-3.8988	30.035329014773303
-35.325	1.638	-30.246670985226697
-37.325	8.5118	-23.911670985226696
-35.697	-4.6658	-22.824670985226696
-37.171	11.71	-10.986670985226699
-35.075	-8.064	-9.932670985226698
-35.02	13.56	-1.2238709852266978
-35.477	-10.618	-0.10706098522669771
-37.237	5.3128	-0.6402709852266977
-37.425	-3.2231	-0.6182709852266977
-37.472	6.0525	15.4153290147733
-38.193	-3.6033	15.4343290147733
-37.987	6.7147	30.023329014773303
-39.161	-3.87	30.038329014773304
-35.261	1.737	-30.239670985226695
-37.285	8.5786	-23.860670985226694
