		frames = 140 markers = 13 Hz = 30
34.56	-7.0196	-17.231
26.443	-6.5852	20.755
23.998	11.288	21.032
37.034	0.46182	-31.138
36.171	-8.7262	19.298
34.429	6.1264	5.9916
32.129	-8.8772	-17.55
33.225	-10.058	-0.9121
14.113	4.2433	21.811
32.625	-19.341	-4.2355
31.217	-17.895	16.8
23.803	8.9046	20.581
37.091	0.36922	-31.381
36.382	1.3181	-17.706
36.956	-8.1818	-30.708
34.14	-0.84258	-16.767
34.98	4.7824	19.475
34.531	-8.0992	-31.142
31.28	-15.578	-2.5659
31.695	-10.823	-1.0696
33.319	-19.007	3.9891
26.336	6.0854	21.413
27.557	6.2844	20.545
30.803	-18.36	16.493
35.049	-19.365	4.0278
27.227	6.4329	20.439
28.726	-12.941	25.273
35.234	-6.9426	-1.0389
33.446	-19.499	3.9703
30.729	-18.353	16.472
32.231	-9.3508	25.257
33.793	-0.96401	-16.568
33.799	-0.89152	-16.605
33.318	-9.6783	-0.9679
32.349	-8.4974	-17.552
35.876	0.19862	-17.502
29.988	6.5996	-1.8699
31.737	-9.4059	-17.539
27.196	-14.338	24.933
16.352	6.2991	20.342
30.578	-18.133	16.808
34.774	-8.0272	-31.426
32.878	-8.0703	-17.488
31.209	-18.239	16.267
33.758	-0.92323	-16.564
34.682	-8.0467	-31.359
35.034	-18.666	4.0668
33.276	-18.894	3.9703
30.962	-0.6983	20.545
33.812	-0.89216	-16.598
31.982	-6.9496	25.768
31.617	-9.4319	-17.521
33.623	-8.6356	-0.9536
35.335	-11.897	6.3081
33.773	-0.86982	-16.598
33.305	-1.9026	-0.6452
33.077	-9.2053	-0.9756
31.686	-16.544	-3.1473
32.814	-2.2954	-0.477
32.005	-18.578	-4.2784
33.707	-19.583	4.0107
30.941	-3.3012	-0.4123
34.728	-8.0324	-31.43
28.993	-12.603	25.311
31.883	-10.629	-1.1307
28.266	7.2808	19.283
35.56	-0.037084	-17.555
34.451	-7.9996	-31.102
31.764	-18.481	-4.1363
33.761	-0.89664	-16.585
16.641	8.5425	20.055
21.981	9.3827	16.466
28.921	7.8331	18.542
36.285	2.3832	-1.177
36.486	0.95322	-30.156
19.908	10.144	20.079
28.677	7.6625	18.815
34.897	-8.3154	-31.421
34.419	-8.129	-1.09
32.071	-17.173	-3.5242
27.134	-14.2	24.963
32.085	-8.7897	-17.497
33.354	-1.298	-1.0116
26.753	5.1034	8.5054
34.17	-8.2235	-0.8827
33.719	-19.079	-4.2738
33.334	-8.9898	-1.0053
23.083	8.013	14.594
35.809	-6.8983	-17.32
34.72	-8.1517	-31.271
34.496	-8.0773	-31.117
27.675	6.2144	20.48
34.069	4.2041	20.039
31.597	-10.748	-1.0882
36.937	0.47692	-31.068
33.324	-19.403	3.9812
