		frames = 140 markers = 13 Hz = 30
-36.879	17.357	22.202
-37.908	-1.4893	-15.583
-27.515	20.156	-15.916
-35.204	20.902	-15.539
-40.742	21.531	10.533
-18.753	-1.9608	1.9939
-30.655	-12.407	29.437
-42.865	-4.097	11.518
-34.34	-13.166	-15.718
-20.071	19.088	8.8002
-33.021	2.4981	-0.4829
-34.046	-13.497	-15.672
-38.855	22.849	10.391
-31.47	-9.5821	29.654
-36.006	-5.4996	0.3193
-33.894	-20.398	8.2556
-33.214	2.4558	-0.515
-51.52	16.685	4.4875
-35.367	-4.9372	22.065
-37.132	19.04	22.82
-32.988	-14.048	0.549
-33.885	1.9002	-0.4911
-28.157	21.08	-30.97
-29.489	16.95	29.758
-34.91	-9.1603	0.4247
-24.874	16.099	21.634
-33.786	20.707	0.9175
-38.909	12.385	0.090303
-33.123	2.4997	-0.5372
-36.139	18.509	-30.332
-33.86	20.797	0.9235
-39.007	13.026	0.1892
-27.029	7.5213	20.269
-42.435	21.208	11.255
-38.727	23.748	10.44
-29.957	8.9835	-0.173
-26.853	19.897	-16.037
-38.627	-15.344	9.8296
-32.397	0.27342	9.2064
-25.863	19.003	0.3801
-31.881	-19.49	8.9894
-31.594	-5.0062	0.6972
-26.422	19.269	0.4574
-33.777	0.80222	9.3246
-27.651	20.172	-15.996
-33.006	2.5322	-0.5321
-40.495	12.946	22.592
-36.913	16.37	-15.701
-31.819	1.5116	-30.959
-35.823	19.559	-30.315
-24.119	16.065	-1.1875
-25.037	3.9681	20.448
-45.701	24.552	2.2668
-32.902	-22.217	-0.6112
-36.355	18.777	22.854
-31.719	-22.324	-1.7341
-29.863	13.419	28.806
-31.894	-3.7174	22.482
-34.702	20.521	-15.52
-37.508	15.562	-15.734
-31.646	-4.2046	22.72
-33.827	-5.5173	-30.958
-26.581	0.32292	21.137
-35.335	20.885	-15.545
-34.979	-13.097	-30.846
-28.844	14.796	-16.043
-29.297	11.674	-15.682
-28.215	21.077	-30.902
-17.74	0.93632	1.3425
-17.462	19.817	-0.764
-43.828	23.216	1.4428
-20.48	18.973	8.659
-33.87	-13.258	-15.942
-27.649	20.164	-15.998
-43.826	-0.74002	11.727
-33.601	-5.3704	-30.576
-35.106	20.88	-15.516
-32.883	-5.833	-16.004
-18.842	18.514	9.3136
-40.391	24.314	10.891
-33.098	3.0553	1.1694
-31.825	-19.662	9.0218
-34.936	-13.074	-30.829
-24.023	16.021	21.605
-18.987	18.303	-1.5199
-33.069	-21.216	-0.9537
-30.011	12.838	28.61
-30.916	5.2097	-16.168
-31.661	-16.065	22.113
-31.741	4.9724	-30.31
-24.449	13.061	8.6661
-35.15	20.62	-30.585
-27.642	20.156	-15.911
-25.771	6.0767	20.694
-25.564	15.003	8.6194
-31.848	-22.139	-1.7605
-43.78	-5.461	4.3806
-29.491	17.349	29.785
-44.072	0.34852	11.627
-28.16	21.086	-30.955
-32.046	-19.149	8.8218
-33.432	-5.2206	-30.515
-31.721	2.5787	-30.584
-28.12	21.044	-30.913
-34.838	-12.239	-30.9
-38.63	23.481	10.34
-36.952	17.11	22.111
-36.376	15.885	-30.873
-25.51	18.948	0.3429
-31.926	-10.865	29.869
-32.111	-3.433	22.38
-34.941	-12.608	-30.757
-19.34	17.74	-1.4446
-32.107	-21.674	-1.518
-26.949	19.522	0.5261
-25.417	18.938	0.3336
-28.03	21.008	-30.968
-33.892	-5.5376	-31.289
-32.181	-5.6822	0.87
-47.768	11.93	12.029
-31.944	-5.9266	0.7507
-32.205	-5.5424	0.5036
-31.821	-1.4105	-30.052
-34.469	-12.737	-15.769
-28.901	-2.4132	-16.457
-32.429	0.11552	10.913
-25.609	5.5399	20.641
-34.683	21.574	0.8913
-31.832	-5.5857	-15.566
-45.989	6.2111	11.688
-24.685	15.927	21.666
-35.143	19.216	-15.378
-18.5	19.193	8.4416
-30.044	2.1186	-0.1177
-34.532	2.0891	0.028903
-28.145	21.047	-30.913
-32.093	-5.5039	0.7929
-34.956	-12.437	-30.879
-19.908	-1.7504	1.8188
-32.238	-5.5481	0.4377
-28.857	16.777	0.3142
-30.578	6.0355	-15.995
-32.414	-5.9145	0.3687
-29.388	13.288	-15.889
-27.103	19.503	0.5255
-37.617	11.984	-16.394
-33.795	20.718	0.9182
-32.762	-0.31377	9.2227
-35.457	20.654	-30.612
-35.479	20.654	-30.544
-34.247	-12.807	0.7223
-28.204	21.065	-30.832
-20.343	10.476	0.9361
-28.15	21.03	-30.9
-18.11	19.082	-1.5579
-35.154	21.506	0.9129
-32.192	-5.5403	0.529
-32.893	-22.287	-0.5876
-28.988	-2.6705	-16.081
-25.405	14.626	8.6041
-35.471	20.655	-30.543
-35.425	20.66	-30.564
-29.697	3.1462	0.4199
-24.15	14.007	21.615
-43.926	22.194	1.7188
-28.162	-6.1906	28.589
-30.03	12.517	28.545
-30.56	2.3116	-0.2536
-24.938	16.206	21.661
-35.356	21.449	0.9152
-37.448	19.15	22.841
-31.777	-9.5491	29.726
-34.832	-12.245	-30.936
-19.828	19.277	8.9065
-34.002	21.535	0.9262
-31.658	-16.066	22.112
-20.201	18.533	8.5138
-33.406	0.41412	9.1711
-32.959	-14.056	0.5083
-34.935	-12.496	-30.649
-27.961	17.785	0.3288
-20.433	18.59	8.5057
-27.08	19.516	0.4452
-33.958	-20.204	-0.037797
-33.276	-14.326	0.522
-27.018	19.506	0.4291
-19.506	18.966	8.5936
-36.982	15.677	-30.278
-33.998	2.6432	0.8646
-30.347	-1.9405	0.097103
-34.956	-12.39	-30.856
-24.408	0.75172	1.4845
-27.253	-2.7467	27.95
-36.373	15.931	-30.95
-34.867	19.827	0.8346
-22.177	16.035	8.9264
-30.894	-9.7082	29.786
-35.146	20.656	-30.623
-32.877	-5.552	-15.9
-35.556	18.525	-15.387
-32.209	-9.8178	29.788
-31.826	-19.671	9.0256
-31.914	-17.879	21.757
-29.081	1.4963	28.561
-20.527	18.627	8.5123
-37.063	-2.0103	0.4145
-28.096	21.036	-30.941
-34.072	-13.445	-15.689
-22.934	15.925	21.429
-40.621	24.319	10.969
-44.717	2.5261	11.627
-31.629	-2.888	22.317
-32.575	-21.261	-1.1637
-32.787	-20.874	8.1326
-18.814	18.541	9.289
-18.349	17.178	-0.6332
-32.977	-14.051	0.5334
-37.831	19.11	22.912
-39.585	23.295	10.551
-45.493	5.0013	11.725
-34.911	-12.812	-30.749
-31.762	-22.179	-1.1652
-41.386	25.182	1.1079
-36.838	18.944	22.841
-34.735	20.567	-15.515
-45.056	3.7704	11.663
-38.113	21.951	10.265
-18.012	19.113	-1.5736
-38.234	22.072	10.281
-35.417	18.24	22.778
-35.162	20.624	-30.6
-29.584	0.76742	-16.205
-37.574	15.336	-15.778
-30.01	-11.426	29.409
-25.719	19.475	0.4542
-37.614	18.465	22.748
-33.519	-14.217	0.6483
-45.324	-3.2899	4.5633
-37.281	15.99	-15.735
-43.006	23.651	1.309
-35.633	18.257	-15.45
-37.793	19.129	22.9
-26.249	6.9458	20.598
-31.825	-19.644	9.0142
-22.716	10.231	8.1941
-24.905	16.244	21.608
-32.901	-21.239	-0.9843
-34.815	21.469	0.9324
-33.761	20.677	0.9155
-40.258	-11.599	4.0981
-32.025	-10.445	29.869
-29.498	16.779	29.735
-23.542	15.969	21.513
-18.28	19.282	8.4475
-35.16	20.661	-30.623
-28.099	21.041	-30.956
-21.527	7.7488	7.6507
-31.642	-12.052	29.842
-29.509	14.905	29.293
-26.87	19.898	-16.036
-32.979	-14.05	0.537
-28.158	21.081	-30.97
-33.817	-5.5392	-30.984
-37.125	16.106	-15.647
-18.38	19.241	8.444
-28.668	17.101	29.715
-33.359	-14.548	0.6837
-43.205	24.062	1.212
-27.893	11.217	21.149
-32.995	-21.503	-0.8368
-25.236	4.3859	20.482
-31.611	1.6159	-30.869
-31.177	-9.6982	29.732
-28.162	21.026	-30.923
-31.929	-19.055	8.7625
-34.93	-12.43	-30.668
-34.397	-11.399	21.934
-27.15	19.533	0.4442
-34.011	-13.219	-15.9
-29.186	-0.78947	-16.297
-34.048	-13.418	-15.849
-31.285	-5.6046	-15.648
-28.211	2.6628	1.4392
-50.181	19.612	3.9074
-32.874	-5.552	-15.898
-30.175	6.2552	-15.695
-34.952	-12.38	-30.896
-41.086	24.743	1.0769
-27.307	20.028	-15.963
-33.139	-5.6225	-16.228
-40.198	-12.552	10.312
-31.509	-4.4843	22.877
-27.969	20.959	-30.87
-46.815	16.664	12.476
-31.968	5.4235	28.317
-27.506	18.214	0.384
-32.985	-14.049	0.5449
-29.491	17.168	29.782
-34.851	21.565	0.893
-31.211	-4.4304	0.5572
-33.161	-14.254	0.5184
-33.841	20.775	0.922
-33.876	-5.5327	-31.169
-26.995	19.914	-16.022
-37.562	15.714	21.821
-32.975	-5.552	-16.081
-34.186	-13.256	-15.729
-36.9	17.662	22.248
-43.053	25.973	1.7233
-34.956	-12.442	-30.87
-28.407	17.315	0.3189
-49.31	20.79	3.5402
-33.037	-5.5785	-16.239
-25.858	19.336	0.4684
-35.246	-18.936	1.1114
-32.351	-16.128	22.099
-24.947	4.2647	8.061
-34.738	-6.9297	-15.12
-34.915	-12.54	-30.662
-32.113	-16.57	22.239
-31.136	3.048	-0.1244
-34.957	-12.448	-30.858
-37.265	18.006	22.443
-18.746	19.234	8.4911
-34.173	-13.309	-15.747
-33.095	-20.725	8.1517
-41.924	25.247	1.095
-17.98	19.12	-1.5718
-20.174	17.178	8.9993
-27.51	16.083	29.524
-21.254	-1.072	1.6238
-41.059	24.707	1.0731
-31.822	-19.531	8.9669
-32.839	0.41492	9.2705
-35.052	20.927	-15.556
-33.865	-13.255	-15.903
-27.991	10.853	20.976
-21.572	12.359	-0.2241
-40.613	5.3232	21.801
-29.572	14.672	29.211
-34.427	-12.921	-15.739
-35.161	20.645	-30.58
-31.914	-22.022	-1.7112
-33.772	20.69	0.9163
-20.226	11.971	0.7005
-20.688	10.807	0.502
-32.012	-17.606	21.874
-38.865	11.63	0.014703
-34.854	20.73	-15.519
-34.899	-12.933	-30.777
-32.18	-5.5384	0.5527
-31.999	-9.6161	29.725
-28.192	18.004	-16.127
-31.659	10.969	28.579
-32.315	-2.9404	22.119
-35.066	-5.8201	22.019
-30.244	14.51	0.4189
-37.644	12.657	-16.32
-33.817	-5.5249	-30.911
-31.398	-4.7488	0.6372
-33.805	20.731	0.9191
-33.702	21.363	1.0698
-42.438	26.188	1.5136
-33.804	0.91352	9.2492
-23.568	11.68	8.4591
-44.183	22.469	1.8692
-33.874	-13.261	-15.871
-31.488	4.741	28.389
-32.207	-5.5428	0.4987
-30.624	-5.5847	-15.627
-41.075	8.6559	22.109
-27.434	-1.2528	21.545
-34.95	-12.396	-30.953
-30.883	4.56	-16.178
-34.017	-13.459	0.7393
-22.574	12.851	-1.1806
-32.36	10.328	28.823
-33.163	-14.833	21.608
-32.988	-20.962	-0.7962
-32.998	-5.561	-16.163
-31.901	10.74	28.64
-35.279	20.867	-15.537
-43.084	22.497	1.6817
-35.079	20.901	-15.569
-37.689	4.2208	0.2357
-32.874	-5.5521	-15.894
-17.662	18.887	-0.6307
-32.741	-5.8335	-15.857
-33.817	-5.5254	-30.908
-39.032	23.065	10.437
-31.693	-9.5221	29.72
-30.546	3.4957	-16.147
-32.402	-2.7895	22.118
-36.68	18.859	22.847
-32.359	1.9912	-0.6965
-34.957	-12.446	-30.861
-37.53	19.151	22.858
-22.249	13.417	0.1209
-26.401	19.491	0.4953
-29.461	-5.405	-15.62
-27.069	19.929	-16.011
-17.976	18.092	-0.672
-26.861	20.148	-15.883
-33.8	-5.5439	-30.93
-30.444	13.906	0.2977
-28.219	21.07	-30.915
-29.623	2.2943	9.9083
-32.535	-5.8154	0.226
-33.87	20.81	0.9244
-17.9	19.139	-1.5748
-29.284	17.389	29.757
-32.908	-22.154	-0.6325
-25.422	15.528	8.6104
-35.147	20.614	-30.607
-34.745	20.586	-15.514
-37.913	5.1599	0.1981
-35.423	21.536	0.8873
-44.214	22.257	1.7099
-22.28	5.725	7.5078
-33.768	21.294	1.0765
-35.579	18.343	22.798
-30.673	-3.0768	0.3167
-47.545	14.15	12.325
-35.969	19.011	-30.272
-29.497	4.2128	0.028403
-30.956	4.353	28.47
-23.942	14.561	21.766
-28.741	0.67742	28.401
-35.479	18.279	22.785
-22.517	16.043	8.9556
-27.447	15.981	29.491
-30.203	-0.18384	-0.2224
-33.889	-5.5302	-31.252
-33.368	-14.527	0.6623
-32.704	7.9903	28.664
-24.64	16.197	21.604
-28.201	-2.6399	21.968
-29.167	2.8059	0.4161
-34.689	-11.961	-15.848
-33.841	-13.247	-15.963
-40.082	24.07	10.885
-34.712	20.536	-15.519
-25.486	18.945	0.3405
-33.141	-5.6341	-16.225
-41.286	21.338	10.675
-50.997	4.4797	4.9643
-38.804	10.698	-0.072497
-29.799	1.3756	-16.184
-29.121	10.26	-15.444
-31.975	-5.3585	0.7765
-40.61	24.11	10.97
-32.587	7.5067	28.572
-28.158	21.082	-30.97
-28.102	21.098	-30.922
-32.233	-16.466	22.241
-35.128	20.635	-30.621
-32.465	-16.29	22.238
-39.675	23.968	10.751
-20.551	19.032	8.6426
-25.662	19.421	0.4895
-22.524	15.978	21.374
-35.448	18.26	22.782
-22.992	5.1795	7.6143
-37.257	-0.54009	22.563
-36.499	-2.3116	22.508
-34.464	1.9925	-0.1787
-24.827	16.221	21.6
-30.305	2.9915	0.087603
-24.325	16.08	21.596
-35.262	21.476	0.9181
-36.422	16.017	-30.795
-33.955	-13.329	-15.899
-32.19	-5.5399	0.5337
-33.755	20.669	0.9149
-33.137	-5.643	-16.237
-31.418	1.6619	-30.713
-32.234	-2.9903	22.138
-27.137	19.523	0.5312
-18.841	18.829	9.2716
-41.755	26.055	1.1446
-27.451	15.987	29.493
-38.645	23.288	10.295
-30.38	12.022	28.418
-32.073	-15.99	22.042
-28.821	-3.6373	-16.03
-41.798	24.268	1.0045
-46.252	-2.0794	4.6808
-33.884	21.509	0.9599
-37.458	15.457	-29.896
-29.352	15.15	29.341
-32.364	-5.9992	0.3524
-40.12	23.957	10.697
-44.193	22.228	1.8069
-34.058	-13.464	-15.783
-30.393	14.136	0.3116
-29.616	2.6782	0.1986
-32.913	-22.109	-0.6477
-22.807	14.281	-0.8594
-28.158	21.082	-30.97
-31.89	-22.082	-1.0605
-35.471	21.487	0.9066
-27.409	20.074	-15.949
-28.007	21.063	-30.93
-36.943	17.525	0.7241
-32.447	-21.728	-0.7617
-38.373	0.45912	-15.858
-17.378	19.572	-0.6195
-30.132	-4.9441	23.029
-32.201	-5.5416	0.5124
-27.663	16.38	29.609
-33.894	-5.5482	-31.246
-37.896	19.093	22.904
-24.321	15.545	21.623
-36.523	16.926	-15.697
-20.133	16.418	-1.082
-36.459	16.054	-30.76
-24.723	16.215	21.604
-28.157	21.08	-30.97
-32.639	-2.988	22.188
-32.956	-21.733	-0.7716
-23.222	14.928	-1.047
-32.052	-6.182	0.4806
-27.571	19.651	-15.965
-33.815	-5.5262	-30.903
-26.847	19.893	-16.038
-32.357	-5.611	-15.59
-34.379	21.273	0.92
-24.806	3.1988	20.379
-21.909	16.029	8.9434
-29.366	17.407	29.77
-46.516	7.3854	11.715
-34.953	-12.403	-30.944
-33.009	-14.139	0.4597
-33.402	0.84162	9.217
-34.698	20.772	-15.414
-32.416	6.4286	28.38
-37.628	11.272	-16.48
-32.532	10.019	28.813
-31.767	3.3561	1.4472
-30.645	-9.6776	29.815
-35.713	-4.0831	22.232
-29.393	7.2324	-15.317
-32.97	-14.053	0.5231
-32.955	-5.796	-16.064
-45.824	18.55	12.514
-28.157	21.036	-30.904
-32.185	-10.017	29.831
-30.072	14.851	0.4507
-34.957	-12.443	-30.866
-22.71	15.954	21.399
-31.897	2.2181	-30.735
-37.763	9.6565	-16.513
-33.33	-14.398	0.5693
-34.843	20.272	-15.317
-32.873	-5.5524	-15.895
-28.826	-7.9831	29.043
-29.836	-10.829	29.407
-32.811	-5.8661	-15.961
-34.94	-12.377	-30.93
-28.356	17.096	-16.136
-42.813	24.008	1.0942
-29.338	6.0512	0.070003
-33.361	-4.9915	-30.53
-34.013	-13.359	-15.896
-18.379	19.005	-1.5236
-35.467	20.656	-30.542
-19.336	17.412	-1.0576
-34.933	-12.429	-30.689
-34.369	-20.078	8.3423
