level_0	level_1	frames = 180 markers = 13 Hz = 30
36.455	-3.9816	32.119
37.691	2.5158	25.161
37.796	-10.203	24.535
36.362	4.7848	12.061
38.376	-13.539	11.62
35.295	6.5271	1.7954
38.818	-16.111	1.4921
37.415	0.02956	3.1531
37.864	-8.5344	3.1589
38.576	2.4486	-12.911
38.549	-7.6887	-13.093
39.683	4.7187	-28.104
39.191	-6.8602	-28.464
36.457	-3.9777	32.119
37.689	2.5182	25.159
37.803	-10.2	24.533
36.349	4.7897	12.06
38.392	-13.53	11.617
35.275	6.5339	1.7963
38.842	-16.098	1.4886
37.41	0.033435	3.1527
37.865	-8.5303	3.1587
38.442	2.534	-12.908
38.393	-7.6738	-13.098
39.68	4.7187	-28.103
39.19	-6.8603	-28.463
36.459	-3.9725	32.119
37.685	2.5213	25.157
37.812	-10.197	24.532
36.332	4.7951	12.06
38.413	-13.518	11.614
35.246	6.5412	1.7976
38.87	-16.079	1.4835
37.404	0.038385	3.1521
37.865	-8.5251	3.1584
38.438	2.5364	-12.909
38.392	-7.6712	-13.099
39.678	4.7185	-28.104
39.19	-6.8602	-28.463
36.461	-3.968	32.118
37.682	2.524	25.155
37.821	-10.194	24.53
36.316	4.7999	12.06
38.431	-13.508	11.61
35.22	6.5477	1.7987
38.895	-16.062	1.4793
37.399	0.042754	3.1516
37.866	-8.5204	3.1582
38.434	2.5388	-12.91
38.393	-7.669	-13.099
39.675	4.7184	-28.105
39.19	-6.8602	-28.464
36.462	-3.964	32.118
37.68	2.5263	25.153
37.828	-10.191	24.528
36.302	4.8042	12.06
38.447	-13.499	11.608
35.196	6.5525	1.7997
38.918	-16.048	1.4755
37.395	0.046608	3.1511
37.866	-8.5163	3.158
38.43	2.5413	-12.91
38.395	-7.6671	-13.099
39.674	4.7183	-28.106
39.19	-6.8602	-28.464
36.464	-3.9602	32.118
37.677	2.5286	25.152
37.835	-10.188	24.527
36.289	4.8082	12.06
38.462	-13.49	11.605
35.176	6.5588	1.8007
38.94	-16.035	1.4721
37.391	0.050272	3.1507
37.866	-8.5124	3.1578
38.428	2.5424	-12.911
38.395	-7.6652	-13.1
39.672	4.718	-28.107
39.19	-6.8601	-28.465
36.465	-3.9564	32.118
37.675	2.5309	25.15
37.842	-10.186	24.526
36.276	4.8123	12.06
38.477	-13.481	11.602
35.155	6.5642	1.8018
38.962	-16.021	1.4686
37.386	0.053958	3.1503
37.867	-8.5084	3.1575
38.425	2.5441	-12.912
38.395	-7.6633	-13.1
39.671	4.7178	-28.108
39.191	-6.8601	-28.465
36.467	-3.9534	32.117
37.673	2.5327	25.149
37.847	-10.184	24.524
36.266	4.8154	12.059
38.489	-13.474	11.6
35.137	6.5675	1.8025
38.977	-16.01	1.4656
37.383	0.056813	3.1499
37.867	-8.5054	3.1574
38.422	2.5454	-12.912
38.395	-7.6618	-13.1
39.669	4.7178	-28.108
39.191	-6.8601	-28.466
36.467	-3.9517	32.117
37.672	2.5336	25.148
37.85	-10.183	24.524
36.26	4.8171	12.059
38.495	-13.47	11.599
35.128	6.5698	1.8029
38.988	-16.005	1.4643
37.381	0.058384	3.1497
37.867	-8.5037	3.1573
