		frames = 130 markers = 13 Hz = 30
-29.497	3.6827	1.3017
-32.034	-15.332	1.2345
-31.481	14.225	-15.298
-26.387	-20.745	-8.0572
-32.682	1.9951	10.123
-28.404	13.808	9.1561
-33.205	14.859	3.0294
-33.789	7.2708	3.2014
-31.439	23.053	0.69389
-35.14	13.307	-29.75
-21.979	-2.8027	5.6664
-31.434	5.351	-4.7079
-38.552	-9.6683	-11.664
-32.074	14.278	-15.161
-25.186	-15.236	-15.645
-31.114	14.001	-15.364
-26.821	-5.766	-29.38
-35.417	1.3941	1.2462
-30.81	-6.5601	10.133
-27.461	-14.928	-30.41
-28.202	5.2084	2.8551
-32.219	14.232	-15.134
-38.463	-20.145	9.4907
-34.74	8.2696	-14.946
-27.223	-15.371	-29.26
-38.389	-9.661	-11.725
-26.715	-20.564	-9.3462
-26.713	-6.0355	-29.558
-13.014	-9.3618	10.066
-31.693	-14.806	1.3894
-26.584	21.868	9.0962
-37.804	-16.598	-11.127
-32.515	-25.43	-3.3219
-30.607	11.471	2.596
-31.778	6.4753	-15.219
-31.552	4.7775	-0.80791
-33.329	14.163	3.1303
-25.746	11.863	0.88409
-25.436	4.6039	29.122
-25.602	-20.351	-9.7332
-23.355	-2.7726	4.1485
-37.327	-17.156	-9.9945
-33.235	1.7193	10.471
-21.275	-10.279	7.8884
-29.914	-1.7808	-8.3615
-29.344	19.359	23.631
-30.139	11.982	-15.69
-35.145	13.27	-29.744
-26.363	-20.465	-9.5084
-32.496	13.979	-15.089
-27.453	-11.075	12.693
-32.426	1.9604	24.1
-26.823	-5.6402	-29.273
-39.502	-12.121	16.251
-35.204	13.143	-29.733
-35.073	-10.061	-0.40321
-31.182	-13.55	1.4344
-29.068	-3.5155	23.323
-26.652	6.4563	29.585
-34.119	7.605	3.2081
-27.117	-20.486	-9.2057
-12.678	-10.189	18.361
-33.99	0.47848	10.426
-27.465	-15.242	-29.7
-23.718	-19.858	-5.6566
-20.975	-19.301	-16.373
-33.323	20.628	10.042
-37.908	-16.719	-10.887
-38.261	-9.7578	-11.689
-36.199	-12.276	16.042
-28.869	-27.308	-4.3267
-27.908	-4.6984	-29.498
-32.783	15.042	2.9636
-34.696	8.0909	-14.962
-28.492	17.899	22.765
-37.983	-16.603	-11.193
-31.256	13.327	2.7492
-38.321	-9.7127	-11.731
-32.414	-11.686	15.098
-32.961	19.399	23.719
-33.324	10.956	31.552
-25.273	-18.223	-1.2233
-27.54	-15.135	-30.351
-33.355	10.959	31.664
-38.388	-9.5987	-11.763
-28.873	18.653	23.157
-27.025	-20.549	-9.2417
-31.799	10.997	31.24
-35.197	8.6573	-29.866
-37.541	-17.007	-10.196
-34.612	8.3494	3.2599
-27.446	-15.445	-29.514
-20.974	-19.253	-16.42
-34.851	-17.613	-2.5858
-31.463	4.9285	-1.5987
-26.758	-5.9115	-29.542
-35.191	13.115	-29.754
-35.49	1.8264	1.1851
-33.791	7.0081	3.1113
-34.485	7.8432	-14.964
-32.699	13.687	-15.067
-23.944	-23.468	4.9
-32.515	13.81	-15.134
-34.818	8.3556	-14.939
-31.749	1.2076	1.09
-30.853	-8.9824	1.3999
-34.385	2.823	10.339
-27.235	13.802	21.567
-20.847	-15.418	19.707
-32.958	22.493	1.1548
-26.018	-7.2936	-28.649
-30.681	19.792	23.662
-33.843	2.3915	10.385
-27.868	7.8655	30.117
-31.901	11.03	31.275
-33.427	-2.9792	1.7634
-33.568	6.717	3.1884
-35.283	13.933	-29.731
-28.475	-2.0154	-14.447
-32.567	13.883	-15.05
-12.569	-10.027	17.321
-28.607	-2.0073	-7.2575
-32.749	13.825	-15.042
-33.745	7.2382	3.195
-21.227	-3.0333	13.742
-35.869	-17.593	-6.5801
-28.161	22.534	0.91229
-39.589	-12.43	16.287
-32.461	0.44453	1.4295
-32.783	13.78	-15.04
-23.678	-11.895	21.25
-23.903	-17.876	-15.925
-26.131	-2.3103	-13.915
-32.442	22.426	0.60359
-34.692	1.7616	10.268
-21.793	-2.6253	-15.852
-26.461	11.286	21.425
-32.022	14.284	-15.169
-35.279	-17.64	-4.2464
-32.185	19.833	23.548
-34.286	8.1143	3.1223
-37.936	-16.777	-10.949
-23.469	20.159	1.578
-32.396	15.009	2.9228
-28.699	-1.63	-4.2057
-33.321	10.92	31.532
-27.094	-3.6503	5.5376
-29.699	23.018	9.8808
-27.799	-15.489	-30.234
-13.394	-9.2341	7.729
-28.372	17.59	22.648
-37.937	-16.581	-11.16
-33.164	11.319	31.656
-39.746	-12.285	16.279
-25.284	8.1717	21.025
-28.056	-4.7194	-29.591
-29.975	-7.8197	0.96689
-14.506	-9.2805	4.2392
-34.989	5.0783	24.123
-30.946	9.2551	-15.944
-33.327	14.205	3.1226
-33.999	-1.6386	1.6144
-30.292	11.241	-15.772
-18.306	-17.609	6.9066
-32.957	15.031	2.9836
-34.399	7.8539	3.2259
-31.553	-3.8217	1.8687
-35.289	8.5641	-29.868
-38.462	-20.07	9.5194
-26.871	-17.887	8.0689
-27.286	-14.274	-29.382
-34.008	-8.6354	1.3866
-34.757	7.4262	-14.924
-27.523	-20.324	-8.8289
-35.206	4.9316	24.304
-38.033	-16.548	-11.075
-27.48	-14.969	-30.362
-32.867	22.282	1.0701
-25.815	-20.509	-8.2591
-29.232	-2.8787	-28.56
-34.187	7.2542	-15.066
-34.162	3.9324	-3.8769
-31.763	1.1404	1.1267
-25.588	-3.8481	-14.889
-26.714	21.174	8.7117
-31.613	3.7019	5.2495
-20.533	-17.598	4.1642
-33.661	7.2759	3.1728
-32.195	0.314	1.2674
-21.39	-2.9498	14.77
-34.024	3.408	24.147
-33.596	7.1897	3.1782
-31.971	22.756	0.62879
-28.503	-1.9987	-8.111
-33.8	4.1527	-4.1712
-35.207	13.215	-29.75
-38.29	-9.6555	-11.82
-22.3	-2.8044	5.044
-29.828	23.215	0.87329
-34.059	3.4293	24.175
-27.45	-14.881	-30.426
-31.698	10.979	31.213
-22.858	-19.426	-3.597
-22.843	-17.999	-16.228
-22.207	18.714	1.5099
-31.739	19.914	23.565
-36.722	-17.414	-9.0333
-29.921	-9.9079	9.6181
-30.12	-27.066	-4.0222
-35.304	8.5113	-29.924
-33.022	7.7091	-29.18
-28.53	3.3498	2.8844
-28.101	-5.1415	22.895
-30.585	9.687	30.853
-23.046	-19.651	-2.9394
-21.494	-17.784	-16.607
-32.652	2.0073	10.104
-31.832	1.0514	1.0679
-35.212	13.148	-29.745
-22.598	16.99	0.78969
-32.511	-25.178	-2.9547
-24.18	-20.036	-7.9927
-27.971	-7.0475	-14.735
-26.81	-5.7587	-29.348
-33.306	11.088	31.664
-33.675	2.9958	24.351
-25.107	21.091	1.191
-28.863	0.26646	1.2898
-29.975	23.052	9.8958
-27.629	22.302	0.91409
-29.546	-2.2424	-8.9982
-35.19	13.107	-29.753
-26.87	-5.7803	-29.448
-29.843	0.26579	1.1936
-32.356	14.098	-15.122
-34.413	-17.504	-1.0979
-24.488	4.7287	20.636
-35.663	8.3813	-29.814
-26.255	-27.6	-4.5048
-35.446	1.6617	1.2096
-35.348	8.4699	-29.863
-28.806	0.85868	1.8689
-33.725	2.2874	10.389
-17.943	-17.666	16.413
-38.334	-19.966	9.5265
-35.324	1.2382	1.2615
-33.612	7.2178	3.1798
-32.727	1.968	10.166
-22.313	19.028	1.6109
-35.271	13.959	-29.716
-32.782	13.622	-15.028
-35.51	1.7814	1.2169
-34.223	7.9876	3.1029
-32.383	11.353	31.488
-22.884	-1.1093	-15.336
-22.771	-2.6339	-15.591
-32.791	13.791	-15.031
-35.128	13.263	-29.733
-33.291	1.7737	10.481
-30.423	-11.465	1.3621
-30.24	23.093	9.9119
-33.305	14.296	3.1203
-33.229	11.245	31.654
-32.76	-16.202	0.73859
-27.78	-15.381	-30.104
-33.362	10.956	31.658
-31.394	5.4766	-15.006
-28.991	18.838	23.244
-38.51	-9.8798	-11.596
-24.224	-20.077	-9.0641
-22.578	-1.1055	20.511
-26.841	-5.7629	-29.399
-21.819	-2.7285	7.1432
-33.517	4.2536	-4.2241
-35.218	13.186	-29.72
