level_0	level_1	frames = 147 markers = 13 Hz = 30
33.281	-1.5433	-29.077762883307166
34.116	-7.4512	-21.831762883307167
34.765	5.8493	-21.637762883307165
33.12	-8.8979	-8.787062883307165
33.356	7.95	-8.731462883307165
32.491	-9.7594	-0.7216628833071645
32.49	9.2173	-0.7508628833071647
35.335	-3.4445	-1.9779928833071647
35.865	4.1659	-1.9828928833071646
36.17	-3.5223	14.544237116692834
36.501	4.3727	14.549237116692833
36.887	-3.5793	28.407237116692833
37.024	4.5222	28.426237116692835
33.296	-1.5546	-29.077762883307166
34.154	-7.4584	-21.828762883307167
34.777	5.8446	-21.645762883307167
33.096	-8.8974	-8.788162883307166
33.338	7.9658	-8.745162883307165
32.429	-9.7542	-0.7252628833071646
32.453	9.2452	-0.7684628833071645
35.323	-3.441	-1.9746928833071646
35.841	4.1702	-1.9835928833071645
36.022	-3.5347	14.554237116692832
36.343	4.3944	14.552237116692833
36.892	-3.5848	28.408237116692835
37.02	4.5134	28.423237116692835
33.331	-1.5754	-29.067762883307168
34.171	-7.4629	-21.820762883307168
34.778	5.842	-21.647762883307166
33.059	-8.8911	-8.783862883307165
33.334	7.9782	-8.750462883307165
32.358	-9.7413	-0.7231628833071646
32.445	9.2668	-0.7755628833071646
35.322	-3.4272	-1.9624928833071644
35.827	4.1849	-1.9800928833071647
36.02	-3.5297	14.566237116692832
36.336	4.4054	14.555237116692833
36.891	-3.5865	28.420237116692835
37.021	4.5213	28.426237116692835
33.393	-1.6003	-29.059762883307165
34.182	-7.4672	-21.811762883307168
34.791	5.8378	-21.648762883307167
33.024	-8.8794	-8.777162883307165
33.421	7.9287	-8.736362883307166
32.295	-9.7195	-0.7179628833071645
32.58	9.1891	-0.7520628833071645
35.315	-3.4291	-1.9602928833071647
35.823	4.1828	-1.9718928833071647
36.018	-3.5302	14.568237116692835
36.333	4.4014	14.563237116692832
36.892	-3.5861	28.422237116692834
37.02	4.5157	28.434237116692834
33.423	-1.6205	-29.053762883307165
34.186	-7.4738	-21.799762883307167
34.806	5.8309	-21.651762883307168
32.99	-8.8673	-8.766362883307163
33.365	7.9889	-8.758362883307164
32.239	-9.696	-0.7080628833071645
32.479	9.2917	-0.7855628833071646
35.317	-3.4257	-1.9601928833071645
35.819	4.1865	-1.9693928833071646
36.019	-3.5314	14.568237116692835
36.332	4.4072	14.566237116692832
36.89	-3.5912	28.422237116692834
37.021	4.5235	28.437237116692835
33.428	-1.6407	-29.053762883307165
34.184	-7.4818	-21.799762883307167
34.819	5.822	-21.654762883307168
32.968	-8.8513	-8.765462883307165
33.394	7.9809	-8.759262883307166
32.204	-9.6649	-0.7068628833071646
32.518	9.2835	-0.7854628833071646
35.312	-3.431	-1.9650928833071646
35.822	4.1809	-1.9662928833071645
36.018	-3.5337	14.563237116692832
36.334	4.4036	14.569237116692833
36.892	-3.5912	28.417237116692835
37.018	4.5223	28.440237116692835
33.423	-1.6661	-29.051762883307166
34.178	-7.4809	-21.787762883307167
34.832	5.819	-21.655762883307165
32.959	-8.8375	-8.752962883307164
33.433	7.9711	-8.756562883307165
32.194	-9.6431	-0.6936628833071645
32.573	9.2702	-0.7803628833071645
35.303	-3.4391	-1.9650928833071646
35.824	4.172	-1.9667928833071646
36.013	-3.5356	14.563237116692832
36.339	4.4144	14.568237116692835
36.893	-3.5879	28.416237116692834
37.028	4.5488	28.439237116692833
33.425	-1.6726	-29.057762883307166
34.173	-7.479	-21.792762883307166
34.865	5.8183	-21.661762883307166
33.035	-8.7354	-8.740162883307164
33.468	7.96	-8.760462883307165
32.32	-9.4796	-0.6702628833071647
32.61	9.2526	-0.7830628833071647
35.292	-3.4476	-1.9686928833071646
35.823	4.1628	-1.9686928833071646
36.008	-3.5433	14.559237116692834
36.336	4.4076	14.566237116692832
36.895	-3.5949	28.412237116692832
37.022	4.5444	28.437237116692835
33.408	-1.7118	-29.045762883307166
34.146	-7.506	-21.767762883307167
34.877	5.7861	-21.649762883307165
33.086	-8.7649	-8.709162883307165
33.489	7.9465	-8.750862883307164
32.419	-9.5106	-0.6353628833071645
32.636	9.2507	-0.7748628833071647
35.282	-3.4528	-1.9650928833071646
35.825	4.1568	-1.9659928833071647
36.003	-3.5468	14.562237116692835
36.335	4.4072	14.569237116692833
36.892	-3.5971	28.415237116692833
37.022	4.5478	28.439237116692833
33.383	-1.7496	-29.040762883307167
34.13	-7.526	-21.767762883307167
34.905	5.7636	-21.645762883307167
33.125	-8.7916	-8.705262883307164
33.513	7.9311	-8.747962883307164
32.492	-9.5415	-0.6291628833071645
32.656	9.2396	-0.7729628833071647
35.273	-3.4533	-1.9619928833071647
35.829	4.1553	-1.9708928833071646
35.996	-3.5448	14.565237116692835
36.336	4.4028	14.564237116692833
36.891	-3.5929	28.418237116692833
37.023	4.5407	28.435237116692832
33.356	-1.7752	-29.042762883307166
34.121	-7.541	-21.762762883307165
34.931	5.7458	-21.650762883307166
33.119	-8.8469	-8.704162883307164
33.534	7.9255	-8.755762883307165
32.488	-9.6216	-0.6302628833071646
32.674	9.2416	-0.7822628833071645
35.259	-3.4627	-1.9621928833071647
35.827	4.145	-1.9725928833071644
35.995	-3.5516	14.565237116692835
36.335	4.3982	14.562237116692835
36.896	-3.598	28.417237116692835
37.019	4.541	28.433237116692833
33.335	-1.7993	-29.045762883307166
34.108	-7.5561	-21.760762883307166
34.961	5.7278	-21.658762883307165
33.104	-8.8581	-8.701962883307164
33.559	7.9193	-8.766662883307164
32.472	-9.6303	-0.6280628833071646
32.695	9.2421	-0.7947628833071645
