		frames = 178 markers = 13 Hz = 30
35.131	5.6943	-31.962
34.827	-3.1527	-31.644
30.557	12.819	20.208
32.874	17.858	6.2354
35.167	5.6757	-31.886
34.828	-3.1433	-31.634
34.814	5.177	-16.12
32.519	13.032	7.0297
37.027	8.301	1.5379
38.997	0.61229	1.2546
34.794	1.9551	29.658
38.18	0.94129	1.4856
24.49	4.6307	25.196
34.692	-3.1657	-31.629
28.068	-1.6254	19.415
34.81	-3.172	-31.404
32.212	-11.316	9.2059
34.894	6.5295	-16.341
37.543	0.31849	1.6914
37.739	0.55069	1.6186
28.548	12.793	18.044
34.602	5.0879	-16.245
34.721	-3.7097	1.6225
28.257	-18.294	4.901
27.811	12.8	18.272
34.773	-2.2349	-16.047
29.027	-16.67	2.6552
35.47	6.4171	-16.105
32.597	-1.3331	22.601
27.936	-1.5481	18.355
31.802	8.8272	21.337
36.245	7.4171	-16.261
28.072	12.497	18.738
34.899	5.256	-16.124
31.979	-10.963	9.2441
34.542	-3.6285	-16.239
28.372	-17.293	3.3957
32.296	-9.468	-0.14918
34.73	-3.1473	-31.613
28.784	-2.4795	19.852
34.59	5.087	-16.241
32.153	14.176	7.3513
32.955	-9.8454	11.146
36.193	6.9918	1.6865
36.66	7.2353	-16.458
35.344	7.2557	21.668
34.039	-5.9528	22.056
30.572	16.379	-2.2528
35.397	-0.74628	1.6729
34.546	5.8373	-16.499
28.276	12.716	17.678
36.366	7.1746	-16.427
37.591	8.9675	1.3572
28.498	-17.148	4.7318
38.916	0.72799	1.2805
34.064	-6.0358	22.048
32.853	17.874	6.192
35.936	-1.5558	-15.911
32.943	17.778	6.3268
31.457	12.748	20.593
35.027	5.6074	-31.794
29.087	-16.686	2.6428
31.509	9.0776	21.078
31.456	16.483	-3.0264
34.762	5.1361	-16.149
34.889	4.8078	1.6513
27.859	-1.4772	18.478
35.143	5.7135	-31.732
33.464	-1.7192	22.657
34.981	5.5639	-31.702
28.476	12.224	19.252
35.136	5.7305	-31.691
34.851	-3.101	-31.455
39.083	0.57619	1.2653
34.72	-3.1366	-31.645
28.742	-2.3832	19.855
27.855	-1.5077	18.426
35.169	5.6933	-31.842
34.696	-3.0937	-31.677
27.666	-1.2974	18.58
29.057	-16.363	3.018
34.649	-3.1864	-32.034
27.937	12.518	18.564
34.477	4.6292	1.5334
36.551	7.3101	-16.41
30.141	10.209	20.637
27.985	12.528	18.599
29.009	-16.684	2.6533
34.81	-3.2295	-31.372
35.011	5.5765	-32.128
35.551	-3.7019	21.991
27.666	6.5079	25.604
34.826	-3.1436	-31.65
35.231	7.713	1.4579
35.151	5.721	-31.723
34.645	-3.7013	1.5693
34.743	1.7704	29.689
35.43	6.2305	-16.058
34.691	-3.1658	-31.778
