		frames = 100 markers = 13 Hz = 30
-28.138	1.4299	27.388
-27.349	-3.8397	-15.682
-31.571	-7.8434	-2.8261
-31.714	-3.2902	-17.684
-21.349	-4.8162	-18.52
-24.471	4.2571	-4.9839
-33.617	-2.1111	-32.526
-26.817	-3.7452	-32.551
-18.252	0.93903	24.586
-26.328	-4.0123	-31.954
-14.465	16.567	11.227
-30.103	13.83	-2.7316
-20.947	-6.1401	18.144
-20.911	7.6727	19.511
-26.305	6.7924	-32.195
-33.493	-2.18	-32.208
-30.995	-4.1296	19.049
-26.057	-3.506	-26.383
-20.572	7.3344	17.538
-24.313	4.2373	-4.6489
-33.621	-2.125	-32.528
-24.351	4.0296	-6.9527
-33.075	10.524	19.315
-30.713	5.0594	-1.6183
-30.114	5.9706	-31.987
-32.758	-2.0913	-17.81
-24.087	-13.606	6.2915
-28.781	-4.3417	-18.008
-26.192	10.722	10.589
-31.657	6.4962	-1.5354
-16.541	6.7197	-20.737
-25.018	3.5555	-5.6846
-33.81	12.594	6.9697
-25.241	-10.475	9.7149
-25.646	5.3763	-11.142
-25.501	-14.333	11.033
-26.259	6.7096	-32.191
-16.545	6.7231	-20.735
-28.838	12.631	-1.2925
-15.244	-13.515	14.661
-25.796	4.4419	5.727
-21.057	-4.9735	-18.681
-32.98	-6.5632	6.8545
-25.5	-4.7587	-3.9234
-30.975	-8.5243	-3.1511
-33.671	-2.1173	-32.609
-24.871	-4.3284	-5.7311
-21.327	12.001	13.212
-31.784	-3.023	19.155
-24.977	6.7383	-27.446
-27.319	15.883	8.065
-26.224	6.7624	-32.099
-32.808	7.3799	-17.879
-26.562	-3.8442	-31.931
-26.511	-4.0854	-32.313
-31.545	-3.5422	19.079
-25.78	7.0748	21.994
-22.072	5.8622	-17.978
-25.42	-4.5108	-6.9652
-25.646	-4.219	4.7017
-27.416	-4.7509	-18.343
-23.15	4.3414	-1.304
-25.029	-3.8694	-17.679
-21.991	11.41	-2.1287
-33.757	12.681	6.3675
-31.144	-2.9044	-1.5436
-22.8	17.544	7.4833
-24.663	-11.469	7.9929
-33.32	-7.8347	7.0705
-33.083	7.7924	-17.9
-14.77	-15.893	15.074
-26.144	-10.549	5.6122
-30.768	4.8365	-1.7037
-18.169	14.07	1.656
-36.089	11.091	10.628
-34.116	-2.2563	-32.521
-17.399	-11.246	11.358
-31.748	6.5262	-1.5727
-30.888	3.336	27.56
-26.797	-3.7985	-32.456
-22.742	0.48387	34.658
-19.705	5.8565	-18.995
-29.108	2.0299	27.55
-26.414	5.2709	-10.772
-35.404	-10.639	9.7894
-32.54	7.29	-1.6125
-33.698	-2.1272	-32.632
-25.998	6.2433	-25.92
-31.651	-2.1747	-1.4937
-31.605	-8.4948	-3.3837
-21.817	-5.6231	17.353
-31.464	-3.6758	19.1
-26.278	6.6847	-32.228
-26.31	-4.1094	-31.962
-19.436	1.6372	23.386
-35.25	-10.1	9.1386
-25.075	-4.199	0.83756
-13.315	-17.688	11.46
-33.67	-2.1801	-32.608
-30.629	-4.769	-4.3988
-21.941	-17.859	6.1018
-33.536	12.26	6.4375
-20.195	-6.8847	13.421
-17.707	6.7037	-19.879
-31.17	5.6984	-1.6451
-29.147	13.575	-2.3017
-17.105	14.535	2.5208
-34.119	-2.2371	-32.564
-30.973	4.0577	-2.7424
-19.868	-6.7467	-19.343
-23.627	-8.9801	6.4071
-34.11	-2.2613	-32.491
-32.549	7.1919	-17.773
-25.975	-6.7455	17.984
-24.691	5.6858	-18.135
-21.178	0.72776	32.785
-30.431	-4.4875	-1.3946
-31.892	-2.0521	-1.5149
-26.719	-4.6693	-31.93
-31.801	-2.0544	19.089
-33.595	-2.1651	-32.429
-34.752	-9.6127	8.3075
-23.802	-14.601	5.8382
-33.647	12.302	6.3742
-33.827	13.426	-3.5981
-13.725	-16.508	17.58
-31.064	12.851	5.3098
-28.006	-9.8221	0.074456
-20.768	-13.193	-0.97444
-26.307	5.2381	-10.368
-31.107	-3.9914	19.065
-23.143	-3.7362	-1.6588
-24.571	-12.774	7.0268
-30.638	4.6104	27.523
-29.661	7.8685	19.053
-33.847	8.0282	-32.616
-23.573	-11.592	-2.9786
-26.338	-4.1386	-31.96
-32.1	6.4346	-17.821
-32.039	-8.1354	-3.3815
-22.275	-19.247	21.681
-33.931	-2.8915	-31.818
-22.513	7.5906	13.81
-20.098	-5.4628	-19.034
-25.37	10.711	8.1615
-16.971	-11.605	12.667
-14.096	-17.589	6.0274
-24.5	-6.3002	13.113
-33.738	8.1134	-32.472
-24.939	-3.8951	-17.76
-19.892	5.8689	-18.917
-33.609	13.813	-3.8171
-30.661	10.53	6.4308
-27.28	7.212	18.701
-24.627	-11.063	8.1478
-31.998	-8.2034	-3.4104
-30.766	8.7359	4.5762
-22.946	4.9505	-1.9672
-26.773	-4.1687	-32.321
-30.719	4.1743	27.547
-33.852	7.9481	-32.593
-33.284	-1.8957	-31.951
-36.462	10.716	11.971
-32.978	-6.3141	6.7527
-17.883	0.79008	24.375
-32.492	-6.7768	6.6153
-30.389	-4.3507	-1.4936
-25.312	-4.6589	-19.779
-26.163	6.7335	-32.043
-26.468	5.9193	-17.096
-26.476	-4.1165	-32.229
-19.422	-5.8751	-19.673
-19.312	6.2716	-19.051
-33.282	7.982	-32.048
-18.303	-10.786	9.7655
