level_0	level_1	frames = 108 markers = 13 Hz = 30
46.105	-0.28186	30.085
47.121	6.4264	22.737
46.444	-6.6178	22.686
48.197	9.1695	9.3596
45.829	-10.043	9.4477
46.153	10.127	-0.13568
45.384	-12.45	0.009017
46.328	2.6548	1.1909
47.003	-5.8411	1.1958
47.195	2.7301	-15.219
47.464	-5.6332	-15.231
47.985	2.7889	-29.9
47.863	-5.4214	-29.934
46.15	-0.28976	30.091
47.163	6.3987	22.731
46.405	-6.639	22.701
47.633	8.919	9.2746
45.816	-10.052	9.458
46.582	10.152	-0.34978
45.392	-12.449	0.015717
46.35	2.6657	1.1925
47.012	-5.8312	1.1915
47.06	2.7456	-15.225
47.316	-5.648	-15.239
47.994	2.7929	-29.898
47.86	-5.4249	-29.937
46.181	-0.31923	30.104
47.219	6.3512	22.735
46.372	-6.6803	22.729
47.719	8.8182	9.2696
45.793	-10.066	9.479
46.942	10.1	-0.37428
45.377	-12.444	0.031317
46.373	2.6791	1.1933
47.024	-5.8186	1.1896
47.063	2.6675	-15.226
47.326	-5.6427	-15.241
47.981	2.6329	-29.898
47.866	-5.4256	-29.939
46.188	-0.33757	30.114
47.267	6.3079	22.739
46.34	-6.7169	22.749
47.811	8.682	9.2588
45.738	-10.076	9.4932
47.394	10.016	-0.39958
45.305	-12.435	0.041217
46.399	2.6948	1.194
47.041	-5.8035	1.1872
47.075	2.6769	-15.225
47.335	-5.634	-15.244
47.983	2.6363	-29.899
47.869	-5.4212	-29.942
46.195	-0.35783	30.12
47.32	6.2585	22.737
46.313	-6.7614	22.767
47.821	8.5091	9.2336
45.682	-10.091	9.5049
47.69	9.8801	-0.42798
45.229	-12.429	0.048517
46.419	2.7059	1.1862
47.052	-5.7931	1.1835
47.084	2.681	-15.234
47.334	-5.6279	-15.248
47.985	2.6338	-29.907
47.861	-5.4167	-29.946
46.198	-0.37958	30.132
47.356	6.2146	22.74
46.277	-6.7967	22.785
47.837	8.4046	9.2266
45.708	-10.04	9.4984
47.923	9.8314	-0.42748
45.3	-12.316	0.024317
46.439	2.7233	1.1888
47.066	-5.7763	1.1831
47.098	2.6935	-15.231
47.5	-5.7396	-15.246
47.988	2.6425	-29.906
48.162	-5.6408	-29.939
46.202	-0.39101	30.144
47.393	6.1871	22.747
46.249	-6.8193	22.81
47.84	8.3252	9.2239
45.562	-10.104	9.5396
48.036	9.7766	-0.42508
45.072	-12.41	0.076917
46.454	2.7349	1.1909
47.07	-5.7654	1.1873
47.105	2.7009	-15.229
47.502	-5.7302	-15.242
47.987	2.6459	-29.904
48.161	-5.6311	-29.935
46.178	-0.38758	30.156
47.42	6.1551	22.754
46.221	-6.8493	22.845
47.851	8.2739	9.2274
45.511	-10.105	9.5689
48.099	9.7411	-0.41798
45.004	-12.389	0.10182
46.467	2.7464	1.1966
47.068	-5.755	1.1903
47.111	2.7018	-15.224
47.502	-5.7265	-15.239
47.991	2.6367	-29.899
48.161	-5.6324	-29.932
46.157	-0.39454	30.162
47.449	6.1296	22.739
46.189	-6.866	22.864
47.857	8.2349	9.2099
45.459	-10.094	9.5817
48.11	9.7031	-0.43508
44.939	-12.358	0.11042
46.476	2.7565	1.1981
47.067	-5.7456	1.1893
47.117	2.7107	-15.223
47.501	-5.7193	-15.24
47.992	2.6447	-29.898
48.161	-5.6262	-29.933
46.176	-0.32797	30.167
47.493	6.1216	22.732
46.172	-6.8693	22.882
47.839	8.2187	9.1999
45.414	-10.075	9.5955
48.053	9.6841	-0.44648
44.874	-12.323	0.12142
46.443	2.7673	1.2042
47.057	-5.7332	1.1898
47.098	2.7145	-15.216
47.497	-5.7124	-15.239
47.986	2.6434	-29.89
48.16	-5.6232	-29.932
46.15	-0.32745	30.169
47.502	6.1126	22.725
46.126	-6.8692	22.884
47.768	8.2105	9.1908
45.357	-10.059	9.5944
47.922	9.6771	-0.45638
44.81	-12.295	0.11792
46.483	2.773	1.1992
47.048	-5.7309	1.1894
47.119	2.715	-15.222
47.494	-5.7141	-15.239
47.99	2.6379	-29.897
48.162	-5.6297	-29.932
46.132	-0.32969	30.173
47.507	6.105	22.72
46.077	-6.8691	22.894
47.664	8.1954	9.1829
45.201	-10.166	9.6371
47.727	9.6529	-0.46668
44.576	-12.48	0.18402
46.48	2.777	1.2
47.035	-5.7275	1.1884
47.115	2.7245	-15.221
47.487	-5.7155	-15.24
47.987	2.6522	-29.896
48.163	-5.6348	-29.933
46.088	-0.29989	30.178
47.502	6.1049	22.726
46.032	-6.863	22.903
47.46	8.3191	9.2082
45.061	-10.099	9.6383
47.346	9.855	-0.42878
44.37	-12.371	0.17962
46.471	2.7876	1.21
47.014	-5.7177	1.1875
47.112	2.725	-15.211
47.475	-5.7095	-15.241
47.989	2.644	-29.886
48.161	-5.632	-29.933
46.077	-0.28038	30.175
47.498	6.1128	22.718
45.995	-6.8462	22.895
47.36	8.3402	9.2026
45.01	-10.061	9.6264
47.11	9.8668	-0.43338
44.308	-12.318	0.16502
46.453	2.7853	1.2097
46.981	-5.7209	1.1848
47.1	2.723	-15.211
47.462	-5.7105	-15.243
47.985	2.642	-29.885
48.162	-5.6317	-29.934
46.116	-0.28977	30.169
47.482	6.1293	22.703
45.959	-6.823	22.893
47.272	8.364	9.1898
44.955	-10.025	9.6221
46.866	9.8671	-0.44438
44.241	-12.272	0.15942
46.426	2.7786	1.2059
46.942	-5.7283	1.1794
47.088	2.7264	-15.214
47.441	-5.715	-15.248
47.984	2.6547	-29.888
48.161	-5.6327	-29.938
46.12	-0.25274	30.151
47.479	6.1685	22.678
45.939	-6.7786	22.875
47.195	8.4038	9.1665
44.884	-10.004	9.6144
46.616	9.8713	-0.46438
44.133	-12.268	0.15872
46.372	2.7523	1.1966
46.871	-5.7557	1.1747
47.066	2.7157	-15.222
47.408	-5.7307	-15.251
47.988	2.658	-29.895
48.162	-5.638	-29.94
46.142	-0.17503	30.114
47.489	6.2258	22.634
45.945	-6.7192	22.845
47.113	8.4539	9.1237
44.838	-9.9422	9.588
46.369	9.8803	-0.50218
44.051	-12.205	0.13492
46.283	2.71	1.1828
46.764	-5.7991	1.1623
47.02	2.6965	-15.234
47.352	-5.752	-15.262
47.983	2.6594	-29.904
48.153	-5.6396	-29.948
46.178	-0.10597	30.046
47.531	6.2614	22.555
45.933	-6.6618	22.768
47.014	8.4914	9.049
44.78	-9.8898	9.5157
46.112	9.8911	-0.56788
43.96	-12.156	0.066317
46.152	2.6372	1.1555
46.609	-5.8731	1.1397
46.957	2.6549	-15.258
47.28	-5.7855	-15.281
47.98	2.6456	-29.924
48.154	-5.6368	-29.963
46.185	-0.089233	30.026
47.524	6.2573	22.522
45.964	-6.6843	22.788
46.955	8.3966	9.0039
44.737	-9.8654	9.5308
45.989	9.7115	-0.61758
43.864	-12.098	0.078117
46.02	2.7404	1.1198
46.453	-5.7712	1.1177
46.891	2.7042	-15.29
47.207	-5.7388	-15.3
47.976	2.6467	-29.952
48.156	-5.6394	-29.977
46.069	-0.026893	30.044
47.446	6.273	22.533
45.868	-6.6621	22.818
46.797	8.3083	9.0027
44.632	-9.8	9.5514
45.712	9.5172	-0.61998
43.752	-12.001	0.091917
45.994	2.7849	1.132
46.412	-5.7274	1.1285
46.876	2.7245	-15.278
47.186	-5.7148	-15.288
47.969	2.6455	-29.938
48.149	-5.6334	-29.964
45.937	0.070367	30.043
47.375	6.3157	22.505
45.777	-6.6096	22.833
46.771	8.3714	8.9757
44.531	-9.7476	9.5674
45.567	9.5347	-0.63838
43.646	-11.95	0.10852
45.947	2.8381	1.1374
46.354	-5.6747	1.1217
46.856	2.7583	-15.271
47.16	-5.6905	-15.293
47.973	2.6624	-29.929
48.153	-5.6341	-29.968
45.826	0.093897	30.042
47.306	6.3208	22.497
45.642	-6.584	22.833
46.779	8.6094	9.0017
44.406	-9.7012	9.5621
45.385	9.8494	-0.57758
43.528	-11.888	0.099017
45.894	2.8917	1.1413
46.284	-5.6218	1.1129
46.831	2.783	-15.265
47.123	-5.6626	-15.3
47.974	2.6611	-29.922
48.15	-5.6276	-29.972
45.669	0.24786	30.053
47.21	6.4471	22.482
45.567	-6.4697	22.883
46.812	8.8106	8.9951
44.306	-9.5944	9.6162
45.231	10.006	-0.56108
43.41	-11.787	0.15612
45.847	2.9527	1.1538
46.217	-5.5617	1.1203
46.808	2.8047	-15.251
47.09	-5.6333	-15.291
47.973	2.6476	-29.905
48.146	-5.6265	-29.961
45.509	0.35499	30.071
47.127	6.5386	22.481
45.445	-6.3718	22.918
46.844	8.9251	8.9955
44.182	-9.5139	9.6556
45.11	10.054	-0.54258
43.285	-11.719	0.19842
45.796	3.0135	1.177
46.147	-5.5017	1.1366
46.782	2.8358	-15.226
47.059	-5.6071	-15.272
47.969	2.652	-29.878
48.144	-5.6311	-29.94
45.315	0.4557	30.1
47.009	6.6212	22.503
45.287	-6.2829	22.966
46.831	8.9756	9.0095
44.034	-9.4485	9.7077
45.037	10.024	-0.52638
43.144	-11.67	0.25372
45.736	3.1225	1.2058
46.079	-5.3928	1.1486
46.75	2.8854	-15.194
47.027	-5.5595	-15.258
47.956	2.6494	-29.845
48.145	-5.6379	-29.923
45.131	0.5877	30.118
46.908	6.724	22.513
45.099	-6.1747	23.008
46.797	9.0116	9.0069
43.887	-9.3628	9.7516
45.003	9.9836	-0.53668
43.027	-11.601	0.29872
45.682	3.2098	1.2158
46.01	-5.3061	1.1649
46.723	2.9417	-15.182
46.99	-5.5192	-15.239
47.952	2.6778	-29.83
48.139	-5.6385	-29.902
44.941	0.75555	30.129
46.776	6.8722	22.497
44.91	-6.0155	23.032
46.734	9.0804	8.9774
43.669	-9.2916	9.7993
44.975	9.9885	-0.57898
42.788	-11.593	0.36352
45.618	3.3192	1.2314
45.917	-5.1978	1.169
46.675	3.0077	-15.165
46.943	-5.4706	-15.231
47.923	2.7043	-29.81
48.135	-5.6434	-29.89
44.707	0.89203	30.149
46.627	6.9889	22.516
44.607	-5.8806	23.082
46.686	9.167	8.9924
43.482	-9.1923	9.8477
44.962	10.049	-0.57248
42.684	-11.519	0.41062
45.554	3.4228	1.2537
45.837	-5.0945	1.1717
46.631	3.0546	-15.14
46.907	-5.4265	-15.225
47.896	2.6999	-29.783
48.134	-5.653	-29.879
44.562	0.99306	30.167
46.542	7.0201	22.441
44.458	-5.8059	23.083
46.714	9.2755	8.9303
43.36	-9.1072	9.8439
44.979	10.2	-0.62878
42.582	-11.427	0.40342
45.486	3.551	1.2628
45.771	-4.9661	1.1689
46.584	3.1022	-15.128
46.872	-5.3668	-15.224
47.869	2.6753	-29.767
48.129	-5.654	-29.875
44.328	1.217	30.177
46.358	7.2268	22.423
44.183	-5.5875	23.129
46.734	9.4805	8.9166
43.192	-8.9459	9.896
44.996	10.394	-0.64328
42.49	-11.305	0.45952
45.409	3.6806	1.2776
45.681	-4.8368	1.1766
46.542	3.1659	-15.109
46.831	-5.3134	-15.211
47.856	2.6796	-29.743
48.129	-5.6691	-29.857
44.047	1.4683	30.169
46.097	7.4374	22.376
43.852	-5.3622	23.155
46.751	9.7255	8.8862
43.033	-8.779	9.9251
45.034	10.62	-0.67928
42.454	-11.18	0.49072
45.35	3.8646	1.2843
45.728	-4.648	1.1389
46.501	3.2554	-15.097
46.85	-5.2243	-15.247
47.835	2.6879	-29.727
