level_0	level_1	frames = 123 markers = 13 Hz = 30
31.094	-1.3326	-27.04516073342089
33.924	-7.4758	-20.075160733420887
31.508	5.7698	-19.88516073342089
32.573	-8.9097	-7.179560733420888
30.911	7.645	-6.999160733420887
31.701	-9.7883	1.0140392665791123
30.545	8.808	1.1900392665791122
33.671	-3.5972	0.08949926657911242
32.931	3.9961	0.08489926657911237
33.683	-3.9136	16.60883926657911
33.706	4.3004	16.58883926657911
35.189	-3.9221	30.465839266579113
34.351	4.5324	30.51683926657911
31.151	-1.4444	-27.034160733420887
33.973	-7.5317	-20.06216073342089
31.461	5.6666	-19.746160733420886
32.597	-8.9412	-7.166760733420888
30.732	7.7184	-6.893360733420888
31.708	-9.805	1.0265392665791122
30.172	8.8271	1.2923392665791122
33.676	-3.6153	0.09159926657911241
32.871	3.9715	0.09179926657911239
33.775	-3.9125	16.61183926657911
33.53	4.2994	16.599839266579114
35.199	-3.9227	30.476839266579113
34.346	4.5307	30.519839266579112
31.158	-1.5958	-27.03916073342089
33.984	-7.6205	-20.04216073342089
31.329	5.5465	-19.767160733420887
32.615	-8.9963	-7.142260733420888
30.554	7.7694	-6.945560733420888
31.731	-9.8384	1.0538392665791123
29.822	8.7864	1.2384392665791122
33.624	-3.6417	0.06459926657911239
32.974	3.9598	0.07369926657911238
33.736	-3.915	16.584839266579113
33.577	4.3028	16.583839266579112
35.182	-3.9327	30.447839266579113
34.349	4.5405	30.505839266579112
31.02	-1.4167	-27.04516073342089
34.088	-7.4093	-20.029160733420888
31.127	5.6961	-19.72816073342089
32.683	-8.9328	-7.149360733420888
30.376	8.0059	-6.920660733420887
31.774	-9.8689	1.0338392665791123
29.386	8.669	1.2724392665791122
33.626	-3.6515	0.06929926657911242
32.893	3.9424	0.058199266579112424
33.724	-3.9206	16.589839266579112
33.539	4.2934	16.56583926657911
35.18	-3.9193	30.451839266579114
34.344	4.5407	30.485839266579113
31.0	-1.5382	-27.026160733420888
34.153	-7.4655	-20.01016073342089
31.004	5.5967	-19.737160733420886
32.739	-8.9784	-7.130760733420888
30.317	8.3543	-7.015060733420888
31.824	-9.9079	1.0524392665791122
28.924	8.6643	1.1407392665791123
33.632	-3.6585	0.07489926657911236
32.86	3.9316	0.06879926657911237
33.703	-3.9277	16.59483926657911
33.521	4.2923	16.575839266579113
35.181	-3.918	30.45483926657911
34.341	4.5476	30.494839266579113
30.963	-1.7361	-26.997160733420888
34.252	-7.5556	-19.97816073342089
30.909	5.4656	-19.78016073342089
32.813	-9.045	-7.098560733420888
29.974	8.7132	-7.190960733420888
31.882	-9.9589	1.0845392665791123
27.799	8.4237	0.7911392665791124
33.631	-3.6646	0.07879926657911238
32.805	3.9198	0.08289926657911237
33.672	-3.9336	16.598839266579112
33.495	4.2894	16.58883926657911
35.181	-3.9135	30.455839266579112
34.342	4.5523	30.505839266579112
30.925	-1.85	-26.98616073342089
34.365	-7.6215	-19.944160733420887
30.856	5.3636	-19.84716073342089
32.887	-9.0994	-7.067760733420887
29.478	8.8994	-7.3771607334208875
31.932	-10.007	1.1132392665791122
26.466	7.8992	0.2671992665791124
33.634	-3.6643	0.07889926657911236
32.711	3.9087	0.08629926657911244
33.651	-3.9416	16.599839266579114
33.452	4.278	16.589839266579112
35.178	-3.9131	30.453839266579113
34.342	4.5423	30.503839266579114
30.894	-1.8892	-27.044160733420888
34.564	-7.5585	-19.945160733420888
30.855	5.3846	-20.035160733420888
33.009	-9.1134	-7.086960733420888
29.068	9.5287	-7.807160733420888
32.002	-10.069	1.0824392665791123
24.945	7.267	-0.9975007334208875
33.632	-3.7107	0.0856992665791124
32.569	3.8439	0.02179926657911241
33.653	-3.9741	16.605839266579114
33.384	4.2503	16.520839266579113
35.184	-3.9158	30.46083926657911
34.339	4.549	30.430839266579113
30.792	-2.1154	-26.99816073342089
34.668	-7.6788	-19.869160733420888
30.796	5.2212	-20.08816073342089
33.093	-9.2083	-7.009660733420888
28.396	9.7133	-8.090060733420888
32.065	-10.142	1.1597392665791122
23.527	6.6939	-2.1188607334208878
33.65	-3.6961	0.07589926657911236
32.594	3.8596	0.04969926657911236
33.68	-3.962	16.596839266579114
33.398	4.2548	16.549839266579113
35.182	-3.9227	30.453839266579113
34.34	4.5424	30.459839266579113
30.666	-2.3247	-26.945160733420888
34.785	-7.7834	-19.79216073342089
30.709	5.0629	-20.188160733420887
33.206	-9.3107	-6.933060733420888
27.345	9.5267	-8.414260733420887
32.155	-10.228	1.2352392665791123
21.932	5.759	-3.4150607334208876
33.674	-3.6734	0.08339926657911242
32.64	3.8853	0.06389926657911235
33.723	-3.9491	16.60383926657911
33.42	4.2677	16.56583926657911
35.192	-3.9381	30.464839266579112
34.343	4.5425	30.477839266579114
30.488	-2.6351	-26.939160733420888
34.882	-7.9775	-19.689160733420888
30.625	4.8042	-20.29516073342089
33.346	-9.4351	-6.817060733420888
26.116	9.2147	-8.889760733420887
32.273	-10.275	1.3568392665791122
20.393	4.8009	-4.8592607334208875
33.703	-3.6288	0.007099266579112418
32.647	3.9268	0.033699266579112375
33.732	-3.9326	16.526839266579113
33.422	4.2941	16.535839266579114
35.162	-3.951	30.39183926657911
34.343	4.5557	30.447839266579113
30.351	-2.8315	-26.89316073342089
34.977	-8.0426	-19.60916073342089
30.433	4.6328	-20.38816073342089
33.539	-9.4742	-6.722960733420888
24.793	8.85	-9.422460733420888
32.436	-10.237	1.4544392665791122
19.02	3.7691	-6.365160733420888
33.732	-3.6485	0.024599266579112378
32.66	3.9049	0.028899266579112404
33.733	-3.945	16.544839266579114
33.432	4.2841	16.53083926657911
35.175	-3.9554	30.40883926657911
34.344	4.5555	30.44383926657911
30.237	-3.0538	-26.830160733420886
34.9	-8.1629	-19.477160733420888
30.171	4.4076	-20.51016073342089
33.711	-9.5971	-6.565560733420888
23.294	8.2786	-10.138760733420888
32.615	-10.273	1.6202392665791123
17.675	2.62	-7.927260733420888
33.806	-3.627	0.05229926657911241
32.67	3.9171	0.019199266579112417
33.737	-3.9444	16.57183926657911
33.434	4.2957	16.52183926657911
35.19	-3.9562	30.43483926657911
34.345	4.5673	30.43483926657911
30.034	-3.2916	-26.811160733420888
35.135	-8.2169	-19.37916073342089
29.789	4.1115	-20.615160733420886
34.047	-9.7032	-6.464560733420888
21.635	7.3247	-10.970160733420888
32.801	-10.303	1.7061392665791124
16.324	1.1587	-9.468060733420888
33.876	-3.6524	0.043099266579112394
32.676	3.8817	0.006699266579112406
33.739	-3.9625	16.561839266579113
33.438	4.2795	16.508839266579113
35.182	-3.9559	30.42583926657911
34.345	4.5682	30.421839266579113
29.886	-3.5814	-26.770160733420887
35.118	-8.3493	-19.281160733420887
29.292	3.7208	-20.746160733420886
34.331	-9.8743	-6.349060733420888
20.183	6.4242	-11.826160733420888
33.012	-10.385	1.816239266579112
15.241	-0.126	-10.751160733420887
33.943	-3.6703	0.047199266579112414
32.668	3.8511	-0.019200733420887572
33.801	-3.9691	16.566839266579112
33.435	4.2686	16.48183926657911
35.19	-3.9553	30.435839266579112
