level_0	level_1	frames = 230 markers = 13 Hz = 30
-36.769	-1.1404	27.854
-37.574	-7.3243	20.849
-36.152	5.9082	20.382
-36.169	-8.7114	7.8093
-34.149	7.8501	7.5017
-35.24	-9.5823	-0.69558
-32.848	9.0851	-0.89828
-37.307	-3.6051	0.57982
-37.055	4.2185	0.58432
-38.222	-2.642	-15.921
-37.284	3.3032	-15.944
-39.005	-1.8265	-29.741
-37.468	2.5126	-29.796
-36.789	-1.1524	27.852
-37.6	-7.3077	20.857
-36.156	5.9245	20.379
-36.195	-8.7086	7.8187
-34.233	7.9175	7.4942
-35.266	-9.5886	-0.68518
-32.868	9.076	-0.90658
-37.321	-3.592	0.57452
-37.055	4.2312	0.58452
-38.006	-2.6651	-15.939
-37.139	3.3244	-15.946
-39.003	-1.8249	-29.745
-37.465	2.5074	-29.793
-36.828	-1.1743	27.856
-37.627	-7.2941	20.826
-36.157	5.931	20.38
-36.22	-8.7075	7.7885
-34.328	8.0	7.4936
-35.29	-9.5946	-0.71448
-32.874	9.0611	-0.90498
-37.325	-3.5814	0.57812
-37.045	4.2413	0.58632
-37.937	-2.6684	-15.939
-37.113	3.2184	-15.937
-38.999	-1.8215	-29.739
-37.431	2.3052	-29.78
-36.863	-1.1857	27.854
-37.673	-7.2838	20.827
-36.143	5.9354	20.38
-36.263	-8.7148	7.7916
-34.465	8.1836	7.5027
-35.331	-9.6145	-0.70988
-32.816	9.0581	-0.88128
-37.325	-3.5515	0.56262
-37.032	4.2707	0.59282
-37.851	-2.6711	-15.959
-37.129	3.3479	-15.936
-39.011	-1.8262	-29.752
-37.468	2.5185	-29.783
-36.897	-1.1907	27.831
-37.705	-7.278	20.852
-36.055	5.9318	20.359
-36.291	-8.7116	7.8174
-34.696	8.4188	7.4888
-35.356	-9.6129	-0.68378
-32.77	8.9443	-0.86578
-37.355	-3.5846	0.54692
-37.149	4.2404	0.55112
-37.771	-2.6969	-15.978
-37.181	3.3289	-15.979
-39.015	-1.83	-29.762
-37.467	2.5059	-29.827
-36.866	-1.1318	27.846
-37.811	-7.273	20.845
-36.021	5.9267	20.362
-36.349	-8.6974	7.8155
-34.749	8.7791	7.5589
-35.384	-9.5929	-0.68278
-32.256	8.8316	-0.66028
-37.359	-3.5712	0.55222
-37.14	4.2535	0.55122
-37.696	-2.7068	-15.975
-37.155	3.2187	-15.972
-39.01	-1.8389	-29.753
-37.429	2.2944	-29.814
-37.072	-1.1655	27.837
-37.855	-7.2814	20.834
-35.921	5.8868	20.309
-36.385	-8.7137	7.8055
-34.792	9.2379	7.614
-35.414	-9.6144	-0.69158
-31.65	8.7345	-0.36398
-37.383	-3.5287	0.53462
-37.153	4.2957	0.55632
-37.667	-2.6932	-15.996
-37.162	3.2387	-15.965
-39.018	-1.8355	-29.77
-37.428	2.2965	-29.807
-37.336	-1.2392	27.833
-37.896	-7.3098	20.833
-35.94	5.8679	20.373
-36.429	-8.7166	7.8019
-34.642	9.508	7.7739
-35.458	-9.5994	-0.69708
-30.737	8.3434	0.21252
-37.347	-3.4657	0.55242
-37.117	4.3587	0.57442
-37.629	-2.6589	-15.979
-37.149	3.2693	-15.945
-39.006	-1.8204	-29.752
-37.435	2.3007	-29.784
-37.492	-1.2377	27.796
-37.896	-7.2956	20.785
-35.932	5.8862	20.386
-36.453	-8.7015	7.7512
-34.32	9.9036	7.9398
-35.498	-9.5839	-0.74958
-29.6	8.0911	0.99652
-37.377	-3.4879	0.55102
-37.161	4.3369	0.52742
-37.653	-2.6717	-15.98
-37.169	3.262	-15.993
-39.008	-1.8268	-29.755
-37.438	2.3048	-29.834
-37.577	-1.2187	27.828
-37.881	-7.2744	20.755
-35.942	5.9273	20.558
-36.47	-8.6887	7.7187
-33.674	10.043	8.2467
-35.536	-9.5777	-0.78368
-28.339	7.7718	1.9103
-37.371	-3.4268	0.54932
-37.131	4.3972	0.60282
-37.683	-2.6447	-15.983
-37.153	3.2849	-15.915
-39.011	-1.8305	-29.762
-37.428	2.2989	-29.754
-37.614	-1.3228	27.771
-37.888	-7.3698	20.664
-35.917	5.8337	20.589
-36.482	-8.7146	7.6191
-32.963	10.093	8.4737
-35.551	-9.5571	-0.88838
-26.936	7.2701	3.0444
-37.388	-3.3352	0.55962
-37.285	4.4919	0.54402
-37.738	-2.5888	-15.974
-37.226	3.3302	-15.97
-39.013	-1.8303	-29.761
-37.44	2.2979	-29.807
-37.675	-1.2736	27.828
-38.011	-7.3069	20.664
-36.004	5.8958	20.718
-36.515	-8.6685	7.6312
-32.021	10.075	8.8733
-35.526	-9.5233	-0.86858
-25.575	6.803	4.2344
-37.376	-3.359	0.55802
-37.215	4.4671	0.59392
-37.787	-2.5928	-15.973
-37.196	3.3179	-15.921
-39.01	-1.8215	-29.764
-37.437	2.2998	-29.758
-37.687	-1.3159	27.83
-38.133	-7.3299	20.646
-36.045	5.8595	20.73
-36.572	-8.6633	7.6181
-30.977	9.8503	9.2405
-35.541	-9.4985	-0.87868
-24.203	6.139	5.4842
-37.373	-3.3322	0.55962
-37.246	4.4945	0.58862
-37.823	-2.5799	-15.971
-37.212	3.3289	-15.926
-39.014	-1.8309	-29.766
-37.439	2.2965	-29.762
-37.709	-1.3186	27.849
-38.299	-7.2917	20.601
-36.046	5.861	20.768
-36.652	-8.6699	7.5884
-29.884	9.4739	9.696
-35.566	-9.5352	-0.89838
-22.93	5.333	6.8209
-37.297	-3.3524	0.57972
-37.264	4.4754	0.58662
-37.772	-2.5842	-15.949
-37.217	3.3213	-15.928
-39.009	-1.8279	-29.74
-37.437	2.2952	-29.765
-37.7	-1.3954	27.844
-38.498	-7.3084	20.556
-35.971	5.7882	20.787
-36.751	-8.6837	7.556
-28.847	9.0881	10.205
-35.599	-9.5472	-0.92228
-21.847	4.6202	8.0132
-37.296	-3.2984	0.57302
-37.29	4.5294	0.59512
-37.685	-2.5679	-15.96
-37.224	3.344	-15.918
-39.007	-1.8284	-29.744
-37.427	2.2905	-29.752
-37.674	-1.4781	27.813
-38.723	-7.3346	20.47
-35.846	5.68	20.785
-36.864	-8.6359	7.4784
-27.853	8.6831	10.749
-35.639	-9.4514	-0.99438
-20.886	3.9472	9.0758
-37.361	-3.2165	0.54212
-37.292	4.6109	0.59352
-37.569	-2.5482	-15.997
-37.224	3.383	-15.916
-39.007	-1.8232	-29.77
-37.429	2.2942	-29.748
-37.594	-1.4818	27.774
-38.892	-7.2822	20.421
-35.543	5.6152	20.826
-36.953	-8.6201	7.4443
-26.963	8.4071	11.224
-35.675	-9.4596	-1.0182
-20.127	3.3682	9.9437
-37.476	-3.1164	0.47072
-37.288	4.7082	0.60062
-37.468	-2.5388	-16.073
-37.223	3.4283	-15.905
-39.038	-1.8377	-29.833
-37.431	2.2975	-29.734
-37.593	-1.4465	27.8
-39.14	-7.184	20.388
-35.415	5.6071	20.934
-37.095	-8.5758	7.4337
-26.105	7.8764	11.889
-35.747	-9.451	-1.0143
-19.293	2.7907	10.669
-37.541	-3.1192	0.48282
-37.242	4.7019	0.61192
-37.337	-2.5637	-16.06
-37.2	3.4246	-15.894
-39.026	-1.836	-29.805
-37.422	2.2978	-29.723
-37.601	-1.5241	27.785
-39.374	-7.1886	20.33
-35.257	5.482	21.012
-37.249	-8.5788	7.3884
-25.57	7.5719	12.327
-35.847	-9.4533	-1.051
-18.824	2.3791	11.192
-37.527	-3.1144	0.46792
-37.158	4.7033	0.61242
-37.221	-2.5716	-16.074
-37.159	3.4276	-15.894
-39.022	-1.8335	-29.803
-37.422	2.3008	-29.722
-37.557	-1.6511	27.775
-39.522	-7.2514	20.262
-35.091	5.3076	21.065
-37.389	-8.6219	7.3197
-25.172	7.3351	12.631
-35.981	-9.4841	-1.1199
-18.505	2.0417	11.499
-37.577	-3.0879	0.47722
-37.069	4.7222	0.61582
-37.183	-2.5601	-16.063
-37.114	3.4352	-15.889
-39.008	-1.8108	-29.789
-37.413	2.3001	-29.716
-37.565	-1.6921	27.765
-39.698	-7.1886	20.141
-35.03	5.2585	21.11
-37.56	-8.6209	7.2054
-24.905	7.1543	12.893
-36.146	-9.5224	-1.2291
-18.306	1.782	11.73
-37.623	-3.0583	0.47222
-36.963	4.7401	0.62442
-37.199	-2.5482	-16.068
-37.069	3.4485	-15.88
-39.006	-1.7987	-29.796
-37.419	2.3111	-29.705
-37.519	-1.8374	27.746
-39.831	-7.2119	20.029
-34.933	5.1217	21.113
-37.787	-8.5744	7.0709
-24.727	7.0226	12.998
-36.434	-9.4316	-1.3782
-18.193	1.5835	11.783
-37.664	-3.0354	0.48272
-36.86	4.7496	0.62652
-37.252	-2.5447	-16.058
-37.018	3.456	-15.877
-39.005	-1.8074	-29.794
-37.41	2.3189	-29.701
-37.476	-1.9728	27.715
-39.916	-7.2567	19.977
-34.871	5.0084	21.096
-37.967	-8.6066	7.003
-24.638	6.9616	13.028
-36.677	-9.4569	-1.4567
-18.157	1.4734	11.754
-37.684	-3.0019	0.47062
-36.76	4.7693	0.62972
-37.325	-2.5193	-16.072
-36.966	3.4579	-15.872
-39.01	-1.796	-29.817
-37.404	2.3067	-29.694
-37.513	-2.1161	27.7
