level_0	level_1	frames = 220 markers = 13 Hz = 30
-31.721	-0.64526	28.219
-33.386	-6.6827	21.23
-32.236	5.9331	20.671
-32.362	-8.5238	8.4976
-31.175	8.2143	8.0231
-31.686	-9.6802	0.27627
-30.497	9.6553	-0.14443
-33.48	-3.3135	1.0135
-33.488	4.3393	1.0184
-34.414	-3.2754	-15.505
-34.188	4.2493	-15.513
-35.222	-3.2345	-29.549
-34.775	4.1476	-29.575
-31.705	-0.65298	28.222
-33.385	-6.6887	21.225
-32.227	5.9269	20.677
-32.354	-8.5254	8.4925
-31.244	8.23	8.027
-31.674	-9.6787	0.27107
-30.618	9.6849	-0.14223
-33.482	-3.3129	1.015
-33.485	4.3399	1.0202
-34.263	-3.2817	-15.512
-34.032	4.2607	-15.517
-35.219	-3.221	-29.546
-34.765	4.1557	-29.572
-31.702	-0.65444	28.23
-33.383	-6.6948	21.231
-32.221	5.919	20.684
-32.337	-8.5326	8.4999
-31.206	8.1775	8.0281
-31.648	-9.6868	0.27937
-30.557	9.6015	-0.14473
-33.476	-3.3213	1.0183
-33.481	4.3316	1.0273
-34.262	-3.2905	-15.508
-34.029	4.2532	-15.51
-35.223	-3.2301	-29.542
-34.766	4.1488	-29.565
-31.652	-0.66882	28.228
-33.344	-6.7143	21.223
-32.18	5.899	20.68
-32.29	-8.5679	8.4951
-30.839	7.9722	8.023
-31.594	-9.7325	0.27657
-29.977	9.2745	-0.14983
-33.572	-3.3094	1.0303
-33.486	4.3429	1.0261
-34.305	-3.2887	-15.499
-34.034	4.2583	-15.511
-35.22	-3.2331	-29.536
-34.768	4.1525	-29.566
-31.634	-0.66532	28.213
-33.321	-6.7125	21.21
-32.167	5.9046	20.678
-32.218	-8.6376	8.4965
-30.649	8.0183	8.0474
-31.489	-9.847	0.28737
-29.656	9.3329	-0.10853
-33.575	-3.3527	1.0317
-33.602	4.3	0.98817
-34.308	-3.3059	-15.497
-34.086	4.2411	-15.551
-35.219	-3.2323	-29.535
-34.768	4.1532	-29.609
-31.626	-0.66589	28.216
-33.343	-6.7347	21.212
-32.204	5.8884	20.688
-32.139	-8.6758	8.5109
-30.475	8.2242	8.1245
-31.339	-9.8898	0.30907
-29.303	9.6464	0.010272
-33.543	-3.3374	1.0369
-33.616	4.3149	0.98847
-34.294	-3.3013	-15.491
-34.084	4.1348	-15.551
-35.225	-3.2376	-29.528
-34.751	3.9438	-29.609
-31.612	-0.64489	28.22
-33.339	-6.7199	21.212
-32.214	5.9041	20.694
-31.934	-8.7719	8.5483
-30.234	8.2757	8.1737
-30.982	-10.037	0.37067
-28.797	9.6349	0.091072
-33.578	-3.3615	1.0352
-33.627	4.291	0.98827
-34.31	-3.3107	-15.494
-34.094	4.1283	-15.551
-35.219	-3.2338	-29.531
-34.76	3.9533	-29.609
-31.614	-0.63928	28.223
-33.373	-6.7237	21.21
-32.256	5.906	20.709
-31.76	-8.8549	8.5846
-30.119	8.434	8.2459
-30.613	-10.118	0.43167
