level_0	level_1	frames = 114 markers = 13 Hz = 30
-32.395	1.9522	25.396
-34.384	-4.5549	19.447
-33.686	9.2521	18.102
-33.425	-6.6211	6.6056
-32.674	10.593	5.1789
-32.791	-7.9303	-1.7443
-32.023	11.43	-3.2195
-34.27	-1.7745	-1.4092
-33.788	5.7652	-1.4053
-32.62	-3.4955	-17.742
-33.208	5.3805	-18.078
-32.83	-3.7813	-30.977
-32.778	4.1179	-31.479
-32.403	1.8857	25.384
-34.308	-4.6125	19.456
-33.625	9.1951	18.081
-33.284	-6.7542	6.6324
-32.654	10.509	5.1519
-32.606	-8.1127	-1.706
-32.028	11.329	-3.2502
-34.164	-1.8805	-1.4247
-33.771	5.6645	-1.4166
-32.574	-3.5378	-17.78
-33.194	5.3361	-18.091
-32.836	-3.7778	-30.996
-32.78	4.109	-31.49
-32.442	1.7848	25.39
-34.244	-4.6916	19.49
-33.561	9.1111	18.059
-33.164	-6.888	6.6801
-32.619	10.444	5.1297
-32.449	-8.2793	-1.6497
-32.012	11.278	-3.2725
-34.071	-1.98	-1.4075
-33.75	5.5684	-1.4299
-32.558	-3.5728	-17.79
-33.15	5.2889	-18.1
-32.828	-3.7512	-31.004
-32.773	4.0825	-31.49
-32.459	1.6903	25.389
-34.158	-4.7679	19.521
-33.53	9.033	18.038
-33.032	-6.9953	6.72
-32.617	10.35	5.1045
-32.284	-8.4037	-1.604
-32.027	11.172	-3.3001
-33.981	-2.0565	-1.403
-33.725	5.4944	-1.4325
-32.512	-3.6008	-17.802
-33.138	5.2555	-18.106
-32.816	-3.7399	-31.003
-32.772	4.0889	-31.496
-32.496	1.6656	25.391
-34.038	-4.8402	19.522
-33.529	8.9592	17.998
-32.868	-7.0667	6.7247
-32.612	10.282	5.0657
-32.085	-8.4647	-1.5978
-32.01	11.101	-3.3384
-33.883	-2.1148	-1.4137
-33.708	5.4385	-1.4362
-32.433	-3.6204	-17.821
-33.157	5.2178	-18.118
-32.806	-3.7308	-30.997
-32.767	4.031	-31.513
-32.419	1.5731	25.365
-33.881	-4.9378	19.507
-33.489	8.8648	17.96
-32.751	-7.0221	6.6819
-32.571	10.367	5.0476
-31.976	-8.3093	-1.6593
-31.941	11.283	-3.3446
-33.976	-2.0883	-1.465
-33.712	5.4623	-1.4372
-32.381	-3.6253	-17.831
-33.164	5.2404	-18.12
-32.802	-3.7399	-30.988
-32.772	4.0541	-31.516
-32.606	1.4932	25.349
-33.763	-4.9806	19.437
-33.486	8.8058	17.899
-32.358	-7.2017	6.6629
-32.601	10.361	4.9904
-31.375	-8.5401	-1.6482
-31.906	11.251	-3.3997
-33.898	-2.1342	-1.4798
-33.693	5.4182	-1.4412
-32.314	-3.6473	-17.851
-33.161	5.2168	-18.127
-32.806	-3.7693	-30.98
-32.775	4.0552	-31.523
-32.87	1.4003	25.313
-33.683	-5.0	19.387
-33.488	8.7897	17.898
-32.179	-7.2035	6.6212
-32.739	10.274	4.972
-31.082	-8.4685	-1.687
-31.925	10.97	-3.4255
-33.818	-2.181	-1.506
-33.666	5.3725	-1.4402
-32.233	-3.671	-17.879
-33.148	5.1971	-18.129
-32.798	-3.7575	-30.98
-32.774	4.0483	-31.523
-33.291	1.4503	25.255
-33.634	-5.0303	19.362
-33.475	8.761	17.891
-32.056	-7.258	6.6087
-32.97	10.417	4.9738
-30.819	-8.433	-1.6933
-31.903	10.939	-3.4081
-33.758	-2.2183	-1.525
-33.64	5.3357	-1.4391
-32.162	-3.6917	-17.896
-33.138	5.1705	-18.131
-32.787	-3.7506	-30.973
-32.768	4.0223	-31.524
-33.599	1.5237	25.16
-33.645	-5.0719	19.403
-33.464	8.7501	17.94
-32.032	-7.3519	6.6637
-33.383	10.648	5.0473
-30.62	-8.388	-1.6287
-31.908	10.87	-3.2859
-33.708	-2.2416	-1.5508
-33.603	5.3123	-1.4402
-32.094	-3.7072	-17.918
-33.142	5.1571	-18.141
-32.783	-3.7568	-30.969
-32.77	4.024	-31.535
-33.967	1.5455	25.016
-33.674	-5.1416	19.396
-33.401	8.6873	17.945
-32.082	-7.5224	6.6726
-33.709	11.078	5.1375
-30.45	-8.3672	-1.6011
-31.499	11.014	-3.0338
-33.652	-2.2749	-1.5661
-33.561	5.279	-1.4446
-32.03	-3.7175	-17.933
-33.111	5.139	-18.147
-32.775	-3.7593	-30.961
-32.769	4.0166	-31.533
-34.271	1.4094	24.88
-33.677	-5.3278	19.36
-33.337	8.5082	17.972
-32.189	-7.8109	6.643
-34.012	11.479	5.3015
-30.307	-8.385	-1.6009
-30.895	11.181	-2.5625
-33.606	-2.323	-1.5776
-33.543	5.2312	-1.4601
-31.971	-3.7393	-17.943
-33.112	5.122	-18.167
-32.759	-3.7608	-30.953
-32.785	4.0308	-31.55
-34.414	1.1798	24.83
-33.705	-5.5434	19.323
-33.3	8.2921	17.992
-32.374	-8.1662	6.6174
-34.125	11.997	5.5261
-30.195	-8.4581	-1.5682
-29.688	11.406	-1.6575
-33.556	-2.3525	-1.5903
-33.476	5.2012	-1.449
-31.927	-3.7562	-17.959
-33.091	5.1091	-18.165
-32.757	-3.7714	-30.951
-32.782	4.0294	-31.543
-34.517	0.96398	24.83
-33.73	-5.7519	19.268
-33.284	8.0958	18.104
-32.664	-8.5529	6.5748
-34.506	12.661	5.9614
-30.186	-8.5911	-1.5306
-28.638	11.616	-0.047311
-33.505	-2.401	-1.5744
-33.397	5.1521	-1.4197
-31.929	-3.7666	-17.96
-33.083	5.0898	-18.149
-32.755	-3.7612	-30.954
-32.78	4.0426	-31.528
-34.585	0.68188	24.863
-33.766	-5.9742	19.182
-33.359	7.9239	18.403
-33.07	-8.8487	6.4798
-34.26	13.134	6.495
-30.333	-8.6416	-1.5394
-27.379	11.722	1.7737
-33.452	-2.4615	-1.5339
-33.293	5.0905	-1.3753
-31.974	-3.7799	-17.95
-33.106	5.0578	-18.129
-32.752	-3.7458	-30.963
-32.783	4.0498	-31.517
-34.636	0.14233	24.819
-33.822	-6.3529	19.015
-33.31	7.5569	18.547
-33.527	-9.35	6.3252
-33.662	13.435	6.9263
-30.465	-8.8561	-1.5627
-25.926	11.417	4.1505
-33.34	-2.5194	-1.4477
-33.277	5.0356	-1.4626
-32.07	-3.7768	-17.922
-32.96	5.0535	-18.192
-32.752	-3.7258	-30.975
-32.792	4.065	-31.53
-34.735	-0.24696	24.82
-33.938	-6.5571	18.913
-33.321	7.3727	18.836
-33.86	-9.5547	6.2203
-32.779	14.13	7.7114
-30.613	-9.0854	-1.5951
-24.855	11.294	6.8176
-33.34	-2.6076	-1.4176
-33.181	4.946	-1.4163
-32.131	-3.8167	-17.911
-32.942	5.0207	-18.16
-32.753	-3.7206	-30.988
-32.789	4.0881	-31.497
-34.832	-0.74687	24.772
-34.051	-6.849	18.743
-33.313	7.0802	19.084
-34.198	-9.8362	6.0492
-30.811	14.382	8.5908
-30.833	-9.3382	-1.7142
-23.242	10.712	9.5162
-33.252	-2.6251	-1.3828
-33.169	4.9297	-1.3968
-32.188	-3.8135	-17.912
-32.973	5.0165	-18.148
-32.763	-3.7138	-31.009
-32.795	4.1412	-31.498
-34.883	-1.2924	24.816
-34.174	-7.1669	18.572
-33.291	6.7301	19.376
-34.646	-10.153	5.8854
-29.087	14.679	9.9513
-31.069	-9.5764	-1.7774
-22.267	10.208	12.215
-33.12	-2.7859	-1.1902
-33.044	4.7666	-1.3744
-32.493	-3.8329	-17.827
-32.986	4.9315	-18.15
-32.766	-3.6949	-31.04
-32.794	4.149	-31.509
-34.946	-1.6976	24.768
-34.379	-7.3633	18.445
-33.2	6.4965	19.636
-34.925	-10.196	5.7265
-27.42	15.013	11.653
-31.331	-9.7372	-1.9362
-21.591	9.7133	14.743
-33.105	-2.8564	-1.1517
-32.931	4.6937	-1.3622
-32.612	-3.8514	-17.819
-32.885	4.918	-18.139
-32.771	-3.6752	-31.073
-32.786	4.1664	-31.469
-34.925	-2.1956	24.761
-34.622	-7.6691	18.195
-33.027	6.0999	19.855
-35.449	-10.385	5.4663
-25.764	15.112	13.881
-31.795	-9.8586	-2.1637
-20.81	9.2186	17.393
-32.927	-2.9391	-1.0763
-32.804	4.6102	-1.3448
-32.738	-3.8546	-17.807
-32.842	4.8727	-18.135
-32.778	-3.6457	-31.104
-32.779	4.1741	-31.456
-34.869	-2.5303	24.74
-34.753	-7.8398	17.967
-32.846	5.8289	20.05
-35.919	-10.471	5.2471
-24.067	14.688	16.293
-32.194	-10.019	-2.3533
-20.075	8.1165	19.828
-32.943	-2.9839	-1.076
-32.685	4.5623	-1.331
-32.815	-3.8943	-17.817
-32.858	4.7479	-18.145
-32.792	-3.6688	-31.137
-32.679	4.057	-31.506
