level_0	level_1	frames = 114 markers = 13 Hz = 30
-36.183	0.25318	-29.75124808623482
-36.15	7.3286	-22.581248086234822
-35.246	-6.1749	-22.07424808623482
-36.514	9.6266	-9.240848086234818
-36.54	-8.8116	-8.864248086234818
-36.765	11.394	1.1900519137651822
-37.541	-10.834	1.468751913765182
-37.161	4.8366	-0.38883708623481783
-37.179	-3.993	-0.3936370862348178
-38.027	5.0608	15.681751913765183
-38.22	-3.4924	15.661751913765183
-38.829	5.2571	30.241751913765178
-39.151	-3.0138	30.21475191376518
-36.182	0.25267	-29.75724808623482
-36.151	7.3275	-22.58824808623482
-35.248	-6.1761	-22.08024808623482
-36.517	9.6202	-9.246648086234817
-36.541	-8.8092	-8.869248086234817
-36.769	11.383	1.184951913765182
-37.541	-10.829	1.4643519137651821
-37.166	4.8476	-0.3995380862348178
-37.181	-3.982	-0.3940370862348178
-37.879	5.0577	15.678751913765183
-38.072	-3.5116	15.670751913765182
-38.828	5.2581	30.229751913765178
-39.15	-3.0143	30.212751913765178
-36.18	0.25177	-29.767248086234822
-36.153	7.3257	-22.59924808623482
-35.25	-6.178	-22.08924808623482
-36.522	9.61	-9.255848086234817
-36.542	-8.8057	-8.877248086234818
-36.777	11.367	1.176851913765182
-37.542	-10.821	1.457251913765182
-37.175	4.8652	-0.4163380862348178
-37.184	-3.9644	-0.3947370862348178
-37.886	5.0672	15.661751913765183
-38.073	-3.5034	15.670751913765182
-38.828	5.2599	30.21375191376518
-39.15	-3.0148	30.212751913765178
-36.179	0.25094	-29.77524808623482
-36.154	7.3241	-22.607248086234822
-35.251	-6.1797	-22.09624808623482
-36.527	9.6014	-9.263648086234818
-36.543	-8.8026	-8.883948086234817
-36.784	11.352	1.1698519137651822
-37.543	-10.815	1.451251913765182
-37.183	4.8801	-0.4306380862348178
-37.187	-3.9495	-0.3953380862348178
-37.888	5.0751	15.647751913765182
-38.075	-3.4965	15.669751913765182
-38.827	5.2614	30.19975191376518
-39.15	-3.0153	30.212751913765178
-36.176	0.24973	-29.78524808623482
