		frames = 100 markers = 13 Hz = 30
34.186	-8.5182	21.821
37.992	-8.7106	4.0977
41.045	2.8723	-24.533
38.017	1.0396	31.49
16.801	0.25817	-12.977
17.431	-10.973	-10.372
27.581	-0.23593	-22.668
40.448	-1.7438	7.0104
41.227	-0.86749	-24.234
41.195	-0.82585	-24.139
15.968	-6.8369	7.927
41.121	-6.099	24.719
40.53	3.8145	-9.6616
19.897	6.1924	-15.033
41.084	2.4824	-24.12
37.317	-6.56	23.936
21.371	5.7695	-14.012
27.923	-2.8422	26.533
35.86	0.17003	1.3992
32.328	-0.6111	-12.08
41.116	2.7407	-23.893
17.109	-2.065	-1.402
22.96	-18.526	-8.8888
20.47	-12.337	-0.97244
41.074	-1.1052	7.1197
39.935	9.3506	24.559
17.701	-10.136	-10.614
38.881	1.5157	31.65
19.708	-17.951	-16.257
17.683	5.9913	-15.993
27.933	-1.3243	-22.941
28.43	-15.568	4.05
29.175	-6.6138	-22.762
41.085	2.5021	-24.058
21.111	-20.154	-11.354
40.654	-1.3455	-9.6489
21.428	-20.276	-11.47
40.844	-1.189	-9.6966
39.039	9.1039	25.0
22.124	-14.625	11.943
19.627	2.6855	-1.0637
22.425	5.8074	-0.46074
33.744	10.636	4.2785
16.6	-5.6452	2.8198
39.913	9.3538	24.589
21.272	-16.912	-14.406
41.162	-0.88536	-9.5278
40.059	5.0633	7.0995
26.051	6.2219	9.3377
23.036	-5.6803	22.196
41.194	-0.83532	-24.14
15.821	4.4803	-15.939
40.61	-1.114	-23.827
41.086	-9.4107	10.793
40.192	-1.9717	7.0997
25.578	-4.3119	24.532
41.21	-0.8437	-24.15
23.789	-17.634	-4.0402
20.255	-6.8266	18.379
40.457	3.7695	-9.6109
28.285	-2.2399	-23.363
42.463	0.013032	7.0245
43.576	-7.855	12.66
17.353	5.8325	-16.037
21.169	-20.229	-11.321
16.73	0.27214	-13.054
15.82	4.2912	-15.932
33.57	-7.7384	-13.073
39.525	-0.99589	-9.3532
33.898	-7.503	-11.879
41.111	2.7658	-23.815
27.679	-0.32398	-22.723
16.9	0.19096	-12.823
28.095	-2.1875	-23.252
39.473	11.153	11.794
17.396	-0.58092	-11.838
15.773	4.9177	-16.103
16.596	-5.027	2.4491
42.046	-0.50975	7.1941
21.156	9.3377	-13.166
21.182	7.9899	-7.9888
41.079	2.4911	-24.099
16.943	-7.6197	12.654
16.581	-5.5626	2.3005
21.234	7.4904	-6.6356
38.836	4.8214	6.053
18.99	2.3677	-0.04914
21.178	-20.288	-11.501
20.243	-13.135	-0.30584
28.816	-7.0264	-22.31
41.46	-0.64407	-9.5382
27.815	-0.33312	-22.82
41.078	2.5499	-23.908
16.728	-5.3335	2.6706
17.021	-0.039048	-12.257
40.464	3.7718	-9.6477
20.165	3.233	-1.4038
33.098	0.20126	29.618
36.229	-6.4581	4.1625
17.215	-10.853	-11.275
27.753	-0.34213	-22.78
21.615	8.6687	-11.241
16.121	-7.2725	8.8442
32.591	-9.8424	20.932
18.191	-9.1709	-10.479
29.005	-6.8654	-22.521
41.093	2.5037	-24.061
39.974	9.3106	24.491
38.51	4.33	5.7952
21.622	-18.668	-10.41
44.171	-7.8915	12.253
40.379	-1.8499	7.0267
40.409	-1.8809	7.1006
40.337	-5.9664	24.875
22.331	-16.056	-13.492
30.915	-9.1354	3.435
41.298	-1.1847	6.4301
40.69	-6.0947	24.781
28.662	-7.9049	-22.019
16.061	-7.0453	8.4208
36.664	-6.9187	4.2914
36.06	-3.3956	-9.3405
30.0	-5.7793	-24.074
39.983	9.301	24.479
21.918	2.0689	9.4889
41.117	2.7912	-23.839
21.242	9.0432	-13.105
37.848	3.3105	5.178
24.837	7.8989	9.3762
23.023	7.0846	5.1334
27.878	-9.405	-9.963
43.877	-7.8221	12.624
21.255	8.3817	-8.8521
29.592	-5.4706	-24.067
44.037	-7.757	12.434
41.041	2.9207	-24.461
29.765	-5.5845	-24.233
28.624	-7.9641	-21.924
19.718	-17.958	-16.297
28.614	-7.952	-21.919
17.248	-10.992	-11.217
39.139	5.233	6.2301
40.711	-1.4627	7.065
36.086	8.9971	25.291
42.106	-8.7041	11.361
31.772	-0.9338	-14.568
19.811	-8.4923	-6.1515
29.584	6.7086	21.911
40.461	3.7647	-9.6058
41.414	-0.6107	-9.5291
16.641	-5.0774	2.541
19.514	-13.547	1.0506
33.316	-9.3169	21.298
30.066	-1.3878	27.76
17.217	-10.855	-11.272
27.648	-8.7156	3.1215
18.769	-9.3544	-9.4296
17.224	-7.5945	13.635
40.939	-6.0206	24.754
18.205	1.7683	3.8257
43.074	-7.8547	12.58
22.971	-7.8294	0.54526
