level_0	level_1	frames = 100 markers = 13 Hz = 30
-22.320110307692183	3.5266	36.132
-22.02911030769218	10.791	29.327
-21.75411030769218	-3.795	29.819
-17.75711030769218	14.029	15.828
-15.098110307692181	-10.069	18.553
-29.34311030769218	12.97	5.5193
-23.02511030769218	-8.0923	5.3455
-21.59811030769218	5.8947	7.6521
-21.96511030769218	-1.0007	7.6573
-21.429110307692177	6.6736	-9.6582
-21.265110307692183	-1.3533	-9.6552
-21.268110307692183	7.3285	-24.431
-20.679110307692177	-1.6284	-24.435
-22.320110307692183	3.5195	36.134
-22.030110307692183	10.79	29.33
-21.753110307692182	-3.7936	29.814
-17.70911030769218	14.125	15.87
-14.700110307692178	-9.3555	18.416
-29.26011030769218	12.976	5.5321
-23.21411030769218	-8.4498	5.462
-21.600110307692177	5.8835	7.648
-21.95911030769218	-1.0123	7.6655
-21.581110307692178	6.6879	-9.6618
-21.41511030769218	-1.3879	-9.6519
-21.265110307692183	7.3302	-24.433
-20.679110307692177	-1.6343	-24.425
-22.329110307692183	3.5066	36.14
-22.03211030769218	10.784	29.341
-21.74811030769218	-3.7984	29.809
-17.637110307692183	14.214	15.929
-14.69611030769218	-9.4245	18.442
-29.12311030769218	13.064	5.518
-23.081110307692178	-8.4789	5.4075
-21.600110307692177	5.8733	7.6453
-21.947110307692178	-1.0232	7.6789
-21.58411030769218	6.6823	-9.6643
-21.408110307692183	-1.3926	-9.6388
-21.26911030769218	7.3288	-24.435
-20.676110307692177	-1.6334	-24.412
-22.328110307692178	3.504	36.139
-22.03411030769218	10.783	29.343
-21.75111030769218	-3.7993	29.805
-17.557110307692177	14.315	15.985
-14.683110307692182	-9.5204	18.495
-28.99111030769218	13.115	5.5238
-22.89811030769218	-8.4772	5.3602
-21.59911030769218	5.8644	7.6393
-21.936110307692182	-1.0325	7.6837
-21.576110307692183	6.6915	-9.6695
-21.40611030769218	-1.3944	-9.6344
-21.252110307692178	7.3532	-24.439
-20.677110307692182	-1.6279	-24.408
-22.34011030769218	3.4895	36.141
-22.03411030769218	10.776	29.353
-21.741110307692182	-3.8045	29.791
-17.500110307692182	14.416	16.043
-14.707110307692183	-9.6653	18.532
-28.87511030769218	13.152	5.5247
-22.756110307692182	-8.5207	5.3032
-21.597110307692184	5.8616	7.6325
-21.92411030769218	-1.0357	7.6918
-21.573110307692183	6.6886	-9.6762
-21.399110307692183	-1.3959	-9.6265
-21.25111030769218	7.3508	-24.446
-20.676110307692177	-1.6281	-24.401
-22.71711030769218	3.2087	36.151
-21.85811030769218	10.529	29.442
-21.66011030769218	-3.974	29.766
-17.45811030769218	14.374	16.145
-14.578110307692178	-9.7864	18.511
-28.74411030769218	13.205	5.5203
-22.40911030769218	-8.3362	5.1811
-21.594110307692183	5.8548	7.6302
-21.899110307692183	-1.0433	7.7068
-21.57711030769218	6.6769	-9.6788
-21.377110307692178	-1.4537	-9.6104
-21.262110307692183	7.3353	-24.449
-20.661110307692176	-1.7281	-24.384
-22.65711030769218	3.1169	36.144
-21.85811030769218	10.467	29.439
-21.68411030769218	-4.0364	29.727
-17.383110307692178	14.409	16.196
-14.484110307692177	-9.9097	18.579
-28.62411030769218	13.216	5.5255
-22.03511030769218	-8.3319	5.1018
-21.59911030769218	5.8734	7.6279
-21.90011030769218	-1.0251	7.6932
-21.582110307692183	6.6843	-9.6816
-21.37911030769218	-1.443	-9.624
-21.26311030769218	7.3325	-24.452
-20.661110307692176	-1.7234	-24.397
-22.66211030769218	3.1066	36.136
-21.84511030769218	10.455	29.437
-21.67111030769218	-4.0477	29.716
-17.329110307692183	14.436	16.219
-14.514110307692178	-10.007	18.587
-28.56411030769218	13.205	5.547
-22.014110307692178	-8.3428	5.0912
-21.59911030769218	5.8916	7.6205
-21.90411030769218	-1.0067	7.6808
-21.58011030769218	6.6874	-9.6897
-21.37911030769218	-1.4338	-9.636
-21.26011030769218	7.3221	-24.461
-20.66011030769218	-1.7229	-24.409
-22.670110307692177	3.0863	36.135
-21.84011030769218	10.446	29.445
-21.64711030769218	-4.0537	29.707
-17.305110307692182	14.468	16.245
-14.509110307692183	-10.035	18.576
-28.53511030769218	13.205	5.5708
-22.005110307692178	-8.3529	5.0808
-21.600110307692177	5.8984	7.6139
-21.893110307692183	-1.0004	7.6838
-21.58011030769218	6.7045	-9.6959
-21.374110307692177	-1.4312	-9.6331
-21.258110307692178	7.3482	-24.467
-20.65911030769218	-1.7231	-24.406
-22.670110307692177	3.0723	36.133
-21.819110307692178	10.443	29.465
-21.64111030769218	-4.0605	29.696
-17.27211030769218	14.47	16.272
-14.505110307692178	-10.019	18.553
-28.49411030769218	13.189	5.5911
-22.02811030769218	-8.342	5.0732
