level_0	level_1	frames = 100 markers = 13 Hz = 30
37.809	3.5266	36.132
38.1	10.791	29.327
38.375	-3.795	29.819
42.372	14.029	15.828
45.031	-10.069	18.553
30.786	12.97	5.5193
37.104	-8.0923	5.3455
38.531	5.8947	7.6521
38.164	-1.0007	7.6573
38.7	6.6736	-9.6582
38.864	-1.3533	-9.6552
38.861	7.3285	-24.431
39.45	-1.6284	-24.435
37.809	3.5195	36.134
38.099	10.79	29.33
38.376	-3.7936	29.814
42.42	14.125	15.87
45.429	-9.3555	18.416
30.869	12.976	5.5321
36.915	-8.4498	5.462
38.529	5.8835	7.648
38.17	-1.0123	7.6655
38.548	6.6879	-9.6618
38.714	-1.3879	-9.6519
38.864	7.3302	-24.433
39.45	-1.6343	-24.425
37.8	3.5066	36.14
38.097	10.784	29.341
38.381	-3.7984	29.809
42.492	14.214	15.929
45.433	-9.4245	18.442
31.006	13.064	5.518
37.048	-8.4789	5.4075
38.529	5.8733	7.6453
38.182	-1.0232	7.6789
38.545	6.6823	-9.6643
38.721	-1.3926	-9.6388
38.86	7.3288	-24.435
39.453	-1.6334	-24.412
37.801	3.504	36.139
38.095	10.783	29.343
38.378	-3.7993	29.805
42.572	14.315	15.985
45.446	-9.5204	18.495
31.138	13.115	5.5238
37.231	-8.4772	5.3602
38.53	5.8644	7.6393
38.193	-1.0325	7.6837
38.553	6.6915	-9.6695
38.723	-1.3944	-9.6344
38.877	7.3532	-24.439
39.452	-1.6279	-24.408
37.789	3.4895	36.141
38.095	10.776	29.353
38.388	-3.8045	29.791
42.629	14.416	16.043
45.422	-9.6653	18.532
31.254	13.152	5.5247
37.373	-8.5207	5.3032
38.532	5.8616	7.6325
38.205	-1.0357	7.6918
38.556	6.6886	-9.6762
38.73	-1.3959	-9.6265
38.878	7.3508	-24.446
39.453	-1.6281	-24.401
37.412	3.2087	36.151
38.271	10.529	29.442
38.469	-3.974	29.766
42.671	14.374	16.145
45.551	-9.7864	18.511
31.385	13.205	5.5203
37.72	-8.3362	5.1811
38.535	5.8548	7.6302
38.23	-1.0433	7.7068
38.552	6.6769	-9.6788
38.752	-1.4537	-9.6104
38.867	7.3353	-24.449
39.468	-1.7281	-24.384
37.472	3.1169	36.144
38.271	10.467	29.439
38.445	-4.0364	29.727
42.746	14.409	16.196
45.645	-9.9097	18.579
31.505	13.216	5.5255
38.094	-8.3319	5.1018
38.53	5.8734	7.6279
38.229	-1.0251	7.6932
38.547	6.6843	-9.6816
38.75	-1.443	-9.624
38.866	7.3325	-24.452
39.468	-1.7234	-24.397
37.467	3.1066	36.136
38.284	10.455	29.437
38.458	-4.0477	29.716
42.8	14.436	16.219
45.615	-10.007	18.587
31.565	13.205	5.547
38.115	-8.3428	5.0912
38.53	5.8916	7.6205
38.225	-1.0067	7.6808
38.549	6.6874	-9.6897
38.75	-1.4338	-9.636
38.869	7.3221	-24.461
39.469	-1.7229	-24.409
37.459	3.0863	36.135
38.289	10.446	29.445
38.482	-4.0537	29.707
42.824	14.468	16.245
