level_0	level_1	frames = 134 markers = 13 Hz = 30
31.439	5.6502	-35.68558790126289
31.875	-1.6109	-27.891587901262902
32.616	13.164	-27.5995879012629
30.483	-4.2722	-14.291587901262897
33.138	16.869	-14.194587901262897
29.55	-6.0026	-5.249187901262897
30.928	17.6	-5.249587901262897
32.646	1.1098	-7.656187901262897
32.766	9.4352	-7.661087901262897
32.531	1.1586	10.228412098737103
33.027	9.304	10.223412098737102
32.441	1.2127	26.0284120987371
33.238	9.163	26.0284120987371
31.42	5.6152	-35.690587901262894
31.881	-1.6117	-27.900587901262902
32.596	13.165	-27.6035879012629
30.515	-4.3076	-14.304587901262897
33.05	16.86	-14.194587901262897
29.555	-5.9891	-5.255487901262898
30.862	17.615	-5.245187901262898
32.645	1.1025	-7.663487901262897
32.744	9.4281	-7.6682879012628975
32.368	1.1133	10.219412098737102
32.858	9.3484	10.217412098737103
32.442	1.2001	26.0194120987371
33.245	9.1706	26.0194120987371
31.416	5.5995	-35.690587901262894
31.898	-1.6234	-27.9045879012629
32.581	13.156	-27.6015879012629
30.538	-4.3294	-14.310587901262897
32.998	16.843	-14.188587901262897
29.548	-5.9634	-5.255787901262898
30.774	17.567	-5.245787901262897
32.634	1.0989	-7.666787901262897
32.719	9.4246	-7.661387901262898
32.363	1.1105	10.216412098737102
32.844	9.3431	10.224412098737103
32.443	1.1986	26.015412098737098
33.24	9.1638	26.026412098737097
31.405	5.591	-35.6895879012629
31.916	-1.625	-27.906587901262903
32.567	13.157	-27.6045879012629
30.571	-4.3655	-14.318587901262898
32.973	16.859	-14.195587901262897
29.528	-5.9249	-5.256487901262897
30.704	17.54	-5.260687901262897
32.627	1.0924	-7.664987901262897
32.691	9.4184	-7.659587901262897
32.362	1.1091	10.217412098737103
32.832	9.3434	10.226412098737102
32.444	1.2012	26.0174120987371
33.24	9.171	26.0274120987371
31.39	5.577	-35.684587901262894
31.936	-1.6347	-27.9025879012629
32.541	13.149	-27.5975879012629
30.619	-4.4171	-14.319587901262897
32.939	16.907	-14.203587901262898
29.495	-5.8552	-5.247587901262897
30.647	17.579	-5.274187901262898
32.628	1.0923	-7.657887901262898
32.66	9.4184	-7.657587901262898
32.36	1.1088	10.225412098737102
32.821	9.3451	10.227412098737103
32.439	1.2017	26.0244120987371
33.247	9.1749	26.0284120987371
31.198	5.8	-35.656587901262895
32.06	-1.4491	-27.900587901262902
32.539	13.291	-27.5115879012629
30.742	-4.4271	-14.359587901262897
32.971	17.025	-14.111587901262897
29.481	-5.7973	-5.2947879012628976
30.538	17.522	-5.207987901262897
32.627	1.0861	-7.657387901262897
32.632	9.4122	-7.636487901262897
32.36	1.0996	10.225412098737102
32.804	9.3389	10.248412098737102
32.442	1.1912	26.0254120987371
33.239	9.1694	26.0494120987371
31.122	5.7892	-35.62458790126289
32.099	-1.4245	-27.8985879012629
32.509	13.319	-27.4825879012629
30.83	-4.5236	-14.379587901262898
32.96	17.06	-14.084587901262898
29.451	-5.7361	-5.309487901262897
30.448	17.506	-5.200787901262897
32.631	1.0473	-7.655187901262898
32.715	9.3728	-7.600887901262897
32.36	1.0888	10.227412098737103
32.84	9.3222	10.284412098737102
32.435	1.2005	26.0274120987371
33.236	9.1685	26.0864120987371
31.045	5.7526	-35.604587901262896
32.177	-1.3774	-27.9085879012629
32.512	13.363	-27.4545879012629
30.983	-4.6272	-14.418587901262898
32.935	17.118	-14.060587901262897
29.482	-5.7058	-5.350487901262897
30.35	17.488	-5.193487901262897
32.63	1.0411	-7.651787901262898
32.672	9.367	-7.598987901262897
32.356	1.0843	10.231412098737103
32.824	9.3189	10.286412098737102
32.431	1.199	26.0304120987371
33.237	9.1699	26.0884120987371
30.913	5.7819	-35.56658790126289
32.264	-1.3119	-27.9125879012629
32.505	13.425	-27.4215879012629
31.093	-4.6927	-14.452587901262897
32.915	17.187	-14.029587901262897
29.448	-5.6523	-5.396287901262897
30.253	17.477	-5.182687901262898
32.621	1.0401	-7.630387901262897
32.632	9.3661	-7.598487901262898
32.351	1.0822	10.252412098737103
32.802	9.3171	10.286412098737102
32.432	1.1966	26.0524120987371
33.234	9.1669	26.0874120987371
30.778	5.7199	-35.525587901262895
32.345	-1.2593	-27.9245879012629
32.486	13.473	-27.3965879012629
31.201	-4.7427	-14.488587901262898
32.866	17.233	-14.002587901262897
29.433	-5.6084	-5.446387901262898
30.146	17.456	-5.171787901262897
32.627	1.0366	-7.6320879012628975
32.603	9.3625	-7.594987901262898
32.365	1.0917	10.250412098737103
32.782	9.3106	10.290412098737102
32.453	1.217	26.050412098737098
33.226	9.1569	26.0914120987371
30.662	5.9204	-35.544587901262894
32.436	-1.1053	-27.981587901262902
32.451	13.613	-27.403587901262902
31.317	-4.737	-14.582587901262897
