level_0	level_1	frames = 210 markers = 13 Hz = 30
-31.849	-0.98822	31.404
-32.641	-8.4607	23.57
-33.231	6.2437	23.392
-30.613	-10.682	9.2385
-32.968	9.6257	9.1582
-29.435	-11.94	0.90359
-31.063	9.7628	0.87479
-33.292	-5.084	3.5882
-33.413	3.2349	3.5935
-33.95	-5.0491	-14.362
-34.05	3.4844	-14.357
-34.534	-5.0062	-29.957
-34.588	3.6754	-29.96
-31.844	-0.97027	31.406
-32.604	-8.4427	23.576
-33.231	6.2613	23.387
-30.581	-10.663	9.2435
-33.032	9.6647	9.1577
-29.405	-11.92	0.90809
-31.075	9.7554	0.88589
-33.284	-5.0814	3.59
-33.416	3.2374	3.5935
-33.783	-5.0992	-14.365
-33.889	3.5194	-14.362
-34.525	-5.0041	-29.953
-34.583	3.6663	-29.958
-31.853	-0.95703	31.406
-32.555	-8.4282	23.583
-33.233	6.275	23.384
-30.556	-10.644	9.2466
-33.064	9.6764	9.1538
-29.395	-11.898	0.90879
-31.082	9.7395	0.88789
-33.278	-5.084	3.5919
-33.427	3.2345	3.5935
-33.776	-5.0924	-14.363
-33.896	3.522	-14.362
-34.518	-4.99	-29.951
-34.589	3.6722	-29.959
-31.851	-0.94213	31.403
-32.509	-8.4041	23.585
-33.233	6.2965	23.372
-30.549	-10.625	9.2439
-33.112	9.708	9.1431
-29.41	-11.883	0.90349
-31.082	9.7242	0.88829
-33.279	-5.0895	3.5884
-33.44	3.2287	3.5934
-33.781	-5.0963	-14.367
-33.903	3.518	-14.362
-34.522	-4.9947	-29.955
-34.588	3.6703	-29.959
-31.835	-0.93841	31.401
-32.465	-8.3843	23.588
-33.22	6.3101	23.346
-30.552	-10.605	9.2406
-33.165	9.7465	9.1229
-29.442	-11.863	0.89639
-31.077	9.7099	0.88279
-33.278	-5.0932	3.5866
-33.45	3.2248	3.5951
-33.781	-5.1029	-14.368
-33.91	3.5184	-14.36
-34.526	-5.0035	-29.956
-34.596	3.6732	-29.957
-31.726	-0.904	31.39
-32.467	-8.3335	23.559
-33.246	6.3129	23.297
-30.581	-10.578	9.2117
-33.334	9.9432	9.1228
-29.486	-11.849	0.86749
-31.186	9.9125	0.89809
-33.284	-5.0944	3.5849
-33.454	3.2237	3.5968
-33.789	-5.1008	-14.37
-33.912	3.5174	-14.358
-34.532	-5.0004	-29.958
-34.595	3.672	-29.956
-31.718	-0.88223	31.39
-32.449	-8.3058	23.561
-33.215	6.3389	23.287
-30.612	-10.552	9.2078
-33.343	9.9557	9.1097
-29.546	-11.823	0.85989
-31.166	9.8926	0.89269
-33.292	-5.0957	3.5851
-33.448	3.2226	3.6003
-33.802	-5.1094	-14.37
-33.909	3.521	-14.355
-34.55	-5.0158	-29.958
-34.595	3.6793	-29.952
-31.705	-0.86533	31.393
-32.445	-8.2811	23.568
-33.176	6.363	23.283
-30.66	-10.536	9.2097
-33.306	9.9493	9.0979
-29.624	-11.813	0.85879
-31.126	9.8853	0.88189
-33.307	-5.0784	3.5836
-33.44	3.2402	3.6144
-33.813	-5.1028	-14.371
-33.906	3.5292	-14.341
-34.558	-5.019	-29.959
-34.594	3.6797	-29.938
-31.729	-0.78761	31.426
-32.479	-8.1976	23.617
-33.145	6.4527	23.307
-30.725	-10.499	9.2624
-33.216	9.9971	9.1106
-29.708	-11.803	0.91339
-31.051	9.9214	0.89099
-33.328	-5.1205	3.5846
-33.336	3.1989	3.6569
-33.83	-5.1355	-14.37
-33.855	3.5138	-14.296
-34.573	-5.0396	-29.959
-34.593	3.689	-29.891
-31.693	-0.76537	31.419
-32.479	-8.1701	23.631
-33.055	6.4901	23.3
-30.779	-10.489	9.2721
-33.109	10.104	9.1212
-29.792	-11.804	0.92109
-30.863	10.008	0.92359
-33.353	-5.0983	3.5972
-33.31	3.2212	3.6442
-33.845	-5.1454	-14.358
-33.842	3.5214	-14.309
-34.581	-5.076	-29.947
-34.59	3.6842	-29.903
-31.635	-0.70196	31.39
-32.483	-8.1056	23.64
-32.904	6.5701	23.272
-30.837	-10.461	9.2807
-32.938	10.305	9.1242
-29.883	-11.796	0.92919
-30.507	10.113	0.98139
-33.472	-5.1326	3.6081
-33.384	3.1866	3.6064
-33.912	-5.1711	-14.348
-33.88	3.5069	-14.347
-34.595	-5.0965	-29.94
-34.595	3.6886	-29.943
-31.554	-0.67763	31.361
-32.447	-8.0847	23.701
-32.706	6.6132	23.228
-30.879	-10.457	9.3364
-32.705	10.532	9.131
-29.971	-11.803	0.98159
-29.986	10.255	1.0824
-33.519	-5.0526	3.6128
-33.487	3.267	3.6016
-33.931	-5.1296	-14.344
-33.927	3.5489	-14.354
-34.594	-5.0906	-29.937
-34.595	3.6935	-29.952
-31.496	-0.59569	31.345
-32.45	-7.9825	23.749
-32.529	6.7285	23.198
-30.937	-10.426	9.3908
-32.169	10.722	9.1259
-30.059	-11.814	1.0394
-29.145	10.398	1.1888
-33.578	-5.0304	3.6145
-33.513	3.2889	3.6053
-33.949	-5.092	-14.344
-33.944	3.5583	-14.351
-34.577	-5.0398	-29.937
-34.597	3.6937	-29.95
-31.495	-0.58604	31.346
-32.507	-7.9429	23.834
-32.325	6.7998	23.213
-31.016	-10.421	9.479
-31.634	10.948	9.1981
-30.151	-11.829	1.1297
-28.247	10.56	1.4122
-33.64	-5.0103	3.6235
