level_0	level_1	frames = 110 markers = 13 Hz = 30
27.03273314685313	3.5104	29.73
26.34073314685313	-4.1128	21.822
25.82273314685313	10.964	21.838
28.23673314685313	-6.0048	8.0715
26.560733146853128	13.715	8.132
29.82373314685313	-6.1544	-0.84257
28.217733146853128	14.147	-0.74887
25.278733146853128	-0.552	1.7508
25.61073314685313	7.8667	1.7558
24.83173314685313	-0.37912	-16.004
25.162733146853128	8.3796	-15.994
24.42273314685313	-0.21398	-31.725
24.778733146853128	8.8058	-31.717
27.03073314685313	3.5575	29.729
26.34973314685313	-4.0608	21.833
25.848733146853128	11.017	21.826
28.32873314685313	-5.7589	8.0691
26.568733146853127	13.773	8.1205
29.839733146853128	-6.1552	-0.85057
28.240733146853128	14.16	-0.75957
25.275733146853128	-0.55854	1.7493
25.600733146853127	7.8605	1.7646
24.98373314685313	-0.45623	-16.01
25.319733146853128	8.4065	-15.988
24.409733146853128	-0.27779	-31.725
24.775733146853128	8.8268	-31.706
27.007733146853127	3.6504	29.72
26.36973314685313	-4.0483	21.892
25.87873314685313	11.043	21.81
28.35473314685313	-5.7014	8.1235
26.574733146853127	13.831	8.1099
29.84673314685313	-6.139	-0.79747
28.29773314685313	14.173	-0.76257
25.27773314685313	-0.56478	1.7461
25.57973314685313	7.8551	1.7751
24.970733146853128	-0.47059	-16.013
25.30673314685313	8.4099	-15.977
24.38673314685313	-0.30074	-31.727
24.769733146853127	8.8377	-31.695
26.836733146853128	4.0976	29.7
26.43373314685313	-3.6945	21.956
25.86373314685313	11.416	21.752
28.406733146853128	-5.5286	8.208
26.536733146853127	14.042	8.0188
29.865733146853128	-6.1424	-0.70787
28.36073314685313	14.188	-0.83847
25.272733146853128	-0.61806	1.7452
25.45773314685313	7.8052	1.7832
24.95373314685313	-0.53129	-16.013
25.24273314685313	8.3877	-15.969
24.356733146853127	-0.37183	-31.728
24.76173314685313	8.837	-31.688
26.80373314685313	4.3871	29.698
26.48973314685313	-3.4951	22.066
25.903733146853128	11.62	21.705
28.43173314685313	-5.4485	8.3302
26.50673314685313	14.229	7.9653
29.87373314685313	-6.1355	-0.58317
28.423733146853127	14.241	-0.87347
25.27373314685313	-0.62413	1.7637
25.43173314685313	7.7995	1.8261
24.98373314685313	-0.41259	-15.994
25.240733146853128	8.3784	-15.926
24.41073314685313	-0.14405	-31.707
24.775733146853128	8.8232	-31.646
26.752733146853128	4.7194	29.68
26.565733146853127	-3.2268	22.187
25.91973314685313	11.886	21.621
28.449733146853127	-5.4121	8.4779
26.45673314685313	14.463	7.8724
29.891733146853127	-6.1365	-0.43247
28.48873314685313	14.331	-0.93957
25.28273314685313	-0.61756	1.7873
25.412733146853128	7.8065	1.8531
24.967733146853128	-0.46581	-15.971
25.24273314685313	8.3804	-15.9
24.37373314685313	-0.25151	-31.684
24.79473314685313	8.8202	-31.621
26.705733146853127	5.1438	29.625
26.696733146853127	-2.9252	22.342
25.93973314685313	12.181	21.475
28.46973314685313	-5.4387	8.6749
26.39373314685313	14.71	7.7139
29.911733146853127	-6.1558	-0.23617
28.53573314685313	14.438	-1.0686
25.27673314685313	-0.59316	1.8102
25.39873314685313	7.8312	1.8445
24.95973314685313	-0.47389	-15.948
25.24873314685313	8.4167	-15.908
24.36173314685313	-0.28952	-31.662
24.824733146853127	8.8668	-31.629
26.65773314685313	5.6257	29.548
26.81773314685313	-2.5394	22.495
25.897733146853128	12.544	21.278
28.47173314685313	-5.455	8.8931
26.32973314685313	14.972	7.499
29.940733146853127	-6.1475	-0.015572
28.600733146853127	14.51	-1.2433
25.27673314685313	-0.60174	1.828
25.52373314685313	7.8198	1.7852
24.955733146853127	-0.49832	-15.93
25.32573314685313	8.4065	-15.967
24.35273314685313	-0.32372	-31.644
24.853733146853127	8.8614	-31.687
26.66073314685313	6.081	29.44
26.91073314685313	-2.1735	22.664
25.93973314685313	12.882	21.039
28.473733146853128	-5.4858	9.1421
26.27773314685313	15.173	7.2341
29.97173314685313	-6.1308	0.23463
28.632733146853127	14.56	-1.4765
25.286733146853127	-0.53833	1.8542
25.56173314685313	7.8809	1.6982
24.958733146853127	-0.47038	-15.904
25.34173314685313	8.4353	-16.055
24.351733146853128	-0.32834	-31.618
24.851733146853128	8.8618	-31.775
26.67173314685313	6.6214	29.344
27.028733146853128	-1.7265	22.799
25.91673314685313	13.264	20.765
28.522733146853128	-5.4721	9.3829
26.127733146853128	15.44	6.9389
30.04773314685313	-6.1315	0.48083
28.624733146853128	14.617	-1.7148
25.29073314685313	-0.44282	1.8856
25.61073314685313	7.9721	1.6244
24.95373314685313	-0.45465	-15.873
25.35873314685313	8.4872	-16.129
24.339733146853128	-0.3832	-31.587
24.84073314685313	8.8798	-31.849
26.821733146853127	7.2954	29.189
27.16573314685313	-1.1107	22.95
25.96373314685313	13.826	20.501
28.59073314685313	-5.3864	9.6852
26.162733146853128	15.625	6.6199
30.12673314685313	-6.1986	0.79773
28.55673314685313	14.713	-2.0542
