		frames = 132 markers = 13 Hz = 30
-31.776	-9.5572	1.1393
-38.059	6.2172	-28.168
-40.888	-2.7009	4.5262
-43.375	3.2642	3.535
-31.845	-13.887	11.042
-38.08	6.2901	-28.066
-36.588	2.9242	11.269
-36.377	5.7243	-27.461
-38.12	6.1831	-27.794
-40.063	-6.9756	16.867
-22.854	-13.148	-14.888
-37.257	16.294	-28.178
-36.074	19.42	24.452
-37.554	16.163	-27.669
-36.503	6.543	24.21
-35.717	20.463	24.361
-21.448	0.87149	15.975
-21.971	-12.703	13.747
-41.403	5.6077	12.557
-28.262	11.22	30.546
-32.219	-0.066735	-6.4954
-34.291	12.485	31.888
-16.433	-8.7644	24.123
-37.687	-12.598	-10.38
-22.8	-13.273	-14.931
-31.212	22.471	23.65
-32.912	13.963	31.729
-30.284	-3.8101	1.2884
-36.069	-3.3741	-4.2252
-27.181	4.8745	1.9353
-26.068	-18.695	-3.7659
-36.42	7.6618	24.397
-42.345	-1.3101	9.5866
-26.842	-8.8812	-28.609
-30.832	-15.897	10.454
-35.748	15.529	2.4143
-36.465	7.5171	24.41
-38.385	-13.026	-10.851
-37.622	16.148	-28.161
-38.452	-13.369	-10.872
-33.704	3.8199	22.507
-35.501	5.3603	-27.381
-35.394	8.2817	23.726
-36.359	2.7663	11.219
-37.418	10.144	2.8281
-38.079	6.2726	-28.168
-37.301	-3.6785	-6.8523
-36.569	15.85	-13.654
-37.573	0.27082	1.6026
-42.637	1.3801	3.946
-37.512	16.103	-27.721
-37.648	16.043	-28.132
-38.165	-0.032255	8.8062
-24.889	1.9562	-15.656
-33.072	-13.901	2.5341
-31.835	-0.41672	-28.338
-34.018	7.9145	-25.813
-37.514	16.114	-27.69
-37.829	5.7683	-27.568
-29.703	14.432	30.763
-24.793	2.1009	-15.716
-24.764	1.9556	-15.726
-35.824	-12.205	-7.9541
-22.996	20.549	1.8961
-34.895	25.314	11.181
-31.829	-0.39894	-28.346
-22.4	-13.077	-15.044
-36.572	15.849	-13.654
-26.227	-18.466	-2.4311
-25.636	1.0667	-15.261
-38.116	6.2944	-28.118
-36.241	17.28	-13.293
-35.611	16.621	2.63
-31.662	14.095	1.8212
-36.715	3.1243	11.247
-26.197	-5.114	-25.814
-39.677	2.2865	2.4633
-36.817	0.3189	8.5955
-29.653	5.0459	11.624
-30.104	22.047	23.46
-35.548	16.332	2.4797
-29.333	14.298	30.897
-16.159	-8.1263	19.712
-36.291	8.3692	24.195
-33.027	23.036	2.093
-33.407	-5.7128	15.947
-22.827	-13.191	-14.9
-36.14	2.5971	11.178
-26.854	-8.8003	-28.851
-32.808	11.802	-13.408
-34.828	23.24	1.2384
-29.666	14.42	30.836
-24.751	2.1858	-15.747
-25.291	1.39	-15.334
-37.507	16.112	-27.749
-26.703	-8.9262	-28.26
-39.733	-4.5734	-10.901
-31.781	-0.36387	-28.223
-35.754	9.1749	23.661
-33.498	-19.048	-2.3503
-36.073	19.447	24.46
-38.068	6.2677	-28.172
-34.39	12.529	31.911
-32.682	-12.197	11.013
-34.902	6.536	-12.796
-27.695	-17.23	2.588
-36.489	16.213	-13.586
-31.546	14.431	31.21
-36.256	17.142	-13.293
-28.305	-16.154	-6.3715
-26.769	-9.2875	-28.292
-33.403	-0.75335	-8.4577
-38.047	0.52692	1.664
-41.882	1.5172	-3.6271
-35.512	-19.24	-2.4135
-35.94	5.6939	24.254
-25.648	1.0943	-15.1
-20.572	-5.1797	28.489
-35.37	20.767	24.342
-30.698	-7.1838	1.8934
-32.706	-0.3147	-7.1841
-39.971	-5.027	-10.834
-36.28	7.5644	-13.017
-28.207	-4.8923	-14.899
-36.214	17.35	-13.299
-37.096	7.0082	-13.662
-35.839	9.566	23.823
-35.942	5.6955	24.253
-30.764	2.4171	2.81
-43.563	3.9075	3.4089
-40.704	3.2451	2.7202
