level_0	level_1	frames = 100 markers = 13 Hz = 30
-32.648	0.91436	28.784
-35.184	-5.1263	21.708
-33.977	7.5762	21.583
-33.408	-6.4651	8.8516
-32.817	9.6646	8.7666
-32.25	-7.2958	0.54096
-32.078	10.981	0.48066
-35.524	-1.6338	1.5561
-35.478	5.8425	1.5606
-35.475	-1.5702	-14.99
-36.114	5.8537	-14.976
-36.951	-1.3777	-28.686
-36.628	5.8432	-28.749
-32.685	0.88285	28.799
-35.179	-5.1747	21.748
-34.048	7.5149	21.44
-33.389	-6.5242	8.8946
-32.739	9.6619	8.6479
-32.223	-7.3619	0.58586
-31.901	11.015	0.37756
-35.49	-1.7056	1.5696
-35.391	5.7701	1.5526
-35.24	-1.6168	-14.975
-35.948	5.8885	-14.986
-36.934	-1.3627	-28.644
-36.635	5.8469	-28.752
-32.726	0.84253	28.804
-35.14	-5.2452	21.761
-33.954	7.4298	21.417
-33.349	-6.6057	8.9093
-32.673	9.7738	8.6564
-32.182	-7.4504	0.60136
-31.851	11.253	0.40616
-35.453	-1.7965	1.5743
-35.362	5.6794	1.5407
-35.215	-1.6681	-14.97
-35.938	5.8513	-14.997
-36.939	-1.38	-28.634
-36.64	5.8543	-28.762
-32.709	0.65228	28.798
-35.09	-5.376	21.763
-33.884	7.2993	21.435
-33.307	-6.7181	8.9082
-32.577	9.8857	8.7243
-32.146	-7.551	0.59836
-31.737	11.52	0.50556
-35.417	-1.9111	1.5864
-35.334	5.5647	1.5378
-35.172	-1.7288	-14.957
-35.926	5.7966	-14.998
-36.931	-1.3912	-28.616
-36.642	5.8495	-28.763
-32.722	0.4896	28.807
-35.066	-5.592	21.778
-33.798	7.083	21.467
-33.261	-6.8847	8.9211
-32.401	9.9696	8.83
-32.084	-7.6858	0.61026
-31.491	11.789	0.65796
-35.37	-2.0535	1.6189
-35.284	5.422	1.5308
-35.095	-1.8035	-14.923
-35.909	5.7358	-15.003
-36.91	-1.3969	-28.573
-36.65	5.8584	-28.765
-32.677	0.25044	28.823
-35.04	-5.8339	21.757
-33.719	6.8389	21.54
-33.227	-7.0831	8.8972
-32.097	10.049	9.0082
-32.042	-7.8517	0.58436
-31.005	12.048	0.90106
-35.307	-2.2382	1.6569
-35.259	5.2371	1.5329
-34.973	-1.8918	-14.882
-35.895	5.6484	-14.998
-36.887	-1.3964	-28.516
-36.648	5.8506	-28.759
-32.74	0.057308	28.816
-35.049	-6.1227	21.718
-33.671	6.5562	21.626
-33.196	-7.3071	8.8576
-31.681	10.162	9.2565
-31.978	-8.0245	0.54506
-30.243	12.34	1.2499
-35.257	-2.412	1.6669
-35.258	5.063	1.5213
-34.808	-1.9823	-14.868
-35.896	5.5636	-15.007
-36.865	-1.4039	-28.477
-36.646	5.8411	-28.767
-32.676	-0.0042515	28.841
-35.095	-6.3168	21.665
-33.625	6.3712	21.733
-33.192	-7.5223	8.8143
-31.141	10.412	9.5892
-31.919	-8.2259	0.50876
-29.133	12.699	1.7379
-35.18	-2.5801	1.6575
-35.191	4.896	1.581
-34.577	-2.0904	-14.87
-35.868	5.4929	-14.943
-36.841	-1.4274	-28.443
-36.654	5.849	-28.698
-32.686	-0.22636	28.817
-35.053	-6.7074	21.514
-33.72	6.007	21.922
-33.153	-7.8402	8.656
-30.61	10.735	10.177
-31.841	-8.4451	0.34906
-27.713	13.165	2.6536
-35.106	-2.7586	1.6428
-35.119	4.7177	1.5959
-34.302	-2.2096	-14.875
-35.845	5.4174	-14.922
-36.814	-1.4498	-28.398
-36.674	5.8588	-28.672
-32.692	-0.51991	28.738
-35.035	-7.1589	21.357
-33.693	5.5634	22.132
-33.153	-8.2177	8.4896
-30.077	11.043	10.869
-31.785	-8.6924	0.18296
-26.064	13.524	3.8939
-35.024	-2.9262	1.5909
-35.122	4.5497	1.5886
-33.988	-2.293	-14.91
-35.843	5.3497	-14.924
-36.785	-1.4461	-28.373
-36.665	5.874	-28.673
-32.759	-0.77559	28.662
-35.126	-7.6049	21.309
-33.817	5.1452	22.203
-33.213	-8.6083	8.4416
-29.642	11.476	11.599
-31.746	-8.9513	0.14546
-24.403	14.033	5.5212
-34.914	-3.1294	1.5266
-35.011	4.3462	1.598
-33.649	-2.4278	-14.956
-35.791	5.2689	-14.906
-36.75	-1.463	-28.343
-36.664	5.8966	-28.647
-32.772	-1.0626	28.544
-35.056	-8.0579	21.049
-33.914	4.6705	22.252
-33.169	-9.0035	8.1741
