level_0	level_1	frames = 94 markers = 13 Hz = 30
39.306	-2.5919	17.2
39.346	4.2448	10.137
39.238	-9.7746	10.372
36.169	8.1925	-2.6912
35.398	-13.212	-2.4101
29.547	5.999	-8.2158
29.113	-11.595	-8.4853
41.838	-0.11845	-9.729
41.992	-6.9736	-9.7332
25.218	6.2534	-13.154
25.06	-11.851	-13.966
28.242	3.7092	-28.261
29.237	-8.483	-28.637
39.345	-2.5869	17.196
39.351	4.239	10.14
39.254	-9.7805	10.371
36.161	8.1921	-2.6837
35.406	-13.211	-2.4111
29.545	5.9977	-8.215
29.12	-11.607	-8.4891
41.842	-0.11397	-9.729
41.996	-6.9691	-9.7332
25.222	6.257	-13.151
25.07	-11.863	-13.97
28.237	3.7082	-28.26
29.241	-8.4821	-28.64
39.377	-2.5707	17.189
39.361	4.2446	10.142
39.27	-9.7763	10.37
36.16	8.1967	-2.6789
35.413	-13.208	-2.4088
29.548	6.0017	-8.2158
29.127	-11.621	-8.4912
41.842	-0.11371	-9.7328
42.002	-6.9687	-9.7384
25.223	6.2633	-13.151
25.075	-11.866	-13.969
28.239	3.7101	-28.259
29.234	-8.4798	-28.641
39.389	-2.5672	17.192
39.372	4.2436	10.149
39.284	-9.7778	10.366
36.153	8.1919	-2.6687
35.424	-13.213	-2.4104
29.549	6.0081	-8.2187
29.136	-11.634	-8.493
41.848	-0.11281	-9.7328
42.007	-6.9678	-9.7384
25.229	6.262	-13.155
25.083	-11.876	-13.967
28.238	3.7074	-28.264
29.233	-8.4828	-28.64
39.389	-2.5654	17.195
39.389	4.2402	10.166
39.313	-9.7857	10.385
36.141	8.1791	-2.6473
35.412	-13.193	-2.3863
29.55	6.0088	-8.2182
29.143	-11.651	-8.4967
41.851	-0.11271	-9.7343
42.015	-6.9677	-9.7369
25.234	6.2676	-13.152
25.091	-11.88	-13.962
28.242	3.707	-28.26
29.229	-8.4788	-28.637
39.247	-2.3504	17.151
39.432	4.4205	10.136
39.617	-9.5885	10.447
36.157	8.2731	-2.6961
35.317	-12.904	-2.2208
29.552	6.0004	-8.2092
29.153	-11.679	-8.5088
41.851	-0.11579	-9.7377
42.018	-6.9708	-9.7388
25.239	6.2668	-13.175
25.096	-11.89	-13.962
28.14	3.5076	-28.267
29.225	-8.479	-28.636
39.226	-2.3641	17.161
39.455	4.4154	10.134
39.645	-9.5921	10.45
36.164	8.2734	-2.6923
35.32	-12.898	-2.2121
29.559	5.9946	-8.2037
29.159	-11.69	-8.5055
41.857	-0.11269	-9.736
42.023	-6.9677	-9.7386
25.243	6.2663	-13.17
25.103	-11.894	-13.962
28.144	3.5109	-28.264
29.223	-8.4662	-28.636
39.219	-2.3557	17.194
39.515	4.4284	10.154
39.702	-9.5783	10.475
36.188	8.2139	-2.6849
35.272	-12.871	-2.1537
29.569	6.001	-8.2062
29.166	-11.699	-8.5078
41.85	-0.1295	-9.7353
41.922	-6.986	-9.7141
25.243	6.2678	-13.176
25.019	-11.923	-13.993
28.142	3.5096	-28.269
29.224	-8.4734	-28.637
39.166	-2.3739	17.18
39.521	4.434	10.13
39.705	-9.5723	10.451
36.176	8.284	-2.6845
35.321	-12.859	-2.1948
29.583	5.9938	-8.2062
29.167	-11.7	-8.5048
41.86	-0.11896	-9.7366
42.03	-6.9739	-9.7435
25.247	6.2601	-13.177
25.108	-11.901	-13.96
28.141	3.5045	-28.272
29.22	-8.4722	-28.636
39.155	-2.3857	17.204
39.573	4.4302	10.146
39.754	-9.5748	10.471
36.203	8.2186	-2.6807
35.279	-12.848	-2.1467
29.591	5.9967	-8.2064
29.174	-11.701	-8.5064
41.862	-0.13345	-9.7395
41.932	-6.99	-9.7243
25.253	6.2572	-13.181
25.025	-11.921	-13.991
28.138	3.4988	-28.277
29.224	-8.4671	-28.635
39.118	-2.4234	17.211
39.603	4.4354	10.141
39.786	-9.5671	10.467
36.213	8.223	-2.6805
35.295	-12.837	-2.1464
29.604	5.9925	-8.2065
29.186	-11.702	-8.5045
41.867	-0.1358	-9.7396
41.942	-6.9923	-9.726
25.256	6.2521	-13.175
25.032	-11.92	-13.988
28.144	3.5064	-28.272
29.223	-8.4696	-28.636
39.126	-2.4049	17.215
39.62	4.4356	10.146
39.805	-9.5676	10.47
36.213	8.2225	-2.6722
35.299	-12.827	-2.1406
29.608	5.9925	-8.2032
29.19	-11.697	-8.4991
41.87	-0.13724	-9.738
41.946	-6.9937	-9.7258
25.26	6.2518	-13.175
25.036	-11.919	-13.987
28.144	3.5008	-28.272
29.215	-8.4657	-28.638
39.132	-2.4127	17.217
39.64	4.4319	10.134
39.829	-9.5686	10.459
36.219	8.2227	-2.6791
35.313	-12.828	-2.1481
29.607	5.9886	-8.2008
29.196	-11.695	-8.4986
41.874	-0.13625	-9.7432
41.95	-6.9927	-9.7278
25.26	6.2466	-13.174
25.038	-11.914	-13.986
28.145	3.5049	-28.273
29.219	-8.4701	-28.638
39.137	-2.4033	17.22
39.655	4.4432	10.138
39.853	-9.5575	10.46
36.219	8.2245	-2.6736
35.319	-12.811	-2.1425
29.611	5.9885	-8.1992
29.206	-11.694	-8.499
41.877	-0.137	-9.7401
41.954	-6.9935	-9.729
25.266	6.2518	-13.175
25.04	-11.912	-13.985
28.139	3.5019	-28.275
29.222	-8.4654	-28.636
39.145	-2.4202	17.223
39.678	4.4458	10.137
39.873	-9.5548	10.463
36.225	8.2211	-2.6716
35.32	-12.799	-2.1347
29.619	5.9888	-8.1994
29.213	-11.695	-8.4996
41.878	-0.13536	-9.7431
41.957	-6.9918	-9.7278
25.265	6.2526	-13.172
25.043	-11.91	-13.986
28.143	3.5033	-28.271
29.218	-8.4689	-28.641
39.144	-2.4128	17.221
39.689	4.448	10.133
39.891	-9.552	10.463
36.233	8.225	-2.6748
35.322	-12.794	-2.1293
29.626	5.9904	-8.2011
29.217	-11.701	-8.498
41.881	-0.13503	-9.7451
41.96	-6.9915	-9.7312
25.268	6.2515	-13.174
