level_0	level_1	frames = 82 markers = 13 Hz = 30
49.372	0.71508	30.362
51.141	7.3917	23.066
49.489	-5.6287	22.522
52.562	10.635	10.054
49.386	-8.4386	9.1647
49.978	11.571	0.50863
50.431	-10.438	-0.50327
50.436	4.8351	0.90423
50.447	-3.6792	0.90923
50.878	5.6	-15.459
51.638	-3.0658	-15.424
51.29	6.2804	-30.212
52.701	-2.4858	-30.156
49.425	0.77187	30.369
51.016	7.4237	23.082
49.489	-5.617	22.588
52.529	10.543	10.061
49.47	-8.4917	9.254
50.292	11.503	0.43153
50.423	-10.475	-0.42697
50.478	4.7137	0.93533
50.455	-3.8006	0.90993
50.766	5.5694	-15.427
51.511	-3.1397	-15.431
51.326	6.3152	-30.172
52.745	-2.5151	-30.147
49.351	0.71116	30.367
50.892	7.3324	23.076
49.385	-5.7074	22.584
52.444	10.585	10.097
49.484	-8.6174	9.2721
50.449	11.654	0.42553
50.393	-10.571	-0.41917
50.484	4.5879	0.96663
50.454	-3.9262	0.90963
50.787	5.5579	-15.389
51.511	-3.1995	-15.428
51.361	6.406	-30.128
52.748	-2.516	-30.141
49.24	0.54252	30.363
50.746	7.1575	23.057
49.255	-5.8744	22.564
52.434	10.456	10.123
49.509	-8.819	9.2798
50.739	11.526	0.39433
50.313	-10.702	-0.43467
50.477	4.4462	0.98943
50.435	-4.0677	0.90953
50.796	5.4971	-15.361
51.511	-3.2584	-15.423
51.391	6.4167	-30.095
52.761	-2.5011	-30.132
49.041	0.19942	30.353
50.653	6.8847	23.017
49.057	-6.1146	22.471
52.427	10.255	10.123
49.514	-9.1044	9.2261
51.127	11.333	0.33413
50.175	-10.885	-0.51817
50.429	4.2601	1.0188
50.405	-4.2534	0.89813
50.841	5.4428	-15.32
51.494	-3.3326	-15.428
51.518	6.4806	-30.044
52.754	-2.4748	-30.13
48.937	-0.038783	30.398
50.446	6.6546	23.04
48.883	-6.3328	22.498
52.068	9.6664	10.02
49.527	-9.3682	9.2935
51.816	10.792	0.15393
49.984	-11.018	-0.48507
50.311	4.1515	1.1346
50.326	-4.3601	0.91823
50.716	5.2862	-15.208
51.439	-3.38	-15.403
51.387	6.2817	-29.934
52.724	-2.4683	-30.1
48.774	-0.23901	30.397
50.241	6.4184	23.024
48.688	-6.5672	22.504
51.827	9.2094	9.9456
49.49	-9.7076	9.3514
52.306	10.416	0.098131
49.682	-11.227	-0.45657
50.231	3.9017	1.1543
50.266	-4.6098	0.93663
50.642	5.0416	-15.188
51.419	-3.4963	-15.373
