level_0	level_1	frames = 75 markers = 13 Hz = 30
-27.732	-0.92742	29.653
-28.287	-8.2692	21.629
-28.856	6.6267	21.888
-26.582	-9.7369	7.8308
-28.904	9.3343	8.1832
-25.279	-10.059	-1.147
-27.73	9.7635	-0.79712
-29.87	-4.8406	1.6775
-30.071	3.5069	1.6828
-30.182	-5.2964	-16.025
-30.335	3.9261	-16.023
-30.473	-5.6869	-31.654
-30.554	4.2698	-31.66
-27.753	-0.91399	29.652
-28.305	-8.2592	21.636
-28.859	6.6402	21.892
-26.512	-9.5921	7.8355
-28.852	9.2945	8.1768
-25.284	-10.17	-1.14
-27.726	9.7657	-0.80762
-29.846	-4.8433	1.6739
-30.054	3.5041	1.6794
-30.013	-5.3307	-16.03
-30.168	3.97	-16.027
-30.474	-5.6863	-31.655
-30.555	4.2827	-31.661
-27.771	-0.92305	29.653
-28.294	-8.266	21.639
-28.85	6.6328	21.89
-26.462	-9.5906	7.8425
-28.842	9.2925	8.1757
-25.222	-10.213	-1.1283
-27.714	9.7646	-0.80842
-29.832	-4.8469	1.6721
-30.03	3.5007	1.6826
-30.001	-5.3324	-16.032
-30.156	3.9643	-16.024
-30.467	-5.6856	-31.657
-30.55	4.2761	-31.658
-27.799	-0.91014	29.648
-28.28	-8.2644	21.646
-28.848	6.6358	21.879
-26.41	-9.5801	7.8536
-28.833	9.2987	8.1648
-25.163	-10.259	-1.1121
-27.7	9.7664	-0.81882
-29.822	-4.8585	1.6684
-30.0	3.4895	1.6754
-29.999	-5.3383	-16.035
-30.136	3.9522	-16.031
-30.47	-5.6867	-31.661
-30.54	4.2632	-31.665
-27.828	-0.91179	29.646
-28.258	-8.262	21.657
-28.836	6.6398	21.873
-26.37	-9.5742	7.8665
-28.824	9.3068	8.1594
-25.126	-10.311	-1.0952
-27.689	9.7699	-0.82432
-29.81	-4.8684	1.6666
-29.967	3.4801	1.6754
-29.991	-5.3411	-16.037
-30.121	3.9475	-16.03
-30.465	-5.6825	-31.663
-30.543	4.2624	-31.664
-28.022	-0.69938	29.652
-28.218	-8.0997	21.719
-28.916	6.8302	21.869
-26.323	-9.5003	7.9387
-28.844	9.3836	8.134
-25.087	-10.336	-1.0151
-27.672	9.7686	-0.84852
-29.799	-4.8775	1.6682
-29.941	3.4713	1.6721
-29.988	-5.3508	-16.036
-30.105	3.9414	-16.034
-30.47	-5.6922	-31.661
-30.537	4.2589	-31.667
-28.048	-0.6995	29.649
-28.204	-8.0997	21.729
-28.898	6.8318	21.862
-26.296	-9.5104	7.9517
-28.82	9.3759	8.1258
-25.057	-10.375	-0.99902
-27.652	9.7616	-0.85732
-29.788	-4.8899	1.6663
-29.921	3.459	1.6721
-29.981	-5.3567	-16.038
-30.095	3.9332	-16.033
-30.466	-5.6926	-31.663
-30.532	4.2551	-31.666
-28.083	-0.68695	29.645
-28.195	-8.0902	21.736
-28.873	6.8437	21.862
-26.268	-9.4994	7.9604
-28.781	9.3581	8.1203
-25.019	-10.373	-0.98802
-27.621	9.7427	-0.86392
-29.764	-4.9093	1.6681
-29.905	3.4394	1.6703
-29.969	-5.3631	-16.036
-30.091	3.9234	-16.035
-30.464	-5.6879	-31.661
-30.535	4.2545	-31.667
-28.107	-0.69477	29.638
-28.175	-8.092	21.739
-28.845	6.8441	21.86
-26.231	-9.4776	7.9641
-28.741	9.3256	8.1124
-24.972	-10.34	-0.98402
-27.597	9.7119	-0.87372
-29.743	-4.9198	1.6682
-29.891	3.4288	1.6666
-29.959	-5.3664	-16.036
-30.08	3.9171	-16.038
-30.465	-5.685	-31.661
-30.531	4.2508	-31.671
-28.143	-0.66862	29.634
-28.151	-8.0841	21.746
-28.829	6.8524	21.856
-26.199	-9.4536	7.9701
-28.704	9.3021	8.1029
-24.935	-10.306	-0.97822
-27.566	9.6902	-0.88402
-29.714	-4.935	1.6683
-29.878	3.4133	1.6665
-29.948	-5.3738	-16.036
-30.071	3.9079	-16.038
-30.468	-5.6859	-31.66
-30.528	4.2461	-31.67
-28.179	-0.66814	29.626
-28.137	-8.0817	21.745
-28.826	6.8534	21.849
-26.172	-9.4329	7.9696
-28.674	9.2877	8.093
-24.899	-10.274	-0.97872
-27.532	9.6801	-0.89322
-29.695	-4.9449	1.6646
-29.864	3.4033	1.6629
-29.934	-5.3792	-16.04
-30.065	3.9068	-16.041
-30.463	-5.6866	-31.664
-30.526	4.2535	-31.673
-28.195	-0.65907	29.624
-28.125	-8.0776	21.749
-28.827	6.8568	21.846
-26.149	-9.4103	7.973
-28.652	9.2833	8.0898
-24.869	-10.239	-0.97542
-27.501	9.6783	-0.89512
-29.676	-4.9566	1.6663
-29.846	3.3916	1.6595
-29.924	-5.3801	-16.038
-30.055	3.8925	-16.045
-30.457	-5.6787	-31.662
-30.522	4.2372	-31.676
-28.207	-0.65254	29.619
-28.107	-8.0774	21.746
-28.826	6.8555	21.84
-26.121	-9.3907	7.9696
-28.64	9.2754	8.0823
-24.835	-10.207	-0.97902
-27.484	9.6722	-0.90192
-29.658	-4.9637	1.6627
-29.834	3.3843	1.6559
-29.916	-5.3858	-16.042
-30.05	3.8918	-16.048
-30.457	-5.683	-31.665
-30.524	4.2422	-31.679
-28.223	-0.64032	29.615
-28.1	-8.075	21.744
-28.836	6.8578	21.839
-26.093	-9.344	7.9666
-28.631	9.2637	8.0787
-24.793	-10.132	-0.98262
-27.466	9.6612	-0.90442
-29.638	-4.9691	1.6555
-29.824	3.3788	1.6541
-29.905	-5.3922	-16.049
-30.043	3.8855	-16.05
-30.458	-5.6899	-31.672
-30.52	4.235	-31.681
-28.228	-0.63991	29.617
-28.1	-8.0731	21.741
-28.837	6.8571	21.837
-26.08	-9.3302	7.9643
-28.622	9.2484	8.0746
-24.772	-10.11	-0.98442
-27.463	9.6534	-0.90892
-29.617	-4.9789	1.659
-29.807	3.3689	1.6524
-29.899	-5.3975	-16.045
-30.035	3.8857	-16.051
-30.462	-5.6917	-31.668
-30.52	4.2442	-31.682
-28.234	-0.64086	29.611
-28.099	-8.0762	21.736
-28.833	6.8512	21.82
-26.066	-9.3197	7.9603
-28.606	9.2273	8.055
-24.749	-10.091	-0.98782
-27.461	9.6492	-0.92942
-29.605	-4.9827	1.6534
-29.799	3.365	1.6453
-29.889	-5.3968	-16.051
-30.028	3.8782	-16.058
-30.454	-5.687	-31.674
-30.514	4.2333	-31.689
-28.233	-0.63458	29.612
-28.096	-8.0701	21.74
-28.832	6.8573	21.818
-26.046	-9.32	7.9669
-28.588	9.2086	8.049
-24.719	-10.095	-0.97932
-27.463	9.6518	-0.93702
-29.589	-4.9911	1.6516
-29.791	3.3564	1.6471
-29.881	-5.398	-16.053
-30.025	3.8751	-16.056
-30.455	-5.6814	-31.675
-30.516	4.2347	-31.687
-28.231	-0.64132	29.613
-28.092	-8.0754	21.738
-28.825	6.8513	21.819
-26.036	-9.318	7.9658
-28.563	9.1757	8.0457
-24.704	-10.088	-0.98022
-27.467	9.6463	-0.94242
-29.573	-4.9937	1.6516
-29.78	3.3537	1.6471
-29.873	-5.4049	-16.052
-30.02	3.8722	-16.056
-30.452	-5.6928	-31.675
-30.515	4.2315	-31.687
-28.23	-0.636	29.614
-28.09	-8.0726	21.741
-28.819	6.8541	21.818
-26.03	-9.3197	7.9697
-28.538	9.1496	8.0408
-24.696	-10.093	-0.97572
-27.474	9.6503	-0.94962
-29.56	-4.9999	1.6551
-29.771	3.3473	1.6454
-29.867	-5.4039	-16.049
-30.013	3.8693	-16.058
-30.452	-5.6854	-31.671
-30.514	4.2309	-31.688
-28.225	-0.61186	29.611
-28.085	-8.0542	21.747
-28.822	6.8762	21.819
-26.024	-9.3175	7.9773
-28.518	9.1076	8.0314
-24.688	-10.101	-0.96702
-27.485	9.6149	-0.96242
-29.553	-4.9967	1.6497
-29.761	3.3507	1.6436
-29.864	-5.4029	-16.054
-30.013	3.8719	-16.06
-30.452	-5.6861	-31.677
-30.515	4.2346	-31.69
-28.223	-0.60633	29.612
-28.084	-8.0498	21.749
-28.816	6.8818	21.821
-26.022	-9.3249	7.9803
-28.491	9.0829	8.0293
-24.686	-10.116	-0.96322
-27.487	9.6166	-0.96632
-29.544	-4.9949	1.6497
-29.752	3.3525	1.6436
-29.86	-5.4022	-16.054
-30.004	3.8681	-16.06
-30.455	-5.6858	-31.676
-30.51	4.2251	-31.69
-28.215	-0.5989	29.612
-28.077	-8.0458	21.747
-28.811	6.8847	21.818
-26.021	-9.3319	7.9787
-28.463	9.0578	8.0224
-24.689	-10.13	-0.96472
-27.485	9.6155	-0.97452
-29.536	-4.9916	1.6497
-29.743	3.3558	1.6418
-29.856	-5.4006	-16.054
-30.004	3.8717	-16.061
-30.455	-5.686	-31.676
-30.513	4.2298	-31.691
-28.206	-0.58981	29.612
-28.076	-8.0339	21.747
-28.799	6.897	21.818
-26.024	-9.3357	7.9789
-28.434	9.0379	8.0177
-24.695	-10.144	-0.96412
-27.483	9.6142	-0.98092
-29.528	-4.9912	1.6478
-29.736	3.3561	1.6419
-29.854	-5.4005	-16.056
-29.999	3.8752	-16.061
-30.456	-5.6867	-31.678
-30.514	4.235	-31.691
-28.195	-0.57128	29.612
-28.067	-8.027	21.749
-28.796	6.9062	21.822
-26.026	-9.3427	7.9808
-28.421	9.0125	8.0166
-24.704	-10.161	-0.96242
-27.499	9.6045	-0.98412
-29.521	-4.9886	1.6495
-29.725	3.3589	1.6383
-29.851	-5.3978	-16.054
-29.994	3.8793	-16.065
-30.454	-5.6847	-31.676
-30.517	4.2397	-31.694
-28.175	-0.57638	29.618
-28.061	-8.0297	21.752
-28.775	6.9033	21.826
-26.032	-9.3477	7.9819
-28.39	8.9902	8.0177
-24.717	-10.167	-0.96232
-27.498	9.6078	-0.98432
-29.516	-4.9862	1.655
-29.719	3.3613	1.6419
-29.85	-5.3984	-16.048
-29.991	3.8795	-16.061
-30.459	-5.6874	-31.67
-30.515	4.2387	-31.69
-28.146	-0.58053	29.618
-28.049	-8.0194	21.749
-28.752	6.9131	21.822
-26.053	-9.3811	7.9783
-28.356	8.9662	8.009
-24.76	-10.229	-0.96642
-27.496	9.6028	-0.99492
-29.514	-4.9836	1.655
-29.708	3.3641	1.6419
-29.85	-5.3972	-16.048
-29.987	3.8835	-16.061
-30.46	-5.6877	-31.67
-30.521	4.2427	-31.69
-28.105	-0.61486	29.618
-28.038	-8.0557	21.753
-28.75	6.8781	21.811
-26.063	-9.3998	7.9776
-28.322	8.9302	7.9987
-24.784	-10.236	-0.97012
-27.49	9.6163	-1.0042
-29.512	-4.9822	1.6531
-29.69	3.3658	1.6383
-29.845	-5.3963	-16.05
-29.985	3.89	-16.064
-30.457	-5.6866	-31.671
-30.528	4.2543	-31.693
-28.071	-0.61276	29.62
-28.034	-8.0418	21.752
-28.709	6.8948	21.816
-26.073	-9.3974	7.9765
-28.262	8.9029	7.998
-24.802	-10.241	-0.97182
-27.481	9.6269	-1.0065
-29.511	-4.9815	1.6533
-29.672	3.3668	1.6435
-29.845	-5.3986	-16.05
-29.978	3.8938	-16.059
-30.459	-5.6913	-31.671
-30.527	4.2611	-31.687
-28.032	-0.61426	29.621
-28.046	-8.0433	21.756
-28.655	6.8962	21.82
-26.091	-9.3885	7.9782
-28.176	8.8547	7.9957
-24.824	-10.226	-0.97122
-27.457	9.6323	-1.0095
-29.511	-4.9884	1.6568
-29.639	3.3605	1.6401
-29.848	-5.4023	-16.046
-29.963	3.886	-16.062
-30.46	-5.6932	-31.668
-30.529	4.252	-31.689
-27.995	-0.60979	29.622
-28.051	-8.0377	21.759
-28.604	6.908	21.826
-26.108	-9.3839	7.9794
-28.074	8.7995	7.9945
-24.848	-10.221	-0.97102
-27.418	9.6341	-1.0105
-29.508	-4.9882	1.655
-29.606	3.361	1.6401
-29.845	-5.3985	-16.048
-29.945	3.8918	-16.061
-30.457	-5.6865	-31.67
-30.528	4.2613	-31.688
-27.956	-0.60773	29.624
-28.064	-8.0366	21.766
-28.54	6.9141	21.829
-26.129	-9.3827	7.9852
-27.953	8.7395	7.9907
-24.875	-10.22	-0.96602
-27.353	9.6296	-1.0129
-29.509	-4.9825	1.6517
-29.562	3.3672	1.6452
-29.848	-5.4027	-16.051
-29.927	3.8967	-16.056
-30.464	-5.6991	-31.672
-30.532	4.265	-31.682
-27.902	-0.61549	29.624
-28.076	-8.0475	21.767
-28.449	6.9086	21.827
-26.152	-9.3825	7.9839
-27.802	8.6899	7.9862
-24.904	-10.213	-0.96892
-27.23	9.619	-1.0153
-29.514	-4.9807	1.6534
-29.503	3.3691	1.6417
-29.849	-5.4019	-16.05
-29.899	3.8997	-16.059
-30.462	-5.6984	-31.671
-30.527	4.2702	-31.684
-27.939	-0.68523	29.638
-28.144	-8.1035	21.808
-28.322	6.8735	21.865
-26.206	-9.4207	8.0256
-27.623	8.7076	8.0339
