		frames = 75 markers = 13 Hz = 30
30.452	-5.7212	-31.568
30.377	4.162	-31.581
26.199	-9.4536	7.9701
29.524	-4.9731	1.6518
29.899	3.6991	-15.959
27.466	-11.356	-0.38362
30.508	4.2148	-31.589
29.834	3.3843	1.6559
29.988	-5.3508	-16.036
30.465	-5.7097	-31.672
29.88	3.1359	1.7615
26.625	9.7422	-0.96532
28.099	-8.0762	21.736
29.773	3.6756	-15.953
29.605	-4.9827	1.6534
26.066	-9.3197	7.9603
26.41	-9.5801	7.8536
27.349	-11.3	-0.40322
30.159	-5.2375	1.7795
28.137	-8.0817	21.745
27.627	-11.176	-0.44452
27.463	9.6534	-0.90892
29.66	-7.7604	22.258
26.313	-9.3934	8.132
28.071	-0.61276	29.62
30.059	-5.5558	-15.935
28.1	-8.0731	21.741
29.592	-5.0224	1.6564
29.676	-4.9566	1.6663
30.509	-5.1939	1.7773
30.361	4.1472	-31.57
27.027	9.667	-0.96272
11.588	11.012	19.572
28.796	6.9062	21.822
29.771	3.3473	1.6454
30.048	-5.559	-15.934
29.589	-4.9911	1.6516
28.076	-8.0339	21.747
8.5669	4.6842	24.297
27.347	-11.226	-0.41972
30.074	-5.5602	-15.925
29.764	-4.9093	1.6681
27.457	9.6323	-1.0095
28.322	-9.8483	8.4794
29.864	3.4033	1.6629
30.463	-5.721	-31.574
25.126	-10.311	-1.0952
25.233	-10.457	-0.69732
27.365	-11.315	-0.41432
29.403	3.3077	1.655
30.001	-5.3324	-16.032
29.457	3.0259	1.7454
28.799	6.897	21.818
28.083	-0.68695	29.645
29.959	-5.3664	-16.036
24.533	6.4157	21.839
29.845	-5.3985	-16.048
30.47	-5.6867	-31.661
29.985	3.89	-16.064
28.169	-9.9466	8.4678
25.623	-10.696	-0.66142
8.2618	4.4747	24.283
25.284	-10.17	-1.14
29.444	-7.8163	22.324
30.517	4.2397	-31.694
29.926	3.7135	-15.947
30.476	-5.7201	-31.555
28.688	-9.8584	8.4968
30.502	4.2571	-31.679
27.517	-11.133	-0.44552
24.899	-10.274	-0.97872
29.007	-7.842	22.223
24.935	-10.306	-0.97822
24.444	6.529	21.895
28.048	-0.6995	29.649
30.02	3.8722	-16.056
29.969	-5.309	1.7754
30.055	3.8925	-16.045
30.457	-5.6865	-31.67
27.67	-0.75748	29.617
29.988	3.7043	-15.95
24.76	-10.229	-0.96642
24.719	-10.095	-0.97932
25.087	-10.336	-1.0151
29.873	3.0753	1.751
30.525	-5.1929	1.7859
28.046	-8.0433	21.756
28.084	-8.0498	21.749
26.032	-9.3477	7.9819
28.903	-8.0893	22.068
28.863	-8.136	22.043
29.573	-5.0123	1.6493
13.854	12.458	15.765
28.24	-9.9065	8.5217
28.845	6.8441	21.86
12.302	11.333	20.021
27.819	-11.219	-0.43552
30.548	-5.1937	1.7927
27.73	9.7635	-0.79712
29.981	-5.3567	-16.038
29.695	-4.9449	1.6646
29.476	3.3368	1.6457
26.6	-0.77213	29.51
29.56	-4.9999	1.6551
28.824	9.3068	8.1594
26.512	-9.5921	7.8355
27.714	9.7646	-0.80842
30.464	-5.6879	-31.661
30.124	3.1183	1.7206
30.182	-5.2964	-16.025
30.514	4.2309	-31.688
29.425	-7.8356	22.304
28.228	-9.9317	8.527
26.152	-9.3825	7.9839
30.452	-5.6854	-31.671
28.231	-0.64132	29.613
30.454	-5.687	-31.674
27.353	9.6296	-1.0129
27.241	-0.72612	29.638
27.605	-11.38	-0.38222
7.6913	4.2309	24.287
28.811	6.8847	21.818
28.262	8.9029	7.998
29.67	-5.0377	1.6689
28.315	-9.9883	8.513
26.03	-9.3197	7.9697
29.173	-7.8748	22.258
29.845	-5.3963	-16.05
28.829	6.8524	21.856
30.457	-5.6866	-31.671
28.724	-9.8557	8.4953
29.528	-4.9912	1.6478
30.119	-5.2506	1.7761
28.069	7.0935	21.867
30.527	4.2611	-31.687
29.743	3.3558	1.6418
30.213	-5.516	-15.934
7.7617	4.2273	24.296
26.642	-11.121	-0.62612
30.439	-5.7093	-31.561
28.195	-0.57128	29.612
30.251	-5.2204	1.7669
26.848	-11.166	-0.61672
28.144	-8.1035	21.808
27.711	-11.208	-0.44762
28.223	-7.9015	21.882
25.514	9.9062	8.2246
30.465	-5.685	-31.661
26.172	-9.4329	7.9696
30.102	-5.555	-15.937
27.799	-0.91014	29.648
26.686	-0.76243	29.519
29.85	-5.3984	-16.048
29.474	-7.8118	22.325
27.802	-0.57216	29.622
29.833	3.8595	-16.044
27.7	9.7664	-0.81882
30.339	4.1551	-31.581
29.788	3.678	-15.951
28.52	-9.8437	8.4897
25.236	6.6154	21.853
29.786	3.6768	-15.955
30.121	3.7635	-15.956
30.515	4.2315	-31.687
27.463	9.6518	-0.93702
30.429	-5.7017	-31.566
30.078	-5.5564	-15.93
24.772	-10.11	-0.98442
26.603	-0.77482	29.524
30.555	4.2827	-31.661
30.411	-5.1958	1.7842
24.92	6.5692	21.924
12.683	11.512	20.094
29.511	-4.9815	1.6533
12.008	11.169	19.917
29.969	-5.3631	-16.036
29.872	3.8531	-16.053
30.464	-5.6991	-31.672
8.0235	4.4278	24.245
26.776	-0.74032	29.607
29.477	3.3265	1.6459
29.87	-4.8406	1.6775
28.421	9.0125	8.0166
28.848	6.6358	21.879
27.461	9.6492	-0.92942
29.594	3.0658	1.7557
11.736	11.048	19.834
27.765	-9.9155	8.3507
7.5181	4.6386	24.005
30.339	4.1495	-31.583
29.88	3.8723	-16.054
30.465	-5.7274	-31.66
27.341	-11.263	-0.40842
28.852	9.2945	8.1768
29.846	3.3916	1.6595
