		frames = 75 markers = 13 Hz = 30
-44.669	-8.1899	22.286
-43.025	-10.486	8.1289
-5.2003	5.8792	-17.468
-22.767	-5.8572	21.495
-8.198	5.0709	0.49238
-11.781	1.2767	28.606
-7.3007	-8.9629	8.5733
-45.551	11.285	-1.7021
-42.291	-9.0244	22.02
-26.516	-3.1557	0.58148
-25.753	8.141	21.315
-10.264	2.4897	28.872
-45.694	-0.39109	29.399
-42.514	-11.671	-1.1614
-7.6111	-1.3611	-17.523
-32.418	-5.4767	-18.021
-45.009	-11.039	-1.0989
-6.6125	5.9496	-17.433
-47.791	-2.8097	-17.31
-28.16	1.7561	-31.783
-7.2865	-9.242	8.7149
-45.553	6.4429	21.595
-19.987	-8.7149	6.9818
-36.981	-4.4624	-1.0488
-7.8263	-0.79729	-32.137
-5.0106	5.993	-32.089
-13.346	8.1384	20.855
-29.541	-10.803	-1.5991
-49.445	2.5111	-31.845
-48.791	9.4378	-1.5087
-15.875	14.301	7.3129
-45.239	-7.9129	22.31
-46.055	2.4564	0.79238
-21.922	3.2961	-18.222
-49.972	-1.4388	-31.724
-44.989	-8.0851	22.313
-12.35	1.1225	28.427
-49.332	2.3835	-31.878
-28.662	11.664	-2.0149
-40.591	-8.6621	21.608
-12.084	1.0962	28.551
-7.3511	-1.5221	0.39268
-18.831	-2.6315	-31.537
-13.73	15.737	8.7693
-34.101	-7.4936	20.937
-5.1254	6.6365	-31.974
-7.183	-1.43	0.36008
-45.784	-4.755	0.56088
-28.247	1.7771	-31.934
-7.2594	17.437	0.45648
-49.459	-0.93674	-31.749
-46.166	-3.7737	0.65698
-37.485	-2.0179	-26.693
-43.986	-11.655	-1.1046
-37.599	2.2927	-0.60152
-27.809	2.3588	-30.787
-7.8422	-0.79027	-32.158
-47.74	2.9223	-29.867
-7.8287	-0.94033	-32.412
-25.024	-5.7906	21.904
-47.846	2.8416	-17.326
-16.235	-3.4891	-17.02
-48.34	-3.2861	-28.621
-46.386	9.0761	7.5644
-46.39	-6.8588	22.218
-8.6667	2.2114	29.197
-49.584	-1.0366	-31.747
-9.9144	8.8979	21.445
-26.358	2.8705	-17.478
-7.7506	5.5713	0.34748
-20.292	8.2999	21.084
-23.576	3.0413	-17.914
-10.267	-4.6097	21.78
-46.197	3.4729	0.70418
-47.072	8.5035	7.6584
-47.073	-3.158	-17.48
-44.726	-10.543	-1.0179
-12.729	8.5086	20.964
-40.632	3.6111	-16.598
-3.4262	-10.419	0.24858
-49.544	-1.0462	-31.75
-7.9092	14.884	2.4207
-43.551	3.4718	-17.064
-42.27	-3.6606	-17.745
-14.23	-6.3263	20.776
-14.731	7.9833	20.554
-16.577	7.7032	20.275
-25.447	-3.1287	0.59268
-10.977	15.57	8.1476
-7.3223	-9.3929	8.6762
-47.535	-3.0094	-17.377
-42.03	-1.6104	29.111
-11.958	1.1173	28.529
-45.97	6.8817	21.477
-15.202	-11.227	-2.2869
-49.45	-0.90848	-31.766
-45.399	11.518	-1.7442
-45.757	9.9977	7.507
-13.189	0.9628	27.884
-10.131	-4.6605	21.904
-7.7116	-1.4272	-17.521
-33.213	2.4093	-31.312
-45.971	2.4176	0.82778
-8.8929	-12.117	-1.2802
-35.435	-9.899	6.9176
-47.756	-2.4819	-17.305
-36.852	9.3007	5.9288
-13.748	8.0355	20.852
-49.461	-0.93106	-31.765
-30.942	11.484	-2.4853
-45.914	6.7998	21.478
-13.039	8.3389	20.904
-23.502	-10.216	-1.6854
-11.58	9.2798	20.996
-14.923	-3.0685	-17.188
-10.421	-2.0801	-18.271
-44.818	-1.1302	29.412
-48.034	7.4109	7.8048
-38.016	2.7252	-31.314
-9.5531	-1.9781	-17.896
-28.218	2.1232	-31.365
-8.3828	-2.2916	0.53808
-5.2829	5.9417	-17.506
-44.364	-11.623	-1.0594
-38.185	-10.12	7.419
-49.811	-1.3871	-31.728
-20.954	-6.1856	-16.654
-23.706	8.2996	21.442
-49.595	-1.1209	-31.735
-49.444	-0.91462	-31.8
-47.752	-2.8777	-17.302
-10.043	-11.991	-1.3467
-37.03	2.5434	-16.738
-33.087	11.331	-2.9672
-11.178	-2.9642	0.069675
-46.232	-3.7224	0.66758
-30.919	-10.857	-2.0933
-34.254	-3.9181	-0.72092
-45.531	-0.63785	29.425
-12.491	8.6497	20.989
-39.746	8.5579	6.2382
-8.6177	1.9573	29.165
-46.151	3.5626	0.65338
-14.563	15.591	8.8237
-11.416	-4.9861	21.267
-33.059	-7.2519	21.129
-44.546	5.7106	21.58
-18.116	8.1505	20.857
-19.417	-2.9409	-0.26092
-49.577	-1.079	-31.757
-14.146	8.026	20.849
-7.6599	-1.9328	0.55668
-31.802	0.46488	28.489
-28.256	1.9703	-31.717
-28.191	1.7422	-31.903
-38.973	-4.6572	-17.476
-17.271	-9.1591	6.4308
-10.133	11.092	1.6544
-12.838	-5.9899	21.068
-41.444	-11.618	-1.2496
-21.874	1.2326	28.963
-7.7811	-0.74104	-32.302
-45.167	2.2626	0.85768
-21.939	4.7908	-27.842
-19.486	13.306	8.0545
-44.476	-10.281	8.2229
-47.393	10.214	-1.6487
-26.675	-2.4892	-29.597
-12.94	-9.5959	7.5196
-26.335	11.72	-1.5323
-40.969	5.698	20.988
-47.918	-2.1496	-17.305
-11.21	6.0848	-30.136
-22.703	-10.263	-1.8228
