		frames = 147 markers = 13 Hz = 30
34.227	-3.7437	-17.369
37.035	3.4131	-0.42837
34.184	-7.4818	19.274
36.647	-3.3625	-31.038
34.652	-4.0037	-0.81597
37.1	4.5834	-30.813
35.386	4.483	-0.62597
36.627	-3.364	-31.031
30.491	-10.47	-3.9258
32.111	-10.536	17.302
35.709	11.081	7.1705
30.337	-10.358	-4.0072
37.024	4.5222	-30.952
36.947	3.945	-16.937
31.864	-10.463	17.359
36.623	-3.3571	-31.022
37.06	4.5269	-30.811
31.998	-9.5634	-2.1069
34.461	7.7544	6.337
36.952	3.9304	-16.939
36.909	-3.5718	-30.952
37.099	4.5808	-30.82
34.806	5.8309	19.126
36.947	3.9196	-16.951
31.276	-4.6045	25.801
34.993	-6.4272	19.525
33.569	14.448	11.482
40.471	10.379	10.752
37.152	3.9325	-16.926
35.885	2.6514	19.867
37.065	4.541	-30.812
33.62	14.443	11.493
37.057	4.5187	-30.811
32.955	14.893	9.8288
30.946	-10.471	4.1049
35.042	-7.005	19.401
34.25	-3.8106	-17.362
32.49	9.2173	-1.7749
36.659	-3.3562	-31.07
37.03	4.5067	-31.028
36.506	1.8458	19.87
35.059	-3.6024	-0.64677
32.247	-10.435	17.318
31.903	-9.3081	17.925
36.321	1.7971	19.987
31.981	-10.548	17.31
37.103	4.5719	-30.8
40.548	10.305	10.774
35.292	-3.4476	-0.55707
34.719	-3.9505	-0.80907
34.752	-3.5758	-0.70417
36.908	4.136	-16.88
32.494	-3.9854	25.811
36.972	3.9525	-16.941
33.811	14.455	11.33
33.421	7.9287	6.2106
36.169	-3.3343	-17.041
32.636	9.2507	-1.7509
32.905	-8.6956	6.2205
33.203	14.663	11.165
41.46	10.872	11.593
32.674	-3.6829	26.112
36.956	3.9369	-16.937
34.12	6.844	19.178
40.536	10.316	10.823
29.64	-9.7502	-4.1361
31.913	-10.601	17.242
33.104	-8.8581	6.1762
37.025	4.534	-31.045
37.067	3.0397	-0.42767
33.423	-1.6205	26.528
32.442	-3.9541	25.806
33.187	-7.8788	18.955
31.841	-10.361	17.331
31.614	-10.155	-2.0475
34.503	-4.1359	-0.83177
37.108	3.1919	-0.40767
33.117	-9.2435	-1.6915
32.142	-10.509	17.301
30.304	-10.301	-3.9923
37.129	3.1418	-0.41097
32.606	8.3347	6.1985
31.72	-9.5441	5.1602
41.147	10.841	11.194
31.86	-10.368	17.299
36.373	1.8636	19.981
34.181	-3.7627	-17.374
36.637	-3.3538	-31.025
35.021	-6.422	19.541
34.537	-3.5957	-17.29
40.775	10.068	10.541
32.841	-8.9489	6.0217
34.12	-3.7756	-17.381
33.513	7.9311	6.2222
32.115	-10.538	17.298
36.969	3.9197	-16.942
33.575	14.457	11.464
34.649	-0.36282	26.481
36.95	3.6227	-0.42997
37.018	4.5411	-31.095
34.207	-3.7479	-17.367
31.141	-10.519	4.1773
37.049	4.5252	-30.884
33.844	-9.5476	-1.4585
36.032	-3.4193	-0.50097
34.416	14.607	12.309
37.116	3.89	-16.933
34.78	-0.32862	26.455
33.792	7.5742	6.3174
36.54	9.1456	7.2278
31.823	-10.42	17.335
36.667	1.7328	19.905
35.811	3.9848	-0.52117
32.32	-9.4796	-1.8555
36.642	-3.3589	-31.025
37.126	3.1252	-0.41457
34.216	6.6329	18.97
34.564	-4.1636	-0.82757
37.106	4.5918	-30.818
40.206	11.224	9.7924
34.511	-4.0403	-0.82967
33.573	14.461	11.469
34.52	14.697	12.545
32.577	-3.9771	25.867
36.361	-3.4784	-16.996
37.085	3.0415	-0.42567
35.944	-3.1117	-0.46277
36.049	-3.4909	-17.108
36.753	1.7861	20.104
33.833	-2.1669	26.39
36.663	-3.273	-31.007
32.636	8.3423	6.0535
36.394	3.9059	-0.59957
36.642	-3.3547	-31.028
32.985	-8.006	18.877
32.483	-3.8807	25.824
40.537	10.314	10.817
32.36	-10.379	17.336
34.292	-8.3438	6.5399
37.018	4.5223	-30.966
32.489	-3.8849	25.826
32.178	-10.477	17.318
32.092	-3.9847	25.889
31.524	-10.316	-2.245
36.337	4.351	-17.081
34.493	14.802	12.475
35.827	4.145	-0.55317
30.552	-10.626	-3.9444
34.493	-4.0653	-0.83327
34.267	-3.6198	-17.36
37.091	4.5783	-30.76
32.61	9.2526	-1.7427
32.692	-9.223	-1.8243
33.716	-9.5121	-1.4974
34.522	-4.0631	-0.86197
36.947	3.9114	-16.95
32.637	-9.0056	18.279
30.449	-9.981	3.9558
35.488	-3.7846	-0.59267
37.108	3.8745	-16.935
36.627	-3.3629	-31.032
34.516	-4.1513	-0.82667
31.278	-10.862	4.148
34.504	-4.0575	-0.83307
34.186	-7.4738	19.274
32.527	-3.9778	25.812
36.685	4.2061	-17.014
35.964	-3.5608	-17.123
34.376	-3.7096	-17.349
31.189	-10.463	4.1981
30.406	-4.7899	25.445
30.364	-9.5903	4.3065
40.51	10.232	10.794
34.167	-3.7863	-17.37
31.705	-10.234	17.058
29.603	-9.4435	-3.8577
36.733	4.1376	-17.038
34.516	-4.0419	-0.83127
32.031	-10.659	17.261
36.864	3.5556	-0.43557
35.667	4.3423	-0.64497
35.644	-3.0039	-0.50937
36.635	2.2004	20.017
37.055	4.5284	-30.842
33.399	-8.6599	18.704
32.562	-3.965	25.817
36.643	-3.3602	-31.03
36.062	-3.4013	-0.47677
37.008	4.5358	-31.109
33.969	7.5021	6.2759
31.975	-9.5943	-2.1689
37.102	4.5985	-30.819
30.523	-10.676	-3.9423
31.439	-10.402	-2.5779
34.485	5.6858	19.142
33.789	-3.7313	-17.465
34.191	-8.279	6.5003
36.129	4.5521	-17.228
33.699	14.468	11.45
37.026	4.5414	-30.951
36.389	4.4107	-17.148
40.781	10.065	10.569
31.341	-10.448	4.2114
36.964	3.9249	-16.943
33.588	-2.3483	26.374
32.048	-10.638	17.28
34.224	6.6805	18.984
35.332	5.1124	19.415
35.929	4.3584	19.036
33.654	14.473	11.453
31.987	-10.586	17.288
36.374	1.909	19.99
32.218	-10.45	17.324
33.566	14.407	11.408
35.597	4.6102	19.014
37.101	4.5958	-30.819
32.65	14.539	8.1683
36.136	4.55	-17.154
33.571	14.448	11.448
37.147	3.1077	-0.41337
36.642	-3.3516	-31.031
37.431	2.9498	-0.41267
36.642	-3.3553	-31.029
32.31	-2.5849	26.292
31.69	9.3281	-1.9085
30.523	-10.648	-3.9834
31.964	-10.543	17.31
36.363	1.8526	19.978
36.67	3.6317	-0.50067
37.09	3.2365	-0.40767
33.322	-1.8281	26.506
36.289	4.4599	-17.123
34.797	-3.8726	-0.78857
35.259	-3.4627	-0.56357
37.435	2.9715	-0.41597
32.102	-10.537	17.302
31.8	-9.8007	5.2771
36.91	-3.5747	-30.932
33.056	-8.6069	6.2307
37.063	3.329	-0.41167
36.91	-3.5864	-30.911
37.122	3.172	-0.41107
30.923	-10.437	4.1186
32.194	-9.6431	-1.8321
33.125	-8.7916	6.1795
36.623	-3.3576	-31.025
33.803	-3.7287	-17.457
34.191	-3.7937	-17.371
31.13	-10.653	4.1738
34.58	-3.5157	-17.313
31.868	-10.447	17.11
34.499	-4.1219	-0.83347
35.189	4.6076	-0.73137
36.65	-3.3598	-31.023
37.129	3.126	-0.41457
36.735	1.9558	20.128
33.91	14.407	10.816
33.425	-1.6726	26.532
33.733	14.463	11.426
36.082	8.8275	6.8655
36.897	-3.5882	-30.895
31.505	-9.6381	5.0083
40.427	10.425	10.758
36.662	2.3269	19.921
32.399	-9.3306	18.004
32.537	-3.98	25.853
34.445	-1.22	26.397
32.78	-3.6799	26.183
33.32	14.598	11.177
37.049	4.5138	-30.852
34.324	14.548	11.967
36.311	1.7088	19.873
34.522	-4.154	-0.82657
33.578	14.468	11.536
34.548	-4.1626	-0.82487
35.822	4.0413	-0.54707
35.989	-3.4605	-0.52307
34.171	-7.4629	19.295
35.816	-3.4207	-17.16
32.963	-3.5762	26.216
36.634	-3.3708	-31.035
33.575	14.459	11.466
34.13	-7.526	19.242
35.151	-6.6657	19.596
37.097	4.5822	-30.811
34.195	-3.7456	-17.373
32.479	9.2917	-1.7402
30.996	-11.061	-3.9268
33.575	14.457	11.464
34.777	5.8446	19.12
36.636	-3.356	-31.055
36.956	3.9427	-16.935
31.585	-10.057	17.137
37.384	3.0569	-0.40597
32.9	-9.2363	-1.7534
36.905	-3.5547	-30.965
36.629	-3.3671	-31.041
35.259	4.547	-0.71637
36.51	4.3136	-17.151
34.965	-6.4526	19.512
33.578	14.459	11.46
34.17	-3.769	-17.373
32.457	-3.9753	25.911
37.103	4.587	-30.812
34.708	-0.34775	26.47
33.566	14.427	11.491
34.749	-0.39094	26.448
31.684	9.1691	-1.8062
35.312	-3.431	-0.56067
34.804	-3.5903	-0.68757
32.289	-10.42	17.328
36.247	2.0714	19.971
36.642	-3.3552	-31.008
36.988	3.9386	-16.94
30.424	-9.7343	-3.4425
32.901	9.1769	-1.5859
37.042	4.4845	-30.894
33.634	14.475	11.457
30.291	-10.291	-3.9988
37.167	9.5425	7.5517
36.95	3.905	-16.95
34.281	15.182	11.057
37.068	3.0351	-0.42757
34.71	5.5437	19.21
36.022	-3.5347	-17.08
37.093	4.5792	-30.821
34.709	-0.54749	26.418
40.536	10.235	10.8
37.168	3.0544	-0.42387
40.94	10.826	10.972
34.513	-4.0448	-0.82807
36.336	4.4054	-17.081
37.131	3.0432	-0.42227
37.06	4.5286	-30.812
35.749	-3.4744	-17.185
30.633	-4.2865	25.709
36.63	-3.3574	-31.042
31.81	-10.389	17.329
31.779	9.229	-2.0185
35.863	-3.0836	-0.46877
32.572	-3.9795	25.862
36.972	3.9572	-16.938
40.749	10.079	10.577
36.106	4.5607	-17.237
36.313	1.7124	19.881
36.896	-3.598	-30.943
32.52	-3.9857	25.812
30.924	-10.967	-3.9363
30.549	-10.582	-3.9483
36.652	-3.3726	-31.025
34.33	-3.7297	-17.353
34.249	-8.3066	6.5188
40.633	10.155	10.71
36.627	-3.366	-31.032
31.651	-10.148	17.094
36.013	-3.5356	-17.089
36.02	-3.5297	-17.092
32.488	-10.148	17.431
36.955	3.9263	-16.946
37.026	4.5195	-31.04
36.899	-3.5967	-30.984
29.469	-9.4222	-3.9123
36.909	-3.5891	-30.866
34.212	-3.7454	-17.367
32.561	-3.9814	25.862
36.644	-3.3623	-31.025
34.15	7.6048	6.2888
31.688	9.2251	-1.8287
36.343	4.3522	-17.072
33.035	-8.7354	6.2144
34.206	-3.7547	-17.371
36.973	3.9545	-16.938
31.69	9.3449	-1.9304
33.573	14.466	11.5
33.606	13.047	2.2663
33.896	-3.7617	-17.474
36.948	3.9237	-16.945
34.88	-7.1013	19.344
36.633	-3.3575	-31.04
33.625	14.443	11.495
33.863	14.45	11.074
37.022	4.5444	-30.963
32.429	-9.7542	-1.8005
40.501	10.198	10.702
36.333	4.4014	-17.089
37.441	2.9665	-0.40777
34.152	6.8646	19.085
37.137	3.1305	-0.40917
32.695	9.2421	-1.731
32.959	-8.8375	6.2272
36.619	-3.3107	-31.035
36.626	-3.3652	-31.03
32.239	-9.696	-1.8177
37.096	4.5839	-30.811
33.587	7.9028	6.2352
36.287	1.7005	19.863
34.227	-3.7462	-17.366
35.442	4.8325	19.476
37.176	2.99	-0.42207
31.803	9.365	-1.9487
33.254	-8.7508	18.629
32.732	8.291	6.0643
36.315	1.8015	19.995
35.835	4.1276	-0.55717
36.355	4.385	-17.075
34.19	-3.7941	-17.368
32.326	-9.5885	-1.9853
34.248	-3.8106	-17.36
36.992	3.9315	-16.947
36.658	-3.3692	-31.097
33.862	-8.4073	6.3666
40.528	10.306	10.822
31.893	-10.446	17.165
37.149	3.0418	-0.42587
37.078	3.0298	-0.42937
34.233	-7.3924	19.284
30.472	-4.529	25.587
34.231	-3.8026	-17.361
36.909	-3.575	-30.85
37.026	3.889	-16.937
40.06	11.31	9.0096
31.198	-3.6894	25.976
37.026	4.5107	-30.986
