level_0	level_1	frames = 265 markers = 13 Hz = 30
-26.169555889695246	-0.91223	30.372
-25.365555889695244	6.0007	22.873
-25.437555889695247	-7.8157	23.176
-25.99455588969525	8.2822	8.5919
-26.605555889695246	-9.6205	8.8709
-26.407555889695246	9.7036	-0.52433
-27.322555889695245	-10.74	-0.25743
-25.92455588969525	2.2407	1.6772
-25.70155588969525	-4.7104	1.6826
-26.04955588969525	3.3885	-16.389
-24.693555889695247	-4.5887	-16.395
-23.68955588969525	3.8677	-31.227
-23.87855588969525	-4.469	-31.41
-26.163555889695246	-0.92592	30.372
-25.37555588969525	5.9931	22.878
-25.438555889695245	-7.8256	23.181
-25.974555889695246	8.2858	8.597
-26.60455588969525	-9.6236	8.8749
-26.368555889695244	9.7142	-0.51893
-27.319555889695245	-10.739	-0.25403
-25.917555889695244	2.2394	1.6737
-25.696555889695247	-4.7118	1.6807
-26.07955588969525	3.395	-16.392
-24.798555889695244	-4.6948	-16.402
-23.69255588969525	3.871	-31.226
-23.828555889695245	-4.4929	-31.407
-26.158555889695243	-0.94055	30.375
-25.37555588969525	5.985	22.879
-25.438555889695245	-7.8342	23.187
-25.95455588969525	8.2836	8.5977
-26.593555889695246	-9.6248	8.8795
-26.336555889695248	9.7158	-0.51823
-27.301555889695244	-10.735	-0.25063
-25.914555889695244	2.2344	1.6739
-25.693555889695247	-4.7168	1.6823
-26.080555889695248	3.3905	-16.392
-24.83855588969525	-4.6604	-16.403
-23.693555889695247	3.867	-31.225
-23.904555889695246	-4.4262	-31.41
-26.150555889695248	-0.95308	30.373
-25.377555889695245	5.9805	22.884
-25.435555889695245	-7.8407	23.184
-25.962555889695246	8.3014	8.6065
-26.57955588969525	-9.6357	8.8762
-26.347555889695244	9.7478	-0.50703
-27.28055588969525	-10.749	-0.25413
-25.90955588969525	2.2336	1.6751
-25.688555889695245	-4.7176	1.6775
-26.077555889695248	3.3915	-16.39
-24.83555588969525	-4.6643	-16.408
-23.690555889695247	3.8697	-31.224
-23.904555889695246	-4.4327	-31.415
-26.14055588969525	-0.96743	30.374
-25.377555889695245	5.9727	22.878
-25.434555889695247	-7.8471	23.179
-25.96055588969525	8.2962	8.6008
-26.571555889695247	-9.6449	8.8707
-26.344555889695243	9.7444	-0.51253
-27.26855588969525	-10.76	-0.25973
-25.89955588969525	2.2296	1.6734
-25.687555889695247	-4.7219	1.6774
-26.075555889695245	3.392	-16.392
-24.836555889695248	-4.6637	-16.408
-23.693555889695247	3.8706	-31.226
-23.90555588969525	-4.4282	-31.415
-26.130555889695245	-0.98301	30.377
-25.382555889695247	5.9628	22.888
-25.438555889695245	-7.8592	23.188
-25.96655588969525	8.2844	8.6105
-26.560555889695245	-9.6547	8.8784
-26.352555889695246	9.7307	-0.50303
-27.24755588969525	-10.768	-0.25293
-25.897555889695248	2.2283	1.6751
-25.682555889695244	-4.7232	1.6775
-26.074555889695247	3.3916	-16.39
-24.803555889695247	-4.6808	-16.407
-23.694555889695245	3.8728	-31.225
-23.853555889695244	-4.4598	-31.412
-26.118555889695244	-0.99828	30.375
-25.38155588969525	5.9512	22.891
-25.43955588969525	-7.871	23.18
-25.980555889695246	8.2638	8.6134
-26.54655588969525	-9.6694	8.8697
-26.374555889695245	9.7051	-0.50063
-27.22355588969525	-10.785	-0.26213
-25.894555889695248	2.2197	1.6734
-25.68355588969525	-4.7318	1.6774
-26.069555889695245	3.3891	-16.391
-24.788555889695246	-4.7063	-16.406
-23.69255588969525	3.8754	-31.226
-23.825555889695245	-4.4993	-31.411
-26.100555889695244	-1.0202	30.374
-25.38155588969525	5.9423	22.888
-25.443555889695247	-7.8794	23.177
-26.001555889695247	8.2515	8.6103
-26.53455588969525	-9.6789	8.8656
-26.408555889695243	9.6906	-0.50343
-27.202555889695248	-10.795	-0.26683
-25.895555889695245	2.2211	1.6733
-25.68655588969525	-4.7305	1.6757
-26.063555889695245	3.3862	-16.392
-24.81755588969525	-4.6884	-16.409
-23.694555889695245	3.8697	-31.228
-23.874555889695245	-4.468	-31.415
-26.089555889695248	-1.0275	30.375
-25.382555889695247	5.9304	22.904
-25.456555889695245	-7.8971	23.194
-26.016555889695248	8.2343	8.6263
-26.531555889695248	-9.6959	8.8815
-26.43355588969525	9.6701	-0.48753
-27.187555889695247	-10.811	-0.25193
-25.895555889695245	2.2157	1.6748
-25.684555889695247	-4.7358	1.6742
-26.053555889695247	3.3839	-16.39
-24.80555588969525	-4.6865	-16.41
-23.69255588969525	3.8739	-31.227
-23.85155588969525	-4.4578	-31.415
-26.087555889695246	-1.0422	30.373
-25.377555889695245	5.9143	22.887
-25.450555889695245	-7.9084	23.177
-26.033555889695243	8.2196	8.6106
-26.525555889695248	-9.704	8.8632
-26.464555889695248	9.6562	-0.50243
-27.181555889695247	-10.818	-0.27033
-25.897555889695248	2.2131	1.6714
-25.69255588969525	-4.7387	1.6739
-26.041555889695246	3.3788	-16.394
-24.80855588969525	-4.6889	-16.41
-23.691555889695245	3.8676	-31.233
