		frames = 214 markers = 13 Hz = 30
-35.448	-11.598	7.1524
-23.423	4.2005	0.37141
-9.9901	6.5126	-17.1
-14.44	-9.8252	7.3867
-41.98	10.255	7.1274
-37.826	-10.24	-1.4525
-10.079	13.338	-0.84859
-7.3409	-13.087	9.6437
-39.29	5.8399	21.093
-20.959	4.889	-30.615
-40.738	7.0917	21.51
-16.918	-11.605	12.136
-14.736	4.4201	28.749
-37.718	-9.9188	21.58
-15.523	1.8038	28.769
-32.972	-14.8	7.3585
-41.426	-0.24939	-32.265
-26.411	-3.5241	-0.22589
-40.315	9.2982	7.3864
-9.2558	16.944	10.725
-30.909	10.789	-2.757
-38.907	-9.1968	7.8245
-15.902	-3.6944	22.298
-37.828	-10.226	-1.374
-42.36	-3.4124	-32.311
-40.126	10.286	-1.8813
-43.3	-5.0565	-31.96
-32.181	6.4056	19.999
-37.812	-10.203	-1.4395
-21.922	4.0579	-29.021
-29.698	-4.2637	27.751
-36.885	-1.8084	0.56751
-41.255	-3.7809	-17.51
-41.509	-0.053077	-32.242
-33.926	-0.11442	-16.939
-42.477	-3.5539	-32.365
-34.958	2.686	-31.273
-25.587	-4.9886	21.911
-42.336	-3.3906	-32.33
-39.461	1.2874	-17.615
-33.195	-12.034	7.0334
-31.225	8.7975	6.4977
-41.259	-3.8119	-17.52
-41.877	10.22	7.0225
-39.392	-6.7746	-32.493
-40.798	6.9635	21.501
-27.675	8.1193	20.732
-40.094	-0.30507	29.179
-39.341	-6.8824	-32.363
-35.06	-11.629	7.1502
-39.468	-6.9946	0.66891
-8.4166	-7.996	10.715
-28.824	10.627	6.6929
-32.843	-4.1797	27.952
-40.275	2.9823	-17.564
-40.202	2.9851	-17.58
-11.969	2.7459	29.019
-10.036	-9.1962	7.8394
-39.447	1.1596	-17.601
-39.91	7.5845	7.4053
-39.579	-8.251	21.837
-20.271	9.5212	6.9919
-12.886	-3.1999	0.71841
-11.738	1.0193	28.924
-25.265	2.3031	28.254
-12.895	13.399	8.1689
-41.81	2.8712	-32.315
-31.152	-12.829	7.1995
-38.48	-9.1874	7.8842
-41.8	2.8703	-32.311
-20.907	3.7258	-17.405
-39.261	3.7675	7.5942
-38.713	-11.63	-0.91119
-25.57	2.3512	-31.284
-29.266	0.8231	-31.552
-40.249	2.9594	-17.571
-40.819	9.4135	-1.634
-13.175	-9.4404	-1.6141
-38.905	4.0829	21.431
-41.797	2.8685	-32.305
-15.076	-0.45796	-17.545
-38.234	0.6397	28.781
-38.647	-9.9646	7.8596
-19.516	4.17	-17.412
-37.791	-8.726	0.47191
-40.785	6.9109	21.496
-41.941	2.9048	-32.257
-39.939	9.6201	-1.8086
-14.672	0.020883	-17.435
-39.217	-1.0885	0.58871
-15.076	-0.19468	-17.476
-13.027	1.4332	-32.158
-32.106	-16.062	-1.9191
-5.956	15.025	9.986
-29.103	1.4586	0.39661
-41.997	10.149	7.1413
-24.386	13.45	-1.741
-13.758	-10.957	11.934
-40.55	-7.5291	21.97
-15.874	-8.5312	-1.1951
-29.195	-5.6755	-18.034
-39.397	-0.74907	29.166
-16.977	-11.26	12.179
-39.802	10.232	-1.9738
-28.824	-3.3876	27.789
-18.852	4.6111	-17.482
-24.601	-5.8254	-17.509
-36.285	-11.938	21.605
-17.296	-0.84682	-17.498
-15.309	4.6408	-17.402
-40.037	-4.2181	0.60921
-2.6258	-7.6769	8.7595
-34.707	-0.073867	-17.046
-40.246	2.9602	-17.569
-8.4433	-12.108	8.7386
-40.13	-0.34117	29.185
-39.239	-7.0545	-17.563
-13.794	5.2438	-17.357
-41.71	10.055	6.9291
-11.451	1.8236	28.897
-40.015	-4.2883	0.59951
-40.14	-7.3961	21.949
-23.924	9.2987	20.806
-23.685	4.5777	0.34211
-18.857	14.707	-1.4771
-40.186	2.9865	-17.579
-40.907	-6.8684	22.2
-33.2	-0.093837	-16.78
-38.831	0.32646	-17.545
-27.25	-3.7663	-0.38209
-30.378	9.4505	6.5413
-25.331	2.6877	-17.6
-40.452	-4.7571	0.57281
-40.782	6.9346	21.501
-40.207	2.9582	-17.568
-20.299	-6.8773	8.2487
-19.292	-3.0776	22.226
-0.75758	13.744	7.3231
-18.297	2.8146	28.664
-36.034	-11.499	7.2823
-38.107	-9.5346	21.937
-39.722	6.6847	7.3858
-18.711	4.3381	0.15821
-40.259	9.0078	7.3419
-27.374	-13.738	-1.4171
-39.622	0.49198	-17.485
-34.286	-0.15828	-16.963
-10.363	6.4813	-17.027
-14.514	18.3	10.743
-40.247	9.1113	7.3502
-40.283	9.313	7.379
-22.563	3.6433	-17.835
-10.828	0.89188	28.909
-39.503	-8.246	21.839
-38.093	-9.6004	7.7651
-13.998	-8.0233	7.6394
-41.241	-3.7722	-17.498
-36.422	-11.587	-1.7183
-28.064	-6.7806	21.251
-14.223	6.9333	20.935
-27.598	-4.6959	0.33421
-40.15	-4.209	0.58071
-41.492	9.9424	6.8258
-34.539	-11.742	7.1212
-30.305	-13.56	7.3792
-15.776	5.6525	-30.605
-42.561	-3.816	-32.318
-19.978	14.83	-0.86059
-36.529	0.2225	-17.293
-24.294	4.3726	0.25851
-37.046	-10.635	-1.5671
-40.109	-0.46146	29.178
-40.216	-4.1348	0.62441
-39.492	0.4205	-17.472
-20.935	5.1592	-30.349
-41.8	2.8667	-32.309
-20.585	-4.7814	22.072
-25.507	12.976	-2.1187
-38.939	-9.1738	7.8799
-29.662	-13.228	7.5064
-32.396	-0.014077	-16.641
-39.951	9.1531	-1.8717
-40.215	9.2846	7.3166
-40.278	2.8148	0.58661
-40.168	9.1188	7.2807
-25.598	2.6197	-30.83
-3.274	14.83	8.5977
-14.953	4.235	0.71061
-32.04	8.2212	6.4659
-40.475	-4.6997	0.59321
-39.879	-7.6996	22.0
-16.808	-2.388	0.35021
-32.408	-5.4502	-0.80209
-40.654	2.916	-17.54
-40.889	2.8488	-17.526
-40.801	7.0853	21.478
-42.323	-3.3511	-32.282
-14.834	-8.8257	-1.3464
0.11972	-8.9113	7.3452
-40.847	7.0949	21.433
-15.293	9.2755	21.191
-14.383	7.844	21.019
-36.45	10.758	7.6298
-41.942	3.1072	-32.248
-39.809	10.659	-1.9847
-40.256	-4.1471	0.61801
-39.526	6.5416	7.376
-39.823	10.227	-1.9715
-41.794	2.882	-32.307
-39.692	-0.36998	29.19
-12.362	-10.478	11.901
-40.382	-5.1168	0.49841
-29.044	2.6879	-16.94
-27.36	-6.2534	21.549
-36.015	4.4041	20.917
-31.538	3.0658	-16.855
-42.324	-3.3828	-32.284
-31.291	-15.692	-1.9754
-15.425	5.6748	-30.68
-12.856	-6.32	21.851
-11.727	6.2804	-17.256
-41.798	2.88	-32.308
-21.39	14.502	-0.88949
-40.943	-4.1482	-17.579
-21.354	5.4584	0.47971
-40.011	9.9376	-1.8352
-15.101	-4.1306	22.362
-15.992	-10.361	6.4056
-22.922	3.8078	-31.825
-35.46	1.8203	21.202
-40.876	2.5847	-17.474
-38.671	-9.159	21.748
-39.708	-0.38851	29.189
-28.128	-14.23	-1.5922
-10.782	-11.163	11.575
-42.331	-3.3569	-32.293
-40.258	2.9647	-17.567
-16.021	-2.4213	0.35391
-42.452	-3.5292	-32.345
-41.795	2.8715	-32.305
-36.238	-0.19948	28.348
-12.889	1.3717	-32.173
-10.998	-10.617	11.817
-8.933	-10.181	-1.4414
-26.066	1.8329	-32.405
-24.203	-4.3212	22.198
-12.135	-3.235	0.59611
-39.887	-4.4512	0.58581
-32.664	-0.12149	-31.405
-12.735	3.4606	28.968
-38.91	-9.1397	7.8953
-40.048	-7.5608	21.997
-42.328	-3.3504	-32.281
-40.215	2.98	-17.581
-39.816	10.588	-1.9501
-31.556	-5.3366	-0.93689
-39.656	-6.4237	-17.558
-39.572	-9.7272	8.1578
-17.904	5.2826	-29.987
-37.367	-16.383	-1.6476
-23.636	-3.0129	0.54131
-14.902	1.6427	28.833
-40.681	6.8019	21.512
-13.147	1.3516	-32.126
-6.9337	-12.434	11.42
-38.939	-9.2351	7.8705
-37.531	-10.209	-1.3715
-15.339	3.9205	0.36211
-40.733	6.9827	21.518
-19.979	-12.675	11.122
-40.125	-0.43416	29.177
-13.051	1.4263	-32.271
-42.322	-3.3798	-32.285
-41.256	-3.783	-17.512
-19.974	4.7419	28.723
-41.427	-0.089207	-32.247
-13.924	4.0631	28.788
-39.621	3.8649	7.6548
-40.288	1.3736	0.55001
-39.766	-7.7354	21.875
-18.236	5.0735	-29.959
-29.702	-6.0272	0.12621
-39.509	-4.9364	-17.849
-42.247	-4.2033	-31.51
-41.595	11.314	-2.3182
-41.265	-3.7976	-17.514
-40.843	-5.0406	-29.444
-40.184	2.7852	0.58471
-42.319	-3.3435	-32.29
-40.239	9.3007	7.3262
-16.804	4.6604	-17.668
-39.27	-8.2055	21.889
-27.732	-14.399	8.146
-40.309	-5.4097	0.51641
-27.535	2.7708	-17.303
-37.264	-1.8081	0.64871
-41.793	2.8861	-32.303
-38.818	-9.0717	7.9183
-39.955	9.7253	-1.8345
-18.111	-3.2825	22.255
-23.687	3.6964	-31.588
-28.853	1.3113	-17.559
-2.6653	-10.501	1.6272
-40.217	5.8631	21.556
-25.163	2.9682	-30.526
-20.183	9.1974	7.1026
-40.234	9.159	7.3433
-38.775	4.0372	21.447
-39.904	1.7783	0.64321
-34.811	-1.3399	0.16391
-24.928	9.1071	20.869
-12.513	-0.58102	-17.617
-40.85	7.0986	21.448
-39.83	8.1447	-1.9533
-24.95	3.7842	-29.575
-14.521	0.63488	-31.988
-21.231	3.442	-32.04
-25.255	-14.518	8.8938
-13.967	-10.692	12.271
-39.658	-8.1382	21.855
-36.271	-8.7725	0.33441
-38.199	-9.453	7.8686
-11.293	-6.6713	22.176
-40.048	2.135	0.65931
-37.57	-14.582	-1.5128
-40.261	9.0315	7.3454
-32.385	3.7029	20.404
-22.222	9.834	-1.9088
-40.084	-4.1786	0.56621
-12.217	18.347	10.821
-41.205	-3.7747	-17.499
-27.146	8.3949	20.81
-24.778	-11.585	-0.99509
-13.547	0.87455	-32.186
-16.676	7.4994	21.037
-22.96	4.2644	0.30531
-38.642	-7.6896	-17.637
-38.672	-11.528	-1.0102
-39.944	9.4183	-1.8494
-22.611	2.7106	28.843
-41.242	-3.8334	-17.533
-40.787	6.9122	21.492
-16.341	10.237	20.975
-11.819	18.489	10.59
-40.248	9.3044	7.337
-38.361	-9.2747	7.8909
-20.279	-0.93097	-32.064
-31.645	-14.2	7.2966
-27.204	3.2201	-31.637
-27.353	1.6873	-17.647
-16.517	4.4023	-17.552
-29.061	-12.821	7.6532
-41.342	-0.042497	-32.082
-39.969	10.74	-1.9157
-19.767	4.0998	-17.379
-40.731	2.1819	-17.495
-17.116	4.2315	0.16721
-42.33	-3.3924	-32.314
-30.545	-4.7851	27.776
-35.223	-15.301	7.3974
1.1825	-10.006	6.729
-9.313	-8.4348	9.0128
-6.5059	-13.137	11.139
-12.903	1.3748	-32.299
-35.02	5.9401	6.5653
-19.218	-1.8762	-17.339
-17.129	5.2871	0.52631
-20.985	3.8728	-31.386
-36.848	-0.58865	-31.462
-38.957	7.4114	7.2627
-6.9301	13.826	0.90481
-40.715	6.908	21.519
-39.692	1.3334	0.60411
-15.973	-0.39637	-17.507
-40.913	-6.829	22.098
-14.463	18.672	10.664
-40.044	-0.28501	29.183
-40.537	-7.3959	21.989
-39.531	1.3975	-17.631
-38.856	-9.0661	7.9043
-28.378	-2.5868	-29.829
-41.211	-3.7731	-17.498
-7.809	-11.762	11.514
-41.799	2.8677	-32.315
-21.162	3.4199	-31.778
-15.273	-2.5114	0.36811
-18.947	4.8307	28.75
-39.464	1.0231	-17.625
-40.274	2.8314	0.61011
-9.553	-9.6785	7.9801
-38.943	-9.1849	7.8807
-40.156	2.8007	0.57691
-39.674	10.435	-2.0072
-22.922	11.012	20.811
-18.853	14.462	-1.7128
-27.919	2.2914	0.47101
-40.43	-7.3005	22.018
-26.463	3.1409	0.48461
-37.916	-11.307	7.871
-38.815	4.7877	21.517
-23.866	3.3783	-17.667
-40.043	8.5247	-1.9023
-40.153	2.9701	-17.572
-36.98	-8.7922	0.39821
-42.361	-3.4242	-32.348
-13.616	-9.3103	-1.5737
-37.529	-15.756	-1.7112
-40.122	4.8153	7.6692
-19.869	8.5365	20.932
-40.31	-0.60225	-31.071
-31.425	-0.00043704	0.22891
-26.044	0.92944	28.709
-42.322	-3.3855	-32.306
-24.111	3.1913	-17.66
-40.098	2.3355	0.62321
-39.892	10.437	-1.9551
-40.17	-4.1455	0.62601
-10.27	-11.202	11.511
-13.713	12.368	-1.9671
-40.789	6.9011	21.491
-37.568	-14.147	-1.427
-41.829	2.9015	-32.312
-16.434	5.6749	-30.436
-37.538	-13.731	-1.3806
-40.327	6.1955	21.569
-42.015	10.068	7.1642
-39.306	-0.8344	29.153
-26.597	-13.112	-1.2877
-38.708	-11.596	-1.0115
-40.068	10.056	-1.8136
-40.797	7.0748	21.488
-40.261	2.7934	0.58411
-42.472	-3.5481	-32.363
-14.095	7.4084	20.93
-39.805	-7.8151	21.984
-41.797	2.8648	-32.309
-42.874	-4.9052	-32.291
-12.851	1.3954	-32.231
-37.484	-13.322	-1.3698
-39.377	-6.7585	-32.418
-27.632	2.1757	-32.141
-37.837	-10.261	-1.442
-34.418	-5.5371	-30.337
